,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.4435229,48.83236,53.550144
1,100,0.13758029,48.787323,53.4448
2,200,0.07121944,48.69649,53.333527
3,300,0.05872871,48.538445,53.196793
4,400,0.056103762,48.319504,53.040573
5,500,0.05498557,48.049507,52.860336
6,600,0.054337155,47.73366,52.650536
7,700,0.05391839,47.373997,52.407623
8,800,0.05363988,46.970913,52.12975
9,900,0.053453736,46.523594,51.815968
10,1000,0.053328175,46.031246,51.465164
11,1100,0.05324246,45.49297,51.07597
12,1200,0.053183634,44.907795,50.647026
13,1300,0.053143322,44.2751,50.1769
14,1400,0.05311588,43.594208,49.664204
15,1500,0.05309739,42.864746,49.1073
16,1600,0.05308515,42.08639,48.50411
17,1700,0.053077225,41.25941,47.85262
18,1800,0.053072207,40.384193,47.15001
19,1900,0.05306909,39.461704,46.393147
20,2000,0.053067155,38.493313,45.57844
21,2100,0.05306595,37.48082,44.701576
22,2200,0.05306518,36.42672,43.757755
23,2300,0.05306469,35.33354,42.741123
24,2400,0.053064384,34.20406,41.645096
25,2500,0.053064212,33.041367,40.461823
26,2600,0.053064145,31.848557,39.182457
27,2700,0.053064156,30.628363,37.79668
28,2800,0.05306423,29.383389,36.29309
29,2900,0.053064343,28.115877,34.659035
30,3000,0.053064484,26.8277,32.881992
31,3100,0.05306465,25.52038,30.95014
32,3200,0.05306483,24.195122,28.855354
33,3300,0.05306502,22.853191,26.596277
34,3400,0.053065225,21.495758,24.182596
35,3500,0.05306544,20.124512,21.640568
36,3600,0.053065676,18.74183,19.016026
37,3700,0.053065922,17.351591,16.376759
38,3800,0.053066183,15.958964,13.806894
39,3900,0.05306647,14.571285,11.397173
40,4000,0.05306676,13.198402,9.229556
41,4100,0.053067077,11.852501,7.3620896
42,4200,0.05306739,10.548154,5.8189616
43,4300,0.053067714,9.301236,4.5913243
44,4400,0.053068046,8.128196,3.6451976
45,4500,0.053068366,7.0444117,2.9335225
46,4600,0.053068668,6.0622306,2.4071145
47,4700,0.05306899,5.189974,2.0215933
48,4800,0.053069316,4.4305186,1.7406634
49,4900,0.053069603,3.7820451,1.5362335
50,5000,0.05306987,3.2378154,1.3874497
51,5100,0.053070087,2.7879994,1.2790898
52,5200,0.05307034,2.4209564,1.2001739
53,5300,0.05307059,2.1244307,1.1427749
54,5400,0.05307079,1.886723,1.1011384
55,5500,0.05307097,1.6972076,1.0710666
56,5600,0.053071402,1.5467165,1.0494764
57,5700,0.053071287,1.4275385,1.0340953
58,5800,0.05307155,1.3333417,1.023232
59,5900,0.053071532,1.2590282,1.0156384
60,6000,0.053071823,1.2005028,1.010391
61,6100,0.05307171,1.1545058,1.0068096
62,6200,0.053071983,1.1184487,1.0043977
63,6300,0.05307186,1.0902737,1.002797
64,6400,0.05307187,1.0683419,1.0017507
65,6500,0.05307091,1.0513532,1.0010787
66,6600,0.053071972,1.0382686,1.0006521
67,6700,0.053066023,1.0282564,1.0003918
68,6800,0.053072095,1.0206547,1.0002269
69,6900,0.053072058,1.0149322,1.0001307
70,7000,0.053071834,1.0106661,1.000074
71,7100,0.053072132,1.0075206,1.0000416
72,7200,0.053070232,1.0052297,1.0000237
73,7300,0.05307216,1.0035821,1.0000132
74,7400,0.053075448,1.0024143,1.0000072
75,7500,0.05307218,1.0016005,1.0000046
76,7600,0.053094033,1.0010418,1.0000049
77,7700,0.05307239,1.0006657,1.0000019
78,7800,0.053074583,1.0004166,1.0000012
79,7900,0.053072564,1.000256,1.000001
80,8000,0.0530723,1.0001538,1.0000008
81,8100,0.05307017,1.0000911,1.0000008
82,8200,0.05307233,1.0000523,1.0000005
83,8300,0.05307234,1.0000297,1.0000004
84,8400,0.053070713,1.0000168,1.0000005
85,8500,0.053072367,1.0000091,1.0000002
86,8600,0.053072717,1.000005,1.0000001
87,8700,0.05307186,1.0000029,1.0000002
88,8800,0.053072356,1.0000015,1.0000001
89,8900,0.053089686,1.0000014,1.0000018
90,9000,0.05307246,1.0000006,1.0
91,9100,0.053072404,1.0000004,1.0
92,9200,0.05307188,1.0000004,1.0000001
93,9300,0.05307239,1.0000002,1.0
94,9400,0.05307251,1.0000001,1.0
95,9500,0.053073835,1.0,1.0
96,9600,0.053072434,1.0,1.0
97,9700,0.05306844,1.0000004,1.0000004
98,9800,0.053072378,1.0,1.0
99,9900,0.05308493,1.000001,1.0000017
100,10000,0.05307254,1.0,1.0
101,10100,0.053072415,1.0,1.0
102,10200,0.053064633,1.0000007,1.0000011
103,10300,0.053072415,1.0,1.0
104,10400,0.05307254,1.0,1.0
105,10500,0.053071328,1.0,1.0
106,10600,0.053072415,1.0,1.0
107,10700,0.053072434,1.0,1.0
108,10800,0.053071544,1.0,1.0
109,10900,0.053072423,1.0,1.0
110,11000,0.053075835,1.0000004,1.0000006
111,11100,0.053072426,1.0,1.0
112,11200,0.053076837,1.0000004,1.0000005
113,11300,0.053072564,1.0,1.0
114,11400,0.053072434,1.0,1.0
115,11500,0.053066343,1.0000006,1.0000008
116,11600,0.053072426,1.0,1.0
117,11700,0.053077668,1.0000002,1.0000004
118,11800,0.053072896,1.0,1.0
119,11900,0.05307124,1.0,1.0
120,12000,0.053073213,1.0,1.0
121,12100,0.053072806,1.0,1.0
122,12200,0.05307281,1.0,1.0
123,12300,0.053072426,1.0,1.0
124,12400,0.05306364,1.0000005,1.0000014
125,12500,0.053069156,1.0000002,1.0000004
126,12600,0.05307282,1.0,1.0
127,12700,0.053069774,1.0,1.0000001
128,12800,0.05306268,1.0000007,1.0000019
129,12900,0.053072378,1.0,1.0
130,13000,0.053070497,1.0,1.0
131,13100,0.05307312,1.0,1.0
132,13200,0.053070232,1.0000006,1.000001
133,13300,0.053101543,1.0000092,1.0000154
134,13400,0.0530722,1.0,1.0
135,13500,0.053070694,1.0,1.0000002
136,13600,0.0530961,1.0000051,1.0000093
137,13700,0.053072557,1.0,1.0
138,13800,0.05307104,1.0,1.0
139,13900,0.053036164,1.0000149,1.000026
140,14000,0.053072575,1.0,1.0
141,14100,0.053052813,1.0000025,1.0000057
142,14200,0.05304603,1.000007,1.0000128
143,14300,0.053072132,1.0,1.0
144,14400,0.053090602,1.0000032,1.000006
145,14500,0.05306328,1.0000012,1.0000021
146,14600,0.05307045,1.0000005,1.0000014
147,14700,0.05307175,1.0000004,1.0000006
148,14800,0.05307207,1.0,1.0000001
149,14900,0.053096958,1.0000052,1.0000104
