,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.44637465,48.789936,53.50989
1,100,0.23335865,44.456608,49.143314
2,200,0.17939088,40.033,44.336327
3,300,0.16163108,35.68692,39.394573
4,400,0.15398733,31.585577,34.605846
5,500,0.14886132,27.841429,30.161503
6,600,0.14343134,24.498947,26.160877
7,700,0.13706973,21.552252,22.634146
8,800,0.13000022,18.969501,19.568775
9,900,0.122511216,16.711987,16.92928
10,1000,0.11480201,14.743564,14.670678
11,1100,0.10706759,13.031984,12.7461
12,1200,0.09955339,11.548746,11.110501
13,1300,0.09252683,10.266964,9.722784
14,1400,0.08620819,9.161442,8.545636
15,1500,0.08071669,8.208479,7.5466437
16,1600,0.076063,7.386462,6.6973143
17,1700,0.07217984,6.6762543,5.97355
18,1800,0.06896316,6.061016,5.354813
19,1900,0.06630379,5.5262527,4.823935
20,2000,0.06410341,5.0595307,4.366669
21,2100,0.062279146,4.6504397,3.971058
22,2200,0.06076266,4.2902045,3.6274438
23,2300,0.059498932,3.9714642,3.3277245
24,2400,0.05844457,3.688114,3.0652058
25,2500,0.0575656,3.435036,2.8343186
26,2600,0.05683446,3.207992,2.6305203
27,2700,0.05622795,3.0034235,2.4500384
28,2800,0.05572594,2.8183439,2.289654
29,2900,0.055310994,2.6502967,2.1467206
30,3000,0.054968197,2.4971695,2.019029
31,3100,0.054684896,2.3572397,1.9046632
32,3200,0.05445044,2.228997,1.8020695
33,3300,0.05425607,2.1112437,1.7098781
34,3400,0.0540947,2.0029433,1.626939
35,3500,0.05396062,1.9032162,1.5522767
36,3600,0.053849243,1.8113271,1.485064
37,3700,0.05375687,1.7266787,1.4245578
38,3800,0.053680502,1.6487155,1.3701446
39,3900,0.05361766,1.5770061,1.321271
40,4000,0.053566314,1.5111549,1.2774657
41,4100,0.05352472,1.4508281,1.2383081
42,4200,0.05349142,1.3957038,1.2034273
43,4300,0.053465158,1.345511,1.1724881
44,4400,0.0534449,1.2999891,1.145184
45,4500,0.053429786,1.2588809,1.1212349
46,4600,0.05341896,1.2219466,1.1003801
47,4700,0.053411856,1.188957,1.0823656
48,4800,0.053407807,1.1596748,1.0669526
49,4900,0.053406257,1.1338686,1.0539039
50,5000,0.053406727,1.1113042,1.0429873
51,5100,0.05340864,1.0917491,1.0339717
52,5200,0.05341153,1.0749661,1.0266322
53,5300,0.053414855,1.0607166,1.0207485
54,5400,0.053418245,1.0487573,1.0161071
55,5500,0.05342135,1.0388457,1.0125085
56,5600,0.05342381,1.0307405,1.009767
57,5700,0.053425517,1.0242059,1.007716
58,5800,0.05342626,1.0190121,1.0062101
59,5900,0.053426046,1.0149446,1.0051246
60,6000,0.05342486,1.0118036,1.0043573
61,6100,0.05342304,1.0094118,1.0038259
62,6200,0.05342068,1.007613,1.0034661
63,6300,0.05341805,1.0062754,1.0032277
64,6400,0.05341553,1.0052909,1.0030743
65,6500,0.05340463,1.0045726,1.0029781
66,6600,0.053411424,1.004053,1.0029207
67,6700,0.053414825,1.0036802,1.0028872
68,6800,0.053409595,1.0034149,1.0028694
69,6900,0.053412616,1.0032284,1.00286
70,7000,0.05341059,1.0030991,1.0028557
71,7100,0.053411394,1.003012,1.0028546
72,7200,0.05341448,1.0029554,1.0028555
73,7300,0.053415664,1.0029213,1.0028586
74,7400,0.05342038,1.0029035,1.0028636
75,7500,0.053423565,1.0028975,1.0028706
76,7600,0.05342891,1.0029,1.0028801
77,7700,0.053436905,1.0029093,1.0028921
78,7800,0.053440094,1.0029242,1.0029076
79,7900,0.053446583,1.0029423,1.0029252
80,8000,0.053448405,1.0029632,1.0029454
81,8100,0.053461842,1.0029881,1.002969
82,8200,0.05346766,1.0030155,1.0029954
83,8300,0.05348053,1.003047,1.0030253
84,8400,0.053477205,1.0030807,1.0030578
85,8500,0.053502984,1.003119,1.0030949
86,8600,0.053515635,1.0031605,1.0031347
87,8700,0.05353044,1.0032054,1.0031781
88,8800,0.05354481,1.0032547,1.0032252
89,8900,0.053557236,1.0033077,1.0032758
90,9000,0.05357924,1.0033656,1.0033307
91,9100,0.05360339,1.0034275,1.0033889
92,9200,0.053619955,1.0034953,1.003452
93,9300,0.053643048,1.0035678,1.0035186
94,9400,0.053666636,1.0036458,1.0035894
95,9500,0.053695556,1.0037298,1.0036647
96,9600,0.053728502,1.0038193,1.0037438
97,9700,0.05375785,1.0039165,1.0038282
98,9800,0.053792894,1.0040196,1.0039158
99,9900,0.0538309,1.0041306,1.0040083
100,10000,0.05387365,1.0042485,1.0041047
101,10100,0.05390757,1.0043763,1.0042062
102,10200,0.05396992,1.0045079,1.0043088
103,10300,0.054027572,1.0046502,1.0044166
104,10400,0.054074485,1.0048002,1.0045266
105,10500,0.054134075,1.0049583,1.0046395
106,10600,0.054125722,1.0051298,1.0047596
