,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.443877,48.808475,53.52921
1,100,0.15688673,45.810352,50.60944
2,200,0.086063586,42.25102,46.724663
3,300,0.06597222,38.420376,42.37354
4,400,0.06028129,34.561592,37.898003
5,500,0.057682645,30.857681,33.51983
6,600,0.056141715,27.388021,29.359293
7,700,0.055181127,24.188194,25.488157
8,800,0.054561067,21.268368,21.94984
9,900,0.054142494,18.624477,18.767748
10,1000,0.053851064,16.246403,15.950587
11,1100,0.053643897,14.122041,13.4950905
12,1200,0.05349784,12.237181,11.386754
13,1300,0.05340001,10.575764,9.600712
14,1400,0.05333922,9.121198,8.103947
15,1500,0.05330386,7.8571935,6.859435
16,1600,0.053283446,6.767401,5.829598
17,1700,0.053270187,5.835361,4.979499
18,1800,0.05325936,5.043985,4.278208
19,1900,0.05324867,4.3763123,3.6992576
20,2000,0.05323735,3.8154764,3.2205014
21,2100,0.0532255,3.3456504,2.8239427
22,2200,0.05321348,2.95261,2.4948926
23,2300,0.053201757,2.6238933,2.2214606
24,2400,0.05319071,2.3487942,1.9941176
25,2500,0.05318061,2.118309,1.805185
26,2600,0.05317157,1.9250369,1.6484774
27,2700,0.0531636,1.7629104,1.5189929
28,2800,0.05315658,1.6269602,1.4126965
29,2900,0.05315039,1.5131731,1.3262649
30,3000,0.053144943,1.418311,1.2569317
31,3100,0.05314014,1.3397151,1.2023318
32,3200,0.053135965,1.275206,1.1603647
33,3300,0.053132437,1.2229832,1.1290727
34,3400,0.05312971,1.1814722,1.106609
35,3500,0.05312797,1.1492777,1.091214
36,3600,0.053127363,1.1250684,1.0813034
37,3700,0.053128,1.1075449,1.0755243
38,3800,0.05313002,1.0954176,1.0727868
39,3900,0.053133532,1.0874699,1.072224
40,4000,0.05313856,1.0826344,1.0731547
41,4100,0.053144924,1.0800602,1.0750728
42,4200,0.053152233,1.0791376,1.0776385
43,4300,0.053160056,1.0794418,1.0806189
44,4400,0.05316792,1.080663,1.0838406
45,4500,0.053175204,1.0825582,1.087138
46,4600,0.053181153,1.0849159,1.0903466
47,4700,0.05318488,1.0875345,1.0933046
48,4800,0.053185374,1.0902224,1.0958532
49,4900,0.053181518,1.0927974,1.0978458
50,5000,0.05317277,1.0950876,1.0991325
51,5100,0.053157266,1.096933,1.0995531
52,5200,0.0531345,1.0981629,1.0989159
53,5300,0.053103827,1.0985909,1.0969635
54,5400,0.053065237,1.0979929,1.0933535
55,5500,0.053021275,1.096103,1.0876977
56,5600,0.052976914,1.0926545,1.0796787
57,5700,0.0529419,1.0874182,1.0692456
58,5800,0.052902848,1.0802548,1.0567771
59,5900,0.052890867,1.0710708,1.0430504
60,6000,0.052899465,1.0600098,1.0292983
61,6100,0.05294015,1.0475384,1.0171871
62,6200,0.053002838,1.0342703,1.0081321
63,6300,0.05305696,1.0208673,1.0024083
64,6400,0.053100865,1.0089965,1.0001487
65,6500,0.05308855,1.0017716,1.0000119
66,6600,0.053063393,1.0001427,1.0000082
67,6700,0.05305767,1.0000622,1.0000076
68,6800,0.053057775,1.0000374,1.0000077
69,6900,0.053057637,1.0000259,1.0000086
70,7000,0.053059384,1.0000186,1.0000081
71,7100,0.053060643,1.0000138,1.0000073
72,7200,0.053061984,1.0000105,1.0000062
73,7300,0.053063497,1.0000081,1.0000049
74,7400,0.053064786,1.0000067,1.0000037
75,7500,0.053066242,1.0000055,1.0000027
76,7600,0.053067643,1.0000049,1.0000019
77,7700,0.0530689,1.0000042,1.0000014
78,7800,0.053069897,1.0000037,1.0000011
79,7900,0.05307124,1.000003,1.0000008
80,8000,0.05307178,1.0000023,1.0000008
81,8100,0.053072143,1.0000017,1.0000007
82,8200,0.053072527,1.0000013,1.0000007
83,8300,0.05307281,1.0000011,1.0000007
84,8400,0.05307313,1.0000008,1.0000008
85,8500,0.05307322,1.0000007,1.000001
86,8600,0.053073157,1.0000007,1.0000011
87,8700,0.05307323,1.0000007,1.0000014
88,8800,0.053073157,1.0000007,1.0000017
89,8900,0.05307299,1.0000008,1.000002
90,9000,0.053072874,1.0000008,1.0000024
91,9100,0.053072564,1.000001,1.0000027
92,9200,0.05307221,1.0000011,1.0000032
93,9300,0.053072046,1.0000013,1.0000036
94,9400,0.053071663,1.0000014,1.0000038
95,9500,0.053071257,1.0000017,1.000004
96,9600,0.053070933,1.0000017,1.0000043
97,9700,0.05307041,1.0000019,1.0000045
98,9800,0.053070176,1.0000019,1.0000046
99,9900,0.053069886,1.0000021,1.000005
100,10000,0.053069584,1.0000023,1.0000051
101,10100,0.053069368,1.0000025,1.0000056
102,10200,0.053069208,1.0000027,1.0000057
103,10300,0.053068973,1.0000027,1.0000058
104,10400,0.05306875,1.0000029,1.000006
105,10500,0.053068638,1.000003,1.0000062
106,10600,0.053068478,1.000003,1.0000062
107,10700,0.053068414,1.0000032,1.0000066
108,10800,0.053068336,1.0000032,1.0000066
109,10900,0.053068157,1.0000035,1.0000068
110,11000,0.053068046,1.0000036,1.0000069
111,11100,0.053068034,1.0000036,1.0000069
112,11200,0.05306799,1.0000037,1.000007
113,11300,0.053067837,1.0000038,1.0000073
114,11400,0.053067874,1.0000038,1.0000073
115,11500,0.053067792,1.000004,1.0000075
116,11600,0.053067736,1.000004,1.0000075
117,11700,0.05306766,1.0000042,1.0000076
118,11800,0.053067632,1.0000043,1.0000076
119,11900,0.053067625,1.0000043,1.0000077
120,12000,0.053067558,1.0000044,1.0000077
121,12100,0.053067546,1.0000045,1.0000077
122,12200,0.05306749,1.0000046,1.0000079
123,12300,0.053067453,1.0000046,1.0000079
124,12400,0.053067453,1.0000046,1.000008
125,12500,0.053067498,1.0000046,1.000008
126,12600,0.053067416,1.0000046,1.000008
127,12700,0.053067368,1.0000048,1.0000081
128,12800,0.053067442,1.0000049,1.000008
129,12900,0.053067334,1.0000048,1.0000081
130,13000,0.053067353,1.0000048,1.0000081
131,13100,0.053067405,1.0000048,1.0000081
132,13200,0.05306733,1.0000049,1.0000081
133,13300,0.05306733,1.0000049,1.000008
134,13400,0.053067286,1.0000049,1.0000081
135,13500,0.053067286,1.0000049,1.000008
136,13600,0.053067226,1.0000049,1.0000081
137,13700,0.053067315,1.0000049,1.0000081
138,13800,0.053067256,1.0000049,1.0000081
139,13900,0.053067267,1.0000049,1.000008
140,14000,0.05306723,1.0000049,1.0000081
141,14100,0.053067293,1.0000049,1.0000082
142,14200,0.053067207,1.0000049,1.0000081
143,14300,0.053067245,1.0000049,1.0000081
144,14400,0.05306717,1.0000049,1.000008
145,14500,0.05306719,1.0000049,1.0000081
146,14600,0.05306719,1.0000049,1.0000081
147,14700,0.053067192,1.0000049,1.0000079
148,14800,0.053067274,1.0000049,1.0000081
149,14900,0.053067245,1.0000049,1.0000081
150,15000,0.053067237,1.0000049,1.0000081
151,15100,0.053067107,1.0000049,1.0000081
152,15200,0.053067256,1.0000049,1.0000079
153,15300,0.053067118,1.0000049,1.0000081
154,15400,0.053067133,1.0000049,1.000008
155,15500,0.053067192,1.0000049,1.0000081
156,15600,0.053067088,1.0000049,1.000008
157,15700,0.053067155,1.0000049,1.0000081
158,15800,0.053067084,1.0000049,1.000008
159,15900,0.053067096,1.0000049,1.0000081
160,16000,0.053067088,1.0000049,1.0000081
161,16100,0.053067096,1.0000049,1.0000081
162,16200,0.053067107,1.0000049,1.000008
163,16300,0.053067047,1.0000049,1.0000081
164,16400,0.05306705,1.0000049,1.0000081
165,16500,0.053067118,1.0000049,1.000008
166,16600,0.053067084,1.0000049,1.000008
167,16700,0.053067032,1.0000049,1.0000081
168,16800,0.05306701,1.0000049,1.0000081
169,16900,0.053067114,1.0000049,1.0000081
170,17000,0.05306706,1.0000049,1.000008
171,17100,0.05306707,1.0000049,1.000008
172,17200,0.053067032,1.0000049,1.000008
173,17300,0.053067077,1.0000049,1.0000081
174,17400,0.053067014,1.0000049,1.000008
175,17500,0.05306702,1.0000049,1.000008
176,17600,0.05306706,1.0000049,1.0000081
177,17700,0.053067096,1.0000049,1.0000081
178,17800,0.053067047,1.0000049,1.000008
179,17900,0.053066954,1.0000049,1.000008
