,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.4675295,94.44854,125.758865
1,100,0.065209724,93.41498,123.9033
2,200,0.056368686,91.820755,121.36532
3,300,0.0548025,89.823715,118.26555
4,400,0.054123502,87.371284,114.52687
5,500,0.053746883,84.40004,110.07704
6,600,0.053519063,80.85403,104.86864
7,700,0.05337266,76.70027,98.88974
8,800,0.053274658,71.94112,92.17376
9,900,0.053207416,66.623955,84.80332
10,1000,0.053160388,60.836357,76.907814
11,1100,0.053126693,54.696724,68.65461
12,1200,0.053101845,48.338585,60.23237
13,1300,0.05308306,41.902214,51.837097
14,1400,0.05306906,35.53675,43.66261
15,1500,0.053059883,29.411774,35.899822
16,1600,0.05305627,23.718254,28.744833
17,1700,0.053058613,18.643208,22.396881
18,1800,0.053066034,14.324271,17.015903
19,1900,0.053076293,10.81713,12.662459
20,2000,0.05308675,8.092904,9.276649
21,2100,0.05309519,6.0529423,6.7257557
22,2200,0.053100426,4.5648537,4.8572955
23,2300,0.05310264,3.496967,3.5285335
24,2400,0.053102884,2.738299,2.612425
25,2500,0.05310233,2.2050338,2.0041595
