,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9587565,3.3129137,2.96361
1,100,0.17792179,3.304236,2.9576468
2,200,0.033378024,3.3000484,2.9550438
3,300,0.006138751,3.3019981,2.9551125
4,400,0.0018265487,3.3115427,2.960561
5,500,0.0007061787,3.3253481,2.969629
6,600,0.00034197845,3.3433425,2.982334
7,700,0.00020306432,3.365277,2.9997792
8,800,0.00013893834,3.3919084,3.020809
9,900,0.00010413711,3.4238386,3.045112
10,1000,7.9484045e-05,3.4617355,3.073335
11,1100,6.404932e-05,3.5058866,3.105651
12,1200,5.5174576e-05,3.555953,3.1422968
13,1300,4.719443e-05,3.6117663,3.1838605
14,1400,4.0912924e-05,3.6730144,3.2315726
15,1500,3.714367e-05,3.7399085,3.2876027
16,1600,3.4192017e-05,3.8118718,3.3501437
17,1700,3.2891374e-05,3.8886232,3.417834
18,1800,2.9867711e-05,3.970163,3.4904275
19,1900,2.9823832e-05,4.0569963,3.5686755
20,2000,2.7889198e-05,4.1531744,3.6522934
21,2100,2.7341677e-05,4.2540274,3.7408311
22,2200,3.226159e-05,4.3593264,3.8346956
23,2300,2.7562455e-05,4.468741,3.932691
24,2400,2.5733003e-05,4.5796404,4.0359325
25,2500,2.3805185e-05,4.691091,4.1457586
26,2600,2.8071254e-05,4.801944,4.266797
27,2700,3.3845896e-05,4.910946,4.3937397
28,2800,2.9201583e-05,5.021165,4.5253353
29,2900,2.360498e-05,5.1308413,4.6617694
30,3000,2.5086432e-05,5.2390785,4.8018003
31,3100,3.3315006e-05,5.345157,4.9432845
32,3200,2.0675892e-05,5.448506,5.094091
33,3300,2.7940287e-05,5.5515532,5.2521143
34,3400,2.4971117e-05,5.6570473,5.4047556
35,3500,1.9799136e-05,5.755916,5.542153
36,3600,2.3643184e-05,5.8448515,5.665689
37,3700,5.5987915e-05,5.9251246,5.7719936
38,3800,2.3395594e-05,5.9947844,5.8607545
39,3900,2.8339224e-05,6.052207,5.931777
40,4000,2.1886306e-05,6.0959153,5.98889
41,4100,2.881385e-05,6.124455,6.024342
42,4200,3.8497248e-05,6.139974,6.041812
43,4300,2.2563894e-05,6.1394496,6.0524225
44,4400,3.0858602e-05,6.123839,6.052466
45,4500,2.1889206e-05,6.096651,6.0390754
46,4600,2.3244715e-05,6.0703645,6.009344
47,4700,2.3928193e-05,6.038042,5.974051
48,4800,3.180694e-05,6.0021586,5.941252
49,4900,2.6722431e-05,5.95589,5.9112206
50,5000,3.418054e-05,5.904495,5.872388
51,5100,2.5851321e-05,5.85774,5.8308907
52,5200,2.7219357e-05,5.804339,5.779876
53,5300,2.6959438e-05,5.748126,5.7386003
54,5400,2.504083e-05,5.6907682,5.700448
55,5500,3.08512e-05,5.639219,5.6736712
56,5600,6.3342995e-05,5.5863867,5.6390457
57,5700,4.5849803e-05,5.5391583,5.6134095
58,5800,4.1105985e-05,5.487156,5.584636
59,5900,3.6297533e-05,5.4418964,5.56278
60,6000,2.6446467e-05,5.400793,5.5410213
61,6100,2.6406922e-05,5.3674803,5.5190234
62,6200,2.7225371e-05,5.3333235,5.4991055
63,6300,2.972906e-05,5.302635,5.4744596
64,6400,3.0021743e-05,5.279375,5.44659
65,6500,3.5228215e-05,5.2558174,5.4235826
66,6600,2.6193566e-05,5.235097,5.4022083
67,6700,8.795325e-05,5.213116,5.381199
68,6800,3.6566926e-05,5.1900587,5.356812
69,6900,3.268743e-05,5.1674213,5.330208
70,7000,2.801306e-05,5.1534233,5.298616
71,7100,3.395683e-05,5.138435,5.2720685
72,7200,2.5283127e-05,5.1203885,5.255119
73,7300,3.5056015e-05,5.104787,5.236247
74,7400,3.0142273e-05,5.0902834,5.219589
75,7500,2.7104554e-05,5.076146,5.2026176
76,7600,2.6662712e-05,5.063007,5.1892385
77,7700,8.4352614e-05,5.0462465,5.1726956
78,7800,5.7816193e-05,5.0305033,5.1590185
79,7900,3.0305619e-05,5.014568,5.1474237
80,8000,3.390233e-05,4.9964275,5.1282854
81,8100,3.1608197e-05,4.980416,5.1038947
82,8200,0.0002279066,4.967025,5.088184
83,8300,2.50569e-05,4.9559336,5.0801597
84,8400,2.68257e-05,4.9424324,5.070576
85,8500,2.5314204e-05,4.929098,5.064571
