,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.5436003,1.9965204,1.9895332,0.0
1,100,1.3433747,1.9975772,1.9875894,0.0
2,200,1.2436285,1.9934518,1.9866111,0.0
3,300,1.1936224,1.9835894,1.9873278,0.0
4,400,1.1564196,1.969571,1.9900607,0.0
5,500,1.1101563,1.9561272,1.9935242,0.0
6,600,1.0463777,1.9505752,1.9969941,0.0
7,700,0.9625096,1.9567363,1.9993418,0.0
8,800,0.86434865,1.9700555,1.9997635,0.0
9,900,0.75668144,1.9813752,1.9982828,0.0
10,1000,0.64775765,1.9874806,1.9964468,0.0
11,1100,0.5451833,1.9900286,1.9965123,0.0
12,1200,0.4561596,1.9903677,1.9974009,0.0
13,1300,0.3867829,1.9873667,1.9956776,0.0
14,1400,0.33750144,1.980467,1.9892601,0.0
15,1500,0.3032702,1.9689999,1.9774176,0.0
16,1600,0.27736664,1.9526849,1.959446,0.0
17,1700,0.2588578,1.9320998,1.9359679,0.0
18,1800,0.2448333,1.9076598,1.9082562,0.0
19,1900,0.23380432,1.879242,1.8776387,0.0
20,2000,0.2259194,1.8471183,1.8455436,0.0
21,2100,0.21983759,1.8109637,1.8137758,0.0
22,2200,0.21448515,1.7713492,1.782455,0.0
23,2300,0.21047553,1.7302374,1.7525648,0.0
24,2400,0.20676301,1.6883881,1.7253808,0.0
25,2500,0.20366406,1.6462831,1.7007796,0.0
26,2600,0.20077315,1.6044717,1.679602,0.0
27,2700,0.19788282,1.5636733,1.6618625,0.0
28,2800,0.19550763,1.5249023,1.647867,0.0
29,2900,0.19267961,1.4887455,1.6391479,0.0
30,3000,0.19048569,1.4544214,1.6351901,0.0
31,3100,0.18796006,1.4219254,1.6427835,0.0
32,3200,0.18593726,1.3930635,1.6608615,0.0
33,3300,0.18424489,1.3677853,1.6821698,0.0
34,3400,0.18251732,1.3467063,1.702033,0.0
35,3500,0.18067935,1.3303704,1.7212596,0.0
36,3600,0.17865065,1.3184253,1.736963,0.0
37,3700,0.17456274,1.3138114,1.7524648,0.0
38,3800,0.17248017,1.3180785,1.7907223,0.0
39,3900,0.17168821,1.3319156,1.8160911,0.0
40,4000,0.17218547,1.3548679,1.8317676,0.0
41,4100,0.17282756,1.3889419,1.8528491,0.0
