,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2166004,48.687298,53.61353,0.0
1,100,0.8556506,48.707443,53.57106,0.0
2,200,0.47006437,48.58969,53.625355,0.0
3,300,0.28906316,48.4416,53.644924,0.0
4,400,0.2303317,48.22228,53.553974,0.0
5,500,0.20763142,47.932575,53.39896,0.0
6,600,0.19666246,47.577038,53.18885,0.0
7,700,0.18968156,47.159992,52.923023,0.0
8,800,0.18318218,46.67763,52.598145,0.0
9,900,0.17839736,46.107178,52.19238,0.0
10,1000,0.17442551,45.443127,51.715557,0.0
11,1100,0.17173702,44.699295,51.148193,0.0
12,1200,0.1696943,43.878147,50.48957,0.0
13,1300,0.1678051,42.95084,49.71147,0.0
14,1400,0.16615236,41.91844,48.8201,0.0
15,1500,0.1639826,40.766453,47.797592,0.0
16,1600,0.15850958,39.529915,46.59375,0.0
17,1700,0.15553655,38.243095,45.22858,0.0
18,1800,0.15410066,36.799973,43.717205,0.0
19,1900,0.1459689,35.290337,42.00364,0.0
20,2000,0.14407995,33.711933,40.16779,0.0
21,2100,0.14304046,31.996582,38.226936,0.0
22,2200,0.14000066,30.182695,36.085884,0.0
23,2300,0.1337704,28.20889,33.289536,0.0
24,2400,0.121027924,26.081833,30.192043,0.0
25,2500,0.10427999,24.185478,27.187843,0.0
26,2600,0.094276026,22.634285,24.461807,0.0
27,2700,0.08936681,20.969612,21.634203,0.0
28,2800,0.08393116,19.523516,19.187864,0.0
29,2900,0.083478056,18.212145,17.174608,0.0
30,3000,0.080846906,16.902136,15.443465,0.0
31,3100,0.08003976,15.688146,14.032682,0.0
32,3200,0.079174384,14.611884,12.85349,0.0
33,3300,0.077984735,13.605669,11.853776,0.0
34,3400,0.075922966,12.657959,10.999754,0.0
35,3500,0.075071044,11.82276,10.286062,0.0
36,3600,0.074832626,11.083254,9.616196,0.0
37,3700,0.07627316,10.425554,9.037689,0.0
38,3800,0.07753828,9.830856,8.527825,0.0
39,3900,0.07861194,9.2918215,8.076032,0.0
40,4000,0.07906247,8.808388,7.6722856,0.0
41,4100,0.07805525,8.358798,7.310221,0.0
42,4200,0.07688429,7.947858,6.9867167,0.0
43,4300,0.0756578,7.5780516,6.6916056,0.0
44,4400,0.074419975,7.237391,6.420453,0.0
45,4500,0.0734652,6.925316,6.1691933,0.0
46,4600,0.072598286,6.6369777,5.93703,0.0
47,4700,0.071792014,6.3628583,5.713104,0.0
48,4800,0.07073804,6.101776,5.509466,0.0
49,4900,0.07009588,5.867642,5.3233204,0.0
50,5000,0.06971455,5.6555705,5.157778,0.0
51,5100,0.069364704,5.453835,4.9935527,0.0
52,5200,0.06443686,5.228538,4.873406,0.0
53,5300,0.06274323,5.034048,4.7445827,0.0
54,5400,0.06225836,4.8719482,4.61952,0.0
55,5500,0.061929956,4.729915,4.501463,0.0
56,5600,0.061640736,4.601559,4.398087,0.0
57,5700,0.060901254,4.487654,4.3057017,0.0
58,5800,0.060106747,4.382969,4.2211246,0.0
59,5900,0.059605796,4.284167,4.14612,0.0
60,6000,0.059128404,4.1935163,4.0765224,0.0
61,6100,0.05888424,4.1116285,4.0135493,0.0
62,6200,0.05870177,4.0376477,3.9559395,0.0
63,6300,0.05853806,3.970919,3.9054189,0.0
64,6400,0.058441028,3.9104645,3.859369,0.0
65,6500,0.058204334,3.857146,3.815449,0.0
66,6600,0.057600696,3.812607,3.775005,0.0
67,6700,0.057449736,3.7659335,3.7445874,0.0
68,6800,0.057406068,3.729946,3.7154534,0.0
69,6900,0.057209212,3.7023203,3.6890297,0.0
70,7000,0.058270708,3.6751363,3.6710997,0.0
71,7100,0.058953796,3.6529899,3.6528087,0.0
72,7200,0.059513766,3.6343584,3.6370199,0.0
73,7300,0.059785366,3.6186788,3.6222453,0.0
74,7400,0.059668355,3.605288,3.6085846,0.0
75,7500,0.059647795,3.5942786,3.5968912,0.0
76,7600,0.05957253,3.5854018,3.5875037,0.0
77,7700,0.05952777,3.5780265,3.5794873,0.0
78,7800,0.059491314,3.5723543,3.572239,0.0
79,7900,0.05943332,3.5676746,3.5671701,0.0
80,8000,0.059476268,3.5643098,3.562162,0.0
81,8100,0.059378847,3.561708,3.556815,0.0
82,8200,0.06044783,3.5575347,3.574007,0.0
83,8300,0.062363163,3.5554798,3.6040986,0.0
84,8400,0.06436534,3.5514827,3.6035542,0.0
85,8500,0.06479851,3.5463977,3.5962973,0.0
86,8600,0.06487263,3.5433917,3.5929432,0.0
87,8700,0.064866394,3.5418139,3.5909357,0.0
88,8800,0.065061755,3.5404415,3.589579,0.0
89,8900,0.06491221,3.539627,3.5889227,0.0
90,9000,0.064935535,3.5391266,3.5889478,0.0
91,9100,0.064950526,3.5388129,3.5887258,0.0
92,9200,0.06497471,3.5385544,3.5890486,0.0
93,9300,0.06487101,3.5385816,3.5883095,0.0
94,9400,0.065078855,3.5399652,3.5912564,0.0
95,9500,0.06524078,3.5409887,3.5883286,0.0
96,9600,0.065250464,3.539892,3.5883563,0.0
97,9700,0.06523035,3.5395393,3.5885897,0.0
98,9800,0.065194495,3.5390635,3.587816,0.0
99,9900,0.06510983,3.5392141,3.588334,0.0
100,10000,0.065018535,3.5394273,3.5883327,0.0
101,10100,0.06502371,3.5393195,3.5884078,0.0
102,10200,0.0650635,3.5393963,3.5884645,0.0
103,10300,0.065000415,3.53956,3.5891905,0.0
