,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2173028,48.68652,53.613724,0.0
1,100,0.9570713,48.701126,53.615448,0.0
2,200,0.660795,48.785637,53.670856,0.0
3,300,0.42898178,48.808395,53.758205,0.0
4,400,0.3011589,48.757847,53.798542,0.0
5,500,0.24069797,48.71571,53.8057,0.0
6,600,0.21383718,48.67233,53.806805,0.0
7,700,0.20088066,48.629467,53.809372,0.0
8,800,0.19087532,48.581615,53.808884,0.0
9,900,0.18506002,48.526817,53.80964,0.0
10,1000,0.1809761,48.469868,53.82142,0.0
11,1100,0.17671488,48.39,53.837074,0.0
12,1200,0.17366803,48.287857,53.8488,0.0
13,1300,0.17087574,48.15245,53.85166,0.0
14,1400,0.16715534,47.984737,53.850327,0.0
15,1500,0.16521114,47.76492,53.842495,0.0
16,1600,0.16369876,47.46639,53.80977,0.0
17,1700,0.16246846,47.050728,53.73368,0.0
18,1800,0.16139339,46.50209,53.6166,0.0
19,1900,0.16058183,45.7366,53.414738,0.0
20,2000,0.1595039,44.735554,53.097603,0.0
21,2100,0.15820207,43.357025,52.574883,0.0
22,2200,0.15704487,41.504196,51.745018,0.0
23,2300,0.15587695,39.002956,50.45501,0.0
24,2400,0.15374969,35.80406,48.581573,0.0
25,2500,0.15138856,31.960087,45.768124,0.0
26,2600,0.14842647,27.667253,41.609886,0.0
27,2700,0.1464474,23.046011,36.48189,0.0
28,2800,0.14491725,18.573822,29.530132,0.0
29,2900,0.13993277,14.496155,22.762995,0.0
30,3000,0.13921684,11.333765,16.859121,0.0
31,3100,0.14220227,8.936801,12.538247,0.0
32,3200,0.14497532,7.4165416,9.792482,0.0
33,3300,0.14206222,6.256422,7.8307886,0.0
34,3400,0.1321093,5.460423,6.4450216,0.0
35,3500,0.11402215,5.1835938,5.615219,0.0
36,3600,0.090123765,4.805513,4.853263,0.0
37,3700,0.080501266,4.4673862,4.5391703,0.0
38,3800,0.08521988,4.239417,4.257165,0.0
39,3900,0.082689434,4.082608,4.086592,0.0
40,4000,0.07769925,3.9623957,3.944083,0.0
41,4100,0.07366928,3.8920784,3.8644526,0.0
42,4200,0.07172355,3.8365352,3.8381174,0.0
43,4300,0.0686388,3.832399,3.8555927,0.0
44,4400,0.060136445,3.8115618,3.8200648,0.0
45,4500,0.06026331,3.7598114,3.7556412,0.0
46,4600,0.061121594,3.7102218,3.7403567,0.0
47,4700,0.06080743,3.6901684,3.7280972,0.0
48,4800,0.06086768,3.6858344,3.7246873,0.0
49,4900,0.060644656,3.691169,3.724856,0.0
50,5000,0.060634706,3.6981003,3.7265477,0.0
51,5100,0.060860626,3.703908,3.7245934,0.0
52,5200,0.05871958,3.6944726,3.68112,0.0
53,5300,0.058018636,3.694696,3.6657963,0.0
54,5400,0.057696123,3.7007625,3.6645288,0.0
55,5500,0.057684712,3.7072592,3.6668262,0.0
56,5600,0.057637926,3.7129574,3.6703851,0.0
57,5700,0.057621054,3.7194827,3.6740665,0.0
58,5800,0.057615984,3.7250123,3.6768694,0.0
59,5900,0.05757383,3.730065,3.6799512,0.0
60,6000,0.057616778,3.735761,3.6836028,0.0
61,6100,0.057761416,3.739101,3.6856139,0.0
62,6200,0.05772873,3.7432353,3.6872737,0.0
63,6300,0.057815615,3.7475722,3.6893187,0.0
64,6400,0.0577428,3.752085,3.6917958,0.0
65,6500,0.057853676,3.7556992,3.6934536,0.0
66,6600,0.057825353,3.7589936,3.6950896,0.0
67,6700,0.05797784,3.7621994,3.6966639,0.0
68,6800,0.057952683,3.765673,3.6985703,0.0
69,6900,0.057870712,3.76917,3.6978433,0.0
70,7000,0.05792328,3.7712498,3.6986494,0.0
71,7100,0.05787956,3.773753,3.700207,0.0
72,7200,0.057834666,3.776513,3.7020726,0.0
73,7300,0.057846654,3.7780926,3.7032697,0.0
74,7400,0.05776287,3.7804832,3.704665,0.0
75,7500,0.0576974,3.781525,3.705738,0.0
76,7600,0.0578794,3.7829447,3.7071006,0.0
77,7700,0.057917602,3.7842977,3.70741,0.0
78,7800,0.05774312,3.7863348,3.7095814,0.0
79,7900,0.057748064,3.786599,3.7102425,0.0
80,8000,0.057778984,3.7883997,3.711421,0.0
81,8100,0.05752192,3.7893195,3.7124548,0.0
82,8200,0.057762183,3.790562,3.713484,0.0
83,8300,0.057436883,3.7918463,3.7110035,0.0
84,8400,0.0567198,3.7884176,3.7154112,0.0
85,8500,0.056707818,3.7885067,3.7153838,0.0
86,8600,0.056526918,3.7892826,3.7158687,0.0
87,8700,0.056699377,3.7897382,3.7163947,0.0
88,8800,0.056497138,3.7907372,3.717642,0.0
89,8900,0.056395505,3.7917008,3.7179585,0.0
90,9000,0.05654532,3.7916908,3.717801,0.0
91,9100,0.056358088,3.791903,3.7186813,0.0
92,9200,0.056216672,3.7925544,3.7196262,0.0
93,9300,0.05650462,3.7936351,3.7189918,0.0
94,9400,0.056528423,3.7923453,3.7187176,0.0
95,9500,0.056218065,3.7936008,3.7201707,0.0
96,9600,0.056541987,3.7940693,3.7206516,0.0
97,9700,0.056376047,3.7942688,3.7212224,0.0
98,9800,0.056320306,3.7952657,3.7220604,0.0
99,9900,0.05642573,3.7954428,3.7220633,0.0
100,10000,0.056351773,3.795881,3.7223835,0.0
101,10100,0.056425467,3.7961254,3.7229426,0.0
102,10200,0.05633447,3.7961533,3.722723,0.0
103,10300,0.056356136,3.7968545,3.7236438,0.0
104,10400,0.05633207,3.7971,3.7240677,0.0
105,10500,0.056459628,3.7973828,3.7245598,0.0
106,10600,0.056319866,3.7982926,3.7245913,0.0
107,10700,0.056266468,3.7985039,3.72526,0.0
108,10800,0.056346726,3.7990983,3.7253017,0.0
109,10900,0.056128573,3.7988234,3.7259405,0.0
110,11000,0.056304764,3.8005755,3.726713,0.0
111,11100,0.05617171,3.7972717,3.724518,0.0
112,11200,0.056295432,3.7975886,3.7253256,0.0
113,11300,0.056194216,3.7980301,3.7252991,0.0
114,11400,0.056309666,3.7983575,3.7263308,0.0
115,11500,0.056218028,3.798843,3.7268083,0.0
116,11600,0.05604325,3.7993684,3.726696,0.0
117,11700,0.056173474,3.79989,3.7275934,0.0
118,11800,0.055976845,3.7994194,3.7273533,0.0
119,11900,0.056121804,3.7999997,3.7279394,0.0
120,12000,0.055983532,3.8002517,3.7280152,0.0
121,12100,0.056004684,3.8002045,3.728894,0.0
122,12200,0.05572333,3.8005178,3.7279875,0.0
123,12300,0.055751923,3.8007472,3.7282672,0.0
124,12400,0.055828758,3.7965446,3.7301738,0.0
125,12500,0.055758215,3.7950497,3.7259653,0.0
126,12600,0.055701345,3.7959323,3.7262003,0.0
127,12700,0.055635955,3.7967684,3.7264931,0.0
128,12800,0.05561194,3.7971082,3.7263696,0.0
129,12900,0.05565146,3.7974973,3.7248588,0.0
130,13000,0.055814065,3.7973948,3.725629,0.0
131,13100,0.055180375,3.796982,3.7224073,0.0
132,13200,0.055242237,3.7974217,3.723739,0.0
133,13300,0.055090856,3.798014,3.7245584,0.0
134,13400,0.055242505,3.7976172,3.7244794,0.0
135,13500,0.05528071,3.7975628,3.7241127,0.0
136,13600,0.055208266,3.7983348,3.7246697,0.0
137,13700,0.05507023,3.7975922,3.7230265,0.0
138,13800,0.055021375,3.797728,3.724048,0.0
139,13900,0.055281177,3.797914,3.7247787,0.0
140,14000,0.055138756,3.7985308,3.7247796,0.0
141,14100,0.055049423,3.7983484,3.7253377,0.0
142,14200,0.05500193,3.7990534,3.7250516,0.0
143,14300,0.05516672,3.7997053,3.7261913,0.0
144,14400,0.055085305,3.7993805,3.725595,0.0
145,14500,0.05521457,3.7979295,3.726974,0.0
146,14600,0.05517044,3.7981489,3.7270806,0.0
147,14700,0.055228636,3.7989683,3.7276995,0.0
148,14800,0.055233825,3.7988744,3.7275882,0.0
149,14900,0.054975603,3.7995167,3.7270982,0.0
150,15000,0.055052016,3.799956,3.7277508,0.0
151,15100,0.055053588,3.80001,3.7277608,0.0
152,15200,0.054990187,3.800353,3.7288675,0.0
153,15300,0.054948993,3.8003771,3.7291625,0.0
154,15400,0.055071905,3.801073,3.7286756,0.0
155,15500,0.054892782,3.8009298,3.7297523,0.0
156,15600,0.055354293,3.8018615,3.7312765,0.0
157,15700,0.05474535,3.8016732,3.730688,0.0
158,15800,0.054722942,3.8023589,3.7305145,0.0
159,15900,0.054988474,3.8020582,3.7313695,0.0
160,16000,0.054785572,3.8018796,3.7299662,0.0
161,16100,0.0550852,3.801956,3.7303092,0.0
162,16200,0.05472904,3.8028681,3.7308419,0.0
163,16300,0.05494014,3.78383,3.739831,0.0
164,16400,0.05491949,3.7848191,3.7357228,0.0
165,16500,0.0549841,3.7876284,3.7370114,0.0
166,16600,0.05483865,3.7889166,3.736815,0.0
167,16700,0.054870572,3.7896254,3.7364035,0.0
168,16800,0.054860327,3.790539,3.7362196,0.0
169,16900,0.054830696,3.7921891,3.7374845,0.0
170,17000,0.05479148,3.7911782,3.7365375,0.0
171,17100,0.054942362,3.7914915,3.7369628,0.0
172,17200,0.0549179,3.7928782,3.7378063,0.0
173,17300,0.054774385,3.792396,3.7376668,0.0
174,17400,0.0546635,3.7930639,3.7381768,0.0
175,17500,0.054892268,3.7937632,3.738976,0.0
176,17600,0.054735113,3.7923577,3.7382803,0.0
177,17700,0.054837413,3.7932944,3.7381308,0.0
178,17800,0.05470541,3.793963,3.7387116,0.0
179,17900,0.054604534,3.7944956,3.739317,0.0
180,18000,0.054742604,3.7934492,3.7383962,0.0
181,18100,0.054587584,3.7941084,3.7405221,0.0
182,18200,0.054494575,3.794373,3.740504,0.0
183,18300,0.05444134,3.7954447,3.7417533,0.0
