,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2174257,48.64387,53.572746,102.21661
1,100,0.98482513,44.2734,49.186485,93.459885
2,200,0.8050279,39.818783,44.36449,84.18327
3,300,0.68265074,35.459927,39.436787,74.89671
4,400,0.5831165,31.360643,34.700657,66.0613
5,500,0.4983029,27.618465,30.339914,57.95838
6,600,0.434658,24.266815,26.427937,50.69475
7,700,0.37877274,21.300177,22.969477,44.269653
8,800,0.33836636,18.694107,19.938782,38.63289
9,900,0.30664712,16.416143,17.300188,33.71633
10,1000,0.28126,14.431758,15.016568,29.448326
11,1100,0.26032296,12.707976,13.051922,25.7599
12,1200,0.2449155,11.2137575,11.369926,22.583683
13,1300,0.23233639,9.920044,9.9353075,19.85535
14,1400,0.22166973,8.800556,8.714832,17.515388
15,1500,0.2120905,7.831713,7.677874,15.509587
16,1600,0.20475833,6.9927497,6.7966495,13.789399
17,1700,0.197203,6.265274,6.0469995,12.312273
18,1800,0.19067176,5.633583,5.4077287,11.041311
19,1900,0.18592498,5.0840244,4.8609133,9.944938
20,2000,0.18200849,4.605048,4.391584,8.996632
21,2100,0.1792959,4.1865025,3.9872115,8.173714
22,2200,0.17672329,3.820148,3.6372201,7.457368
23,2300,0.17390761,3.498563,3.3331714,6.8317347
24,2400,0.17058061,3.2157707,3.0678754,6.283646
25,2500,0.1681477,2.9665685,2.8355143,5.802083
26,2600,0.1647421,2.746361,2.6311157,5.3774767
27,2700,0.15815364,2.5519063,2.4510806,5.002987
28,2800,0.1525628,2.3787851,2.2917655,4.6705503
29,2900,0.14890324,2.2248392,2.1498652,4.3747044
30,3000,0.14752021,2.087581,2.0230904,4.110671
31,3100,0.14843127,1.9650936,1.9097278,3.8748214
32,3200,0.1486684,1.8558885,1.8083663,3.6642547
33,3300,0.14938559,1.757861,1.7171557,3.4750166
34,3400,0.15089977,1.6699677,1.6351312,3.305099
35,3500,0.1512241,1.5912664,1.5614827,3.152749
36,3600,0.15025415,1.520629,1.4950606,3.0156896
37,3700,0.14868227,1.4573163,1.4352647,2.892581
38,3800,0.14607324,1.400405,1.381438,2.7818432
39,3900,0.145687,1.3493992,1.3330185,2.6824179
40,4000,0.14332777,1.3038406,1.2895932,2.5934339
41,4100,0.14135373,1.2630514,1.2506435,2.5136948
42,4200,0.14035328,1.2267867,1.215863,2.4426498
43,4300,0.1323297,1.1954266,1.1854037,2.3808303
44,4400,0.12449016,1.1674904,1.1585796,2.3260698
45,4500,0.12170251,1.1423687,1.1342964,2.2766652
46,4600,0.12064356,1.1203996,1.1129351,2.2333345
47,4700,0.11948902,1.101261,1.0943878,2.1956487
48,4800,0.11894905,1.0847526,1.0783767,2.1631293
49,4900,0.11654043,1.0707245,1.0646645,2.1353889
50,5000,0.1149584,1.0587604,1.0531262,2.1118865
51,5100,0.113653064,1.0487324,1.043435,2.0921674
52,5200,0.11290993,1.0404342,1.0355371,2.0759714
53,5300,0.112596296,1.0336428,1.0290574,2.0627003
54,5400,0.11273934,1.0281507,1.02391,2.0520606
55,5500,0.112659946,1.0237607,1.0198544,2.043615
56,5600,0.112351865,1.0203034,1.0167228,2.0370262
57,5700,0.11239718,1.0176295,1.0143378,2.0319672
