,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2174202,48.64403,53.57308,102.21711
1,100,0.98654324,44.28157,49.212036,93.49361
2,200,0.8076977,39.81995,44.3916,84.21155
3,300,0.6877231,35.433147,39.420128,74.85327
4,400,0.5903877,31.276777,34.589214,65.86599
5,500,0.50553554,27.451984,30.086264,57.538246
6,600,0.43895254,24.001225,25.995317,49.996544
7,700,0.38656983,20.927797,22.338476,43.266273
8,800,0.3450942,18.212982,19.105417,37.318398
9,900,0.3113373,15.829431,16.275076,32.104507
10,1000,0.2863949,13.7487,13.824418,27.573118
11,1100,0.26745772,11.943443,11.728043,23.671486
12,1200,0.25266853,10.385211,9.955534,20.340744
13,1300,0.24067263,9.044971,8.471143,17.516113
14,1400,0.22888461,7.8951235,7.236405,15.131529
15,1500,0.21884333,6.9094005,6.213591,13.122992
16,1600,0.21070883,6.0651774,5.3671117,11.432289
17,1700,0.20464502,5.3422346,4.666279,10.008513
18,1800,0.19911441,4.7232943,4.084511,8.807805
19,1900,0.19384979,4.1934304,3.5998175,7.793248
20,2000,0.18957283,3.7393808,3.1941578,6.9335384
21,2100,0.18318942,3.3499248,2.8529952,6.20292
22,2200,0.17876777,3.0154023,2.5649574,5.5803595
23,2300,0.17659514,2.7276,2.3208072,5.0484076
24,2400,0.17354603,2.4796538,2.113236,4.59289
25,2500,0.17079093,2.2657845,1.9359984,4.201783
26,2600,0.16919431,2.0809155,1.7845234,3.865439
27,2700,0.16797324,1.9208244,1.6546617,3.5754862
28,2800,0.1663368,1.7822623,1.5434414,3.3257036
29,2900,0.16558824,1.6623858,1.4485193,3.1109052
30,3000,0.1649325,1.5585955,1.3683145,2.92691
31,3100,0.16077434,1.4688472,1.2996156,2.7684627
32,3200,0.15606296,1.3912526,1.2415679,2.6328206
33,3300,0.15281639,1.3244967,1.1928734,2.5173702
34,3400,0.15002534,1.2672827,1.1525784,2.419861
35,3500,0.14461361,1.2188841,1.1197766,2.3386607
36,3600,0.1402617,1.177723,1.0934771,2.2712002
37,3700,0.13649341,1.1437441,1.0730033,2.2167473
38,3800,0.13462436,1.1155049,1.057462,2.172967
39,3900,0.13324326,1.0926713,1.0459801,2.1386514
40,4000,0.13140307,1.0745255,1.0376974,2.112223
41,4100,0.13052934,1.0604684,1.0318512,2.0923195
42,4200,0.12890252,1.0500436,1.0278922,2.0779357
43,4300,0.12772572,1.0421765,1.0251986,2.0673752
44,4400,0.12664907,1.0364852,1.0233717,2.059857
45,4500,0.12566179,1.0324188,1.0220791,2.054498
46,4600,0.12463971,1.0294889,1.0210953,2.0505843
47,4700,0.12425911,1.0273682,1.0204188,2.047787
48,4800,0.124137975,1.0258574,1.0199485,2.045806
49,4900,0.12386731,1.0248009,1.0195689,2.0443697
50,5000,0.12381334,1.0240574,1.0194341,2.0434914
51,5100,0.12329495,1.023495,1.0194488,2.0429437
52,5200,0.12322974,1.023189,1.0195645,2.0427535
53,5300,0.12322845,1.0230452,1.0196834,2.0427284
54,5400,0.12308793,1.022966,1.0196363,2.0426023
55,5500,0.12275536,1.0229447,1.0196065,2.042551
56,5600,0.12274151,1.0231674,1.01984,2.0430074
57,5700,0.122854434,1.0234389,1.0200934,2.0435324
58,5800,0.122384444,1.0237628,1.0203793,2.0441422
59,5900,0.122909755,1.0241233,1.0206124,2.0447357
60,6000,0.12255821,1.0244619,1.0208718,2.0453336
61,6100,0.123106845,1.0248685,1.0211147,2.0459833
62,6200,0.123435125,1.0252451,1.0212247,2.0464697
63,6300,0.12345144,1.0255853,1.021312,2.0468974
64,6400,0.12348918,1.0259563,1.0213773,2.0473337
65,6500,0.12410802,1.0262527,1.0213408,2.0475936
66,6600,0.12384769,1.0264904,1.0213575,2.047848
67,6700,0.124208145,1.0266776,1.0211575,2.047835
68,6800,0.1235545,1.0268288,1.0211047,2.0479336
69,6900,0.12454463,1.026865,1.0208174,2.0476823
70,7000,0.124323756,1.026784,1.020628,2.047412
71,7100,0.12592436,1.0265737,1.0199629,2.0465364
72,7200,0.12562504,1.0264598,1.0194215,2.0458813
73,7300,0.12582392,1.0263005,1.0187898,2.0450902
74,7400,0.12574404,1.0260222,1.0181775,2.0441997
75,7500,0.12603572,1.0258971,1.0171969,2.0430942
76,7600,0.1255712,1.0256165,1.0161299,2.0417464
77,7700,0.12869066,1.0252154,1.015056,2.0402713
78,7800,0.12760042,1.0251127,1.0142957,2.0394084
79,7900,0.12775236,1.0248982,1.0123247,2.0372229
80,8000,0.1291863,1.0247419,1.0109826,2.0357246
81,8100,0.12812178,1.0241629,1.0102412,2.034404
82,8200,0.12808235,1.0236962,1.0097631,2.0334592
83,8300,0.12716319,1.0231109,1.0094174,2.0325284
84,8400,0.128782,1.022321,1.0091417,2.0314627
85,8500,0.127321,1.0217825,1.0088027,2.0305853
86,8600,0.12894629,1.0211271,1.0085541,2.0296812
87,8700,0.12917848,1.0204933,1.0081785,2.0286717
88,8800,0.12507965,1.0200688,1.0070883,2.027157
89,8900,0.12514691,1.0192562,1.006394,2.0256503
90,9000,0.12565668,1.018648,1.0063112,2.024959
91,9100,0.12839259,1.0182204,1.0068525,2.025073
92,9200,0.13234578,1.0177635,1.006353,2.0241165
93,9300,0.13158125,1.016904,1.0063573,2.0232613
94,9400,0.13212742,1.0162766,1.0062461,2.0225227
95,9500,0.13420063,1.0156821,1.0062137,2.021896
96,9600,0.13420114,1.0150876,1.0061146,2.021202
97,9700,0.13526706,1.0146501,1.0059699,2.0206199
98,9800,0.13381182,1.014317,1.0060176,2.0203347
99,9900,0.13355291,1.0139649,1.005927,2.0198917
100,10000,0.13360752,1.0136662,1.0059162,2.0195823
101,10100,0.1331585,1.0134052,1.0059131,2.0193183
102,10200,0.133877,1.0129896,1.005798,2.0187876
103,10300,0.13456514,1.0127134,1.0057482,2.0184617
104,10400,0.13438024,1.0125808,1.0057818,2.0183625
105,10500,0.13481435,1.0125394,1.0059121,2.0184515
106,10600,0.13468538,1.0123744,1.0058978,2.0182722
107,10700,0.1355118,1.0122446,1.0059233,2.018168
108,10800,0.13535796,1.0120465,1.0062163,2.0182629
109,10900,0.14443481,1.0127468,1.0069416,2.0196884
110,11000,0.13284433,1.0127225,1.0082743,2.0209968
111,11100,0.13478144,1.0125275,1.008281,2.0208085
112,11200,0.13565956,1.0123833,1.0082581,2.0206413
113,11300,0.13686836,1.0122023,1.0082722,2.0204744
114,11400,0.13865346,1.012146,1.0081284,2.0202744
115,11500,0.13830666,1.012058,1.0080503,2.0201082
116,11600,0.13802451,1.0119343,1.0079995,2.0199337
117,11700,0.1393747,1.0119045,1.0079548,2.0198593
118,11800,0.1384651,1.011946,1.0078231,2.0197692
119,11900,0.13960996,1.0118057,1.0078646,2.0196702
120,12000,0.13734011,1.0116874,1.0077764,2.0194638
121,12100,0.13789818,1.0115869,1.0078006,2.0193875
122,12200,0.1388903,1.0115986,1.0077333,2.019332
123,12300,0.13901931,1.0115267,1.0076817,2.0192084
124,12400,0.13639188,1.0113655,1.0076449,2.0190105
125,12500,0.13769239,1.0114311,1.0075897,2.0190208
126,12600,0.13759394,1.0113544,1.007595,2.0189495
127,12700,0.13786061,1.0112422,1.007592,2.018834
128,12800,0.13880777,1.0111989,1.0075216,2.0187206
129,12900,0.13850011,1.0111544,1.007532,2.0186863
130,13000,0.13981682,1.0112073,1.0075086,2.0187159
131,13100,0.13868394,1.0111358,1.0074911,2.018627
132,13200,0.13862497,1.010996,1.0074489,2.018445
133,13300,0.13847087,1.011024,1.0074837,2.0185077
134,13400,0.13778393,1.0109328,1.0074468,2.0183797
135,13500,0.13763501,1.0109302,1.0074437,2.018374
136,13600,0.1363207,1.0108123,1.0073682,2.0181804
137,13700,0.13641797,1.010764,1.0073249,2.0180888
138,13800,0.13691677,1.0106376,1.0073476,2.0179853
139,13900,0.13673791,1.0106549,1.0073549,2.0180097
140,14000,0.13631415,1.0105648,1.0072591,2.017824
141,14100,0.13773105,1.0106097,1.0072279,2.0178375
142,14200,0.13578556,1.0105112,1.0073218,2.017833
143,14300,0.13779595,1.0105176,1.00727,2.0177875
144,14400,0.1363006,1.0104084,1.0072715,2.01768
145,14500,0.1359703,1.0102994,1.0071458,2.017445
146,14600,0.13589524,1.0103418,1.0072342,2.017576
147,14700,0.13681084,1.010249,1.0071385,2.0173874
148,14800,0.13520434,1.0101923,1.0071818,2.017374
149,14900,0.13579425,1.0101639,1.0071256,2.0172896
150,15000,0.1349205,1.010051,1.0070808,2.0171318
151,15100,0.13445333,1.0100719,1.0070815,2.0171533
152,15200,0.13653088,1.0100006,1.0070947,2.0170953
153,15300,0.13668872,1.0100396,1.0070928,2.0171323
154,15400,0.1379114,1.0100675,1.0070317,2.0170991
155,15500,0.13661434,1.009925,1.0070578,2.0169828
156,15600,0.13633855,1.0099506,1.0070183,2.016969
157,15700,0.13524327,1.0099027,1.0070398,2.0169425
158,15800,0.13522804,1.0098509,1.0069424,2.0167933
159,15900,0.13501602,1.009761,1.0069987,2.0167596
160,16000,0.13553391,1.0097557,1.0070496,2.0168052
161,16100,0.13585572,1.0096792,1.0069604,2.0166397
162,16200,0.13654481,1.0097097,1.0068992,2.016609
163,16300,0.1364053,1.0097412,1.0068902,2.0166314
164,16400,0.13770935,1.0096594,1.0068998,2.0165591
165,16500,0.13633093,1.009584,1.0068735,2.0164576
166,16600,0.1357527,1.0094763,1.0068214,2.0162978
167,16700,0.13681154,1.0095752,1.0068457,2.0164208
168,16800,0.13611884,1.00948,1.0068626,2.0163426
169,16900,0.13448486,1.0094283,1.0068954,2.0163236
170,17000,0.1346252,1.0094377,1.0067781,2.0162158
171,17100,0.13434754,1.009374,1.0068814,2.0162554
172,17200,0.13467212,1.0093524,1.0067922,2.0161448
173,17300,0.13576885,1.0094038,1.0068382,2.016242
174,17400,0.13494194,1.0093427,1.0067939,2.0161366
175,17500,0.13565283,1.0092969,1.0067369,2.0160336
176,17600,0.13649033,1.0092815,1.0066928,2.0159743
177,17700,0.13549678,1.0092028,1.0067023,2.0159051
178,17800,0.13524733,1.0091876,1.0067332,2.0159206
179,17900,0.13508503,1.0092087,1.006755,2.0159636
180,18000,0.13501686,1.0091918,1.0066855,2.0158772
181,18100,0.13504618,1.0091966,1.0067405,2.015937
182,18200,0.13438648,1.0090996,1.0066814,2.015781
183,18300,0.13464971,1.009162,1.0065967,2.0157585
184,18400,0.13564554,1.0090764,1.0065725,2.0156488
185,18500,0.13389508,1.009022,1.006618,2.01564
186,18600,0.13636532,1.009073,1.0066724,2.0157454
187,18700,0.13400187,1.0089263,1.0067046,2.0156307
188,18800,0.13393351,1.0089754,1.0066622,2.0156376
189,18900,0.13472174,1.0089562,1.0066168,2.015573
190,19000,0.13291056,1.0089144,1.0066044,2.0155187
191,19100,0.131525,1.0088598,1.006613,2.015473
192,19200,0.13400228,1.0089123,1.0066307,2.015543
193,19300,0.13303028,1.0088273,1.006644,2.0154715
194,19400,0.13275334,1.008767,1.0064921,2.0152593
195,19500,0.13156937,1.0087242,1.0065775,2.0153017
196,19600,0.13371785,1.0087878,1.0065179,2.0153055
197,19700,0.13125819,1.0087416,1.0065274,2.015269
198,19800,0.13402934,1.0087552,1.0066248,2.01538
199,19900,0.13325585,1.0086856,1.0065596,2.0152452
200,20000,0.13462529,1.008754,1.0065062,2.0152602
201,20100,0.13328359,1.0086863,1.0064943,2.0151806
202,20200,0.13236193,1.0086877,1.0065178,2.0152054
203,20300,0.13509904,1.0086086,1.0066229,2.0152316
204,20400,0.13348478,1.0086709,1.0064919,2.015163
205,20500,0.13205598,1.0086298,1.0064715,2.0151014
206,20600,0.13369009,1.0085956,1.0064325,2.015028
207,20700,0.13517796,1.0085882,1.0064435,2.0150318
208,20800,0.1348817,1.0086447,1.0065056,2.0151503
209,20900,0.13225918,1.0085061,1.0063919,2.0148978
210,21000,0.13280378,1.0085046,1.0064712,2.0149758
211,21100,0.13390465,1.0085579,1.006397,2.014955
212,21200,0.13522144,1.0086193,1.0063928,2.0150123
213,21300,0.13437435,1.0085092,1.0064124,2.0149217
214,21400,0.13333638,1.0084553,1.0064182,2.0148735
215,21500,0.13380566,1.0084602,1.0064317,2.0148919
216,21600,0.13360219,1.0084573,1.0063877,2.014845
217,21700,0.13447325,1.0085354,1.0064393,2.0149746
218,21800,0.13391306,1.0084409,1.0063846,2.0148253
219,21900,0.13406709,1.0083659,1.0064135,2.0147793
220,22000,0.13264306,1.0083537,1.0063915,2.0147452
221,22100,0.13465047,1.0083818,1.0063834,2.0147653
222,22200,0.13590012,1.0083706,1.0063863,2.014757
223,22300,0.1342817,1.0083778,1.0064061,2.0147839
224,22400,0.13521184,1.0083725,1.0063648,2.0147374
225,22500,0.13474165,1.0083649,1.0063205,2.0146854
226,22600,0.13206208,1.0082753,1.0063219,2.0145972
227,22700,0.133036,1.0082656,1.0063642,2.0146298
228,22800,0.13328077,1.0083474,1.0062747,2.0146222
229,22900,0.13243587,1.0082657,1.0062436,2.0145092
230,23000,0.13514176,1.0083617,1.0063637,2.0147254
231,23100,0.13252565,1.0082027,1.006241,2.0144436
232,23200,0.13277133,1.0081993,1.0063192,2.0145185
233,23300,0.13181376,1.0082732,1.0063089,2.0145822
234,23400,0.13242435,1.0082583,1.0063236,2.014582
235,23500,0.13291089,1.0082197,1.006358,2.0145779
236,23600,0.1324755,1.0081742,1.0063813,2.0145555
237,23700,0.13405009,1.0082432,1.006264,2.0145073
238,23800,0.13277116,1.0082037,1.0062497,2.0144534
239,23900,0.13245155,1.0081642,1.0062734,2.0144377
240,24000,0.13488983,1.0081478,1.0062909,2.0144386
241,24100,0.13461812,1.00819,1.0062577,2.0144477
242,24200,0.13226433,1.0081915,1.0062176,2.014409
243,24300,0.13341118,1.0081717,1.0061924,2.0143642
244,24400,0.13107218,1.008045,1.006325,2.01437
245,24500,0.13499108,1.0081689,1.0062909,2.0144598
246,24600,0.13244869,1.0081041,1.0062364,2.0143404
247,24700,0.13344887,1.0081601,1.0062895,2.0144496
248,24800,0.1336588,1.0081401,1.0061694,2.0143094
249,24900,0.13275707,1.0080807,1.006263,2.0143437
250,25000,0.13276401,1.0080483,1.0062753,2.0143237
251,25100,0.13283582,1.0080645,1.0063105,2.014375
252,25200,0.13216373,1.0080144,1.0062437,2.0142581
253,25300,0.13339177,1.0081064,1.0062262,2.0143325
254,25400,0.13521886,1.0081573,1.006305,2.0144622
255,25500,0.1320141,1.0080601,1.0063242,2.0143843
256,25600,0.13215728,1.0080329,1.0062474,2.0142803
257,25700,0.13287152,1.0080166,1.0062513,2.014268
258,25800,0.13516046,1.008044,1.006292,2.014336
259,25900,0.13452369,1.008108,1.0062143,2.0143223
260,26000,0.13195854,1.0080659,1.00622,2.014286
261,26100,0.13515602,1.0080707,1.0061604,2.0142312
262,26200,0.13318011,1.0080445,1.0062294,2.014274
263,26300,0.13517162,1.0080765,1.0061764,2.014253
264,26400,0.13170978,1.0079911,1.0062796,2.0142708
265,26500,0.13269165,1.0080243,1.0061586,2.014183
266,26600,0.13108723,1.0079869,1.0061842,2.0141711
267,26700,0.13326141,1.007986,1.0061895,2.0141754
268,26800,0.13293152,1.0079889,1.0062048,2.0141938
269,26900,0.13352795,1.0079218,1.0061989,2.0141206
270,27000,0.13336377,1.007947,1.0062063,2.0141532
271,27100,0.13341282,1.0079542,1.0061656,2.0141199
272,27200,0.13437444,1.0080036,1.0061989,2.0142026
273,27300,0.1346781,1.0080098,1.006207,2.014217
274,27400,0.13397893,1.0080005,1.006155,2.0141554
275,27500,0.13430718,1.0080208,1.0061136,2.0141344
276,27600,0.1333536,1.0080003,1.0061606,2.0141609
277,27700,0.13365126,1.0079378,1.0061703,2.0141082
278,27800,0.13337012,1.0079452,1.006184,2.0141292
279,27900,0.13334078,1.0079402,1.006224,2.0141642
280,28000,0.13495919,1.0080028,1.0061214,2.0141242
281,28100,0.13288519,1.0079448,1.0062383,2.014183
282,28200,0.13275798,1.0078754,1.0061477,2.0140233
283,28300,0.13383268,1.0079596,1.006173,2.0141325
284,28400,0.13433403,1.0079676,1.0062048,2.0141726
285,28500,0.13331403,1.0079148,1.006229,2.014144
286,28600,0.13396852,1.007923,1.0062437,2.0141668
287,28700,0.13307378,1.0079554,1.0061624,2.0141177
288,28800,0.13442695,1.0078713,1.0062032,2.0140743
289,28900,0.13473222,1.007978,1.0061954,2.0141735
290,29000,0.13327703,1.0078857,1.0062006,2.0140862
291,29100,0.13428423,1.0078707,1.0061882,2.0140588
292,29200,0.1340828,1.0078921,1.0061721,2.0140643
293,29300,0.13344021,1.0078728,1.0061328,2.0140057
294,29400,0.13347453,1.0078917,1.006126,2.0140176
295,29500,0.13317616,1.0078795,1.0061412,2.0140207
296,29600,0.13262318,1.0078629,1.0061834,2.0140462
297,29700,0.13286729,1.0078983,1.006202,2.0141003
298,29800,0.13429987,1.0079161,1.0061535,2.0140696
299,29900,0.13433275,1.0078806,1.006128,2.0140085
