,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2173067,48.679882,53.60934,2.0457845
1,100,0.95772916,47.88639,53.07479,2.0192237
2,200,0.66245526,46.893505,52.393185,1.9857337
3,300,0.4298316,45.60152,51.508877,1.9422079
4,400,0.3029432,43.924995,50.265,1.8837999
5,500,0.24384375,41.87629,48.584442,1.8092146
6,600,0.2156797,39.457695,46.42832,1.7177203
7,700,0.20080465,36.686047,43.758442,1.6088897
8,800,0.18874092,33.601612,40.6079,1.4841902
9,900,0.18152037,30.272009,37.01861,1.3458123
10,1000,0.17712162,26.741566,33.070637,1.196244
11,1100,0.17466785,23.046713,28.825205,1.0374383
12,1200,0.17278804,19.228998,24.351618,0.8716123
13,1300,0.17096885,15.426581,19.801277,0.7045572
14,1400,0.16972812,11.902645,15.487492,0.54780275
15,1500,0.16844216,8.943905,11.747016,0.41381842
16,1600,0.16661811,6.665047,8.752202,0.308345
17,1700,0.16462699,4.9969006,6.483499,0.229608
18,1800,0.16424286,3.811462,4.8206916,0.17264307
19,1900,0.16376384,2.975811,3.6234171,0.13198456
20,2000,0.16343062,2.3904188,2.7749407,0.10330719
21,2100,0.16293025,1.990302,2.1860917,0.08352787
22,2200,0.16233328,1.7331165,1.7968036,0.0705984
23,2300,0.16143355,1.5892564,1.5654441,0.06309401
24,2400,0.16079007,1.5278819,1.4625235,0.059808105
25,2500,0.16026145,1.5039468,1.4419993,0.058918923
26,2600,0.15983438,1.4687926,1.4440751,0.05825735
27,2700,0.15854995,1.3875502,1.4485493,0.056721993
28,2800,0.15800136,1.264779,1.4443431,0.054182444
29,2900,0.15797272,1.1594466,1.4336265,0.05186146
30,3000,0.1575865,1.1056023,1.4324064,0.050760172
31,3100,0.15642759,1.1037071,1.4253188,0.05058052
32,3200,0.1553472,1.1126221,1.4037131,0.050326705
33,3300,0.15234166,1.1239216,1.3791938,0.050062306
34,3400,0.15047055,1.1353395,1.3475163,0.049657114
35,3500,0.14870536,1.1453943,1.3165135,0.049238157
36,3600,0.14795339,1.1459047,1.3001362,0.048920818
37,3700,0.14663197,1.1473444,1.2890965,0.048728816
38,3800,0.14548105,1.1464438,1.2537425,0.048003726
39,3900,0.14341795,1.1435248,1.238447,0.047639437
40,4000,0.12596138,1.2775443,1.2350439,0.05025176
41,4100,0.124007374,1.417441,1.2347075,0.053042967
42,4200,0.12270573,1.409734,1.1870031,0.05193474
43,4300,0.124465466,1.4313918,1.1960438,0.052548714
44,4400,0.11980941,1.4357903,1.2014772,0.05274535
45,4500,0.119876474,1.4365438,1.2018176,0.05276723
46,4600,0.116664015,1.4349332,1.2095722,0.052890107
47,4700,0.11529388,1.4348406,1.2138746,0.0529743
48,4800,0.11446551,1.4322114,1.2175409,0.05299504
49,4900,0.11065859,1.4287105,1.2189796,0.0529538
50,5000,0.10617549,1.4260272,1.2213897,0.052948337
51,5100,0.101426475,1.4197968,1.2225636,0.052847207
52,5200,0.09902218,1.4117785,1.2231141,0.05269785
53,5300,0.096599214,1.4032074,1.2230347,0.052524842
54,5400,0.09544515,1.3961163,1.223565,0.052393626
55,5500,0.09410918,1.3906626,1.2249349,0.05231195
56,5600,0.09064318,1.3817124,1.238708,0.05240841
57,5700,0.09396267,1.351914,1.2286646,0.051611576
58,5800,0.09418543,1.3434013,1.2269404,0.05140683
59,5900,0.09490045,1.3370912,1.2264172,0.05127017
60,6000,0.09500582,1.3324234,1.2257957,0.05116438
61,6100,0.08606203,1.3381945,1.2328833,0.051421557
62,6200,0.084959,1.3369427,1.2301444,0.051341742
63,6300,0.08374466,1.3331922,1.2296028,0.0512559
64,6400,0.08262926,1.3302006,1.2279532,0.05116307
65,6500,0.08164892,1.3264662,1.2267873,0.051065072
66,6600,0.08133504,1.3229375,1.2256764,0.05097228
67,6700,0.08043363,1.3194408,1.2244648,0.050878115
68,6800,0.07987096,1.3156321,1.222416,0.050760966
69,6900,0.07903997,1.312257,1.2210746,0.05066663
70,7000,0.07914849,1.3090855,1.2215545,0.0506128
71,7100,0.07886429,1.3060219,1.2195865,0.05051217
72,7200,0.07815287,1.3023541,1.2188779,0.050424643
73,7300,0.07773339,1.2994034,1.2165378,0.050318822
74,7400,0.07710567,1.2970735,1.2154983,0.050251435
75,7500,0.076304525,1.2939447,1.2144104,0.050167102
76,7600,0.07584751,1.2911261,1.2127519,0.05007756
77,7700,0.07554716,1.2881122,1.21187,0.049999643
78,7800,0.07487793,1.28535,1.2108227,0.049923453
79,7900,0.06783801,1.2809541,1.2041917,0.049702916
80,8000,0.05659854,1.2610306,1.1774358,0.048769325
81,8100,0.049601983,1.2110173,1.1440319,0.04710098
82,8200,0.048678253,1.1958852,1.1418893,0.04675549
83,8300,0.048904713,1.1935778,1.1420473,0.046712503
84,8400,0.04873798,1.1942341,1.1436507,0.046757698
85,8500,0.04877749,1.1947364,1.144676,0.04678824
86,8600,0.04944649,1.1935039,1.1443218,0.046756513
87,8700,0.048875496,1.1925212,1.1456512,0.046763446
88,8800,0.048877228,1.1923876,1.1461713,0.046771176
89,8900,0.049196303,1.1921182,1.1462094,0.046766546
90,9000,0.04863941,1.1902415,1.1466535,0.0467379
91,9100,0.04884371,1.189768,1.146822,0.046731796
92,9200,0.048889734,1.1893919,1.1463782,0.0467154
93,9300,0.048824403,1.1887349,1.1462935,0.046700567
94,9400,0.04907003,1.188103,1.1461271,0.046684597
95,9500,0.048662834,1.1875478,1.1458911,0.046668775
96,9600,0.04899568,1.1863369,1.1453592,0.046633918
97,9700,0.049093157,1.1857766,1.1448969,0.04661347
98,9800,0.049001765,1.184853,1.1442697,0.04658245
99,9900,0.048415907,1.1842786,1.1436076,0.04655772
100,10000,0.04903406,1.1833495,1.1429713,0.046526413
101,10100,0.048587754,1.1823432,1.1423202,0.046493266
102,10200,0.048971716,1.1815699,1.1417493,0.046466384
103,10300,0.048536073,1.1803967,1.1411626,0.046431188
104,10400,0.04894914,1.1796678,1.1407539,0.046408433
105,10500,0.048911266,1.1783484,1.1402664,0.0463723
106,10600,0.04866885,1.1781545,1.139701,0.046357106
107,10700,0.048739165,1.1773123,1.1394064,0.04633437
108,10800,0.048821513,1.1766634,1.1384557,0.046302386
109,10900,0.048585758,1.1759027,1.1378444,0.04627494
110,11000,0.04829417,1.1750519,1.1376191,0.046253424
111,11100,0.04916147,1.1739215,1.1370596,0.04621962
112,11200,0.04837809,1.1731961,1.1363108,0.046190135
113,11300,0.048892256,1.1724527,1.1365947,0.046180945
114,11400,0.04807548,1.1716044,1.1356853,0.04614579
