,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2166061,48.678604,53.606823,0.20457087
1,100,0.8567147,47.810974,52.883945,0.20138983
2,200,0.47227877,46.710247,52.12078,0.19766206
3,300,0.2904723,45.34492,51.100304,0.19289045
4,400,0.23087686,43.754116,49.711586,0.1869314
5,500,0.20754921,41.938107,47.989494,0.1798552
6,600,0.19610392,39.928814,45.958565,0.17177476
7,700,0.18946049,37.757515,43.613075,0.16274118
8,800,0.18524112,35.453915,40.98912,0.15288608
9,900,0.1813571,33.055237,38.115097,0.14234067
10,1000,0.17763844,30.608822,35.054688,0.13132703
11,1100,0.17324306,28.181686,31.905535,0.120174445
12,1200,0.1694199,25.742159,28.72737,0.10893906
13,1300,0.16697142,23.359062,25.592676,0.097903475
14,1400,0.16485251,21.044344,22.55672,0.08720214
15,1500,0.16310015,18.835796,19.668674,0.07700895
16,1600,0.16147311,16.755926,16.94923,0.06741031
17,1700,0.16018642,14.827221,14.402321,0.058459084
18,1800,0.15863088,13.062808,12.098556,0.05032273
19,1900,0.15814812,11.481974,10.080697,0.043125346
20,2000,0.15461484,10.092519,8.402857,0.036990754
21,2100,0.15326127,8.910366,7.093561,0.032007854
22,2200,0.1468574,7.9106855,6.1132255,0.028047822
23,2300,0.14127196,7.0974894,5.3596635,0.024914308
24,2400,0.1367141,6.3888063,4.793682,0.022364978
25,2500,0.13176674,5.794217,4.3808002,0.020350035
26,2600,0.12844098,5.315275,4.0809107,0.018792372
27,2700,0.1265543,4.922863,3.8456557,0.017537037
28,2800,0.12173597,4.6477003,3.701323,0.016698048
29,2900,0.1149009,4.4515343,3.6481931,0.016199457
30,3000,0.08482965,4.2940683,3.7193856,0.01602691
31,3100,0.06157487,4.1617246,3.7074249,0.0157383
32,3200,0.052060336,4.0069504,3.6443644,0.01530263
33,3300,0.05478924,3.810753,3.5687118,0.014758931
34,3400,0.05769037,3.6358914,3.4743953,0.014220574
35,3500,0.057496354,3.4724824,3.380808,0.013706582
36,3600,0.056672618,3.323245,3.2968597,0.01324021
37,3700,0.05475322,3.1924837,3.225192,0.012835353
38,3800,0.05382049,3.07308,3.1407783,0.012427717
39,3900,0.053942367,2.9586253,3.057785,0.012032821
40,4000,0.051629867,2.8535721,2.9752457,0.011657637
41,4100,0.048730057,2.7597585,2.8954864,0.01131049
42,4200,0.04690039,2.6720564,2.8161583,0.010976429
43,4300,0.048826404,2.6017776,2.7724037,0.010748363
44,4400,0.041462377,2.569065,2.7836604,0.0107054515
45,4500,0.040275756,2.5056498,2.7239292,0.010459159
46,4600,0.039368175,2.4382348,2.65542,0.01018731
47,4700,0.038123704,2.3760011,2.5800893,0.009912182
48,4800,0.036702465,2.321263,2.501926,0.009646378
49,4900,0.035204735,2.2691371,2.4247928,0.00938786
50,5000,0.033411358,2.221047,2.3380303,0.009118155
51,5100,0.030733207,2.17689,2.2234223,0.008800625
52,5200,0.025649434,2.1325257,2.119846,0.008504744
53,5300,0.02266602,2.0943322,2.0441656,0.008276996
54,5400,0.020555854,2.0599322,1.9878765,0.008095617
55,5500,0.019535182,2.0436165,1.9471108,0.007981455
56,5600,0.019040156,2.01476,1.9191983,0.007867917
57,5700,0.018981606,1.9888935,1.8952221,0.007768232
58,5800,0.019161701,1.9661084,1.8753928,0.007683003
59,5900,0.019171689,1.9510189,1.8556893,0.007613417
60,6000,0.019014813,1.9334193,1.8411123,0.007549064
61,6100,0.018914767,1.9159856,1.8261529,0.0074842772
62,6200,0.018861854,1.9010878,1.8134515,0.007429079
63,6300,0.018918524,1.8873272,1.8031194,0.0073808935
64,6400,0.019053703,1.8762598,1.7921987,0.0073369173
65,6500,0.019183833,1.8639178,1.7824552,0.0072927466
66,6600,0.019275367,1.8509129,1.7760956,0.007254017
67,6700,0.01944153,1.8400027,1.766721,0.0072134477
68,6800,0.01961683,1.8297247,1.7581197,0.007175689
69,6900,0.019733973,1.8193905,1.7501227,0.007139027
70,7000,0.019878339,1.8096793,1.7428273,0.0071050134
71,7100,0.02001652,1.8003638,1.73538,0.0070714876
72,7200,0.020128665,1.7917732,1.7281324,0.0070398115
73,7300,0.02026808,1.783366,1.7215433,0.0070098187
74,7400,0.020394081,1.7755051,1.7150562,0.006981123
75,7500,0.020471323,1.7677923,1.7085086,0.0069526024
76,7600,0.020559922,1.7603505,1.7021272,0.0069249556
77,7700,0.020609109,1.7529418,1.695735,0.006897354
78,7800,0.02063893,1.7465453,1.6902733,0.0068736374
79,7900,0.020693762,1.7403313,1.6844726,0.006849608
80,8000,0.020762393,1.7341678,1.6790053,0.0068263467
81,8100,0.02079879,1.7278874,1.6736779,0.0068031307
82,8200,0.02082829,1.7220899,1.6685126,0.0067812055
83,8300,0.020903295,1.7162353,1.6630698,0.0067586107
84,8400,0.020901198,1.7108469,1.658059,0.0067378124
85,8500,0.020964732,1.7051319,1.6528932,0.0067160507
86,8600,0.020963667,1.6986421,1.6510646,0.0066994135
87,8700,0.020989003,1.694593,1.6467007,0.006682588
88,8800,0.020949187,1.6896654,1.6419784,0.006663288
89,8900,0.020919165,1.6852916,1.6376376,0.006645859
90,9000,0.020876713,1.6809537,1.6328521,0.006627612
91,9100,0.020788506,1.6768152,1.6280247,0.00660968
92,9200,0.020655464,1.6728405,1.6236695,0.00659302
93,9300,0.020662144,1.6688787,1.6201097,0.006577977
94,9400,0.020641688,1.6640388,1.6155208,0.0065591196
95,9500,0.0205785,1.6592754,1.6115918,0.006541735
96,9600,0.020550912,1.6537987,1.6071961,0.00652199
97,9700,0.020694746,1.651864,1.6020489,0.006507826
98,9800,0.020660367,1.6463147,1.5986168,0.0064898636
99,9900,0.020780511,1.6415156,1.5945805,0.0064721927
100,10000,0.020638594,1.6371804,1.590874,0.006456109
101,10100,0.020669732,1.632895,1.5869448,0.00643968
102,10200,0.020735947,1.6287184,1.5834231,0.006424283
103,10300,0.020667285,1.6246967,1.5789098,0.0064072134
104,10400,0.02096013,1.6209904,1.5772936,0.0063965684
105,10500,0.020955529,1.6165234,1.5740072,0.0063810614
106,10600,0.020891901,1.613029,1.5701569,0.0063663726
107,10700,0.021011343,1.6088532,1.5662832,0.0063502733
108,10800,0.020987473,1.6050438,1.5629733,0.0063360343
109,10900,0.022274593,1.6004499,1.5690898,0.0063390797
110,11000,0.022783788,1.5907499,1.5724363,0.0063263723
111,11100,0.023562493,1.584331,1.5750079,0.006318678
112,11200,0.023828967,1.5802443,1.5708824,0.006302254
113,11300,0.023920085,1.576564,1.5666294,0.006286387
114,11400,0.023925824,1.572799,1.5626704,0.006270939
115,11500,0.023850612,1.5688928,1.5589435,0.006255673
116,11600,0.023855487,1.5657368,1.55538,0.006242234
117,11700,0.024018796,1.5620621,1.5521743,0.006228473
118,11800,0.023808688,1.5588403,1.5495809,0.006216843
119,11900,0.023754643,1.5560873,1.5464574,0.00620509
120,12000,0.023876056,1.5532131,1.5436194,0.0061936653
121,12100,0.023783471,1.5504928,1.5408685,0.0061827227
122,12200,0.023846949,1.5478984,1.5379208,0.0061716386
123,12300,0.023747126,1.5453489,1.535221,0.00616114
124,12400,0.023565894,1.5430268,1.533126,0.0061523058
125,12500,0.023701392,1.5392226,1.5314481,0.0061413413
126,12600,0.023656592,1.5374222,1.5292083,0.006133261
127,12700,0.023647413,1.535485,1.5270201,0.0061250106
128,12800,0.023013268,1.5340017,1.5240875,0.006116179
129,12900,0.022644514,1.531994,1.5218327,0.006107654
130,13000,0.022362942,1.5296913,1.5198822,0.0060991473
131,13100,0.022134382,1.5278393,1.5175946,0.0060908683
132,13200,0.02209829,1.525793,1.5158842,0.0060833544
133,13300,0.022185467,1.5240014,1.5140789,0.006076161
134,13400,0.022020163,1.52253,1.5125034,0.0060700667
135,13500,0.02205143,1.520146,1.5103338,0.0060609602
136,13600,0.021951849,1.5188526,1.5090358,0.006055777
137,13700,0.021913571,1.5167147,1.506937,0.0060473033
138,13800,0.021905655,1.5154278,1.5053595,0.0060415748
139,13900,0.021848883,1.514005,1.50406,0.0060361302
140,14000,0.021775918,1.5126349,1.5025843,0.006030439
141,14100,0.021861143,1.5110567,1.5013304,0.006024774
142,14200,0.02184615,1.5097561,1.5000211,0.0060195546
143,14300,0.021801941,1.508624,1.4988184,0.0060148854
144,14400,0.02175382,1.507711,1.4976285,0.0060106795
145,14500,0.021725912,1.5054965,1.4962283,0.0060034497
146,14600,0.021791318,1.5049831,1.495179,0.0060003246
147,14700,0.021848649,1.5037204,1.4939706,0.0059953826
148,14800,0.021735871,1.5022776,1.4930203,0.005990596
149,14900,0.021748267,1.5015179,1.4920639,0.0059871636
150,15000,0.021750433,1.5004389,1.491016,0.0059829103
151,15100,0.021652058,1.4995527,1.4899393,0.0059789843
152,15200,0.021725621,1.4986707,1.4892665,0.0059758746
153,15300,0.021818545,1.4977889,1.4882523,0.0059720823
154,15400,0.021782124,1.4969893,1.4873475,0.005968674
155,15500,0.021755356,1.496048,1.4868976,0.0059658913
156,15600,0.021814603,1.4955044,1.485922,0.005962853
157,15700,0.021880204,1.4945704,1.48538,0.005959901
158,15800,0.021787602,1.4938602,1.4843653,0.005956452
159,15900,0.021793272,1.4931573,1.4838324,0.0059539797
160,16000,0.021828378,1.4924939,1.4834754,0.0059519387
161,16100,0.021728527,1.4913889,1.4823462,0.0059474707
162,16200,0.021840688,1.4910862,1.4820706,0.005946314
163,16300,0.021923063,1.4907948,1.4814255,0.005944441
164,16400,0.021788817,1.4900059,1.4808807,0.0059417738
165,16500,0.021762108,1.4893332,1.4802248,0.0059391162
166,16600,0.021827688,1.4889557,1.479635,0.005937182
167,16700,0.02182499,1.4888262,1.4794289,0.0059365104
168,16800,0.02185502,1.4882919,1.4790251,0.0059346347
169,16900,0.021973433,1.487642,1.4787992,0.0059328824
170,17000,0.021790974,1.4873103,1.4782883,0.0059311977
171,17100,0.0218375,1.4869162,1.4775095,0.005928851
172,17200,0.021788498,1.4862732,1.4772903,0.0059271273
173,17300,0.021852013,1.486279,1.4771434,0.0059268447
174,17400,0.021883626,1.4854977,1.4763103,0.0059236162
175,17500,0.02178446,1.4850835,1.4763372,0.0059228414
176,17600,0.021912884,1.4850384,1.4760048,0.005922087
177,17700,0.021942094,1.4848644,1.4756646,0.005921058
178,17800,0.021893492,1.4843224,1.4754099,0.005919465
179,17900,0.021951748,1.4840924,1.475041,0.005918267
180,18000,0.021886237,1.4835403,1.4748853,0.005916851
181,18100,0.021918474,1.4837826,1.474716,0.0059169973
182,18200,0.021815348,1.4833431,1.474089,0.0059148646
183,18300,0.021906132,1.482719,1.4740441,0.0059135263
184,18400,0.022013532,1.4829348,1.4741292,0.0059141284
185,18500,0.021956401,1.4829581,1.4736807,0.005913278
186,18600,0.022125551,1.480836,1.4732491,0.0059081707
187,18700,0.022021357,1.4742371,1.4726626,0.0058937995
188,18800,0.02235832,1.4756743,1.4722964,0.0058959415
189,18900,0.022449259,1.4765615,1.472322,0.0058977674
190,19000,0.022500038,1.4767802,1.4723431,0.005898247
191,19100,0.022589153,1.4778811,1.4718753,0.005899513
192,19200,0.02247444,1.478006,1.4717987,0.00589961
193,19300,0.022520559,1.4779757,1.4714551,0.005898862
194,19400,0.022669494,1.4779978,1.4715459,0.0058990875
195,19500,0.022679875,1.4779823,1.4713229,0.00589861
196,19600,0.022658052,1.4780347,1.4716221,0.0058993143
197,19700,0.0226795,1.4779991,1.4712363,0.005898471
198,19800,0.02272752,1.4782563,1.4709741,0.005898461
199,19900,0.02274885,1.4775363,1.4714981,0.005898069
200,20000,0.022890717,1.4778777,1.4714243,0.0058986046
201,20100,0.022831453,1.4760354,1.474708,0.0059014866
202,20200,0.022951066,1.4773138,1.4740083,0.0059026442
203,20300,0.022980092,1.4780223,1.473766,0.005903577
204,20400,0.022820871,1.4776721,1.4732171,0.0059017786
205,20500,0.023097066,1.4783717,1.4742627,0.005905269
206,20600,0.023172172,1.479001,1.4743967,0.0059067956
207,20700,0.022983612,1.4792844,1.4747064,0.005907982
208,20800,0.022933284,1.4825199,1.4747057,0.0059144516
209,20900,0.02311461,1.4812014,1.4755343,0.0059134713
210,21000,0.023405021,1.4815094,1.4755778,0.005914175
211,21100,0.023398858,1.4819177,1.4755356,0.005914907
212,21200,0.023607528,1.482269,1.4754761,0.0059154904
213,21300,0.023691192,1.4824675,1.475585,0.0059161056
214,21400,0.02397097,1.483108,1.4757708,0.005917758
215,21500,0.023993853,1.4832276,1.4764372,0.00591933
216,21600,0.024130048,1.483483,1.4762642,0.005919495
217,21700,0.024227858,1.4836255,1.4764028,0.0059200567
218,21800,0.024419118,1.4825826,1.4765711,0.0059183077
219,21900,0.024426524,1.4822644,1.4767996,0.0059181284
220,22000,0.0244906,1.4822751,1.4762892,0.0059171286
221,22100,0.02450426,1.4825503,1.4764621,0.0059180255
222,22200,0.024615988,1.4827816,1.4766271,0.0059188176
223,22300,0.024668075,1.4814804,1.4761459,0.005915253
224,22400,0.024607442,1.4804665,1.4781101,0.005917154
225,22500,0.024706736,1.4806995,1.4779501,0.0059172995
226,22600,0.024732217,1.4811279,1.4777895,0.005917835
227,22700,0.024438774,1.4813012,1.4771087,0.00591682
228,22800,0.024406085,1.4820734,1.4774624,0.005919072
229,22900,0.024474224,1.4805615,1.4794289,0.0059199813
230,23000,0.024408907,1.4813237,1.4786298,0.0059199072
231,23100,0.024417708,1.4813559,1.4787854,0.0059202826
232,23200,0.024575057,1.4815478,1.4787006,0.0059204972
233,23300,0.024695048,1.4814789,1.4785047,0.0059199673
234,23400,0.024781412,1.4812503,1.4792657,0.0059210323
235,23500,0.024783026,1.4824723,1.4780282,0.005921001
236,23600,0.025323335,1.4831754,1.4806077,0.005927567
237,23700,0.025092011,1.4827493,1.4822607,0.0059300205
238,23800,0.024927866,1.4826164,1.4818047,0.005928843
239,23900,0.025182808,1.483124,1.4819479,0.0059301443
240,24000,0.02529787,1.4832524,1.4817113,0.005929928
241,24100,0.025086889,1.4828007,1.481826,0.005929254
242,24200,0.025256457,1.4834267,1.481925,0.0059307036
243,24300,0.025482418,1.483764,1.4814517,0.0059304317
244,24400,0.02556348,1.4835299,1.4819499,0.00593096
245,24500,0.02553497,1.4836196,1.4816343,0.005930508
246,24600,0.025686888,1.4838464,1.481923,0.005931539
247,24700,0.025589967,1.484115,1.4819487,0.0059321276
248,24800,0.025629941,1.4837279,1.4819466,0.005931349
249,24900,0.02561541,1.4838239,1.4816372,0.005930923
250,25000,0.025762888,1.483814,1.4818645,0.0059313574
