,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,4.1676645,3.6777945,47.833694,47.833694
1,100,6.5673285,0.11638297,47.779366,47.779366
2,200,3.3448977,0.09087484,41.368034,41.368034
3,300,0.650478,0.07102244,20.4825,20.4825
4,400,0.3342727,0.06636647,13.39502,13.39502
5,500,0.27309912,0.06277052,11.965355,11.965355
6,600,0.2596515,0.06131975,11.856111,11.856111
7,700,0.2624393,0.060984377,11.819006,11.819006
8,800,0.2644735,0.060873706,11.808826,11.808826
9,900,0.2641128,0.060808875,11.805431,11.805431
10,1000,0.26405597,0.06078944,11.8074,11.8074
11,1100,0.26328963,0.060744997,11.807309,11.807309
12,1200,0.26098004,0.06069253,11.808111,11.808111
13,1300,0.26036084,0.060664903,11.803881,11.803881
14,1400,0.25970814,0.060664535,11.8006735,11.8006735
15,1500,0.25890076,0.06068647,11.79857,11.79857
16,1600,0.25792536,0.060712647,11.796921,11.796921
17,1700,0.25568926,0.060785603,11.796521,11.796521
18,1800,0.25499007,0.060681056,11.796468,11.796468
19,1900,0.25548428,0.060724847,11.797934,11.797934
20,2000,0.25545073,0.060663357,11.7975445,11.7975445
21,2100,0.25548849,0.06065733,11.798544,11.798544
22,2200,0.25575742,0.060694546,11.797182,11.797182
23,2300,0.25500065,0.060662903,11.79756,11.79756
24,2400,0.2549242,0.06075801,11.797652,11.797652
25,2500,0.25550795,0.060687006,11.798124,11.798124
26,2600,0.2558976,0.06074292,11.79811,11.79811
27,2700,0.2560759,0.060739197,11.797444,11.797444
28,2800,0.25507486,0.060617406,11.799193,11.799193
29,2900,0.25566643,0.06064284,11.799289,11.799289
30,3000,0.25600994,0.06070883,11.801174,11.801174
31,3100,0.25570107,0.060651135,11.801861,11.801861
32,3200,0.25578415,0.060793098,11.804501,11.804501
33,3300,0.25593972,0.060703922,11.805283,11.805283
34,3400,0.2557284,0.060765896,11.806538,11.806538
35,3500,0.2558402,0.06073444,11.808072,11.808072
36,3600,0.25511467,0.06079345,11.807216,11.807216
37,3700,0.25572184,0.060696267,11.808252,11.808252
38,3800,0.25539735,0.060706917,11.809618,11.809618
39,3900,0.25523162,0.06076305,11.809728,11.809728
40,4000,0.25575215,0.060771074,11.80984,11.80984
41,4100,0.25510406,0.060743332,11.810493,11.810493
42,4200,0.25531092,0.060674183,11.809119,11.809119
43,4300,0.25481847,0.060705844,11.809367,11.809367
44,4400,0.25508004,0.06078345,11.810473,11.810473
45,4500,0.25534427,0.060718283,11.810417,11.810417
46,4600,0.25538197,0.060707197,11.810662,11.810662
47,4700,0.25535125,0.060741708,11.811186,11.811186
48,4800,0.2547256,0.06076895,11.810821,11.810821
49,4900,0.25535432,0.06075327,11.811262,11.811262
50,5000,0.25481305,0.060759194,11.811522,11.811522
51,5100,0.25357127,0.060703307,11.811868,11.811868
52,5200,0.25378078,0.060715396,11.812716,11.812716
53,5300,0.2545661,0.060774043,11.814707,11.814707
54,5400,0.25508097,0.060899958,11.81567,11.81567
55,5500,0.25402555,0.060853075,11.817081,11.817081
56,5600,0.25413078,0.060715348,11.816645,11.816645
57,5700,0.2543508,0.060760632,11.817566,11.817566
58,5800,0.25414973,0.0608733,11.816783,11.816783
59,5900,0.25428462,0.06073708,11.817073,11.817073
60,6000,0.2544977,0.06077024,11.817453,11.817453
61,6100,0.25419253,0.06084295,11.817349,11.817349
62,6200,0.25377125,0.060793824,11.8172,11.8172
63,6300,0.2544033,0.06079196,11.816763,11.816763
64,6400,0.25449938,0.0607798,11.81784,11.81784
65,6500,0.25494215,0.060793635,11.8177185,11.8177185
66,6600,0.2538073,0.060695548,11.81718,11.81718
67,6700,0.25459543,0.06071229,11.817028,11.817028
68,6800,0.25444382,0.06076799,11.817084,11.817084
69,6900,0.25440463,0.06072794,11.817609,11.817609
70,7000,0.25467178,0.060781155,11.816952,11.816952
71,7100,0.25389564,0.060714513,11.817014,11.817014
72,7200,0.25402537,0.06074977,11.817456,11.817456
73,7300,0.2543868,0.060675398,11.817276,11.817276
74,7400,0.25450534,0.06073878,11.816799,11.816799
75,7500,0.25459152,0.060814697,11.81753,11.81753
76,7600,0.25457898,0.060781673,11.817577,11.817577
77,7700,0.25430548,0.060717594,11.817442,11.817442
78,7800,0.2538872,0.060706634,11.817635,11.817635
79,7900,0.2550237,0.060792584,11.817791,11.817791
80,8000,0.2546072,0.06073178,11.817537,11.817537
81,8100,0.25441518,0.060744606,11.817887,11.817887
82,8200,0.25433862,0.060730692,11.817808,11.817808
83,8300,0.25478652,0.06073194,11.817609,11.817609
84,8400,0.25348827,0.060802434,11.816853,11.816853
85,8500,0.25414932,0.06076281,11.817851,11.817851
86,8600,0.25422904,0.06078246,11.8179245,11.8179245
87,8700,0.2537295,0.06074386,11.817831,11.817831
88,8800,0.25379094,0.0607321,11.818473,11.818473
89,8900,0.25455287,0.06079602,11.818236,11.818236
90,9000,0.25436532,0.060736496,11.818164,11.818164
91,9100,0.2542119,0.060736705,11.818476,11.818476
92,9200,0.25434035,0.060804866,11.818118,11.818118
93,9300,0.25375506,0.06077632,11.818172,11.818172
94,9400,0.25387168,0.06076109,11.817654,11.817654
95,9500,0.25449166,0.06082219,11.81837,11.81837
96,9600,0.25392175,0.06076325,11.818203,11.818203
97,9700,0.25366014,0.060762588,11.81789,11.81789
98,9800,0.25404358,0.06073215,11.818586,11.818586
99,9900,0.25417,0.06085523,11.818256,11.818256
