,Iteration,Loss,Train_Loss,entropy
0,0,4.117309,3.7328706,47.71707
1,100,5.3124027,0.15227328,47.3211
2,200,1.0963858,0.10274937,29.644653
3,300,0.3274482,0.0850441,10.963167
4,400,0.24531828,0.079442374,8.340192
5,500,0.23646331,0.078558,7.9761934
6,600,0.23651315,0.07843093,7.974541
7,700,0.23622434,0.0782979,7.9724236
8,800,0.2363187,0.078193635,7.970812
9,900,0.23644821,0.07804458,7.9701486
10,1000,0.23672882,0.07791519,7.970475
11,1100,0.23713689,0.07787681,7.9705057
12,1200,0.23754139,0.07785753,7.9707413
13,1300,0.23782757,0.077781975,7.9709997
14,1400,0.23770384,0.07769015,7.9708576
15,1500,0.23769517,0.077643655,7.9708743
16,1600,0.238242,0.07768798,7.971165
17,1700,0.23832352,0.0776524,7.9714904
18,1800,0.23824474,0.07762444,7.97133
19,1900,0.23833017,0.07763743,7.9712396
20,2000,0.23853306,0.07772119,7.9711466
21,2100,0.23860514,0.077588856,7.971325
22,2200,0.23869821,0.07757452,7.971179
23,2300,0.2383003,0.0775824,7.971207
24,2400,0.23833829,0.0776329,7.971205
25,2500,0.2385821,0.077602275,7.9711294
26,2600,0.23849411,0.077569254,7.971048
27,2700,0.2382948,0.07754582,7.971074
28,2800,0.23804541,0.077663235,7.9712586
29,2900,0.2381891,0.077669814,7.97123
30,3000,0.23819211,0.07760709,7.9709964
31,3100,0.23847401,0.07761726,7.971095
32,3200,0.23872419,0.07758189,7.97116
33,3300,0.23824666,0.07751788,7.9710608
34,3400,0.23822573,0.07761394,7.9710894
35,3500,0.23846607,0.077570416,7.9711447
36,3600,0.23845291,0.07764426,7.9711537
37,3700,0.23866515,0.07774995,7.971197
38,3800,0.23886742,0.07767533,7.9712796
39,3900,0.23906617,0.07771263,7.9713573
40,4000,0.23860031,0.0776277,7.9711046
41,4100,0.23894987,0.07761836,7.971319
42,4200,0.23873739,0.07761407,7.9712396
43,4300,0.23866832,0.07764767,7.97142
44,4400,0.23902182,0.07759751,7.9714885
45,4500,0.23903693,0.07766144,7.9713745
46,4600,0.23875333,0.07758344,7.9714236
47,4700,0.23919106,0.07763312,7.971446
48,4800,0.23926342,0.077555746,7.971283
49,4900,0.23909837,0.077546686,7.971433
50,5000,0.23904014,0.077586174,7.971285
51,5100,0.2390892,0.07755871,7.9714046
52,5200,0.23929554,0.077547565,7.971325
53,5300,0.23884332,0.077502415,7.971304
54,5400,0.23909917,0.07771099,7.9712796
55,5500,0.23926468,0.07751875,7.971276
56,5600,0.23865011,0.07757061,7.9714484
57,5700,0.23877138,0.07758789,7.971319
58,5800,0.23942374,0.07754174,7.9712524
59,5900,0.23886774,0.077536955,7.9711328
60,6000,0.23936114,0.07763067,7.9711843
61,6100,0.23892267,0.07761645,7.971017
62,6200,0.23883012,0.07761906,7.971192
63,6300,0.23902701,0.07756966,7.971197
64,6400,0.23889488,0.07759207,7.971344
65,6500,0.2392097,0.07752464,7.9710245
66,6600,0.23887719,0.077557586,7.971196
67,6700,0.23965912,0.07763311,7.971165
68,6800,0.23925376,0.077486455,7.971173
69,6900,0.23956837,0.07760483,7.9712033
70,7000,0.23921262,0.07759644,7.971065
71,7100,0.23894888,0.07751596,7.9712543
