,Iteration,Loss,Train_Loss,entropy
0,0,4.128407,3.5096498,7.927347
1,100,7.5121965,0.09176768,7.927347
2,200,7.5816765,0.08294679,7.927347
3,300,7.653709,0.08052559,7.927347
4,400,7.687727,0.078908116,7.927347
5,500,7.6312656,0.07766927,7.927347
6,600,7.551038,0.07691721,7.927347
7,700,7.4535675,0.076204196,7.927347
8,800,7.291407,0.075428315,7.927347
9,900,7.0410266,0.07452057,7.927347
10,1000,6.6232653,0.07384833,7.927347
11,1100,6.048428,0.07301578,7.927347
12,1200,5.121558,0.07132114,7.927347
13,1300,4.3928866,0.07047758,7.927347
14,1400,4.0425453,0.06978306,7.927347
15,1500,3.5699718,0.06853528,7.927347
16,1600,2.465825,0.06608194,7.927347
17,1700,1.9597124,0.065283954,7.927347
18,1800,1.7432723,0.06467421,7.927347
19,1900,1.5032723,0.06424051,7.927347
20,2000,1.3844906,0.06399258,7.927347
21,2100,1.3339502,0.06380048,7.927347
22,2200,1.3014934,0.06351244,7.927347
23,2300,1.2577014,0.06335219,7.927347
24,2400,1.2227467,0.063240446,7.927347
25,2500,1.1954857,0.0630845,7.927347
26,2600,1.1509296,0.06307854,7.927347
27,2700,1.1345638,0.063057944,7.927347
28,2800,1.1323042,0.06306191,7.927347
29,2900,1.1313264,0.06293636,7.927347
30,3000,1.1256349,0.06282131,7.927347
31,3100,1.121279,0.062839806,7.927347
32,3200,1.1163982,0.06270739,7.927347
33,3300,1.1105623,0.0627302,7.927347
34,3400,1.109165,0.0627571,7.927347
35,3500,1.1070763,0.062776715,7.927347
36,3600,1.1029316,0.062721685,7.927347
37,3700,1.1011122,0.062669076,7.927347
38,3800,1.1006974,0.06266887,7.927347
39,3900,1.1009607,0.062634766,7.927347
40,4000,1.1011823,0.062757745,7.927347
41,4100,1.0997858,0.06268216,7.927347
42,4200,1.1006299,0.06269911,7.927347
43,4300,1.1012393,0.06268226,7.927347
44,4400,1.0985181,0.06268496,7.927347
45,4500,1.0991535,0.06269122,7.927347
46,4600,1.0979507,0.06271814,7.927347
47,4700,1.098314,0.06264958,7.927347
48,4800,1.0963734,0.06260956,7.927347
49,4900,1.0991883,0.06263739,7.927347
50,5000,1.0973468,0.06268225,7.927347
51,5100,1.0968733,0.0626406,7.927347
52,5200,1.092266,0.06274313,7.927347
53,5300,1.0954401,0.062602006,7.927347
54,5400,1.0958307,0.06264924,7.927347
55,5500,1.0921453,0.06270267,7.927347
56,5600,1.0911462,0.06260121,7.927347
57,5700,1.0888765,0.06264355,7.927347
58,5800,1.0897409,0.06270554,7.927347
59,5900,1.0894141,0.06270277,7.927347
60,6000,1.0855062,0.062485624,7.927347
61,6100,1.0825367,0.06253244,7.927347
62,6200,1.0793792,0.062470578,7.927347
63,6300,1.0732596,0.0624914,7.927347
64,6400,1.0731117,0.0626037,7.927347
65,6500,1.0681008,0.062483653,7.927347
66,6600,1.0660504,0.06248105,7.927347
67,6700,1.0678282,0.06261271,7.927347
68,6800,1.063624,0.06240796,7.927347
69,6900,1.0656762,0.062373195,7.927347
70,7000,1.0647842,0.062501125,7.927347
71,7100,1.0683502,0.062350664,7.927347
72,7200,1.0698267,0.062497124,7.927347
73,7300,1.0683892,0.062450383,7.927347
74,7400,1.0676531,0.06256793,7.927347
75,7500,1.0684721,0.062496748,7.927347
76,7600,1.0675105,0.06239827,7.927347
77,7700,1.066787,0.062369056,7.927347
78,7800,1.0647691,0.062463738,7.927347
79,7900,1.0631105,0.062361952,7.927347
80,8000,1.0656122,0.06231138,7.927347
81,8100,1.0630697,0.06235258,7.927347
