,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,9.578122,8.601911,48.20992,48.20992
1,100,17.356459,1.5219737,47.470745,47.470745
2,200,16.715858,1.5070558,45.155453,45.155453
3,300,16.433655,1.501661,42.918037,42.918037
4,400,16.165836,1.49839,40.486458,40.486458
5,500,15.668116,1.4955218,38.07184,38.07184
6,600,14.875314,1.4950204,35.81496,35.81496
7,700,13.866969,1.4934133,33.528324,33.528324
8,800,11.986527,1.4886959,30.174704,30.174704
9,900,9.738838,1.4857959,26.025959,26.025959
10,1000,6.604437,1.4790025,20.25916,20.25916
11,1100,4.511559,1.4739692,14.639309,14.639309
12,1200,3.6986413,1.4681903,11.866603,11.866603
13,1300,3.092421,1.4628873,10.24218,10.24218
14,1400,2.9910657,1.4613516,9.833114,9.833114
15,1500,2.9663851,1.4614509,9.768537,9.768537
16,1600,2.9518652,1.4625453,9.751899,9.751899
17,1700,2.9376423,1.4619749,9.74455,9.74455
18,1800,2.928113,1.4611379,9.738643,9.738643
19,1900,2.9248116,1.4624068,9.735174,9.735174
20,2000,2.9183028,1.460647,9.729898,9.729898
21,2100,2.9158556,1.460799,9.727055,9.727055
22,2200,2.9166102,1.4630595,9.724629,9.724629
23,2300,2.9119108,1.4618725,9.728022,9.728022
24,2400,2.9111588,1.4613556,9.727303,9.727303
25,2500,2.9101279,1.4609683,9.726271,9.726271
26,2600,2.9120193,1.4606837,9.724592,9.724592
27,2700,2.9144988,1.4621823,9.72657,9.72657
28,2800,2.9158323,1.4607955,9.725561,9.725561
29,2900,2.9202409,1.4610254,9.724207,9.724207
30,3000,2.9184139,1.4608833,9.722751,9.722751
31,3100,2.9206986,1.4616575,9.722387,9.722387
32,3200,2.9221103,1.4607261,9.721191,9.721191
33,3300,2.922082,1.4616339,9.720007,9.720007
34,3400,2.9224212,1.4605476,9.718376,9.718376
35,3500,2.9208221,1.4606763,9.71889,9.71889
36,3600,2.9176195,1.46218,9.718371,9.718371
37,3700,2.9181836,1.4608493,9.719767,9.719767
38,3800,2.9192197,1.4617989,9.7203,9.7203
39,3900,2.9182394,1.4614811,9.719449,9.719449
40,4000,2.9174564,1.4606074,9.719041,9.719041
41,4100,2.9151917,1.4612895,9.720613,9.720613
42,4200,2.9173913,1.4604925,9.720241,9.720241
43,4300,2.917563,1.4616948,9.720577,9.720577
44,4400,2.9187026,1.4610237,9.719947,9.719947
45,4500,2.9181898,1.4606131,9.719206,9.719206
46,4600,2.9189785,1.4620863,9.719866,9.719866
47,4700,2.9171898,1.4612733,9.719848,9.719848
48,4800,2.9140265,1.4616865,9.720083,9.720083
49,4900,2.9168098,1.4610435,9.7192745,9.7192745
50,5000,2.9160557,1.4608177,9.720445,9.720445
51,5100,2.9150233,1.4604294,9.719491,9.719491
52,5200,2.9163911,1.4606012,9.720689,9.720689
53,5300,2.9192877,1.4612921,9.719386,9.719386
54,5400,2.9184308,1.4614376,9.720057,9.720057
55,5500,2.9182851,1.460527,9.719903,9.719903
56,5600,2.9186904,1.4608341,9.723356,9.723356
57,5700,2.9184422,1.4609258,9.729008,9.729008
58,5800,2.9154797,1.4613519,9.7302,9.7302
59,5900,2.9163337,1.4603469,9.731473,9.731473
60,6000,2.917026,1.4603499,9.731591,9.731591
61,6100,2.916484,1.4604594,9.731617,9.731617
62,6200,2.9143653,1.4607844,9.732371,9.732371
63,6300,2.9153733,1.4614121,9.732381,9.732381
64,6400,2.915142,1.4604087,9.731693,9.731693
65,6500,2.9148757,1.460182,9.731367,9.731367
66,6600,2.9174883,1.4619792,9.731919,9.731919
67,6700,2.916228,1.4602532,9.731803,9.731803
68,6800,2.9145832,1.4611222,9.7305155,9.7305155
69,6900,2.914468,1.4609088,9.732188,9.732188
70,7000,2.915074,1.4619253,9.731272,9.731272
71,7100,2.9143484,1.4612273,9.731325,9.731325
72,7200,2.9153664,1.4601395,9.731406,9.731406
73,7300,2.9170957,1.460572,9.730924,9.730924
74,7400,2.915285,1.4609796,9.731509,9.731509
75,7500,2.91562,1.461312,9.732109,9.732109
76,7600,2.9143763,1.4603424,9.731892,9.731892
77,7700,2.9149325,1.4608195,9.73262,9.73262
78,7800,2.915547,1.4614129,9.732776,9.732776
79,7900,2.9166539,1.4605458,9.732379,9.732379
80,8000,2.9181397,1.4620978,9.73255,9.73255
81,8100,2.9142864,1.4608976,9.734112,9.734112
82,8200,2.9157908,1.4602067,9.73309,9.73309
83,8300,2.915662,1.4599261,9.73179,9.73179
84,8400,2.9148674,1.4618757,9.732548,9.732548
85,8500,2.9141083,1.4604644,9.733365,9.733365
86,8600,2.9165516,1.4620192,9.733124,9.733124
87,8700,2.9175272,1.4608914,9.7333555,9.7333555
88,8800,2.9201343,1.4627359,9.733051,9.733051
89,8900,2.9181066,1.4606522,9.732884,9.732884
90,9000,2.9176812,1.4611006,9.7323065,9.7323065
91,9100,2.9165027,1.4628985,9.732694,9.732694
92,9200,2.9195068,1.4610012,9.732663,9.732663
93,9300,2.9180598,1.4599699,9.731344,9.731344
94,9400,2.9173708,1.4602407,9.731752,9.731752
95,9500,2.9183075,1.4597832,9.732985,9.732985
96,9600,2.9180682,1.4597657,9.731103,9.731103
97,9700,2.9216526,1.4612114,9.732757,9.732757
98,9800,2.9203308,1.463328,9.743776,9.743776
99,9900,2.9193819,1.459898,9.731369,9.731369
