,Iteration,Loss,Train_Loss,entropy
0,0,4.0829525,3.5131757,47.740875
1,100,7.1898375,0.109141424,44.947334
2,200,7.3276052,0.09938053,37.745052
3,300,7.395015,0.09621836,32.303528
4,400,7.441357,0.094341315,29.142466
5,500,7.454694,0.09299286,26.90496
6,600,7.4285827,0.09193052,25.65617
7,700,7.3959813,0.09117664,24.925625
8,800,7.3438425,0.090444215,24.293913
9,900,7.191435,0.08970689,23.654766
10,1000,7.030146,0.089016266,22.641449
11,1100,6.7459774,0.08795036,21.641533
12,1200,6.2596297,0.087300986,20.298485
13,1300,6.079119,0.087074816,19.61481
14,1400,6.04633,0.08669079,19.21345
15,1500,6.0150585,0.086687066,18.837723
16,1600,5.954529,0.08620691,18.460583
17,1700,5.8913317,0.085987054,18.091314
18,1800,5.8392787,0.08575163,17.77295
19,1900,5.756214,0.08536641,17.484941
20,2000,5.6752753,0.08516776,17.218164
21,2100,5.515137,0.08496132,16.955635
22,2200,5.054954,0.084229186,16.247826
23,2300,4.4349313,0.08356551,14.801765
24,2400,4.2062016,0.08311516,13.961115
25,2500,4.0021405,0.08266594,13.355385
26,2600,3.5741434,0.08150633,12.588803
27,2700,2.6391156,0.07954861,10.687488
28,2800,2.0923066,0.07768336,9.153726
29,2900,1.6865554,0.075657524,7.9859476
30,3000,1.6945943,0.07513547,7.9829035
31,3100,1.7002871,0.07511139,7.983526
32,3200,1.6946609,0.07490008,7.9836135
33,3300,1.7018813,0.074804254,7.983041
34,3400,1.7045724,0.07480218,7.983159
35,3500,1.7059472,0.07475445,7.9838233
36,3600,1.7119997,0.07473971,7.9831095
37,3700,1.708108,0.07475201,7.983751
38,3800,1.7082202,0.074716866,7.9834824
39,3900,1.7091433,0.07456695,7.9836044
40,4000,1.7077903,0.074583635,7.9835315
41,4100,1.7041144,0.07470986,7.9829793
42,4200,1.7052227,0.07467412,7.983075
43,4300,1.7047215,0.07459549,7.9832478
44,4400,1.7038168,0.074545145,7.982837
45,4500,1.7070279,0.07464465,7.983214
46,4600,1.7060419,0.07454606,7.9830127
47,4700,1.7080641,0.074671395,7.982974
48,4800,1.7047205,0.0745623,7.983039
49,4900,1.7049307,0.074575864,7.983168
50,5000,1.7043475,0.07465582,7.9831624
