,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.6671278,1.9936659,1.9883218,0.0
1,100,1.583366,1.9940966,1.9894346,0.0
2,200,1.5075496,1.9924473,1.9885961,0.0
3,300,1.4250907,1.9866939,1.983919,0.0
4,400,1.3232485,1.9730971,1.9739146,0.0
5,500,1.2067729,1.9523379,1.9600176,0.0
6,600,1.1006058,1.9252776,1.950176,0.0
7,700,1.0160245,1.8982718,1.9510882,0.0
8,800,0.94089496,1.8801199,1.9613053,0.0
9,900,0.8603526,1.8688979,1.9749451,0.0
10,1000,0.77266216,1.8613212,1.9864521,0.0
11,1100,0.68933433,1.851481,1.9919544,0.0
12,1200,0.61698604,1.8380828,1.99382,0.0
13,1300,0.55665684,1.8219385,1.9955657,0.0
14,1400,0.50610054,1.8030064,1.9953837,0.0
15,1500,0.46511632,1.7809931,1.9885851,0.0
16,1600,0.43116206,1.7564206,1.9708256,0.0
17,1700,0.40244254,1.7299813,1.9405133,0.0
18,1800,0.3778485,1.7025155,1.8989742,0.0
19,1900,0.35560846,1.6738955,1.8492402,0.0
20,2000,0.3349771,1.6445832,1.7932193,0.0
21,2100,0.3160502,1.6147423,1.7342713,0.0
22,2200,0.2996253,1.5840125,1.6783416,0.0
23,2300,0.28463402,1.5528512,1.6288245,0.0
24,2400,0.2710645,1.5214019,1.5919827,0.0
25,2500,0.2588941,1.4903679,1.5664674,0.0
26,2600,0.24816485,1.4602746,1.5527639,0.0
27,2700,0.23881727,1.4310645,1.5526528,0.0
28,2800,0.23053166,1.4031707,1.5662606,0.0
29,2900,0.22294837,1.3765888,1.5910659,0.0
30,3000,0.21642178,1.351383,1.6211243,0.0
31,3100,0.21016493,1.3276817,1.6544485,0.0
32,3200,0.20478627,1.3053472,1.6891863,0.0
33,3300,0.20000175,1.284314,1.7179003,0.0
34,3400,0.19618872,1.2655594,1.7564546,0.0
35,3500,0.19277859,1.248064,1.7921308,0.0
36,3600,0.18962456,1.2317384,1.8230215,0.0
37,3700,0.18684149,1.2165079,1.8495597,0.0
38,3800,0.18451025,1.2020565,1.8652408,0.0
39,3900,0.18293002,1.1885728,1.8782271,0.0
40,4000,0.18128173,1.175787,1.8994416,0.0
41,4100,0.17959091,1.1640354,1.9064155,0.0
42,4200,0.17845216,1.1533699,1.9059,0.0
43,4300,0.17767012,1.1440221,1.9091194,0.0
44,4400,0.17685415,1.135482,1.9151621,0.0
45,4500,0.17619911,1.128031,1.9198227,0.0
46,4600,0.17558262,1.1218009,1.9235665,0.0
47,4700,0.17499778,1.1169546,1.9223176,0.0
48,4800,0.1746239,1.114013,1.92015,0.0
49,4900,0.17433889,1.1136708,1.9182113,0.0
50,5000,0.17405222,1.1169317,1.9164304,0.0
51,5100,0.17376503,1.1251441,1.9150238,0.0
52,5200,0.17353415,1.1400808,1.9140509,0.0
53,5300,0.1733544,1.1640726,1.9136678,0.0
54,5400,0.17329216,1.1994144,1.9138955,0.0
55,5500,0.17335784,1.2468561,1.9150765,0.0
56,5600,0.1733055,1.304662,1.9179902,0.0
57,5700,0.17290352,1.3857067,1.9274684,0.0
58,5800,0.17246225,1.4713576,1.9332805,0.0
59,5900,0.17065683,1.5661124,1.9385256,0.0
60,6000,0.16989928,1.6725106,1.9381349,0.0
61,6100,0.16820273,1.7310303,1.9320067,0.0
62,6200,0.16779752,1.7699653,1.9260575,0.0
63,6300,0.16665088,1.7952758,1.9141004,0.0
64,6400,0.16606213,1.8122283,1.9020262,0.0
65,6500,0.1652078,1.8206991,1.8784434,0.0
66,6600,0.16519429,1.8321122,1.8677931,0.0
67,6700,0.1653298,1.8425356,1.8565315,0.0
68,6800,0.16533177,1.8539867,1.842911,0.0
69,6900,0.16547708,1.8632731,1.8306235,0.0
70,7000,0.16574909,1.8712658,1.8181857,0.0
71,7100,0.166052,1.877797,1.8058414,0.0
72,7200,0.16622642,1.8821912,1.7936393,0.0
73,7300,0.16652116,1.8852199,1.7816045,0.0
74,7400,0.16658248,1.8868716,1.7700613,0.0
75,7500,0.1669385,1.8869818,1.7595328,0.0
76,7600,0.16692851,1.8870015,1.7470233,0.0
77,7700,0.16734178,1.8819199,1.7309722,0.0
78,7800,0.16768122,1.8776901,1.7227732,0.0
79,7900,0.16839112,1.8740326,1.7167574,0.0
80,8000,0.16861114,1.8655797,1.715365,0.0
81,8100,0.16878454,1.8593391,1.7103732,0.0
82,8200,0.1690167,1.8533758,1.7060356,0.0
83,8300,0.16897716,1.8474771,1.7018367,0.0
84,8400,0.16934246,1.8421245,1.698709,0.0
85,8500,0.16904633,1.8362277,1.6947725,0.0
86,8600,0.16914465,1.8305355,1.6888261,0.0
87,8700,0.1692546,1.8250765,1.6865846,0.0
88,8800,0.16900058,1.8196856,1.6842782,0.0
89,8900,0.16909572,1.8145101,1.6825405,0.0
90,9000,0.16907467,1.8096905,1.6829355,0.0
91,9100,0.16904514,1.8054568,1.6833481,0.0
92,9200,0.16893432,1.8014041,1.6839318,0.0
93,9300,0.16855289,1.7973557,1.6833402,0.0
94,9400,0.16499527,1.7906018,1.678424,0.0
95,9500,0.1592726,1.8004211,1.6786556,0.0
96,9600,0.15591486,1.8042923,1.6786628,0.0
97,9700,0.15381052,1.8034441,1.6790794,0.0
98,9800,0.15256965,1.7997012,1.6799359,0.0
99,9900,0.15189786,1.7947043,1.6809307,0.0
100,10000,0.14996059,1.7856846,1.6802318,0.0
101,10100,0.1491925,1.7801111,1.6820214,0.0
102,10200,0.14854407,1.7748638,1.6831075,0.0
103,10300,0.14810725,1.7695026,1.6838228,0.0
104,10400,0.1475938,1.7644131,1.6844482,0.0
105,10500,0.14719073,1.7596351,1.6844649,0.0
106,10600,0.14686951,1.7552875,1.6854467,0.0
107,10700,0.1536248,1.7217704,1.725716,0.0
108,10800,0.14673558,1.6877615,1.7289251,0.0
109,10900,0.14665742,1.6819803,1.7321697,0.0
110,11000,0.14716895,1.6671982,1.7316325,0.0
111,11100,0.14946286,1.647201,1.7422549,0.0
112,11200,0.15421817,1.6232032,1.757482,0.0
113,11300,0.16207509,1.6078799,1.7673231,0.0
