,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.224099,49.097374,53.359356,102.456726
1,100,0.63163626,44.633034,49.02408,93.65711
2,200,0.3554473,40.041843,44.28777,84.32961
3,300,0.25586748,35.53143,39.427734,74.95917
4,400,0.22183156,31.289791,34.70185,65.99164
5,500,0.20835832,27.430023,30.297617,57.72764
6,600,0.20185906,23.989107,26.322212,50.311317
7,700,0.19704616,20.960806,22.814762,43.775566
8,800,0.19336535,18.320387,19.767174,38.087563
9,900,0.19137123,16.034033,17.14645,33.18048
10,1000,0.18870805,14.063058,14.909505,28.972563
11,1100,0.18356118,12.367846,13.009354,25.3772
12,1200,0.17823587,10.910225,11.399837,22.310062
13,1300,0.17243639,9.65572,10.037437,19.693157
14,1400,0.1678205,8.573988,8.883145,17.457134
15,1500,0.16337116,7.6393924,7.9027,15.542092
16,1600,0.15906882,6.8299894,7.0670137,13.897003
17,1700,0.15599391,6.1272645,6.351807,12.479072
18,1800,0.15090859,5.515839,5.736768,11.252607
19,1900,0.14526962,4.9824634,5.2052226,10.187686
20,2000,0.14112534,4.5162473,4.743621,9.259869
21,2100,0.13705008,4.1077843,4.3406806,8.448465
22,2200,0.13253458,3.7492387,3.9872367,7.7364755
23,2300,0.12904736,3.433786,3.6757188,7.1095047
24,2400,0.12455515,3.15584,3.3999486,6.5557885
25,2500,0.12001658,2.9105377,3.1548145,6.0653524
26,2600,0.11652305,2.6935759,2.9360895,5.6296654
27,2700,0.113352776,2.5013278,2.7402587,5.2415867
28,2800,0.110055275,2.3307965,2.5643828,4.8951793
29,2900,0.10677274,2.1793013,2.4059982,4.5852995
30,3000,0.10384128,2.0445387,2.263009,4.3075476
31,3100,0.09911719,1.9244759,2.1337101,4.058186
32,3200,0.09365051,1.8173926,2.0165763,3.8339689
33,3300,0.08958828,1.7217873,1.9103441,3.6321316
34,3400,0.08630369,1.6364273,1.8139166,3.4503438
35,3500,0.08166812,1.5601454,1.7263482,3.2864935
36,3600,0.07785259,1.4919789,1.646807,3.1387858
37,3700,0.07341778,1.4310575,1.5745698,3.0056272
38,3800,0.067779996,1.3766508,1.5089762,2.885627
39,3900,0.0639064,1.3280861,1.449467,2.777553
40,4000,0.059957683,1.2848237,1.3955988,2.6804223
41,4100,0.055073448,1.246316,1.3468876,2.5932035
42,4200,0.0518686,1.2121556,1.3029325,2.515088
43,4300,0.047665343,1.1819017,1.263351,2.4452527
44,4400,0.044794023,1.1552235,1.227838,2.3830614
45,4500,0.04249741,1.1317792,1.196045,2.327824
46,4600,0.039661862,1.111263,1.1676855,2.2789485
47,4700,0.03757348,1.0933973,1.1425493,2.2359467
48,4800,0.036704756,1.0779805,1.120386,2.1983666
49,4900,0.034104213,1.0647527,1.1009594,2.165712
50,5000,0.03327536,1.0534879,1.0840662,2.1375542
51,5100,0.03382833,1.0439832,1.069488,2.1134713
52,5200,0.032389726,1.0360535,1.0570326,2.0930862
53,5300,0.03137246,1.0295254,1.0464872,2.0760126
54,5400,0.03079383,1.024194,1.0376544,2.0618484
55,5500,0.030307865,1.0198852,1.0303574,2.0502424
56,5600,0.029389799,1.0164387,1.0244118,2.0408506
57,5700,0.028758122,1.0137278,1.0196453,2.033373
58,5800,0.02852379,1.0116106,1.0158569,2.0274675
59,5900,0.028408337,1.0099996,1.0129187,2.0229182
60,6000,0.027656779,1.0088048,1.0106668,2.0194716
61,6100,0.027189938,1.0079135,1.0089743,2.0168877
62,6200,0.026492603,1.0072494,1.0077084,2.014958
63,6300,0.026524821,1.0067638,1.0067853,2.013549
64,6400,0.026020125,1.0064565,1.0061537,2.0126102
65,6500,0.02593891,1.006157,1.0056226,2.0117798
66,6600,0.025907585,1.0059782,1.0052925,2.0112708
67,6700,0.026012478,1.0058395,1.0050498,2.0108893
68,6800,0.025752097,1.0057164,1.004851,2.0105674
69,6900,0.025961354,1.0056294,1.004718,2.0103474
70,7000,0.025315123,1.005579,1.0046396,2.0102186
71,7100,0.02666292,1.0054947,1.0045407,2.0100355
72,7200,0.026123596,1.0054542,1.0045315,2.0099857
73,7300,0.026016554,1.0053903,1.0044501,2.0098405
74,7400,0.026122037,1.0053414,1.0044101,2.0097516
75,7500,0.025966305,1.0052997,1.0043876,2.0096874
76,7600,0.026487254,1.0052586,1.004369,2.0096276
77,7700,0.026004381,1.0052198,1.0043529,2.0095727
78,7800,0.027413039,1.0051876,1.0043467,2.0095344
79,7900,0.027735211,1.0051496,1.0043344,2.009484
80,8000,0.026072092,1.0051119,1.004332,2.0094438
81,8100,0.02577887,1.0050945,1.0043446,2.009439
82,8200,0.025828442,1.0050693,1.0043522,2.0094213
83,8300,0.025730887,1.0050534,1.0043635,2.009417
84,8400,0.025681263,1.005028,1.0043517,2.0093799
85,8500,0.02563733,1.0050061,1.0043502,2.0093563
86,8600,0.025485408,1.0049975,1.0043609,2.0093584
87,8700,0.025923198,1.0049745,1.0043665,2.009341
88,8800,0.025545591,1.00497,1.0043855,2.0093555
89,8900,0.025168156,1.0050321,1.0044825,2.0095146
90,9000,0.025175083,1.0049567,1.0044224,2.0093791
91,9100,0.025308033,1.00494,1.004444,2.0093842
92,9200,0.024928173,1.0049319,1.0044662,2.009398
93,9300,0.024827462,1.0049413,1.0045129,2.0094543
94,9400,0.02528005,1.0049239,1.0045224,2.0094464
95,9500,0.02551443,1.0049213,1.0045507,2.009472
96,9600,0.024726208,1.004931,1.004601,2.009532
97,9700,0.024633277,1.0049225,1.0046163,2.0095387
98,9800,0.024443539,1.0049237,1.0046448,2.0095685
99,9900,0.024348563,1.0049341,1.0046917,2.009626
100,10000,0.024207767,1.0049316,1.0047048,2.0096364
101,10100,0.02409951,1.0049523,1.0047615,2.0097136
102,10200,0.02416662,1.0049416,1.0047901,2.0097318
103,10300,0.024152497,1.0049429,1.0048285,2.0097713
104,10400,0.024045631,1.0049388,1.0048517,2.0097904
105,10500,0.023649156,1.0049474,1.0048796,2.0098271
106,10600,0.02382292,1.0049459,1.0049267,2.0098724
107,10700,0.023334485,1.0049592,1.004971,2.0099301
108,10800,0.023514356,1.0049676,1.0050303,2.0099978
109,10900,0.022804461,1.0049719,1.0050421,2.010014
110,11000,0.023039944,1.0049798,1.0051054,2.010085
111,11100,0.022783147,1.0049785,1.0051218,2.0101004
112,11200,0.022879945,1.0049804,1.0051632,2.0101438
113,11300,0.022603005,1.0049844,1.005205,2.0101895
114,11400,0.022418944,1.0049826,1.005256,2.0102386
115,11500,0.022192223,1.0049869,1.0052968,2.0102837
116,11600,0.022133693,1.0049965,1.0053428,2.0103393
117,11700,0.022085113,1.0050122,1.0053873,2.0103993
118,11800,0.022302901,1.0049987,1.005423,2.0104218
119,11900,0.02182559,1.0050238,1.0054638,2.0104876
120,12000,0.02188271,1.0050117,1.0054963,2.010508
121,12100,0.021782871,1.0050236,1.0055324,2.010556
122,12200,0.02184302,1.0050222,1.005565,2.0105872
123,12300,0.021999883,1.005025,1.0056049,2.01063
124,12400,0.021865072,1.0050325,1.0056391,2.0106716
125,12500,0.021685287,1.0050428,1.0056767,2.0107195
126,12600,0.021830017,1.0050488,1.005708,2.0107567
127,12700,0.022037784,1.0050771,1.0057541,2.0108314
128,12800,0.021756666,1.0050629,1.0057634,2.0108263
129,12900,0.021801194,1.0050784,1.0058091,2.0108876
130,13000,0.02173255,1.0050849,1.0058242,2.010909
131,13100,0.021656599,1.0050986,1.0058609,2.0109596
132,13200,0.021517983,1.0051069,1.0058852,2.010992
133,13300,0.02187242,1.0051097,1.0059,2.0110097
134,13400,0.021647083,1.0051246,1.0059165,2.0110412
135,13500,0.022505403,1.0051317,1.0059438,2.0110755
136,13600,0.021502243,1.00515,1.0059702,2.0111203
137,13700,0.021644404,1.0051547,1.0059832,2.011138
138,13800,0.022241252,1.0051662,1.0060104,2.0111766
139,13900,0.022003852,1.0051752,1.006031,2.0112062
140,14000,0.021962235,1.0051887,1.0060389,2.0112276
141,14100,0.021733213,1.0052058,1.0060674,2.0112731
142,14200,0.021957733,1.0052199,1.006092,2.011312
143,14300,0.02189994,1.0052296,1.0060941,2.0113237
144,14400,0.021744128,1.0052421,1.0061163,2.0113583
145,14500,0.02158467,1.0052613,1.0061346,2.011396
146,14600,0.021587553,1.0052723,1.0061407,2.011413
147,14700,0.022076694,1.0052882,1.0061597,2.011448
148,14800,0.021560768,1.0053073,1.0061684,2.0114756
149,14900,0.021663537,1.0053169,1.0061903,2.011507
150,15000,0.021678522,1.0053262,1.0062003,2.0115266
151,15100,0.021590605,1.0053428,1.0062139,2.0115566
152,15200,0.022541123,1.005352,1.0062165,2.0115685
153,15300,0.021641849,1.0053976,1.0062531,2.0116506
154,15400,0.0218075,1.0053805,1.0062338,2.0116143
155,15500,0.021356989,1.0053946,1.0062566,2.011651
156,15600,0.021475632,1.0054063,1.0062599,2.0116663
157,15700,0.020895652,1.0054158,1.0062697,2.0116854
158,15800,0.020958865,1.0054344,1.0062848,2.0117192
159,15900,0.021367477,1.0054474,1.0062985,2.011746
160,16000,0.021323584,1.0054666,1.0062793,2.011746
161,16100,0.020826332,1.0054868,1.0062912,2.0117779
162,16200,0.021105578,1.0054922,1.0062922,2.0117846
163,16300,0.021433683,1.0055056,1.0063187,2.0118241
164,16400,0.021235151,1.0055128,1.0062994,2.0118122
165,16500,0.021428272,1.0055239,1.0063169,2.0118408
166,16600,0.021224927,1.0055405,1.0063208,2.0118613
167,16700,0.021582115,1.0055524,1.0063365,2.011889
168,16800,0.021276044,1.0055612,1.0063401,2.0119014
169,16900,0.02164544,1.0055814,1.0063772,2.0119586
170,17000,0.023452852,1.0055891,1.0063708,2.01196
171,17100,0.02144779,1.0055984,1.0063684,2.0119667
172,17200,0.021621732,1.0056162,1.0064033,2.0120196
173,17300,0.02162521,1.0056239,1.0063807,2.0120046
174,17400,0.021699747,1.0056322,1.0063794,2.0120115
175,17500,0.0218126,1.0056514,1.0064204,2.0120716
176,17600,0.0217868,1.005691,1.0064516,2.0121427
177,17700,0.021758497,1.005667,1.0063938,2.0120606
178,17800,0.021508656,1.0056928,1.006451,2.0121439
179,17900,0.022461638,1.0056957,1.0064164,2.0121121
180,18000,0.021983145,1.0057129,1.0064498,2.0121627
181,18100,0.02185676,1.0057089,1.0064235,2.0121324
182,18200,0.022095032,1.0057199,1.0064313,2.0121512
183,18300,0.021772845,1.0057358,1.0064303,2.012166
184,18400,0.02178899,1.005743,1.0064393,2.0121822
185,18500,0.022236066,1.0057572,1.006442,2.0121992
186,18600,0.022170734,1.0057663,1.0064496,2.0122159
187,18700,0.02209932,1.0057732,1.0064362,2.0122094
188,18800,0.021978363,1.0057852,1.006443,2.0122283
189,18900,0.02357894,1.0057997,1.006461,2.0122607
190,19000,0.022001322,1.0058093,1.0064611,2.0122705
