,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2236488,49.10278,53.366314,2.0493817
1,100,0.49394563,45.693657,49.78463,1.9095657
2,200,0.21703757,41.98932,45.69062,1.7535987
3,300,0.17461438,38.016754,41.263954,1.5856141
4,400,0.15655601,34.134872,36.809883,1.4188951
5,500,0.1437496,30.42795,32.468853,1.2579361
6,600,0.13313915,26.947607,28.339157,1.1057353
7,700,0.12513341,23.73244,24.496645,0.9645817
8,800,0.11756901,20.806252,21.001509,0.83615524
9,900,0.11072068,18.179815,17.895216,0.72150064
10,1000,0.103125796,15.84954,15.194723,0.62088525
11,1100,0.09588207,13.801856,12.886586,0.53376883
12,1200,0.08820476,12.015437,10.941709,0.4591429
13,1300,0.08044258,10.462614,9.3195915,0.3956441
14,1400,0.07332507,9.115819,7.975583,0.34182805
15,1500,0.0666393,7.9508786,6.8664284,0.29634613
16,1600,0.059838235,6.9435873,5.9526644,0.25792503
17,1700,0.05345483,6.0752277,5.199707,0.22549869
18,1800,0.04711094,5.3270345,4.578394,0.19810855
19,1900,0.040896658,4.6835265,4.062724,0.174925
20,2000,0.03498108,4.130878,3.6319432,0.15525642
21,2100,0.030368287,3.6570606,3.2693138,0.13852748
22,2200,0.026455538,3.2523847,2.9628005,0.1243037
23,2300,0.0234347,2.9077215,2.7017918,0.11219026
24,2400,0.021220678,2.6151152,2.4772599,0.10184749
25,2500,0.019437158,2.3670523,2.2815483,0.09297201
26,2600,0.018022927,2.1569943,2.1075969,0.085291825
27,2700,0.017221048,1.9797397,1.9517536,0.078629866
28,2800,0.016795538,1.8305221,1.8107092,0.07282463
29,2900,0.01627153,1.7052064,1.6834084,0.06777229
30,3000,0.015755791,1.6003113,1.5696083,0.06339839
31,3100,0.015527427,1.5129355,1.470791,0.059674527
32,3200,0.015621985,1.4402491,1.3878268,0.056561515
33,3300,0.015573085,1.3804615,1.3204651,0.05401853
34,3400,0.015749779,1.3316916,1.2682679,0.051999185
35,3500,0.016017554,1.2922624,1.2300379,0.050446004
36,3600,0.016216552,1.2608652,1.204004,0.049297385
37,3700,0.016549183,1.2364639,1.1868577,0.048466433
38,3800,0.01689017,1.2177501,1.176814,0.04789128
39,3900,0.017237939,1.20369,1.1713257,0.047500312
40,4000,0.017427908,1.1935161,1.1687925,0.04724617
41,4100,0.017572977,1.1862134,1.1680908,0.047086086
42,4200,0.01758704,1.1815935,1.1680052,0.046991978
43,4300,0.017872402,1.1789994,1.1686349,0.046952683
44,4400,0.017877538,1.178099,1.1694307,0.046950597
45,4500,0.017801926,1.1779782,1.1700228,0.04696002
46,4600,0.017723106,1.1784548,1.1704146,0.046977386
47,4700,0.01760151,1.178936,1.1707171,0.046993066
48,4800,0.017470492,1.1795298,1.1702753,0.0469961
49,4900,0.017447732,1.1797593,1.1697257,0.046989698
50,5000,0.017448438,1.1799244,1.1688544,0.04697557
51,5100,0.017496217,1.179735,1.1678176,0.046951048
52,5200,0.017521044,1.1793957,1.1664993,0.046917897
53,5300,0.0175588,1.1786518,1.1650255,0.046873543
54,5400,0.017646095,1.1777748,1.1634748,0.046824988
55,5500,0.017789632,1.1767722,1.1618172,0.046771787
56,5600,0.017962178,1.1756428,1.1604128,0.046721116
57,5700,0.018012125,1.1743258,1.1588321,0.046663158
58,5800,0.018063527,1.1729155,1.1573669,0.046605643
