,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,0.31266007,49.10142,53.36526,2.0493336
1,100,0.09132785,45.084152,49.464634,1.8909756
2,200,0.0718921,40.662178,44.960293,1.7124493
3,300,0.06644927,36.249996,40.26297,1.5302594
4,400,0.06492094,32.005814,35.547962,1.3510754
5,500,0.063671686,28.02643,30.982944,1.1801875
6,600,0.062163167,24.376411,26.710865,1.0217456
7,700,0.06031315,21.082485,22.82233,0.8780963
8,800,0.058434572,18.15133,19.368074,0.7503881
9,900,0.05640698,15.5729265,16.367874,0.638816
10,1000,0.054263208,13.3261385,13.812153,0.5427658
11,1100,0.051744197,11.383199,11.668141,0.4610268
12,1200,0.04869176,9.715737,9.888722,0.3920892
13,1300,0.044985622,8.295228,8.421509,0.3343347
14,1400,0.040404666,7.092853,7.2153406,0.28616387
15,1500,0.036173508,6.079939,6.2245727,0.24609023
16,1600,0.03196251,5.2304125,5.4098134,0.21280453
17,1700,0.027720092,4.519436,4.7377315,0.18514335
18,1800,0.023993453,3.9259086,4.1818776,0.16215572
19,1900,0.020573154,3.431156,3.7195299,0.14301372
20,2000,0.017693961,3.0182817,3.3326635,0.12701891
21,2100,0.014994037,2.6736093,3.0068238,0.113608666
22,2200,0.012692159,2.3857162,2.7299511,0.10231335
23,2300,0.010828358,2.1448333,2.492987,0.092756405
24,2400,0.009507367,1.943765,2.287516,0.084625624
25,2500,0.008287641,1.7758331,2.106501,0.07764668
26,2600,0.0073947376,1.6356126,1.9445498,0.071603246
27,2700,0.006570002,1.5186504,1.7975901,0.06632481
28,2800,0.0058637406,1.4215674,1.6634952,0.06170125
29,2900,0.0053899423,1.3414465,1.5418859,0.057666644
30,3000,0.004895889,1.275912,1.4342663,0.054203566
31,3100,0.0046809847,1.222525,1.3420922,0.05129234
32,3200,0.004431201,1.1797519,1.266691,0.048928857
33,3300,0.0042799823,1.1462599,1.2077442,0.04708008
34,3400,0.00421264,1.1206887,1.1636429,0.04568663
35,3500,0.00426174,1.1015965,1.1322123,0.044676173
36,3600,0.0042636325,1.0878158,1.1109934,0.04397618
37,3700,0.004323914,1.0779997,1.097689,0.043513775
38,3800,0.004349283,1.0715245,1.0900435,0.04323136
39,3900,0.0043758648,1.0674678,1.0860536,0.043070428
40,4000,0.0044300216,1.065292,1.0844803,0.04299544
41,4100,0.0045594443,1.0643182,1.0842357,0.042971075
42,4200,0.004681092,1.0643958,1.0848987,0.042985886
43,4300,0.0047791745,1.0649977,1.08602,0.043020353
44,4400,0.0048112157,1.0658388,1.087134,0.043059453
45,4500,0.004852713,1.0670774,1.0885398,0.043112345
46,4600,0.0049491404,1.0684906,1.0900292,0.043170393
47,4700,0.004968207,1.0697709,1.0912278,0.043219976
48,4800,0.0050254595,1.0711391,1.0922549,0.04326788
49,4900,0.0050660023,1.0724075,1.0929786,0.04330772
50,5000,0.0051076827,1.0734463,1.0933172,0.043335266
51,5100,0.0052061663,1.0744257,1.093607,0.04336065
52,5200,0.005214178,1.0752095,1.0934865,0.043373916
53,5300,0.0051768,1.0757543,1.0931567,0.04337822
54,5400,0.005212597,1.0762534,1.0927343,0.043379754
55,5500,0.005171885,1.0765343,1.092281,0.0433763
56,5600,0.005145975,1.0766753,1.0916313,0.04336613
57,5700,0.0051506218,1.0766658,1.0910221,0.043353755
58,5800,0.005170323,1.0767162,1.0905048,0.04334442
59,5900,0.005097327,1.0764133,1.0897105,0.043322477
60,6000,0.005135367,1.0762622,1.0891852,0.043308947
61,6100,0.0051270006,1.0759718,1.0885186,0.043289807
62,6200,0.0050922316,1.075561,1.0876895,0.043265007
63,6300,0.0050700344,1.075373,1.0871942,0.043251343
64,6400,0.0050482643,1.0748273,1.0863938,0.04322442
65,6500,0.0050334167,1.0745962,1.0859528,0.043210976
66,6600,0.005062616,1.0743456,1.0854222,0.043195352
67,6700,0.0050447993,1.0738337,1.0847034,0.043170743
68,6800,0.005051082,1.0735995,1.0841411,0.04315481
