,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2235366,49.102688,53.366367,2.049381
1,100,0.48502046,45.674675,49.777153,1.9090365
2,200,0.20915847,41.923378,45.61757,1.7508188
3,300,0.1636892,37.918278,41.165768,1.5816809
4,400,0.14425738,34.008415,36.69668,1.4141018
5,500,0.13035344,30.284206,32.33499,1.252384
6,600,0.11941159,26.789612,28.184797,1.0994881
7,700,0.11122655,23.564222,24.32857,0.9578558
8,800,0.10458539,20.634005,20.835213,0.82938427
9,900,0.09766044,18.010002,17.742857,0.7150572
10,1000,0.09085577,15.689001,15.061137,0.61500275
11,1100,0.084570244,13.655054,12.773873,0.5285786
12,1200,0.0787644,11.883876,10.850558,0.45468867
13,1300,0.07262737,10.346556,9.24788,0.39188874
14,1400,0.066067785,9.015663,7.9202056,0.33871737
15,1500,0.059614092,7.8642836,6.825164,0.29378894
16,1600,0.053533543,6.869809,5.9238873,0.25587392
17,1700,0.047923405,6.0121646,5.180525,0.2238538
18,1800,0.042364728,5.2732067,4.5667915,0.19679996
19,1900,0.03728473,4.636526,4.057978,0.17389007
20,2000,0.03256772,4.0897107,3.6343448,0.1544811
21,2100,0.028764255,3.621836,3.2802968,0.13804266
22,2200,0.025502482,3.2219238,2.9815211,0.12406889
23,2300,0.022941777,2.8809876,2.7281384,0.11218252
24,2400,0.020670235,2.590938,2.510706,0.10203288
25,2500,0.01906298,2.3453279,2.3212225,0.09333101
26,2600,0.017896878,2.1374774,2.1533697,0.085816935
27,2700,0.017175026,1.9621174,2.000987,0.079262085
28,2800,0.01703601,1.8143948,1.8604983,0.07349786
29,2900,0.01655798,1.6903863,1.730148,0.06841068
30,3000,0.01643236,1.5865219,1.6103939,0.06393831
31,3100,0.01626903,1.4995943,1.5030409,0.060052704
32,3200,0.015886148,1.4276663,1.4106957,0.056767236
33,3300,0.015784701,1.3683224,1.3349173,0.05406479
34,3400,0.015999218,1.3196228,1.27592,0.05191086
35,3500,0.016112613,1.2806464,1.2326585,0.0502661
36,3600,0.016182438,1.2494913,1.2027568,0.04904496
37,3700,0.016293101,1.2257118,1.1839129,0.04819249
38,3800,0.016215023,1.2080718,1.1731056,0.04762355
39,3900,0.016124735,1.195322,1.1676474,0.047259387
40,4000,0.015990555,1.1865258,1.1658636,0.047047786
41,4100,0.015944002,1.1806781,1.1656964,0.04692749
42,4200,0.015878025,1.1775049,1.1661586,0.046873268
43,4300,0.015894776,1.1760076,1.1669886,0.04685992
44,4400,0.015786886,1.1756575,1.1680517,0.046874184
45,4500,0.01581695,1.175918,1.169161,0.046901576
46,4600,0.015773386,1.1764485,1.1697093,0.046923153
47,4700,0.015758075,1.1773045,1.1696473,0.046939038
48,4800,0.015718933,1.1777169,1.1693816,0.046941966
49,4900,0.015669195,1.1782217,1.16847,0.04693383
50,5000,0.0156038515,1.1784487,1.1672263,0.046913497
51,5100,0.015582088,1.1782796,1.1659825,0.04688524
52,5200,0.015539723,1.1778401,1.16471,0.046851005
53,5300,0.015501494,1.1771635,1.1632707,0.04680868
54,5400,0.015539363,1.1763088,1.1617951,0.046762075
55,5500,0.0154966,1.1752794,1.1603292,0.046712168
56,5600,0.015596029,1.1740519,1.1587876,0.046656787
57,5700,0.01536234,1.1728039,1.1572549,0.046601176
58,5800,0.015422365,1.1715618,1.1556865,0.046544965
59,5900,0.015334381,1.1702721,1.1539093,0.04648363
60,6000,0.015412187,1.1687824,1.1521958,0.04641956
61,6100,0.0153030725,1.167553,1.1508598,0.046368256
62,6200,0.015258233,1.1660928,1.1492094,0.04630604
63,6300,0.015197509,1.1646609,1.1478672,0.046250563
64,6400,0.0152155645,1.1632104,1.1464517,0.046193242
65,6500,0.015243331,1.1617838,1.1452997,0.046141673
66,6600,0.014951582,1.160264,1.1439487,0.04608425
67,6700,0.014819471,1.1588137,1.1425664,0.0460276
68,6800,0.014718393,1.1574261,1.1413352,0.045975227
69,6900,0.014606427,1.1562166,1.1402127,0.045928583
70,7000,0.014447125,1.1548814,1.1387808,0.04587324
71,7100,0.0143250935,1.1536978,1.1376232,0.04582642
72,7200,0.014299458,1.1524305,1.1364211,0.045777034
73,7300,0.014250762,1.1512024,1.1353457,0.045730963
74,7400,0.014172417,1.1499313,1.134238,0.045683384
75,7500,0.013974103,1.1487412,1.1331884,0.045638587
76,7600,0.014080569,1.1476986,1.1321347,0.045596667
77,7700,0.014042476,1.1467038,1.1311435,0.045556944
78,7800,0.014026411,1.1455073,1.130172,0.045513585
79,7900,0.014019545,1.1447288,1.1294047,0.04548267
80,8000,0.014004869,1.1437856,1.1283946,0.045443602
81,8100,0.013901666,1.1429757,1.1274511,0.045408536
82,8200,0.013769507,1.1420846,1.1264671,0.045371037
83,8300,0.013629526,1.1412898,1.1257854,0.0453415
84,8400,0.013576362,1.1403587,1.1250657,0.045308486
85,8500,0.013574111,1.1396194,1.1242615,0.045277614
86,8600,0.0136355385,1.1388826,1.1236001,0.045249652
87,8700,0.013415563,1.1382855,1.1228602,0.045222912
88,8800,0.013403352,1.1377187,1.1220224,0.04519482
89,8900,0.013335632,1.1370484,1.1214769,0.045170505
90,9000,0.013359203,1.13637,1.1207758,0.045142915
91,9100,0.012542512,1.1355895,1.1199508,0.045110807
92,9200,0.012332294,1.1350327,1.1194377,0.045089405
93,9300,0.012168739,1.1345701,1.118877,0.04506894
94,9400,0.0121048605,1.1340891,1.1184111,0.04505
95,9500,0.012186891,1.1334896,1.1177951,0.04502569
96,9600,0.012196003,1.1329194,1.1173213,0.045004815
97,9700,0.012034474,1.1324183,1.1169491,0.044987343
98,9800,0.012031597,1.1320928,1.1165303,0.04497246
99,9900,0.0118655255,1.1315894,1.115884,0.044949464
100,10000,0.0120383715,1.1312295,1.115211,0.044928808
101,10100,0.012018179,1.1309206,1.1147422,0.04491325
102,10200,0.012002069,1.130557,1.1142315,0.04489577
103,10300,0.0121136,1.1301849,1.1136746,0.04487719
104,10400,0.012093473,1.1299708,1.1132575,0.04486457
105,10500,0.012173375,1.1295768,1.1126224,0.044843983
106,10600,0.012230474,1.1294075,1.1119695,0.044827536
107,10700,0.012203304,1.1291628,1.1114123,0.044811502
108,10800,0.012444493,1.1288897,1.1110026,0.044797845
109,10900,0.012300085,1.128468,1.1104248,0.044777855
110,11000,0.012362053,1.1282753,1.1100814,0.04476713
111,11100,0.012303488,1.1279995,1.1094639,0.044749267
112,11200,0.012249006,1.1276363,1.1088154,0.04472903
113,11300,0.012379214,1.1274288,1.1083505,0.044715583
114,11400,0.012195661,1.1272314,1.1077299,0.044699226
115,11500,0.012244722,1.1270616,1.1069945,0.04468112
116,11600,0.012206775,1.1268253,1.1063352,0.04466321
117,11700,0.012104778,1.1265715,1.105517,0.04464177
118,11800,0.012212069,1.1263796,1.1048344,0.04462428
119,11900,0.012120887,1.1260937,1.1042062,0.044605996
120,12000,0.012132691,1.1259086,1.1036485,0.04459114
121,12100,0.01186789,1.1256878,1.1029269,0.044572294
122,12200,0.011722457,1.125573,1.1023113,0.044557683
123,12300,0.011656429,1.125109,1.1015533,0.04453324
124,12400,0.011703502,1.1248244,1.1009558,0.044515602
