,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.92237425,84.290245,121.40816
1,100,0.1221683,84.32401,121.41627
2,200,0.08123866,84.31858,121.40045
3,300,0.077805154,84.258896,121.332924
4,400,0.07566286,84.19319,121.271385
5,500,0.07329107,84.12882,121.221825
6,600,0.07057094,84.068146,121.18316
7,700,0.067728624,84.012405,121.155426
8,800,0.06462948,83.96338,121.13833
9,900,0.06132205,83.92127,121.132904
10,1000,0.057981063,83.88623,121.13695
11,1100,0.054609753,83.857994,121.14763
12,1200,0.051065195,83.8346,121.16231
13,1300,0.047603264,83.81039,121.17213
14,1400,0.04408811,83.781456,121.16549
15,1500,0.040385254,83.73161,121.1239
16,1600,0.036704455,83.64338,121.01883
17,1700,0.033202626,83.487175,120.810165
18,1800,0.029769057,83.22549,120.44256
19,1900,0.02646204,82.79775,119.82195
20,2000,0.023483798,82.12263,118.81961
21,2100,0.020926591,81.09794,117.27197
22,2200,0.018772557,79.577576,114.99375
23,2300,0.016920988,77.37545,111.67292
24,2400,0.015287623,74.3216,106.98172
25,2500,0.014022145,70.26437,100.61414
26,2600,0.013032419,65.06045,92.31363
27,2700,0.0121571,58.684464,82.08677
28,2800,0.011408877,51.362537,70.32575
29,2900,0.010837631,43.45594,57.75875
30,3000,0.010445047,35.5136,45.441933
31,3100,0.010110797,28.24142,34.508934
32,3200,0.009842159,22.047285,25.600706
33,3300,0.009610852,17.120783,18.886763
34,3400,0.009490224,13.410153,14.120825
35,3500,0.009319185,10.737468,10.879568
36,3600,0.009208333,8.837387,8.707994
37,3700,0.009100508,7.5061917,7.266306
38,3800,0.00893111,6.585139,6.310913
39,3900,0.008858743,5.945891,5.6721983
40,4000,0.008756459,5.4936447,5.2382445
41,4100,0.008681074,5.1773505,4.9390316
42,4200,0.008548975,4.946366,4.733077
43,4300,0.008520789,4.777402,4.585392
44,4400,0.008444692,4.664913,4.4823346
45,4500,0.00840149,4.579115,4.406855
46,4600,0.008396309,4.5085897,4.3477297
47,4700,0.008256991,4.443789,4.293746
48,4800,0.008214798,4.3935447,4.256834
49,4900,0.00814929,4.3583684,4.2231903
50,5000,0.008110327,4.3227835,4.186453
51,5100,0.008069906,4.2945795,4.1582003
52,5200,0.00802106,4.267414,4.1346908
53,5300,0.008006931,4.241169,4.1166997
54,5400,0.008051901,4.219898,4.1026106
55,5500,0.007998294,4.205091,4.0906286
56,5600,0.007911667,4.1931605,4.082171
57,5700,0.007900628,4.180772,4.0760803
58,5800,0.007855695,4.1732426,4.071858
59,5900,0.007828033,4.165968,4.0667644
60,6000,0.007815997,4.1597047,4.062876
61,6100,0.0077954098,4.1505165,4.057175
62,6200,0.007796649,4.14114,4.052325
63,6300,0.007783484,4.1328464,4.0475583
64,6400,0.007822654,4.1299753,4.0447087
65,6500,0.007808352,4.12303,4.0374293
