,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.99010295,0.9835613,46.79368,52.751587
1,100,0.2665214,0.4354633,46.770824,52.811497
2,200,0.18040183,0.3762117,46.81697,52.801437
3,300,0.14388981,0.34564573,46.84734,52.755974
4,400,0.11299671,0.3123153,46.876167,52.723656
5,500,0.09245418,0.28500393,46.883007,52.683037
6,600,0.0787537,0.25814578,46.835728,52.60469
7,700,0.07057305,0.23902473,46.756893,52.479584
8,800,0.06564763,0.22338857,46.643253,52.31766
9,900,0.062155273,0.20280473,46.46635,52.12975
10,1000,0.059106234,0.19139743,46.29983,51.91951
11,1100,0.056222737,0.18038838,46.107784,51.692894
12,1200,0.053677045,0.17017753,45.89396,51.448578
13,1300,0.051312085,0.1561595,45.634083,51.18722
14,1400,0.048940584,0.14689381,45.352337,50.89821
15,1500,0.04677023,0.14019966,45.08813,50.5814
16,1600,0.04457362,0.13079801,44.764595,50.2393
17,1700,0.04246796,0.12281629,44.390507,49.85861
18,1800,0.040408228,0.11756414,44.05759,49.4314
19,1900,0.038432725,0.11189145,43.673584,48.949074
20,2000,0.036461618,0.104265064,43.22357,48.419186
21,2100,0.03455398,0.09770324,42.713566,47.808697
22,2200,0.032646585,0.09257901,42.261013,47.10647
23,2300,0.030762842,0.086360954,41.726894,46.28281
24,2400,0.02904355,0.079442196,41.13145,45.34923
25,2500,0.027497184,0.07212308,40.451176,44.245766
26,2600,0.025947187,0.06809072,39.829807,42.97901
27,2700,0.024505917,0.06396991,39.129765,41.474846
28,2800,0.023245186,0.05862736,38.333332,39.884468
29,2900,0.021818047,0.053907387,37.522415,38.023308
30,3000,0.020412534,0.050491005,36.70788,35.944523
31,3100,0.019113353,0.04705124,35.7913,33.63919
32,3200,0.018022621,0.043605376,34.817924,31.202131
33,3300,0.016954452,0.040044565,33.872906,28.692364
34,3400,0.01602818,0.039304085,32.870914,26.156511
35,3500,0.015461773,0.037324518,31.907969,23.730375
