,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9911262,0.984292,46.75105,52.71017
1,100,0.37257087,0.5472707,42.437748,48.33736
2,200,0.23910107,0.46530747,38.08169,43.597366
3,300,0.20834225,0.45092696,33.795998,38.761703
4,400,0.19633426,0.44740275,29.769463,34.097294
5,500,0.19224529,0.45061272,26.110813,29.785473
6,600,0.19078305,0.45303068,22.860973,25.921236
7,700,0.19001894,0.4559078,20.012112,22.529879
8,800,0.18807593,0.4570477,17.534754,19.591347
9,900,0.18561402,0.45838964,15.391303,17.064835
10,1000,0.18380891,0.46085638,13.542938,14.900926
11,1100,0.1812971,0.46272236,11.951985,13.0495
12,1200,0.17738836,0.4628574,10.583383,11.463887
13,1300,0.17301284,0.46171176,9.405166,10.10305
14,1400,0.1683381,0.4604967,8.389329,8.932213
15,1500,0.16401848,0.45780408,7.511663,7.922754
16,1600,0.15783201,0.45370078,6.7515993,7.050098
17,1700,0.1512998,0.44882265,6.0911727,6.293986
18,1800,0.14471954,0.44532114,5.515139,5.6375804
19,1900,0.1367033,0.44013017,5.0107174,5.0666857
20,2000,0.13011673,0.43347287,4.567343,4.569213
21,2100,0.123378836,0.4267844,4.1761336,4.1351657
22,2200,0.11515163,0.41778725,3.8295012,3.7557096
23,2300,0.10627366,0.40996164,3.5213077,3.4234633
24,2400,0.09769253,0.40176782,3.2464662,3.1318476
25,2500,0.089757524,0.39398676,3.0007486,2.8752823
26,2600,0.08303823,0.38553092,2.7804081,2.6493418
27,2700,0.07619831,0.3798155,2.582716,2.4499888
28,2800,0.068868645,0.37265873,2.4050376,2.2739275
29,2900,0.063199915,0.36410514,2.2452166,2.118018
30,3000,0.05702362,0.3560026,2.101483,1.9799392
31,3100,0.051439267,0.34664387,1.9722518,1.8574805
32,3200,0.047206104,0.3377325,1.8561289,1.7486775
33,3300,0.04344727,0.32979605,1.7519085,1.652026
34,3400,0.039857365,0.31969076,1.6583327,1.5661931
35,3500,0.03702596,0.30887204,1.5743464,1.4899538
36,3600,0.033901222,0.29717824,1.4991881,1.4222734
37,3700,0.031066421,0.28277388,1.4320801,1.3623097
38,3800,0.02842388,0.2658482,1.3722938,1.3094412
39,3900,0.026219234,0.25106543,1.3192071,1.2628372
40,4000,0.023483705,0.2367999,1.2722386,1.2219622
41,4100,0.021515444,0.22335537,1.2308481,1.1862589
42,4200,0.019518962,0.20772919,1.1945741,1.1553452
43,4300,0.017937567,0.19110866,1.1629516,1.1287689
44,4400,0.016380258,0.17470367,1.1355406,1.1060945
45,4500,0.015486168,0.16429046,1.1120598,1.0870013
46,4600,0.014705994,0.15671661,1.0921403,1.0711287
47,4700,0.014020797,0.13626118,1.0754192,1.0581378
48,4800,0.013557443,0.13251913,1.0615429,1.0477221
49,4900,0.013504104,0.12113389,1.0502688,1.0395151
50,5000,0.013481163,0.117508255,1.0412399,1.0331931
51,5100,0.012646921,0.115297355,1.0341451,1.0284274
52,5200,0.012191048,0.11312324,1.0286907,1.0249056
53,5300,0.01206709,0.11238743,1.0245619,1.0223668
54,5400,0.012258371,0.11178138,1.0215386,1.020555
55,5500,0.012137174,0.11057228,1.0193555,1.0193281
56,5600,0.012180081,0.110113636,1.017801,1.0185349
57,5700,0.012108153,0.11012563,1.0166937,1.0180244
58,5800,0.012152332,0.10962415,1.0159383,1.0176858
59,5900,0.011788898,0.10912391,1.015399,1.0173743
60,6000,0.011805627,0.10891026,1.0150324,1.0171652
61,6100,0.01179442,0.108550966,1.0146816,1.0169618
62,6200,0.011505719,0.10772368,1.0143965,1.0168179
63,6300,0.011729823,0.091652,1.0141294,1.0166774
64,6400,0.011515925,0.08915472,1.0139234,1.0165715
65,6500,0.011435948,0.08830859,1.0137651,1.016517
66,6600,0.0113386465,0.0884221,1.0136096,1.0164845
67,6700,0.011229949,0.08846565,1.0134826,1.0164757
68,6800,0.011192007,0.08895365,1.0133857,1.0165027
69,6900,0.0111569725,0.08909773,1.013289,1.0165753
70,7000,0.011095498,0.089376874,1.0131923,1.0166348
71,7100,0.01107437,0.08964908,1.0131241,1.0167129
72,7200,0.010904205,0.08976739,1.0130897,1.0168204
73,7300,0.010827697,0.09003074,1.0130587,1.0169336
74,7400,0.010872299,0.090099216,1.0130368,1.017065
75,7500,0.010700655,0.09033615,1.0129858,1.0172017
76,7600,0.010718621,0.09037022,1.012928,1.0173143
77,7700,0.010471862,0.09071327,1.0128937,1.0174289
78,7800,0.010505581,0.09103832,1.0128484,1.0175362
79,7900,0.010257723,0.091402024,1.0128098,1.0176519
80,8000,0.010166677,0.09149231,1.012775,1.0177594
81,8100,0.010284285,0.091617696,1.0127622,1.0178578
82,8200,0.010156087,0.09198825,1.0127476,1.0179603
83,8300,0.010247735,0.09254629,1.0127351,1.0180604
84,8400,0.01005467,0.09290003,1.012723,1.0181257
85,8500,0.010156157,0.0932167,1.012739,1.0182459
86,8600,0.010229143,0.093644045,1.0127416,1.0183429
87,8700,0.010010518,0.09397069,1.0127625,1.018439
88,8800,0.010102736,0.09396336,1.0127845,1.0185692
89,8900,0.010150332,0.09451165,1.0127894,1.0186447
90,9000,0.010099557,0.093990564,1.0128019,1.0187315
91,9100,0.009962645,0.09421205,1.0128213,1.0188144
92,9200,0.0100527415,0.09423251,1.0128316,1.0189267
93,9300,0.009957543,0.09448218,1.0128514,1.0190052
94,9400,0.010038507,0.09431214,1.012881,1.0191101
95,9500,0.0098333005,0.094366975,1.0128814,1.0191755
96,9600,0.01001146,0.09432787,1.0128986,1.0192748
97,9700,0.009843515,0.0945449,1.0129035,1.0193307
98,9800,0.010024239,0.09435677,1.0129362,1.0194178
99,9900,0.010026177,0.09454066,1.0129479,1.0194525
100,10000,0.009784867,0.09428525,1.0129912,1.0195174
101,10100,0.010037085,0.094166175,1.0130237,1.0195765
102,10200,0.009801895,0.09413906,1.0130497,1.0195992
103,10300,0.009919894,0.094101325,1.0130781,1.0196719
104,10400,0.01002464,0.0947278,1.0130978,1.0196658
105,10500,0.009851691,0.09405,1.0131241,1.0197551
106,10600,0.009842061,0.09433317,1.0131593,1.0197502
107,10700,0.010109859,0.09411122,1.0131884,1.0198377
108,10800,0.009804855,0.09415087,1.0132116,1.0198537
109,10900,0.009787082,0.09420058,1.0132381,1.0198913
110,11000,0.0100848535,0.09400668,1.0132813,1.0199528
111,11100,0.009868427,0.094214864,1.013318,1.0199459
112,11200,0.009847077,0.09402806,1.0133446,1.0199825
113,11300,0.0098041985,0.093802296,1.0133904,1.0200318
114,11400,0.009888666,0.093654074,1.0134102,1.0200858
115,11500,0.009786543,0.09356091,1.013447,1.0201335
116,11600,0.010007995,0.09359646,1.0134681,1.0201542
117,11700,0.009770763,0.09356318,1.0135044,1.0201815
118,11800,0.009774246,0.09347848,1.0135419,1.0202084
119,11900,0.010102248,0.09348794,1.0135701,1.020265
120,12000,0.009926192,0.09341125,1.013608,1.0202768
121,12100,0.00992392,0.09334598,1.0136671,1.0203186
122,12200,0.009767773,0.09340658,1.0136806,1.0202968
123,12300,0.009792605,0.09337044,1.0137146,1.0203229
124,12400,0.0096908305,0.093304604,1.0137542,1.020324
125,12500,0.009800811,0.09348748,1.0137758,1.0203516
