,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9941575,0.9863786,46.794064,52.75191
1,100,0.3894521,0.5099977,46.70635,52.75771
2,200,0.22623685,0.36519086,46.738533,52.735714
3,300,0.18661274,0.31393182,46.707275,52.68273
4,400,0.16122156,0.27466574,46.65261,52.624775
5,500,0.13842905,0.24112082,46.60865,52.565475
6,600,0.12140595,0.21388428,46.588062,52.517944
7,700,0.10833512,0.19940637,46.575714,52.47853
8,800,0.09780926,0.18407372,46.569054,52.444836
9,900,0.08934521,0.17734854,46.56171,52.410572
10,1000,0.08275758,0.17002535,46.547718,52.372448
11,1100,0.077824324,0.16739106,46.52699,52.328217
12,1200,0.07400688,0.162037,46.495907,52.272823
13,1300,0.07098053,0.16148254,46.459217,52.209354
14,1400,0.068349734,0.15929262,46.41025,52.138165
15,1500,0.066295154,0.15804489,46.350506,52.05754
16,1600,0.06449526,0.159141,46.281776,51.967747
17,1700,0.06290367,0.1561026,46.200226,51.868637
18,1800,0.06125569,0.15759256,46.1122,51.760838
19,1900,0.059614647,0.15642065,46.011814,51.645557
20,2000,0.057855535,0.15695293,45.90241,51.52146
21,2100,0.056106888,0.15429029,45.78204,51.385586
22,2200,0.054446615,0.15538856,45.65279,51.240055
23,2300,0.05287984,0.15381277,45.51203,51.08392
24,2400,0.051233646,0.1516507,45.360912,50.91816
25,2500,0.04954737,0.15184811,45.201035,50.740936
26,2600,0.047810085,0.14834791,45.02855,50.55117
27,2700,0.04610229,0.14805996,44.846306,50.3468
28,2800,0.04425352,0.14456013,44.65162,50.124207
29,2900,0.0424538,0.14043295,44.44453,49.88103
30,3000,0.040801942,0.13902612,44.224968,49.614494
31,3100,0.039082248,0.13527438,43.990444,49.3218
32,3200,0.037422538,0.13328408,43.74117,49.00031
33,3300,0.03577095,0.12878521,43.47564,48.647175
34,3400,0.034058787,0.12416016,43.191723,48.253296
35,3500,0.03239137,0.118749514,42.885834,47.80843
36,3600,0.030731732,0.112643205,42.55788,47.309875
37,3700,0.02920738,0.108397864,42.208897,46.747303
38,3800,0.027765056,0.102385685,41.83693,46.105934
39,3900,0.026412712,0.09376096,41.440685,45.373955
40,4000,0.025074417,0.08864349,41.01143,44.525997
41,4100,0.02381404,0.08113592,40.536327,43.549763
42,4200,0.022673052,0.07395901,40.01324,42.434387
43,4300,0.021659836,0.06791073,39.436836,41.17477
44,4400,0.020529294,0.060139913,38.805073,39.744457
45,4500,0.01950656,0.053975638,38.111362,38.15415
46,4600,0.018652523,0.048723277,37.337112,36.391026
47,4700,0.0177785,0.044632316,36.479225,34.467255
48,4800,0.017007781,0.041752797,35.526375,32.407852
49,4900,0.016233625,0.04205241,34.493546,30.231432
50,5000,0.015594093,0.047433227,33.366245,28.008047
51,5100,0.015063223,0.04471106,32.127796,25.768661
52,5200,0.014644917,0.0508679,30.8095,23.555891
53,5300,0.014292655,0.04153194,29.377161,21.430447
54,5400,0.014043511,0.043675367,27.89519,19.443245
55,5500,0.013701801,0.04675878,26.373459,17.563581
56,5600,0.013363957,0.04348461,24.782991,15.916956
57,5700,0.013122398,0.04826655,23.209126,14.449052
58,5800,0.013062432,0.046837598,21.625435,13.179997
59,5900,0.012829942,0.04847914,20.0383,12.081935
60,6000,0.012705669,0.038913712,18.475174,11.135644
61,6100,0.012539915,0.029201958,16.9195,10.308998
62,6200,0.012459693,0.04612119,15.769494,9.584513
63,6300,0.01244524,0.040178806,14.495233,8.964736
64,6400,0.012329575,0.045466326,13.390055,8.441
65,6500,0.012223898,0.04536766,12.388923,7.998541
66,6600,0.012079798,0.041900545,11.464152,7.616673
67,6700,0.011936673,0.0453358,10.699153,7.280987
68,6800,0.011852335,0.04225403,9.972667,6.995511
69,6900,0.011811839,0.041015953,9.344983,6.757074
70,7000,0.011697465,0.039675523,8.801597,6.5558968
71,7100,0.011529079,0.04078759,8.33174,6.3842607
72,7200,0.011526705,0.045925062,7.950583,6.2388954
73,7300,0.011460965,0.041789394,7.5893564,6.1110272
74,7400,0.011290256,0.04601115,7.2961974,5.992235
75,7500,0.011163818,0.044274997,7.015432,5.886633
76,7600,0.011096341,0.04509317,6.767112,5.7611737
77,7700,0.011057092,0.037773978,6.5197225,5.6588793
78,7800,0.010854934,0.04675151,6.343011,5.5605445
79,7900,0.010595799,0.04435656,6.1615963,5.4757943
80,8000,0.010405112,0.04576033,6.0195394,5.4083443
81,8100,0.010263799,0.044672348,5.893701,5.3532085
82,8200,0.0101038655,0.044123475,5.779759,5.302834
83,8300,0.009899687,0.03870063,5.661332,5.248713
84,8400,0.009801077,0.044684168,5.5816493,5.1973066
85,8500,0.009662851,0.04307628,5.491774,5.1527786
86,8600,0.0095832115,0.040607702,5.4069614,5.1075583
87,8700,0.0095211575,0.04385213,5.3475943,5.0806885
88,8800,0.00950506,0.038624573,5.267785,5.0522304
89,8900,0.009317236,0.038473614,5.194494,5.017485
90,9000,0.009247534,0.044028193,5.165132,4.9890175
91,9100,0.009195994,0.03999033,5.1094127,4.959304
92,9200,0.009110519,0.04060351,5.068523,4.935328
93,9300,0.009028973,0.041222285,5.0303354,4.909552
94,9400,0.008902141,0.038412053,4.9904346,4.883002
95,9500,0.008775875,0.03768659,4.9500804,4.853624
96,9600,0.008713634,0.0401556,4.9370766,4.831598
97,9700,0.00863009,0.03852793,4.901582,4.8104362
98,9800,0.008552345,0.043787878,4.8879833,4.7937207
99,9900,0.008501359,0.03865567,4.8555923,4.768053
100,10000,0.00841806,0.03924597,4.8354344,4.744445
101,10100,0.00833709,0.042812455,4.8321505,4.7245507
102,10200,0.008209561,0.045532543,4.8155427,4.7034335
103,10300,0.0081870025,0.036802683,4.787196,4.672174
104,10400,0.008026269,0.031491138,4.7635193,4.6530356
105,10500,0.0079508955,0.042952824,4.772907,4.634851
106,10600,0.007915718,0.035517152,4.7382193,4.6066556
107,10700,0.007819917,0.032016043,4.710536,4.5890656
108,10800,0.0077032004,0.035321105,4.7254605,4.5581803
109,10900,0.007598223,0.041348234,4.7260795,4.536968
110,11000,0.0075047985,0.03731678,4.692168,4.511289
111,11100,0.007441419,0.04139955,4.6963615,4.4892488
112,11200,0.0073507354,0.033787705,4.6674724,4.4747543
113,11300,0.0073600765,0.040489156,4.6602335,4.449911
114,11400,0.007277192,0.042191625,4.6495085,4.428895
115,11500,0.007270329,0.037237722,4.6153984,4.4030423
116,11600,0.0072030732,0.03580922,4.595001,4.3748612
117,11700,0.007170294,0.037855268,4.5736113,4.3527856
118,11800,0.0071122353,0.033220697,4.555425,4.3263116
119,11900,0.0071068374,0.03539578,4.527044,4.3076873
120,12000,0.0071268277,0.041896038,4.54011,4.2836175
121,12100,0.0071077817,0.03571492,4.509136,4.265885
122,12200,0.007254459,0.03496319,4.501724,4.233964
123,12300,0.007157453,0.043105904,4.499066,4.2166185
124,12400,0.0071854903,0.04335833,4.48997,4.1947155
125,12500,0.007266553,0.04198562,4.464159,4.173375
126,12600,0.0071960823,0.0364104,4.4348125,4.160604
127,12700,0.007215943,0.039037067,4.437308,4.1456137
128,12800,0.0072007403,0.039323226,4.427988,4.1452394
129,12900,0.0072777416,0.03573409,4.387134,4.138286
130,13000,0.0072151464,0.0371781,4.3906946,4.1275654
131,13100,0.0072251232,0.04007405,4.395206,4.1263266
132,13200,0.0072090477,0.04280617,4.385582,4.122405
133,13300,0.007208641,0.04347224,4.383541,4.1157885
134,13400,0.00728383,0.037869584,4.36255,4.1025214
135,13500,0.0071779415,0.037703734,4.3543878,4.1007023
136,13600,0.0072172494,0.04215161,4.358998,4.1026254
137,13700,0.0072115697,0.04277553,4.3528028,4.0960946
138,13800,0.0071939914,0.04057158,4.3436575,4.097807
139,13900,0.0071748635,0.040811177,4.3345523,4.091078
140,14000,0.007143396,0.038179673,4.3185477,4.0909395
141,14100,0.007167157,0.036796715,4.3151197,4.086889
142,14200,0.007098352,0.042109117,4.3266115,4.082539
143,14300,0.0070842695,0.0425354,4.322302,4.0788164
144,14400,0.0070706503,0.043958824,4.3217516,4.0766587
145,14500,0.007072009,0.040031154,4.306015,4.069605
146,14600,0.0072401436,0.035462398,4.1904163,4.0748563
147,14700,0.006962983,0.03714374,4.267032,4.0677257
148,14800,0.006963221,0.039794575,4.2988605,4.061309
149,14900,0.006973501,0.04116165,4.305651,4.057814
150,15000,0.0069867014,0.041455146,4.31035,4.05785
151,15100,0.007029885,0.040544763,4.2999816,4.053746
152,15200,0.0070261434,0.041442182,4.309367,4.053972
153,15300,0.0070099416,0.04092678,4.30624,4.0527596
154,15400,0.007023015,0.039369736,4.2971582,4.047581
155,15500,0.0070250817,0.0392011,4.295793,4.0465455
156,15600,0.0070324494,0.041218657,4.2975025,4.04461
157,15700,0.006987679,0.039110914,4.2979064,4.0423265
158,15800,0.006991525,0.04287453,4.307421,4.0449286
159,15900,0.0070698145,0.038853105,4.2873993,4.040771
160,16000,0.00700674,0.040038526,4.2950463,4.036745
161,16100,0.0069936137,0.04103919,4.301347,4.033185
162,16200,0.007008254,0.038439997,4.2933736,4.030286
163,16300,0.0069747996,0.0386786,4.2693934,4.029667
164,16400,0.0069739795,0.0435312,4.2930245,4.0274196
165,16500,0.0069589587,0.03845317,4.286997,4.02796
166,16600,0.006949499,0.041725285,4.289043,4.0271473
167,16700,0.006970372,0.042999025,4.2929068,4.0240297
168,16800,0.006932098,0.03866662,4.286053,4.0244546
169,16900,0.0069652516,0.0351785,4.259143,4.026072
170,17000,0.0069410154,0.039968263,4.2784505,4.018256
171,17100,0.0069381003,0.03950563,4.2819524,4.017316
172,17200,0.006903935,0.041540284,4.271854,4.0160847
173,17300,0.0069472548,0.04053124,4.2763014,4.0099273
174,17400,0.0069436957,0.03888479,4.263605,4.013326
175,17500,0.0069806017,0.040219255,4.27912,4.0076685
176,17600,0.0069659133,0.04289744,4.281523,4.012104
177,17700,0.006993126,0.041583043,4.2753983,4.0087614
178,17800,0.0069559375,0.04197383,4.277545,4.008498
179,17900,0.006959822,0.04111741,4.278407,4.007241
