,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,9.649771,8.88023,47.936527,47.936527
1,100,15.235613,1.5627686,48.129738,48.129738
2,200,8.282771,1.5224371,44.154915,44.154915
3,300,3.0169926,1.4907066,28.38178,28.38178
4,400,2.0154934,1.4739277,14.521663,14.521663
5,500,1.8052708,1.4703789,9.835723,9.835723
6,600,1.7259798,1.4669315,7.9840302,7.9840302
7,700,1.7119989,1.4671988,7.976285,7.976285
8,800,1.7066799,1.4647822,7.976163,7.976163
9,900,1.7059791,1.4655116,7.9754443,7.9754443
10,1000,1.7040799,1.4644835,7.974412,7.974412
11,1100,1.7034559,1.4654903,7.9731154,7.9731154
12,1200,1.7010957,1.4649057,7.972055,7.972055
13,1300,1.7014343,1.4660625,7.9711576,7.9711576
14,1400,1.6994143,1.4650451,7.9703918,7.9703918
15,1500,1.7007678,1.4660554,7.96993,7.96993
16,1600,1.6991154,1.4653771,7.969769,7.969769
17,1700,1.6972919,1.4649701,7.969362,7.969362
18,1800,1.6985244,1.4654124,7.9690995,7.9690995
19,1900,1.6978079,1.4662341,7.9689455,7.9689455
20,2000,1.6976665,1.4643093,7.9685335,7.9685335
21,2100,1.6984447,1.4664315,7.968978,7.968978
22,2200,1.6992434,1.4654773,7.968197,7.968197
23,2300,1.6989098,1.4661087,7.967967,7.967967
24,2400,1.6984731,1.4650068,7.9678664,7.9678664
25,2500,1.6981031,1.4646629,7.967747,7.967747
26,2600,1.6979562,1.4644231,7.967417,7.967417
27,2700,1.6976001,1.4648254,7.9678493,7.9678493
28,2800,1.6993062,1.4663167,7.967411,7.967411
29,2900,1.6980051,1.464897,7.967578,7.967578
30,3000,1.6972437,1.4642509,7.9672174,7.9672174
31,3100,1.6970476,1.4644496,7.967136,7.967136
32,3200,1.6971805,1.4644098,7.967918,7.967918
33,3300,1.6991105,1.4652597,7.9676385,7.9676385
34,3400,1.6980059,1.4650519,7.9671025,7.9671025
35,3500,1.6978317,1.465186,7.9677033,7.9677033
36,3600,1.6996034,1.4657203,7.9669304,7.9669304
37,3700,1.6986533,1.4661088,7.966742,7.966742
38,3800,1.6984936,1.4650232,7.9667497,7.9667497
39,3900,1.6983969,1.4644474,7.967029,7.967029
40,4000,1.6997778,1.464612,7.966803,7.966803
41,4100,1.699405,1.4649487,7.9665427,7.9665427
42,4200,1.7005295,1.4660842,7.9663057,7.9663057
43,4300,1.6985605,1.4662203,7.96656,7.96656
44,4400,1.700769,1.4664809,7.966727,7.966727
45,4500,1.6992608,1.4650958,7.966104,7.966104
46,4600,1.7001364,1.4665768,7.9658647,7.9658647
47,4700,1.6991457,1.4645534,7.965933,7.965933
48,4800,1.6988428,1.4647931,7.966171,7.966171
49,4900,1.7003089,1.4656595,7.966237,7.966237
50,5000,1.6988355,1.4643072,7.965496,7.965496
51,5100,1.7002379,1.4651082,7.9655933,7.9655933
52,5200,1.6993761,1.4645704,7.965699,7.965699
53,5300,1.6993825,1.4639609,7.965958,7.965958
54,5400,1.7007179,1.465346,7.9657145,7.9657145
55,5500,1.6997668,1.465188,7.965363,7.965363
56,5600,1.6990288,1.4642122,7.9655833,7.9655833
57,5700,1.6993496,1.465336,7.965445,7.965445
58,5800,1.6994858,1.4664198,7.9655814,7.9655814
59,5900,1.6990923,1.4647354,7.96568,7.96568
60,6000,1.6985257,1.4638364,7.965445,7.965445
61,6100,1.698381,1.4655312,7.9655833,7.9655833
62,6200,1.6995705,1.4649118,7.965528,7.965528
63,6300,1.6996758,1.4656603,7.9657807,7.9657807
64,6400,1.6994605,1.4646466,7.965272,7.965272
65,6500,1.6989014,1.4644058,7.9656215,7.9656215
66,6600,1.6986563,1.4640055,7.965082,7.965082
67,6700,1.6997291,1.4654069,7.966771,7.966771
68,6800,1.6992489,1.4651802,7.9660296,7.9660296
69,6900,1.6988727,1.4639878,7.9651775,7.9651775
70,7000,1.6977654,1.464082,7.965335,7.965335
71,7100,1.6985629,1.4643252,7.964995,7.964995
72,7200,1.6991794,1.464716,7.965251,7.965251
73,7300,1.699052,1.4653457,7.96606,7.96606
74,7400,1.698317,1.4644035,7.9650936,7.9650936
75,7500,1.7003477,1.4659212,7.9654164,7.9654164
76,7600,1.7017583,1.4672096,7.9657106,7.9657106
77,7700,1.6990288,1.4642628,7.965128,7.965128
78,7800,1.6989015,1.4644309,7.9651585,7.9651585
79,7900,1.7002869,1.4671764,7.9656367,7.9656367
80,8000,1.6989139,1.463994,7.9653616,7.9653616
81,8100,1.6991061,1.4641069,7.9650025,7.9650025
82,8200,1.6989555,1.4651481,7.965367,7.965367
83,8300,1.6998961,1.4656819,7.9652743,7.9652743
84,8400,1.6988069,1.4640886,7.9652095,7.9652095
85,8500,1.6985118,1.4638288,7.9651313,7.9651313
86,8600,1.69881,1.4641267,7.9650235,7.9650235
87,8700,1.6994811,1.4698424,7.984826,7.984826
88,8800,1.6981791,1.4636848,7.9649377,7.9649377
89,8900,1.6983426,1.463704,7.9648814,7.9648814
90,9000,1.6982298,1.4637054,7.9648733,7.9648733
91,9100,1.7007782,1.4661757,7.965614,7.965614
92,9200,1.6982995,1.4635977,7.964972,7.964972
93,9300,1.6984792,1.463697,7.9648924,7.9648924
94,9400,1.6989136,1.4646405,7.965272,7.965272
95,9500,1.7000962,1.4652836,7.9653306,7.9653306
96,9600,1.6993766,1.4639293,7.9649057,7.9649057
97,9700,1.7003912,1.4654788,7.965519,7.965519
98,9800,1.6992173,1.4636583,7.964932,7.964932
99,9900,1.6988393,1.4638046,7.9650083,7.9650083
