,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,4.484208,4.21413,47.934708,47.934708
1,100,0.4271952,0.08469173,36.741165,36.741165
2,200,0.14387076,0.07099482,19.495308,19.495308
3,300,0.10010476,0.06405478,11.925355,11.925355
4,400,0.09799962,0.063222714,11.692709,11.692709
5,500,0.0977534,0.06297588,11.656861,11.656861
6,600,0.09767432,0.06288619,11.64228,11.64228
7,700,0.0973184,0.062681496,11.646343,11.646343
8,800,0.09700496,0.0625248,11.646619,11.646619
9,900,0.097326666,0.06241758,11.632804,11.632804
