,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,1.0218351,1.0230047,27.304295,27.518522
1,100,1.0171134,0.94433075,27.263756,27.515335
2,200,0.9019622,0.7303202,27.075546,27.465786
3,300,0.610129,0.41317338,26.82779,27.239437
4,400,0.4377747,0.2467586,26.693836,27.035694
5,500,0.35798836,0.16672201,26.444218,26.748587
6,600,0.31759933,0.12066967,26.105808,26.417812
7,700,0.29482445,0.091562405,25.78435,26.084383
8,800,0.28229,0.07166852,25.483984,25.743153
9,900,0.27533665,0.057122912,25.191664,25.394258
10,1000,0.27103543,0.046522994,24.919813,25.059568
11,1100,0.26864085,0.03840166,24.658594,24.727169
12,1200,0.26734656,0.032123744,24.39223,24.394644
13,1300,0.2674689,0.027042773,24.115904,24.080667
14,1400,0.2668788,0.02312422,23.842016,23.777609
15,1500,0.266148,0.02001217,23.572842,23.47219
16,1600,0.26629418,0.017415896,23.301775,23.172047
17,1700,0.26678908,0.015206212,23.024004,22.873606
18,1800,0.2668953,0.013347573,22.756939,22.57157
19,1900,0.26741716,0.011755436,22.48473,22.27007
20,2000,0.26754054,0.010421552,22.209118,21.96346
21,2100,0.26680496,0.0092740785,21.92137,21.638567
22,2200,0.26595846,0.00826538,21.633532,21.31138
23,2300,0.2652348,0.0074117873,21.348654,20.985226
24,2400,0.2649265,0.0066690557,21.05207,20.659561
25,2500,0.26475382,0.0060731447,20.753454,20.329481
26,2600,0.26457936,0.0054985844,20.456156,20.000648
27,2700,0.26396832,0.005006242,20.14905,19.654968
28,2800,0.26352626,0.0045739673,19.844631,19.31283
29,2900,0.26350713,0.004196004,19.538668,18.97216
30,3000,0.26329648,0.0038730837,19.22387,18.628624
31,3100,0.26334798,0.0035841854,18.905348,18.29052
32,3200,0.26292217,0.0033302407,18.591557,17.957985
33,3300,0.2627722,0.003098136,18.286306,17.637218
34,3400,0.2623855,0.0028754415,17.98663,17.31322
35,3500,0.26157734,0.0027004913,17.700266,16.99644
36,3600,0.26090056,0.0025511452,17.42792,16.694172
37,3700,0.26053837,0.0024181814,17.172445,16.41724
38,3800,0.2606339,0.0022774374,16.931446,16.164333
39,3900,0.26042482,0.0021567936,16.69155,15.932926
40,4000,0.25999737,0.0020403748,16.457565,15.722894
41,4100,0.2599124,0.0019275218,16.241081,15.525489
42,4200,0.25983986,0.001828527,16.044254,15.347525
43,4300,0.25943896,0.0017339066,15.853152,15.186665
44,4400,0.25916353,0.0016423004,15.678819,15.045804
45,4500,0.25898984,0.0015695144,15.528854,14.931592
46,4600,0.258732,0.0014983927,15.389091,14.834099
47,4700,0.25855577,0.0014343609,15.276588,14.768923
48,4800,0.25867057,0.0013709057,15.179103,14.715045
49,4900,0.25903925,0.001320343,15.101404,14.68274
50,5000,0.2597922,0.0012694406,15.037538,14.654126
51,5100,0.26037097,0.0012206795,14.988882,14.636821
52,5200,0.2604888,0.0011756165,14.947461,14.627622
53,5300,0.26090255,0.0011290241,14.9089365,14.6350975
54,5400,0.26102933,0.0010880652,14.885051,14.661622
55,5500,0.26124427,0.0010514411,14.853723,14.685633
56,5600,0.26179752,0.0010205515,14.827052,14.71516
57,5700,0.2620888,0.0009933043,14.809284,14.753831
58,5800,0.2625732,0.0009558499,14.796783,14.79617
59,5900,0.26336944,0.00091522554,14.801296,14.847031
60,6000,0.26358622,0.00089167693,14.804995,14.890236
61,6100,0.2636291,0.00087186287,14.809651,14.928314
62,6200,0.26381424,0.0008551703,14.809775,14.960013
63,6300,0.26396197,0.0008342668,14.820891,14.995334
64,6400,0.26404896,0.00081513164,14.836802,15.028939
65,6500,0.2639744,0.0007878257,14.83603,15.051114
66,6600,0.26405278,0.0007726632,14.841574,15.064623
67,6700,0.26387393,0.0007535267,14.842285,15.078864
68,6800,0.26400605,0.00073600706,14.853928,15.096338
69,6900,0.26420447,0.00071930233,14.858915,15.118289
70,7000,0.26418906,0.00070277724,14.87666,15.14053
71,7100,0.26394358,0.0006852622,14.902518,15.158482
72,7200,0.26385206,0.0006676546,14.924489,15.16927
73,7300,0.2640281,0.0006644813,14.95249,15.178313
74,7400,0.26388726,0.00063851423,14.976616,15.185677
75,7500,0.26393953,0.00062369485,15.001675,15.191505
