,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9900942,0.9835633,46.793827,52.75157
1,100,0.26582137,0.43910664,46.77366,52.812553
2,200,0.17915906,0.39265049,46.82561,52.80126
3,300,0.14201702,0.37699392,46.870174,52.754555
4,400,0.11135857,0.3628966,46.927563,52.719685
5,500,0.09128048,0.35326925,46.970455,52.679012
6,600,0.07736013,0.34561387,46.980255,52.59819
7,700,0.069187395,0.33999932,46.94183,52.468395
8,800,0.064392865,0.3356966,46.861214,52.30374
9,900,0.061135978,0.3321363,46.746788,52.11372
10,1000,0.058443733,0.3272678,46.599037,51.90149
11,1100,0.055742897,0.32188427,46.41987,51.666676
12,1200,0.052990306,0.31600705,46.20873,51.410492
13,1300,0.050242446,0.30898625,45.970345,51.13149
14,1400,0.04770856,0.30183926,45.706787,50.832188
15,1500,0.045042485,0.29322153,45.419186,50.509823
16,1600,0.042580273,0.28465915,45.105595,50.16247
17,1700,0.039984506,0.27480832,44.760494,49.78412
18,1800,0.037413888,0.26299745,44.384506,49.369568
19,1900,0.03497235,0.25018921,43.977486,48.911427
20,2000,0.03254357,0.23636502,43.539406,48.39817
21,2100,0.030275552,0.2207711,43.060658,47.81402
22,2200,0.02821804,0.20505059,42.540295,47.140038
23,2300,0.026369093,0.18948364,41.972294,46.341774
24,2400,0.024678765,0.17307186,41.33822,45.3995
25,2500,0.02319539,0.15691307,40.649033,44.293095
26,2600,0.021837085,0.1421915,39.88925,43.008728
27,2700,0.020560365,0.12763199,39.034615,41.496864
28,2800,0.01924544,0.113066934,38.067883,39.74834
29,2900,0.018064052,0.097320534,36.95863,37.73506
30,3000,0.01711358,0.086436644,35.69068,35.45374
31,3100,0.01630038,0.07868863,34.283554,32.973278
32,3200,0.015660612,0.07527919,32.71878,30.306158
33,3300,0.015087341,0.06842732,31.013933,27.514744
34,3400,0.014532863,0.062444996,29.174885,24.70624
35,3500,0.014055947,0.057353456,27.225523,21.97092
36,3600,0.013701151,0.05220847,25.196981,19.394493
37,3700,0.013311136,0.049684156,23.105318,17.029484
38,3800,0.013068411,0.048558958,20.997093,14.939954
39,3900,0.013077029,0.047954973,18.895672,13.120818
40,4000,0.01302195,0.047258526,16.908978,11.564587
41,4100,0.012836714,0.046888817,15.078128,10.275339
42,4200,0.012754146,0.046857882,13.437594,9.237494
43,4300,0.01256517,0.04679221,12.013065,8.391132
44,4400,0.012335427,0.046672374,10.7887335,7.699727
45,4500,0.012144316,0.04672042,9.763059,7.162947
46,4600,0.011951283,0.046680506,8.8969965,6.737946
47,4700,0.011638855,0.046527445,8.164659,6.386409
48,4800,0.0113007175,0.046277724,7.577804,6.102599
49,4900,0.010886191,0.045945156,7.0788736,5.8655744
50,5000,0.010525666,0.04563796,6.6791277,5.685933
51,5100,0.010309727,0.045510586,6.3587427,5.535128
52,5200,0.010089015,0.045355324,6.088665,5.406408
53,5300,0.009855987,0.045210734,5.8620486,5.3082256
54,5400,0.0096549485,0.045057226,5.6735315,5.222546
55,5500,0.00941152,0.044929884,5.5102916,5.147674
56,5600,0.009175835,0.044685807,5.3629165,5.0760508
57,5700,0.009036281,0.044687275,5.2295027,5.0124393
58,5800,0.008805739,0.044631552,5.1351833,4.9607077
59,5900,0.00867514,0.04460137,5.0573936,4.907481
60,6000,0.008582726,0.044568587,5.004038,4.8568244
61,6100,0.008469317,0.044517376,4.9558835,4.8062267
62,6200,0.008375438,0.044476118,4.8919396,4.7600527
63,6300,0.008293286,0.04445971,4.840794,4.7244534
64,6400,0.008262262,0.044458102,4.797754,4.696393
65,6500,0.008241375,0.04452136,4.7595067,4.6684365
66,6600,0.008183411,0.044557534,4.720718,4.6445527
67,6700,0.008166569,0.044672083,4.6786313,4.617141
68,6800,0.008134281,0.04469753,4.632454,4.59443
69,6900,0.008043129,0.044561464,4.5941916,4.567662
70,7000,0.0079390155,0.044439577,4.5612946,4.544883
71,7100,0.007827814,0.04436023,4.5424953,4.52934
72,7200,0.00778589,0.04429528,4.5246425,4.5169067
73,7300,0.0077577317,0.04427266,4.5084996,4.506203
74,7400,0.007703504,0.04429264,4.494787,4.496447
75,7500,0.0076687657,0.044247534,4.481155,4.4840374
76,7600,0.0077075306,0.04432881,4.4687543,4.4726768
77,7700,0.007674389,0.04435407,4.4568076,4.4627504
78,7800,0.0076707955,0.044355094,4.443524,4.449254
79,7900,0.0076620067,0.044395816,4.433401,4.43709
80,8000,0.00766266,0.04443627,4.4194326,4.4280415
81,8100,0.007715693,0.044367652,4.4021964,4.4102015
82,8200,0.00767933,0.04425967,4.378068,4.3908143
83,8300,0.0075987424,0.044130914,4.3581843,4.3741884
84,8400,0.007531201,0.044015903,4.331654,4.3563733
85,8500,0.0075469874,0.043978628,4.3074875,4.3357043
86,8600,0.0075304885,0.04392905,4.284693,4.316228
87,8700,0.007509553,0.04384756,4.2583165,4.2863
88,8800,0.007488069,0.04384483,4.228372,4.2487483
89,8900,0.007518922,0.043939892,4.1894712,4.2078333
90,9000,0.007542087,0.04403941,4.156804,4.1674614
91,9100,0.007630363,0.044107277,4.1382484,4.1298156
92,9200,0.0076075844,0.044153366,4.1258492,4.1104097
93,9300,0.007583686,0.044194847,4.1153574,4.0960393
94,9400,0.0075666932,0.044173602,4.1054654,4.0812654
95,9500,0.007568398,0.044152755,4.1000257,4.0684724
96,9600,0.0075399666,0.044144,4.097082,4.0592675
97,9700,0.0075304774,0.044152778,4.0926085,4.0519834
98,9800,0.007514758,0.04411453,4.0901856,4.045031
99,9900,0.0075047654,0.04416274,4.0888996,4.041246
100,10000,0.0074871145,0.044086426,4.0894957,4.036302
101,10100,0.007504365,0.04407724,4.089094,4.032541
102,10200,0.0075025167,0.044054795,4.0887947,4.0285172
103,10300,0.0074783415,0.044031788,4.0882244,4.0249953
104,10400,0.007458702,0.044028115,4.087897,4.0212464
105,10500,0.007478416,0.043986578,4.087793,4.0184326
106,10600,0.0074564475,0.04399995,4.0888453,4.0150933
107,10700,0.0074497433,0.04393242,4.0898004,4.0111365
108,10800,0.007459022,0.04395294,4.0905356,4.008909
109,10900,0.0074643376,0.043987412,4.0910945,4.0085077
110,11000,0.007485597,0.044070765,4.0916715,4.007828
111,11100,0.007481223,0.044001557,4.09106,4.0059333
112,11200,0.0074834162,0.043982994,4.090518,4.0048003
113,11300,0.0074763275,0.04395097,4.0899577,4.0027757
114,11400,0.0074815443,0.043957528,4.087932,4.00098
115,11500,0.0074853236,0.043947075,4.085902,3.9995694
116,11600,0.0074669896,0.04392138,4.0844803,3.9986076
117,11700,0.0074612405,0.043911375,4.0840006,3.9969342
118,11800,0.0074717356,0.04390825,4.083463,3.9950368
119,11900,0.0074820095,0.043878607,4.083373,3.9936533
120,12000,0.007481125,0.04388753,4.0831823,3.992801
121,12100,0.0074712834,0.043913215,4.0834975,3.99153
122,12200,0.0074762306,0.04386848,4.0829372,3.9898055
123,12300,0.007465258,0.04390385,4.0830927,3.9890838
124,12400,0.0074946615,0.043836743,4.082682,3.9877656
125,12500,0.0074791047,0.04387814,4.0828776,3.9869003
126,12600,0.007475565,0.04387521,4.082819,3.9859202
127,12700,0.007477739,0.0438657,4.0824623,3.9862263
128,12800,0.0074824234,0.043842718,4.08231,3.9854906
129,12900,0.0074780793,0.04383099,4.08269,3.9847336
130,13000,0.007484759,0.04381701,4.0813007,3.983288
131,13100,0.0074787852,0.04385114,4.0821395,3.9835534
132,13200,0.007476478,0.043849286,4.0819545,3.9827144
133,13300,0.0074907914,0.043875445,4.0817146,3.9811587
134,13400,0.007493718,0.043852556,4.081135,3.9797628
135,13500,0.007482555,0.043849118,4.081683,3.9790967
136,13600,0.007468812,0.043903094,4.0825524,3.9789915
137,13700,0.007467033,0.043854382,4.083104,3.9782803
138,13800,0.007467703,0.043887872,4.0838556,3.977838
139,13900,0.0074644885,0.043841925,4.0848446,3.9764698
140,14000,0.0074904757,0.043880988,4.0856147,3.9765031
141,14100,0.007477634,0.04390807,4.086307,3.976229
142,14200,0.0075169145,0.043853924,4.08581,3.9750056
143,14300,0.007497408,0.04384365,4.0863466,3.9747446
144,14400,0.007511843,0.043873,4.0862355,3.9733562
145,14500,0.007508765,0.043914497,4.086421,3.9728537
146,14600,0.007498584,0.043886602,4.0863204,3.971799
147,14700,0.0075130463,0.04392063,4.0863385,3.9723217
