,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.86238784,0.88806057,46.671947,52.67527
1,100,0.015963588,0.059075065,27.255976,16.791267
2,200,0.010985948,0.042054642,9.930532,7.139986
3,300,0.010810194,0.039938718,6.8371916,5.936027
4,400,0.021822691,0.044888277,6.5023236,6.2833123
5,500,0.009321489,0.04023692,5.564782,5.3955455
6,600,0.008572762,0.04339374,5.5269947,5.3277287
7,700,0.008915276,0.040412635,5.427568,5.2454915
8,800,0.009905312,0.04354298,5.4014783,5.3123584
9,900,0.014848808,0.044305544,5.594453,5.4332476
10,1000,0.016241018,0.047390923,5.39731,5.3184524
11,1100,0.00957954,0.043606233,5.2240233,5.188498
12,1200,0.008885628,0.041974347,5.392083,5.413505
13,1300,0.70422935,0.71835184,1.439088,1.5964959
14,1400,0.48931167,0.52262294,1.392879,1.5112289
15,1500,0.4898734,0.5228196,1.388462,1.4852138
16,1600,0.48904318,0.52221733,1.3925426,1.475316
17,1700,0.48104292,0.51483876,1.4006009,1.4738936
18,1800,0.47855073,0.50937223,1.4138134,1.4788771
19,1900,0.4708443,0.501808,1.4204743,1.479615
20,2000,0.43584546,0.4649248,1.4318302,1.492725
21,2100,0.42650598,0.45679528,1.4398937,1.4918175
22,2200,0.3830387,0.416666,1.4508674,1.4940482
23,2300,0.3336229,0.36824855,1.4694653,1.505507
24,2400,0.48357427,0.5083654,1.4523765,1.4569335
25,2500,0.34083945,0.38137326,1.5158726,1.5337023
26,2600,0.3079654,0.3422775,1.5095717,1.5117902
27,2700,0.22651201,0.25331417,1.5109178,1.5048829
28,2800,0.21986471,0.24558231,1.5227666,1.5287589
29,2900,0.21758704,0.24195617,1.5291547,1.531496
30,3000,0.21639983,0.23942512,1.5379816,1.5460364
31,3100,0.13471968,0.16089363,1.5716643,1.9231234
32,3200,0.11946682,0.14579272,1.6009932,1.804142
33,3300,0.11826145,0.14387202,1.6292645,1.8305131
34,3400,0.11738608,0.14176801,1.6680124,1.9104687
35,3500,0.11618748,0.14058669,1.7664984,2.2718508
36,3600,0.09944144,0.124222025,2.0480046,3.5172396
37,3700,0.07297523,0.10703971,2.2455308,3.509723
38,3800,0.07966378,0.11267359,2.3294663,3.7060626
39,3900,0.08194426,0.11803454,2.4016619,3.8897471
40,4000,0.076358825,0.10794028,2.46924,4.047238
41,4100,0.07330468,0.10274589,2.5554073,4.186937
42,4200,0.07060209,0.09909137,2.6413183,4.330534
43,4300,0.06152383,0.088759854,2.8094153,4.835784
44,4400,0.044017594,0.08866115,3.2241025,4.685017
45,4500,0.04327299,0.093289256,3.6594436,4.956359
46,4600,0.036015946,0.09424099,4.0628195,4.7417636
47,4700,0.03293288,0.09380782,4.181609,4.7474055
48,4800,0.033501014,0.09452099,4.2235684,4.591726
49,4900,0.03408145,0.097459,4.2908335,4.574367
50,5000,0.032819364,0.094895974,4.419943,4.7082233
51,5100,0.029788211,0.092455305,4.697693,5.0422206
52,5200,0.02027804,0.06944483,5.2851887,5.675858
53,5300,0.01835331,0.058744334,5.6319556,5.759953
54,5400,0.019107262,0.05397597,5.8424654,5.802504
55,5500,0.017476894,0.057520483,6.130743,6.1001525
56,5600,0.019542597,0.051463306,6.1475773,6.0921526
57,5700,0.018802967,0.049445387,6.1542907,6.081948
58,5800,0.017500198,0.050436795,6.216253,6.2080455
59,5900,0.01703592,0.04421859,6.2028136,6.2693
60,6000,0.017368305,0.060355425,6.2022786,6.3533196
61,6100,0.016573427,0.060278952,6.2731404,6.526543
62,6200,0.01748006,0.058498323,6.2366977,6.4827876
63,6300,0.018819531,0.06129809,6.295449,6.559079
64,6400,0.017506827,0.058220487,6.264571,6.579952
65,6500,0.01730828,0.056974035,6.2769737,6.680842
66,6600,0.019682607,0.056271706,6.2781196,6.75516
67,6700,0.02059775,0.055962965,6.271913,6.8700604
68,6800,0.01691416,0.052237306,6.2622027,6.8812175
69,6900,0.0192924,0.053252812,6.290853,6.9261904
70,7000,0.019151134,0.05263012,6.3289814,7.0203457
71,7100,0.017628739,0.050884355,6.358045,7.0483527
72,7200,0.018495454,0.050715804,6.3205814,7.1152124
73,7300,0.01816028,0.048851345,6.293182,7.163234
74,7400,0.018157074,0.048720013,6.3061686,7.1259913
75,7500,0.017976826,0.048006874,6.356352,7.1023984
76,7600,0.019607982,0.04789136,6.327695,7.0967746
77,7700,0.020109966,0.04781557,6.296703,7.044308
78,7800,0.018967466,0.046800073,6.248961,7.000839
79,7900,0.020013923,0.04831676,6.2248487,6.8824787
80,8000,0.01911557,0.04749306,6.2311378,6.9343147
81,8100,0.019680887,0.0477538,6.2187953,6.931185
82,8200,0.022202918,0.05012851,6.277501,6.913175
83,8300,0.019846069,0.046568703,6.3183265,7.0041533
84,8400,0.020066459,0.047774885,6.339314,6.9641623
85,8500,0.01902825,0.045443177,6.3486,7.0454655
86,8600,0.017845813,0.04619945,6.217292,6.834552
87,8700,0.01824836,0.04643345,6.190246,6.803341
88,8800,0.017337367,0.044985194,6.2021008,6.7827578
89,8900,0.016382348,0.044597726,6.131371,6.6461434
90,9000,0.01658054,0.045339294,6.134425,6.6232047
91,9100,1.5736389,1.5892695,2.711997,3.8423743
92,9200,0.2697628,0.3051594,2.95027,4.4102635
93,9300,0.20946887,0.24735658,2.8243115,4.0035954
94,9400,0.18500607,0.22195815,2.7688725,3.7604876
95,9500,0.18107381,0.21996044,2.7382858,3.5544596
96,9600,0.18071504,0.22231126,2.7322707,3.4213667
97,9700,0.17896849,0.22104292,2.7009795,3.2540922
98,9800,0.1791491,0.2223307,2.6941383,3.1628697
99,9900,0.17863075,0.2228959,2.6941197,3.081161
100,10000,0.17906165,0.22323969,2.6863189,3.0129836
101,10100,0.17667048,0.21920455,2.6744156,3.0393
102,10200,0.17842335,0.21410622,2.6570938,2.927641
103,10300,0.18107213,0.21004137,2.6196754,2.7547674
104,10400,0.17440063,0.19530481,2.636661,2.8216386
105,10500,0.1740555,0.18858665,2.5735455,2.6731577
106,10600,0.16369794,0.16988504,3.1589117,2.4058805
107,10700,0.1390142,0.14778545,3.8549902,4.3601627
108,10800,0.057988465,0.08247742,4.7380867,5.12208
109,10900,0.040631704,0.059267413,4.5558534,4.764298
110,11000,0.035989527,0.053409707,4.871433,5.6511974
111,11100,0.03411536,0.053030655,4.900254,5.2599597
112,11200,0.034122936,0.05141415,5.00983,5.0591807
113,11300,0.044581626,0.06285407,5.06761,5.058429
114,11400,0.03406521,0.04992507,5.2739277,5.278881
115,11500,0.0345787,0.05086695,5.4934196,5.4960976
116,11600,0.032348827,0.04809228,5.687061,5.666847
117,11700,0.031223686,0.04757576,5.723325,5.637748
118,11800,0.03026672,0.04604604,6.1140146,5.772376
119,11900,0.035655186,0.05151118,5.827556,5.6744714
120,12000,0.03133199,0.04818232,5.8686323,5.703586
121,12100,0.03248222,0.048411284,5.8877916,5.738971
122,12200,0.03220472,0.04988917,5.959672,5.6831746
123,12300,0.03203301,0.048114263,6.025414,5.8783846
124,12400,0.03090524,0.048031695,5.9492526,5.7158656
125,12500,0.03849895,0.054744646,5.9736195,5.725979
126,12600,0.03191184,0.049376294,5.955517,5.6873856
