,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9848292,0.97949404,46.794163,52.751987
1,100,0.13215123,0.39435184,46.99094,52.894447
2,200,0.1068008,0.3925269,47.17145,52.9941
3,300,0.1050915,0.39321685,47.207577,53.012142
4,400,0.10494332,0.39343554,47.21524,53.01607
5,500,0.10497419,0.39349136,47.216988,53.016983
6,600,0.10498258,0.39350152,47.217415,53.01725
7,700,0.10498449,0.39350355,47.21746,53.01725
8,800,0.10498471,0.393504,47.217426,53.017284
9,900,0.10498472,0.39350352,47.217415,53.017273
10,1000,0.10498471,0.39350355,47.217426,53.017273
11,1100,0.1049847,0.39350325,47.217403,53.01726
12,1200,0.10498471,0.39350423,47.21745,53.01725
13,1300,0.1049847,0.39350328,47.21745,53.01725
14,1400,0.10229152,0.3922261,47.31073,53.07664
15,1500,0.10224139,0.39279163,47.31551,53.078526
16,1600,0.10223668,0.39278832,47.31557,53.078514
17,1700,0.102236345,0.39278808,47.31556,53.078564
18,1800,0.10223631,0.39278802,47.315582,53.07859
19,1900,0.10223631,0.39278826,47.31556,53.078564
20,2000,0.10223631,0.3927883,47.31556,53.078575
21,2100,0.10223631,0.39278838,47.31556,53.07855
22,2200,0.102236316,0.392788,47.31557,53.07859
23,2300,0.10223631,0.39278802,47.31556,53.078564
24,2400,0.1022363,0.39278772,47.315613,53.078514
25,2500,0.10223629,0.39278847,47.31556,53.078575
26,2600,0.10223631,0.3927879,47.315594,53.07859
27,2700,0.10223629,0.39278802,47.3156,53.078575
28,2800,0.10223629,0.3927881,47.31557,53.078564
29,2900,0.10223629,0.39278784,47.3156,53.078526
30,3000,0.10223629,0.39278802,47.315582,53.078564
31,3100,0.1022363,0.392788,47.3156,53.078617
32,3200,0.1022363,0.3927881,47.315624,53.078564
33,3300,0.10190069,0.39108548,47.334793,53.08499
34,3400,0.10170751,0.3913518,47.3603,53.096615
35,3500,0.10170742,0.3913513,47.360317,53.096638
36,3600,0.101707414,0.3913513,47.360317,53.096615
37,3700,0.101707414,0.39135128,47.36033,53.09665
38,3800,0.10170741,0.3913512,47.36034,53.096615
39,3900,0.10170742,0.39135146,47.36033,53.09659
40,4000,0.09909694,0.38355547,47.464813,53.230446
41,4100,0.09905112,0.3835298,47.465187,53.230755
42,4200,0.09905071,0.3835288,47.465164,53.23073
43,4300,0.099050716,0.38352868,47.465176,53.230713
44,4400,0.0990507,0.38352868,47.465176,53.23074
45,4500,0.099050716,0.3835288,47.46522,53.23079
46,4600,0.099050716,0.38352898,47.465176,53.2307
47,4700,0.09905071,0.38352907,47.465176,53.230766
48,4800,0.099050716,0.38352886,47.465164,53.23074
49,4900,0.09905071,0.38352862,47.4652,53.23074
50,5000,0.09905071,0.38352877,47.465187,53.23069
51,5100,0.09905071,0.3835291,47.46522,53.230755
52,5200,0.09905071,0.3835287,47.465153,53.2307
53,5300,0.099050716,0.38352895,47.465145,53.23073
54,5400,0.09905071,0.38352886,47.465164,53.230766
55,5500,0.0990507,0.3835285,47.465164,53.23074
56,5600,0.09905071,0.38352916,47.465145,53.23074
57,5700,0.099050716,0.3835287,47.465176,53.23074
58,5800,0.099034354,0.38359293,47.4652,53.23073
59,5900,0.09851883,0.38283315,47.517975,53.251266
60,6000,0.098511115,0.3828416,47.517986,53.251278
61,6100,0.098511145,0.38284156,47.518032,53.251266
62,6200,0.09851115,0.38284168,47.518005,53.25129
63,6300,0.09851115,0.38284177,47.518032,53.251255
64,6400,0.09851115,0.38284186,47.518005,53.251255
65,6500,0.09851114,0.38284186,47.517963,53.251255
66,6600,0.098511145,0.38284186,47.51802,53.251278
67,6700,0.09649419,0.3810786,47.600136,53.328896
68,6800,0.09648532,0.3812376,47.600418,53.32902
69,6900,0.096485406,0.381239,47.60044,53.329075
70,7000,0.0964854,0.38123912,47.60041,53.329037
71,7100,0.0964854,0.38123932,47.6004,53.329037
72,7200,0.096485406,0.3812392,47.6004,53.329063
73,7300,0.096485406,0.3812391,47.600418,53.32909
74,7400,0.09648539,0.38123912,47.600418,53.329063
75,7500,0.096485406,0.3812396,47.60044,53.329037
76,7600,0.0964854,0.38123873,47.6004,53.32909
77,7700,0.096485406,0.3812391,47.60041,53.329063
78,7800,0.096485406,0.38123873,47.60043,53.32909
79,7900,0.096485406,0.3812391,47.60044,53.329063
80,8000,0.09648541,0.3812392,47.6004,53.329075
81,8100,0.096485406,0.38123918,47.60041,53.32909
82,8200,0.096485406,0.3812387,47.600418,53.32909
83,8300,0.096485406,0.38123918,47.60043,53.329075
84,8400,0.096485406,0.38123885,47.60044,53.329075
85,8500,0.096485406,0.38123885,47.60044,53.32905
86,8600,0.09648542,0.38123885,47.600418,53.329063
87,8700,0.09648541,0.38123932,47.60041,53.329098
88,8800,0.09648538,0.3812383,47.60044,53.329037
89,8900,0.09626281,0.38098636,47.627995,53.34567
90,9000,0.096262924,0.38098648,47.627983,53.34568
91,9100,0.096262924,0.3809867,47.62803,53.345707
92,9200,0.096262924,0.38098648,47.628006,53.345722
93,9300,0.09626292,0.3809862,47.62796,53.345734
94,9400,0.09626292,0.38098645,47.628006,53.34567
95,9500,0.09626292,0.38098678,47.628017,53.345722
96,9600,0.09626293,0.380986,47.62803,53.345722
97,9700,0.09626292,0.38098684,47.628006,53.34574
98,9800,0.095747225,0.3789095,47.662724,53.375973
99,9900,0.095737405,0.3788817,47.662766,53.376038
100,10000,0.09573733,0.3788818,47.662743,53.37606
101,10100,0.09573733,0.37888277,47.66279,53.37605
102,10200,0.09573733,0.3788826,47.662754,53.376076
103,10300,0.095737346,0.37888217,47.662754,53.37606
104,10400,0.09573734,0.3788818,47.662743,53.376038
105,10500,0.09573733,0.378882,47.662754,53.376076
106,10600,0.09573734,0.378882,47.662777,53.37606
107,10700,0.09573734,0.3788818,47.662777,53.376076
108,10800,0.095737346,0.3788815,47.662766,53.37606
109,10900,0.095737346,0.37888178,47.662754,53.37606
110,11000,0.095737346,0.37888232,47.66281,53.37606
111,11100,0.095737346,0.3788822,47.662766,53.376026
112,11200,0.09573734,0.37888208,47.662766,53.376026
113,11300,0.096607,0.38137558,47.66981,53.377705
