,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,374.12994,47.477184,52.738026
1,100,171.04303,47.460243,52.767498
2,200,160.26907,47.463852,52.8175
3,300,151.46602,47.475224,52.85061
4,400,149.83487,47.39222,52.816673
5,500,149.71962,47.262524,52.734734
6,600,149.56018,47.093624,52.61904
7,700,149.28812,46.893944,52.48028
8,800,148.7182,46.6646,52.32134
9,900,148.0955,46.406433,52.142826
10,1000,147.27757,46.12324,51.94524
11,1100,146.44395,45.816372,51.72634
12,1200,145.46835,45.482502,51.481876
13,1300,144.19403,45.127567,51.215477
14,1400,142.46974,44.75332,50.926754
15,1500,140.39178,44.36169,50.616146
16,1600,137.8891,43.95093,50.284733
17,1700,134.81834,43.52334,49.93128
18,1800,131.05492,43.08857,49.559708
19,1900,126.688,42.64905,49.16494
20,2000,122.20637,42.20479,48.750523
21,2100,117.518394,41.753414,48.313316
22,2200,112.75957,41.302536,47.849293
23,2300,108.02705,40.855045,47.360508
24,2400,103.17291,40.403675,46.832733
25,2500,98.37443,39.955574,46.266994
26,2600,93.695366,39.506287,45.62822
27,2700,89.04796,39.04781,44.892597
28,2800,84.5153,38.57267,44.02358
29,2900,80.1719,38.085487,42.9631
30,3000,75.9042,37.552734,41.685467
31,3100,71.89522,36.98199,40.161556
32,3200,67.89963,36.326256,38.351967
33,3300,64.15892,35.5896,36.312813
34,3400,60.60852,34.7429,34.028717
35,3500,57.55209,33.764187,31.508318
36,3600,54.76374,32.64628,28.888988
37,3700,52.02456,31.369904,26.286684
38,3800,49.156376,29.929874,23.796516
39,3900,46.51243,28.327248,21.435173
40,4000,44.34187,26.661905,19.332603
41,4100,42.739388,24.974337,17.49919
42,4200,41.405922,23.27186,15.869561
43,4300,40.14608,21.565617,14.4482155
44,4400,39.077564,19.921715,13.213666
45,4500,38.04957,18.377872,12.132743
46,4600,37.27494,16.97963,11.238288
47,4700,36.423367,15.73764,10.501443
48,4800,35.828518,14.60481,9.885471
49,4900,35.047894,13.627575,9.37329
50,5000,34.494167,12.724988,8.935245
51,5100,33.94466,11.943491,8.572471
52,5200,33.351555,11.2467375,8.237049
53,5300,32.802746,10.6307535,7.9340425
54,5400,32.41453,10.071136,7.6667614
55,5500,31.909214,9.561072,7.4270983
56,5600,31.514248,9.102952,7.20304
57,5700,31.19139,8.707366,7.002673
58,5800,30.853481,8.348302,6.8157105
59,5900,30.607252,8.014991,6.6255436
60,6000,30.529043,7.706927,6.4411507
61,6100,30.304878,7.4363637,6.2851734
62,6200,30.143883,7.1794963,6.136584
63,6300,30.057446,6.955235,6.005504
64,6400,30.009094,6.756683,5.8982573
65,6500,30.028402,6.5697074,5.802691
66,6600,30.09454,6.3983254,5.710795
67,6700,30.037956,6.2452974,5.6309395
68,6800,30.105911,6.0905128,5.5392003
69,6900,30.012558,5.9477863,5.4589324
70,7000,29.884869,5.8197145,5.387317
71,7100,29.82394,5.7000213,5.3174686
72,7200,29.936659,5.5883894,5.2588663
73,7300,29.840364,5.487201,5.2051945
74,7400,29.837376,5.3933773,5.1556635
75,7500,29.85918,5.3122897,5.1100626
76,7600,29.762812,5.2345924,5.0687294
77,7700,29.704788,5.155624,5.0282345
78,7800,29.632345,5.0816774,4.9951344
79,7900,29.514149,5.0222726,4.9638577
80,8000,29.499376,4.965768,4.935363
81,8100,29.474346,4.9177084,4.9131246
82,8200,29.480669,4.874858,4.8949966
83,8300,29.388187,4.832717,4.8752885
84,8400,29.40096,4.7917476,4.8575826
85,8500,29.445194,4.7557006,4.842176
86,8600,29.405077,4.725147,4.8306637
87,8700,29.378756,4.689242,4.8177752
88,8800,29.385574,4.6575775,4.803871
89,8900,29.377224,4.6322837,4.794159
90,9000,29.457888,4.6081767,4.7805967
91,9100,29.290203,4.5903306,4.7701974
92,9200,29.239935,4.56776,4.7489614
93,9300,29.105997,4.5462384,4.728613
94,9400,29.205473,4.5246444,4.7118316
95,9500,29.18677,4.504108,4.698804
96,9600,29.245234,4.482811,4.6863947
