,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9900342,46.793804,52.751736
1,100,0.26569992,46.7785,52.837883
2,200,0.17840591,46.8322,52.8914
3,300,0.14066878,46.890263,52.931858
4,400,0.11165615,46.973545,53.004066
5,500,0.09306661,47.05443,53.075893
6,600,0.082577944,47.124577,53.130325
7,700,0.07733887,47.176426,53.170773
8,800,0.074473284,47.215073,53.197247
9,900,0.07322125,47.242153,53.216972
10,1000,0.072555184,47.262184,53.22975
11,1100,0.07208586,47.276485,53.238987
12,1200,0.07181039,47.28689,53.245426
13,1300,0.07166251,47.29486,53.250034
14,1400,0.07162747,47.300655,53.253693
15,1500,0.07163417,47.305126,53.25656
16,1600,0.0716386,47.30836,53.258656
17,1700,0.07164144,47.31073,53.260254
18,1800,0.07164972,47.312454,53.261486
19,1900,0.07166131,47.31371,53.262413
20,2000,0.071670204,47.314613,53.263012
21,2100,0.07167878,47.315075,53.263443
22,2200,0.07168499,47.31549,53.263737
23,2300,0.0716891,47.315784,53.26399
24,2400,0.07169217,47.315987,53.26412
25,2500,0.07169436,47.31608,53.26418
26,2600,0.071695715,47.31612,53.264256
27,2700,0.07169655,47.31619,53.264282
28,2800,0.07169705,47.31619,53.26431
29,2900,0.07169734,47.31619,53.264282
30,3000,0.071697466,47.31621,53.26433
31,3100,0.0716975,47.31621,53.26431
32,3200,0.07169751,47.316257,53.264355
33,3300,0.071697526,47.316235,53.26432
34,3400,0.071697526,47.316235,53.264267
35,3500,0.07169751,47.316235,53.26433
36,3600,0.07169751,47.316235,53.264282
37,3700,0.07169751,47.31621,53.26433
38,3800,0.07169751,47.316235,53.264343
39,3900,0.0716975,47.316223,53.26432
40,4000,0.0716975,47.316235,53.26433
41,4100,0.07169749,47.316235,53.264355
42,4200,0.07169749,47.316223,53.26432
43,4300,0.07169748,47.31619,53.26431
44,4400,0.07169749,47.31617,53.26431
45,4500,0.07169749,47.316257,53.26432
46,4600,0.07169749,47.31621,53.26432
47,4700,0.07169747,47.316246,53.26431
48,4800,0.07169747,47.316223,53.264282
49,4900,0.07169748,47.31621,53.26431
50,5000,0.07169747,47.316223,53.264282
51,5100,0.07169747,47.31621,53.264294
52,5200,0.07169747,47.31621,53.26432
53,5300,0.07169747,47.31627,53.264343
54,5400,0.07169747,47.316235,53.26433
55,5500,0.07169747,47.31621,53.26433
56,5600,0.07169747,47.31621,53.264256
57,5700,0.07169747,47.316223,53.264282
58,5800,0.07169747,47.31621,53.264294
59,5900,0.0718086,47.317814,53.2655
60,6000,0.07165921,47.31964,53.266747
61,6100,0.07165964,47.319687,53.266792
62,6200,0.07165963,47.3197,53.266834
63,6300,0.071659625,47.319675,53.266834
64,6400,0.071659625,47.319687,53.266808
65,6500,0.071659625,47.319687,53.266773
66,6600,0.071659625,47.319687,53.26682
67,6700,0.071659625,47.31971,53.266792
68,6800,0.07165963,47.319664,53.266792
69,6900,0.071659625,47.319675,53.266792
70,7000,0.071659625,47.319687,53.266808
71,7100,0.07165962,47.319633,53.266808
72,7200,0.071659625,47.319675,53.266773
73,7300,0.07165963,47.31975,53.266792
74,7400,0.071659625,47.31971,53.266792
75,7500,0.07165312,47.325577,53.270123
76,7600,0.071568936,47.326298,53.27052
77,7700,0.07156895,47.326263,53.27052
78,7800,0.07156895,47.326286,53.27052
79,7900,0.07156895,47.326275,53.27052
80,8000,0.07156895,47.326263,53.270554
81,8100,0.07156895,47.326298,53.27053
82,8200,0.07156895,47.326263,53.27053
83,8300,0.07156895,47.326324,53.270504
84,8400,0.07156896,47.326298,53.270554
85,8500,0.07156896,47.326324,53.270504
86,8600,0.07156896,47.326286,53.27053
87,8700,0.07148373,47.33562,53.276573
88,8800,0.071454816,47.33596,53.27679
89,8900,0.07145494,47.33596,53.276775
90,9000,0.07145495,47.33598,53.27673
91,9100,0.07145494,47.336002,53.276775
92,9200,0.07145494,47.335938,53.276756
93,9300,0.07145494,47.335938,53.276775
94,9400,0.07145494,47.33596,53.276775
95,9500,0.07145494,47.336002,53.276756
96,9600,0.07145494,47.33595,53.27673
97,9700,0.07145494,47.33597,53.276756
98,9800,0.07145494,47.33596,53.27674
99,9900,0.07145494,47.33595,53.27673
100,10000,0.07145494,47.33596,53.276756
101,10100,0.07145494,47.33596,53.276775
102,10200,0.07145494,47.33598,53.276764
103,10300,0.07146106,47.33606,53.276775
104,10400,0.07132987,47.35062,53.283867
105,10500,0.07133026,47.35063,53.283867
106,10600,0.07133026,47.350666,53.28385
107,10700,0.07133026,47.350655,53.28385
108,10800,0.07133026,47.35063,53.283844
109,10900,0.071330264,47.35062,53.283867
110,11000,0.071330264,47.350655,53.283905
111,11100,0.07133026,47.35061,53.283905
112,11200,0.07133026,47.35061,53.28385
113,11300,0.07133026,47.350597,53.283867
114,11400,0.07133025,47.35063,53.283867
115,11500,0.07133026,47.350597,53.28388
116,11600,0.07133026,47.35061,53.283894
117,11700,0.07133026,47.350643,53.28383
118,11800,0.071259,47.364147,53.29352
119,11900,0.071165726,47.364655,53.294056
120,12000,0.07116499,47.364613,53.294083
121,12100,0.07116498,47.3646,53.294094
122,12200,0.07116499,47.364655,53.294083
123,12300,0.07116497,47.364624,53.294094
124,12400,0.07116499,47.364677,53.294056
125,12500,0.07116499,47.364613,53.294067
126,12600,0.07116499,47.364635,53.294067
127,12700,0.07116499,47.3646,53.294056
128,12800,0.07116497,47.364586,53.294083
129,12900,0.07116498,47.364574,53.294106
130,13000,0.07116498,47.364613,53.294056
131,13100,0.07116499,47.3646,53.294056
132,13200,0.07116498,47.364624,53.294094
133,13300,0.07116498,47.3646,53.294056
134,13400,0.07116499,47.364574,53.294083
135,13500,0.07113092,47.375454,53.298454
136,13600,0.07104705,47.378094,53.300167
137,13700,0.07104727,47.37807,53.300205
138,13800,0.07104726,47.37806,53.30018
139,13900,0.07104727,47.378048,53.30018
140,14000,0.07104727,47.37806,53.300167
141,14100,0.07104727,47.37804,53.30018
142,14200,0.07104727,47.378082,53.30018
143,14300,0.07104727,47.37803,53.30015
144,14400,0.07104727,47.37812,53.300144
145,14500,0.07104727,47.378094,53.300167
146,14600,0.07104727,47.37806,53.30018
147,14700,0.07104727,47.378094,53.30018
148,14800,0.07104727,47.37807,53.300167
149,14900,0.07103086,47.384377,53.302216
150,15000,0.07079746,47.39441,53.30581
151,15100,0.07079726,47.394455,53.30589
152,15200,0.070797265,47.39442,53.3058
153,15300,0.07079726,47.394432,53.305847
154,15400,0.07079726,47.394444,53.30582
155,15500,0.07079727,47.394455,53.305862
156,15600,0.070797265,47.39441,53.305847
157,15700,0.07079727,47.394444,53.3058
158,15800,0.07079727,47.394444,53.30582
159,15900,0.07079727,47.39441,53.30582
160,16000,0.07079727,47.394432,53.305786
161,16100,0.070797265,47.394455,53.3058
162,16200,0.07079728,47.394386,53.305862
163,16300,0.0707902,47.396908,53.3074
164,16400,0.07078878,47.396896,53.3074
165,16500,0.07078876,47.39692,53.30741
166,16600,0.07078876,47.39692,53.3074
167,16700,0.07078876,47.39684,53.307426
168,16800,0.07080046,47.399292,53.30923
169,16900,0.07075657,47.401337,53.310883
170,17000,0.07075635,47.40135,53.310844
171,17100,0.07075635,47.40135,53.310898
172,17200,0.07075635,47.401325,53.310898
173,17300,0.070756346,47.401325,53.310898
174,17400,0.07075635,47.40135,53.310883
175,17500,0.07075635,47.401325,53.31087
176,17600,0.070756346,47.40135,53.310898
177,17700,0.07061933,47.41775,53.32216
178,17800,0.0706038,47.41774,53.32222
179,17900,0.07060373,47.417763,53.322285
180,18000,0.07060372,47.41778,53.322247
181,18100,0.07060373,47.417763,53.32222
182,18200,0.07060373,47.417793,53.32223
183,18300,0.07060373,47.417774,53.32222
184,18400,0.07060373,47.417805,53.32222
185,18500,0.07060373,47.417774,53.32221
186,18600,0.07060373,47.417828,53.322186
187,18700,0.07060373,47.417793,53.322197
188,18800,0.07060373,47.41778,53.322258
189,18900,0.07060373,47.417774,53.322247
190,19000,0.07060373,47.41774,53.32222
191,19100,0.07060371,47.417774,53.32222
192,19200,0.07060372,47.417816,53.32223
193,19300,0.0704869,47.42925,53.32652
194,19400,0.070481956,47.42943,53.326694
195,19500,0.07048198,47.42941,53.326668
196,19600,0.07048198,47.42943,53.32665
197,19700,0.07048198,47.42945,53.326656
198,19800,0.07048198,47.42936,53.326622
199,19900,0.07048198,47.429462,53.32665
