,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9607259,0.96240205,49.140877,53.39969
1,100,0.46764818,0.56931436,49.083584,53.354202
2,200,0.26495683,0.38228357,49.03668,53.32489
3,300,0.2155331,0.32093593,48.999397,53.287422
4,400,0.20233606,0.29204515,48.946507,53.239433
5,500,0.19454005,0.27306393,48.879543,53.17938
6,600,0.18715097,0.26149487,48.8071,53.12608
7,700,0.17830595,0.25385466,48.741558,53.077415
8,800,0.16906975,0.24795923,48.68427,53.027275
9,900,0.16034998,0.24413188,48.630856,52.984898
10,1000,0.15253283,0.24077067,48.57836,52.94101
11,1100,0.14613117,0.2377413,48.521698,52.886227
12,1200,0.14052601,0.2355068,48.459515,52.824444
13,1300,0.13570489,0.23401573,48.392673,52.756012
14,1400,0.13181095,0.2331188,48.320576,52.67448
15,1500,0.12852776,0.23222432,48.243355,52.585503
16,1600,0.12588662,0.23158813,48.16209,52.487038
17,1700,0.123374164,0.23122624,48.076942,52.379143
18,1800,0.120991625,0.23061278,47.987,52.256275
19,1900,0.11893231,0.2308784,47.8924,52.13579
20,2000,0.11704557,0.2311316,47.792946,51.99913
21,2100,0.11510569,0.23116702,47.689095,51.84905
22,2200,0.11321932,0.23187011,47.580578,51.697887
23,2300,0.11140409,0.23190379,47.46701,51.53044
24,2400,0.10962622,0.23310614,47.3494,51.360016
25,2500,0.10770608,0.23402087,47.227356,51.185547
26,2600,0.10557993,0.23438184,47.100628,50.99662
27,2700,0.10339643,0.23421997,46.96833,50.79675
28,2800,0.10114002,0.23386571,46.831585,50.596237
29,2900,0.098774016,0.23294263,46.68965,50.384792
30,3000,0.09635829,0.23151009,46.54099,50.166874
31,3100,0.09393736,0.23081931,46.390724,49.94254
32,3200,0.09152579,0.22907189,46.231277,49.709587
33,3300,0.08910725,0.22814964,46.070553,49.466972
34,3400,0.086526245,0.22675718,45.90359,49.216362
35,3500,0.08390656,0.22516935,45.731182,48.957092
36,3600,0.0811837,0.22351417,45.5546,48.68876
37,3700,0.078525946,0.22145121,45.371265,48.410206
38,3800,0.0758295,0.22011346,45.185844,48.121876
39,3900,0.07304804,0.21669477,44.98875,47.822567
40,4000,0.07025174,0.21435928,44.791298,47.51323
41,4100,0.06747896,0.20987858,44.585526,47.19368
42,4200,0.06470949,0.20556386,44.376785,46.866276
43,4300,0.06202087,0.19796698,44.157368,46.52717
44,4400,0.05921981,0.18921173,43.928806,46.17318
45,4500,0.05655168,0.1851088,43.698578,45.803078
46,4600,0.053903412,0.17858534,43.45024,45.416557
47,4700,0.051310457,0.17507951,43.20424,45.009434
48,4800,0.04883607,0.17088072,42.944004,44.584682
49,4900,0.046348605,0.16652694,42.673176,44.141304
50,5000,0.043953367,0.16143878,42.387333,43.675873
51,5100,0.041602112,0.15655346,42.096455,43.182186
52,5200,0.039242074,0.1507618,41.780777,42.6532
53,5300,0.03693013,0.14600228,41.45887,42.087334
54,5400,0.034713272,0.14127837,41.11937,41.484222
55,5500,0.03252259,0.13602427,40.745377,40.838974
56,5600,0.03041386,0.13132843,40.36601,40.142094
57,5700,0.028437681,0.124304004,39.96633,39.387257
58,5800,0.026537444,0.11918424,39.527664,38.57026
59,5900,0.024749655,0.11483244,39.07519,37.678204
60,6000,0.023283333,0.110865496,38.59748,36.699505
61,6100,0.022028882,0.10698243,38.084377,35.62281
62,6200,0.020803988,0.10233356,37.51657,34.44762
63,6300,0.019638147,0.09762029,36.896698,33.219326
64,6400,0.018522048,0.09178545,36.22719,31.88751
65,6500,0.017523883,0.07822702,35.504982,30.452765
66,6600,0.016667133,0.06880249,34.71163,28.937767
67,6700,0.015726728,0.06324081,33.804264,27.339521
68,6800,0.014831399,0.058213823,32.813457,25.660631
69,6900,0.013994678,0.054417174,31.796335,23.911974
70,7000,0.013284433,0.051759064,30.751947,22.12661
71,7100,0.012414768,0.049760684,29.65604,20.300125
72,7200,0.011657239,0.04869246,28.478935,18.502142
73,7300,0.011043504,0.04814776,27.233007,16.786448
74,7400,0.010519529,0.04765159,25.901875,15.217766
75,7500,0.009958313,0.046948165,24.506662,13.779267
76,7600,0.009508602,0.04636996,23.039474,12.472562
77,7700,0.0090611065,0.04580907,21.51695,11.269703
