,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9965574,0.98807037,46.79387,52.7519
1,100,0.54623276,0.6405456,46.7602,52.747143
2,200,0.31504905,0.44384694,46.729572,52.753056
3,300,0.2362019,0.36452928,46.693134,52.749912
4,400,0.20314978,0.3217322,46.650375,52.733727
5,500,0.18531705,0.2936666,46.603138,52.719482
6,600,0.17177454,0.26993704,46.554432,52.692204
7,700,0.15918966,0.25009856,46.51277,52.674217
8,800,0.14959468,0.23393357,46.478626,52.65541
9,900,0.1404609,0.22033593,46.45185,52.633293
10,1000,0.13211757,0.21017069,46.43729,52.611477
11,1100,0.125964,0.2026061,46.42788,52.595837
12,1200,0.12119125,0.19651191,46.42177,52.58298
13,1300,0.117352344,0.1917909,46.418095,52.57001
14,1400,0.113355316,0.18804745,46.41865,52.553318
15,1500,0.11020879,0.1845957,46.419857,52.535053
16,1600,0.107565984,0.18229525,46.421307,52.517845
17,1700,0.1053349,0.1801576,46.422127,52.50059
18,1800,0.10327576,0.17862415,46.42219,52.48277
19,1900,0.10130656,0.17705384,46.419456,52.458214
20,2000,0.09984189,0.17605913,46.414345,52.43247
21,2100,0.09848109,0.17517003,46.40783,52.4035
22,2200,0.09721558,0.17457168,46.39912,52.37431
23,2300,0.09597932,0.17396773,46.388237,52.34125
24,2400,0.09473483,0.17339127,46.375065,52.30435
25,2500,0.09344568,0.17295556,46.35981,52.264812
26,2600,0.09212583,0.17249782,46.342106,52.22489
27,2700,0.09088855,0.17218807,46.32145,52.17879
28,2800,0.089494005,0.1715364,46.297348,52.130524
29,2900,0.088059954,0.17065632,46.268936,52.07959
30,3000,0.086553976,0.17031248,46.240192,52.026123
31,3100,0.085003324,0.16933581,46.20449,51.969147
32,3200,0.08347679,0.16884251,46.16915,51.90842
33,3300,0.08184837,0.16853921,46.130676,51.844463
34,3400,0.080187194,0.16787381,46.085976,51.77903
35,3500,0.07839178,0.16692668,46.037834,51.70807
36,3600,0.07653255,0.16638176,45.988434,51.634155
37,3700,0.07464552,0.16497798,45.92981,51.556988
38,3800,0.07269814,0.16412513,45.8731,51.475185
39,3900,0.07068619,0.16276865,45.810047,51.387867
40,4000,0.0686392,0.1612546,45.74164,51.29727
41,4100,0.06644253,0.15980126,45.670414,51.197094
42,4200,0.06434164,0.15773171,45.58963,51.091007
43,4300,0.062174648,0.1562332,45.507183,50.976185
