,Iteration,Loss,a_entropy,b_entropy
0,0,1.0078061,46.03588,46.26655
1,100,0.9198761,45.95406,46.163837
2,200,0.6276005,45.875996,46.019024
3,300,0.4282522,45.85474,45.925915
4,400,0.3308835,45.75475,45.812943
5,500,0.26971126,45.620075,45.687927
6,600,0.23937595,45.470478,45.548115
7,700,0.22004955,45.302105,45.383163
8,800,0.20826118,45.11907,45.20568
9,900,0.20144847,44.941303,45.03302
10,1000,0.19871351,44.763935,44.84603
11,1100,0.19779512,44.584835,44.660275
12,1200,0.19799627,44.4087,44.477825
13,1300,0.19868152,44.22078,44.27763
14,1400,0.20092247,44.040997,44.088917
15,1500,0.20072988,43.853256,43.88579
16,1600,0.20198813,43.663357,43.67332
17,1700,0.20387892,43.47758,43.472168
18,1800,0.20390087,43.2912,43.257595
19,1900,0.20476796,43.093315,43.033962
20,2000,0.20541084,42.89233,42.799988
21,2100,0.20581394,42.686253,42.564613
22,2200,0.20760444,42.48464,42.33109
23,2300,0.20779419,42.286957,42.102116
24,2400,0.20891964,42.075012,41.84874
25,2500,0.2100117,41.84854,41.576565
26,2600,0.21089381,41.628826,41.31728
27,2700,0.21041574,41.396606,41.03684
28,2800,0.21079853,41.15499,40.75528
29,2900,0.21169862,40.91797,40.471222
30,3000,0.21300586,40.670593,40.17144
31,3100,0.21272893,40.416836,39.871605
32,3200,0.21200152,40.14526,39.54473
33,3300,0.21478352,39.87788,39.218777
34,3400,0.21438952,39.59817,38.875153
35,3500,0.21509153,39.31691,38.537907
36,3600,0.21493608,39.03412,38.182194
37,3700,0.21479131,38.725292,37.816906
38,3800,0.21562654,38.418663,37.428368
39,3900,0.21682756,38.10582,37.04292
40,4000,0.21544039,37.804886,36.672874
41,4100,0.21619299,37.5029,36.28547
42,4200,0.21682084,37.185093,35.869064
43,4300,0.21708816,36.85965,35.451252
44,4400,0.21712871,36.514492,34.98538
45,4500,0.21781099,36.173798,34.55424
46,4600,0.2189019,35.846504,34.113693
47,4700,0.21950005,35.50959,33.66554
48,4800,0.21982457,35.18745,33.229103
49,4900,0.22194222,34.845394,32.76596
50,5000,0.21885431,34.49908,32.3018
51,5100,0.22175652,34.164856,31.843092
52,5200,0.21963634,33.82179,31.378513
53,5300,0.22073503,33.481937,30.941229
54,5400,0.2204969,33.154106,30.503813
55,5500,0.22150664,32.816875,30.051903
56,5600,0.22205621,32.495293,29.636257
57,5700,0.22365688,32.165726,29.216524
58,5800,0.22408557,31.865534,28.813997
59,5900,0.22429758,31.551737,28.387276
60,6000,0.22433753,31.240719,27.971085
61,6100,0.22486864,30.920898,27.561327
62,6200,0.2243,30.626596,27.157454
63,6300,0.22482355,30.337217,26.766422
64,6400,0.22640005,29.99609,26.373861
65,6500,0.22495814,29.700527,25.95421
66,6600,0.22657533,29.373295,25.540297
67,6700,0.22632049,29.052961,25.150059
68,6800,0.22828624,28.760813,24.794518
69,6900,0.22681469,28.487762,24.434038
70,7000,0.22778656,28.175205,24.048
71,7100,0.22834924,27.89859,23.715612
72,7200,0.2275819,27.58735,23.345938
73,7300,0.23085442,27.273981,22.98953
74,7400,0.22944318,26.984106,22.615816
75,7500,0.22731243,26.66703,22.266262
76,7600,0.22674622,26.407492,21.974346
77,7700,0.22962382,26.128849,21.682032
78,7800,0.22947143,25.858635,21.372736
79,7900,0.2304379,25.579597,21.0733
80,8000,0.23100005,25.275112,20.751986
81,8100,0.2310634,24.991388,20.44657
82,8200,0.23005158,24.666645,20.124594
83,8300,0.23009337,24.39081,19.815128
84,8400,0.23112968,24.12781,19.531603
85,8500,0.22938377,23.825605,19.21929
86,8600,0.23020476,23.572588,18.928867
87,8700,0.2296546,23.29564,18.634218
88,8800,0.22914767,23.037298,18.362982
89,8900,0.22981618,22.752459,18.066298
90,9000,0.2322916,22.503939,17.789106
91,9100,0.2292063,22.2458,17.50191
92,9200,0.23263358,21.965027,17.24204
93,9300,0.23308118,21.722004,16.990519
94,9400,0.23205465,21.490374,16.793955
95,9500,0.23377754,21.2605,16.625092
96,9600,0.23421112,21.047049,16.475119
97,9700,0.23391502,20.850266,16.314054
98,9800,0.23390463,20.645622,16.157656
99,9900,0.23383379,20.417025,15.986891
100,10000,0.23557031,20.22035,15.841068
101,10100,0.23515487,20.036674,15.6779
102,10200,0.23629513,19.823227,15.525156
103,10300,0.23619778,19.661549,15.3782625
104,10400,0.23712978,19.469833,15.230383
105,10500,0.23652363,19.284046,15.068532
106,10600,0.23723824,19.098873,14.937921
107,10700,0.23526525,18.931183,14.803721
108,10800,0.23557296,18.7575,14.664268
109,10900,0.23554964,18.56356,14.497081
110,11000,0.2384785,18.387133,14.351536
111,11100,0.23720661,18.220093,14.200416
112,11200,0.2369313,18.025023,14.049813
113,11300,0.23719619,17.839155,13.909514
114,11400,0.23710087,17.663898,13.754359
115,11500,0.23837487,17.467293,13.60308
116,11600,0.23722695,17.316004,13.465316
117,11700,0.23780088,17.157185,13.341728
118,11800,0.23849632,16.97314,13.188757
119,11900,0.23745552,16.817469,13.047454
120,12000,0.23733802,16.634258,12.900145
121,12100,0.23747768,16.461048,12.759509
122,12200,0.23686457,16.308914,12.637388
123,12300,0.2395979,16.159798,12.502295
124,12400,0.2380388,16.023487,12.378684
125,12500,0.23803791,15.863659,12.251088
126,12600,0.23917846,15.7206335,12.124235
127,12700,0.23752296,15.552407,11.975848
128,12800,0.23891243,15.41732,11.838804
129,12900,0.23859254,15.266026,11.749956
130,13000,0.24012642,15.127306,11.637001
131,13100,0.23772019,15.016672,11.54026
132,13200,0.24007991,14.871054,11.442604
133,13300,0.23595849,14.753616,11.333943
134,13400,0.23891209,14.618331,11.215055
135,13500,0.238147,14.482412,11.089352
136,13600,0.2387839,14.337008,10.980579
137,13700,0.23745602,14.195076,10.877375
138,13800,0.23869443,14.086665,10.78952
139,13900,0.23829757,13.951682,10.684676
140,14000,0.241606,13.84371,10.595044
141,14100,0.23906021,13.748408,10.529091
142,14200,0.24016961,13.622466,10.441313
143,14300,0.23915052,13.509501,10.344987
