,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,1.0056531,1.0022053,46.741665,52.949387
1,100,0.33977863,0.47769466,46.671677,52.905197
2,200,0.21889873,0.3001761,46.45738,52.79011
3,300,0.19317959,0.23689692,46.280388,52.649696
4,400,0.1769791,0.20994656,46.172024,52.532696
5,500,0.15885253,0.19167446,46.093395,52.43002
6,600,0.14637929,0.1797141,46.028492,52.326694
7,700,0.13613395,0.17175601,45.97994,52.23219
8,800,0.12529744,0.16333385,45.941784,52.14871
9,900,0.11633792,0.15477724,45.902367,52.062656
10,1000,0.10845058,0.1472493,45.855255,51.967045
11,1100,0.10342388,0.14082867,45.80319,51.87294
12,1200,0.09665404,0.13339186,45.74263,51.79225
13,1300,0.09080254,0.12521812,45.65548,51.699837
14,1400,0.084105834,0.11851711,45.56579,51.622116
15,1500,0.07867139,0.1117238,45.46222,51.545555
16,1600,0.07339332,0.10484195,45.361702,51.476944
17,1700,0.070327856,0.100210585,45.24811,51.41412
18,1800,0.06562723,0.0943052,45.138718,51.341335
19,1900,0.062215965,0.08861667,45.010292,51.271484
20,2000,0.05955523,0.08528074,44.88155,51.194946
21,2100,0.056205664,0.07966126,44.73885,51.10083
22,2200,0.053208582,0.07398034,44.59186,50.980473
23,2300,0.050153695,0.06905039,44.411404,50.845085
24,2400,0.04715385,0.065906145,44.253315,50.70392
25,2500,0.045333575,0.06353084,44.13116,50.562992
26,2600,0.043321073,0.06176668,44.01378,50.42254
27,2700,0.042008463,0.060877882,43.897892,50.278328
28,2800,0.041426778,0.060380638,43.774055,50.1235
29,2900,0.0406634,0.059231978,43.654564,49.966537
30,3000,0.039331872,0.057983153,43.532906,49.79598
31,3100,0.038830463,0.057630308,43.40628,49.611195
32,3200,0.037995845,0.05622664,43.274284,49.42465
33,3300,0.037294693,0.055278428,43.136387,49.228756
34,3400,0.036341667,0.053809457,42.987347,49.020267
35,3500,0.035552315,0.052629553,42.837322,48.80632
36,3600,0.03512884,0.051759884,42.677338,48.57775
37,3700,0.033855062,0.050227497,42.50924,48.335808
38,3800,0.033500098,0.049463354,42.334602,48.088234
39,3900,0.033146903,0.048696205,42.153934,47.812138
40,4000,0.030864064,0.045611724,41.961178,47.53181
41,4100,0.030616928,0.045170587,41.760773,47.232105
42,4200,0.028864227,0.042534858,41.555088,46.91774
43,4300,0.028769631,0.042788863,41.32445,46.589275
44,4400,0.027919265,0.04127274,41.104755,46.244396
45,4500,0.027750246,0.04088743,40.87275,45.882626
46,4600,0.027432391,0.04018097,40.626793,45.486073
47,4700,0.026518531,0.038767092,40.379704,45.100437
48,4800,0.025538534,0.037478425,40.11513,44.676006
49,4900,0.026439488,0.038101275,39.843143,44.231125
50,5000,0.025643116,0.036852363,39.561028,43.77387
51,5100,0.02476143,0.035706323,39.27157,43.307262
52,5200,0.02442635,0.034897126,38.97972,42.82408
53,5300,0.024027769,0.034158286,38.671974,42.30888
54,5400,0.02376215,0.033471614,38.35319,41.762783
55,5500,0.023739962,0.0331285,37.993874,41.207314
56,5600,0.022864446,0.031868238,37.659126,40.641537
57,5700,0.022944352,0.03168273,37.32507,40.045834
58,5800,0.022810347,0.03116862,36.97997,39.451252
59,5900,0.021865204,0.029905984,36.62556,38.838013
60,6000,0.021386769,0.029083338,36.264355,38.210953
61,6100,0.020907197,0.02835528,35.89205,37.55686
62,6200,0.020221842,0.027269332,35.521,36.915874
63,6300,0.020384178,0.027356764,35.14789,36.25246
64,6400,0.019466007,0.026169237,34.766613,35.59605
65,6500,0.019301524,0.025739089,34.38143,34.926292
66,6600,0.018680232,0.024938535,33.972355,34.263783
67,6700,0.018451752,0.024524437,33.599514,33.601162
68,6800,0.017286737,0.023077397,33.21992,32.93216
69,6900,0.016122174,0.021678025,32.836243,32.285046
70,7000,0.015448438,0.02080124,32.460247,31.652014
71,7100,0.014701796,0.019860033,32.087067,31.011545
72,7200,0.014695007,0.019804293,31.71174,30.396288
73,7300,0.014241136,0.019232273,31.339283,29.782795
74,7400,0.013497863,0.018377023,30.97092,29.193157
75,7500,0.013058999,0.017728603,30.59752,28.611982
76,7600,0.012793162,0.017438611,30.249073,28.053574
77,7700,0.01283209,0.017306063,29.870363,27.487614
78,7800,0.012221857,0.016700808,29.527052,26.946997
79,7900,0.01168862,0.016006365,29.181465,26.424131
80,8000,0.011667008,0.015857477,28.823383,25.906767
81,8100,0.011351068,0.015474921,28.47164,25.40185
82,8200,0.011524328,0.015563248,28.145145,24.922976
83,8300,0.011284943,0.015236049,27.809885,24.4479
84,8400,0.010894217,0.014810123,27.47747,24.003393
85,8500,0.011160886,0.014993133,27.140331,23.546246
86,8600,0.010905626,0.014686447,26.82967,23.134424
