,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9923153,0.98440397,46.793537,52.751507
1,100,0.39496797,0.48911318,46.695152,52.699116
2,200,0.23256308,0.29835057,46.47176,52.585655
3,300,0.19500586,0.22762331,46.22174,52.409946
4,400,0.17484635,0.20009236,46.07137,52.203815
5,500,0.16245826,0.18624419,45.982742,51.992397
6,600,0.1524368,0.1771786,45.919342,51.815285
7,700,0.14015184,0.16736713,45.86678,51.665726
8,800,0.12914243,0.15812187,45.81608,51.53886
9,900,0.12024781,0.15137243,45.764862,51.44585
10,1000,0.11051534,0.14346243,45.72241,51.36195
11,1100,0.102305196,0.1358337,45.67403,51.290474
12,1200,0.09468059,0.12689924,45.621204,51.21284
13,1300,0.08873191,0.12003549,45.561764,51.134357
14,1400,0.08203581,0.112779275,45.50286,51.065094
15,1500,0.074484915,0.103043266,45.43264,50.966427
16,1600,0.065605275,0.091484375,45.351536,50.871563
17,1700,0.05660535,0.08076624,45.25532,50.761772
18,1800,0.049639657,0.07193732,45.16204,50.63593
19,1900,0.04478446,0.06695987,45.09114,50.526104
20,2000,0.04212025,0.06371773,45.013653,50.407166
21,2100,0.03901856,0.06056504,44.948532,50.291157
22,2200,0.037158433,0.058382034,44.887703,50.16886
23,2300,0.035182897,0.056301877,44.82869,50.044582
24,2400,0.03265739,0.053515214,44.77572,49.89496
25,2500,0.031084144,0.05122178,44.72294,49.737934
26,2600,0.029102236,0.04921184,44.668762,49.568645
27,2700,0.02749036,0.047290083,44.609707,49.393433
28,2800,0.02640775,0.045703083,44.538193,49.20699
29,2900,0.025217127,0.044499088,44.476784,49.0062
30,3000,0.024032548,0.042716384,44.40211,48.797348
31,3100,0.022938352,0.041457903,44.32439,48.570904
32,3200,0.021861559,0.039921686,44.248528,48.333836
33,3300,0.02081731,0.038982015,44.161186,48.079613
34,3400,0.020174006,0.0378979,44.06751,47.81371
35,3500,0.019443303,0.03670671,43.973858,47.52706
36,3600,0.01854822,0.03584592,43.859318,47.235172
37,3700,0.017982788,0.03467684,43.751663,46.913334
38,3800,0.01725925,0.03370581,43.637287,46.58403
39,3900,0.01605406,0.032360483,43.50682,46.20738
40,4000,0.014991602,0.031061528,43.36906,45.81388
41,4100,0.014525465,0.029328076,43.195515,45.42853
42,4200,0.014116648,0.028620152,43.060658,45.039375
43,4300,0.013409235,0.027942345,42.92922,44.640038
44,4400,0.013194436,0.027263489,42.790443,44.234066
45,4500,0.012855044,0.026449071,42.648808,43.82148
46,4600,0.012232976,0.025495265,42.49934,43.404064
47,4700,0.012028463,0.02506616,42.341183,42.96183
48,4800,0.011635671,0.024249325,42.17781,42.5083
49,4900,0.011273481,0.02373473,42.01151,42.05346
50,5000,0.010822572,0.022822207,41.843174,41.57688
51,5100,0.010556552,0.022312218,41.670353,41.113842
52,5200,0.01028921,0.02167508,41.480106,40.63889
53,5300,0.010089885,0.021117693,41.28744,40.145702
54,5400,0.009847287,0.020705014,41.082035,39.642563
55,5500,0.009366774,0.020023817,40.87961,39.122482
56,5600,0.008830696,0.019152906,40.675747,38.61987
57,5700,0.0086594345,0.01867051,40.45726,38.09204
58,5800,0.008267559,0.018060807,40.228924,37.57278
59,5900,0.008091427,0.017683348,40.00401,37.032185
60,6000,0.007929408,0.01734891,39.77199,36.518967
61,6100,0.0077972123,0.01693513,39.532875,35.972584
62,6200,0.007493571,0.016467653,39.291,35.447098
63,6300,0.0074604833,0.016061526,39.032005,34.914585
64,6400,0.007114657,0.015429001,38.7724,34.36863
65,6500,0.006968768,0.015136267,38.513466,33.847767
66,6600,0.006725041,0.014613767,38.245132,33.297188
67,6700,0.0066097206,0.014333504,37.982933,32.770523
68,6800,0.0064935423,0.01396244,37.702663,32.24138
69,6900,0.006470834,0.013760932,37.41946,31.725275
70,7000,0.0060451473,0.013212283,37.136177,31.212458
71,7100,0.006006639,0.012980491,36.854755,30.70446
72,7200,0.005914777,0.012680613,36.563255,30.203362
73,7300,0.005840607,0.012526532,36.26899,29.711306
74,7400,0.005729429,0.012165608,35.979492,29.220743
75,7500,0.005708502,0.012050833,35.650047,28.728397
76,7600,0.005795935,0.011995807,35.35299,28.26053
77,7700,0.0056386343,0.011720671,35.048393,27.772097
78,7800,0.0056732967,0.011572497,34.744602,27.319605
79,7900,0.005678453,0.011352569,34.43556,26.860884
80,8000,0.005526795,0.011088868,34.13537,26.423803
81,8100,0.005539557,0.010945907,33.83381,25.975054
82,8200,0.005471004,0.010718244,33.527798,25.555824
83,8300,0.0056548407,0.010876273,33.22682,25.154724
84,8400,0.0054482715,0.010488244,32.916397,24.74576
85,8500,0.0054911473,0.010396134,32.613613,24.313133
86,8600,0.0054390626,0.010200459,32.32781,23.937786
87,8700,0.0055709407,0.010289475,32.036,23.551325
88,8800,0.005590607,0.010223418,31.733862,23.16527
89,8900,0.005264845,0.009647148,31.438614,22.775562
90,9000,0.0053847255,0.009717127,31.146046,22.438234
91,9100,0.0052545103,0.00950321,30.862587,22.099749
92,9200,0.0054291952,0.0095810015,30.586527,21.747385
93,9300,0.005427036,0.009559505,30.315315,21.395031
94,9400,0.0053130775,0.009324162,30.030594,21.072971
95,9500,0.0051909564,0.009055968,29.742321,20.749353
96,9600,0.0052840053,0.00911639,29.472431,20.437832
97,9700,0.005278622,0.009020906,29.198584,20.127281
98,9800,0.0050270753,0.008681707,28.923283,19.827175
99,9900,0.00508757,0.008646511,28.662477,19.539646
100,10000,0.0052193594,0.008830476,28.390802,19.257856
101,10100,0.005126069,0.008583209,28.107258,18.961927
102,10200,0.0051083937,0.008496259,27.854431,18.661762
103,10300,0.0050906134,0.008470074,27.594011,18.407661
104,10400,0.0050647412,0.008365046,27.319826,18.124933
105,10500,0.004897209,0.008120765,27.055103,17.855793
106,10600,0.005031718,0.008207164,26.813623,17.599178
107,10700,0.0050164787,0.008196297,26.55362,17.342972
108,10800,0.0048771114,0.007965321,26.203243,17.050655
109,10900,0.00487394,0.007938871,25.990856,16.822113
110,11000,0.004815197,0.0077919355,25.765198,16.589373
111,11100,0.0048581203,0.0078052054,25.549047,16.370981
112,11200,0.0048526227,0.0077019567,25.322805,16.13004
113,11300,0.00472475,0.007531324,25.099955,15.9249735
114,11400,0.004846283,0.007663003,24.886286,15.714125
115,11500,0.004978362,0.0077439933,24.659243,15.491233
116,11600,0.004834916,0.007615511,24.432693,15.261444
117,11700,0.0047622714,0.007451076,24.19433,15.04069
118,11800,0.004773124,0.007384394,23.987307,14.850659
119,11900,0.004777641,0.0073742443,23.768047,14.639055
120,12000,0.0049065985,0.007497097,23.544666,14.42838
121,12100,0.004726489,0.007199952,23.321238,14.21124
122,12200,0.004901857,0.0073996983,23.117924,14.041652
123,12300,0.0047187065,0.0071852407,22.898962,13.859205
124,12400,0.004821829,0.0072089294,22.680656,13.677585
125,12500,0.00476737,0.007177121,22.472836,13.508095
126,12600,0.004726959,0.007062426,22.238907,13.313506
127,12700,0.004717936,0.007034693,22.016014,13.112403
128,12800,0.0048562135,0.0071479524,21.821001,12.953309
129,12900,0.0047187,0.0069852155,21.604622,12.776239
130,13000,0.0046779905,0.006925644,21.381973,12.603771
131,13100,0.004756556,0.0069999546,21.163542,12.432317
132,13200,0.0048940973,0.007023084,20.957682,12.264125
133,13300,0.0046757953,0.006786898,20.744308,12.097676
134,13400,0.004777491,0.006868874,20.53426,11.93806
135,13500,0.0047093993,0.006847155,20.321533,11.780077
136,13600,0.004777892,0.006882555,20.110468,11.623516
137,13700,0.004843208,0.006874805,19.921064,11.473671
138,13800,0.004779815,0.006784358,19.712324,11.313727
139,13900,0.0048224363,0.006849028,19.522202,11.175942
140,14000,0.004779788,0.006708545,19.315926,11.017536
141,14100,0.004793526,0.0067225676,19.129751,10.883761
142,14200,0.0046163127,0.006509632,18.930872,10.755097
143,14300,0.0050384193,0.0069367355,18.741318,10.615054
144,14400,0.00484536,0.00670896,18.555136,10.473516
145,14500,0.0048479387,0.0066628363,18.375126,10.345845
146,14600,0.004742793,0.0065873694,18.197052,10.213832
147,14700,0.004719564,0.006525163,18.005104,10.093533
148,14800,0.0047631715,0.006532864,17.784443,9.95503
149,14900,0.004896534,0.006623932,17.60811,9.82912
150,15000,0.004608513,0.006407677,17.444891,9.708741
151,15100,0.0048791445,0.0066060745,17.282267,9.597769
152,15200,0.004536501,0.0062704217,17.126448,9.506163
153,15300,0.004739116,0.0064631947,16.962873,9.376319
154,15400,0.00472833,0.0064356974,16.797745,9.276612
155,15500,0.0045541013,0.0062885103,16.607267,9.153634
156,15600,0.0048252265,0.0065043718,16.463512,9.0458555
157,15700,0.0049304077,0.0065776715,16.296188,8.952609
158,15800,0.004827404,0.0064910613,16.13062,8.827111
159,15900,0.004652474,0.0062910193,15.965118,8.743603
160,16000,0.0045079347,0.006159308,15.797801,8.634356
161,16100,0.004816505,0.0064149513,15.667632,8.545932
162,16200,0.004786127,0.0063803433,15.516133,8.45082
163,16300,0.0046368088,0.006222595,15.3629,8.35839
164,16400,0.0047909925,0.0063547604,15.218535,8.268907
165,16500,0.0047124913,0.006278026,15.070555,8.17425
166,16600,0.0047719097,0.0063063647,14.909811,8.06851
167,16700,0.0046186484,0.0061797793,14.769968,7.9931173
168,16800,0.004758835,0.006288807,14.637386,7.908503
169,16900,0.004589495,0.0061158314,14.484121,7.825091
170,17000,0.0047188587,0.0062157535,14.353589,7.752069
171,17100,0.00482936,0.0063021462,14.211793,7.6658363
172,17200,0.004687874,0.0062137004,14.066535,7.584148
173,17300,0.004691778,0.006167626,13.932363,7.510694
174,17400,0.004702982,0.0061919703,13.796608,7.4287634
175,17500,0.0046674875,0.006180846,13.652623,7.3391504
176,17600,0.004685298,0.006166628,13.516442,7.278759
177,17700,0.0047601387,0.0062293066,13.394077,7.208227
178,17800,0.004607733,0.006042307,13.267832,7.13966
179,17900,0.0047355597,0.0061737336,13.123367,7.0571256
180,18000,0.004701975,0.006144469,12.981319,6.9849815
181,18100,0.004736222,0.0061542895,12.845963,6.9075427
182,18200,0.0047750277,0.006193259,12.716851,6.8338866
183,18300,0.004610075,0.0060092253,12.577235,6.767814
184,18400,0.004788321,0.006210023,12.47559,6.7097173
185,18500,0.004655493,0.006081397,12.336072,6.634081
186,18600,0.004602877,0.006028029,12.200079,6.566035
187,18700,0.004509512,0.005882299,12.08613,6.5106397
188,18800,0.0044827433,0.005848813,11.964839,6.4517307
189,18900,0.0043160724,0.0057077482,11.839533,6.391695
190,19000,0.004429808,0.0058255843,11.715035,6.329324
191,19100,0.0045488677,0.0059354603,11.584872,6.2493334
192,19200,0.0044872533,0.0058438564,11.469573,6.192919
193,19300,0.004525556,0.005874128,11.364631,6.139647
194,19400,0.004491696,0.005846571,11.243705,6.084806
195,19500,0.0045557865,0.0059357146,11.114338,6.014185
196,19600,0.0044372184,0.0057857684,11.009753,5.9601183
197,19700,0.0044386075,0.005787348,10.888267,5.8974776
198,19800,0.00447279,0.0058215163,10.787097,5.8489137
199,19900,0.0046009724,0.005938971,10.682295,5.801346
