,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,1.000245,0.9910474,46.787323,52.745296
1,100,0.832175,0.86800134,46.123043,52.107693
2,200,0.6684154,0.7483659,45.554054,51.56843
3,300,0.51692146,0.63811684,45.11687,51.150417
4,400,0.4047923,0.55762714,44.790688,50.824963
5,500,0.3307548,0.5056768,44.528755,50.553326
6,600,0.281893,0.47269964,44.299618,50.313957
7,700,0.24985528,0.45274085,44.087925,50.094456
8,800,0.22854324,0.44067955,43.885605,49.886753
9,900,0.21360557,0.43323627,43.688652,49.68634
10,1000,0.20210178,0.42793402,43.49539,49.491104
11,1100,0.1931181,0.42419767,43.30554,49.300793
12,1200,0.18551472,0.42148557,43.119442,49.11512
13,1300,0.17874882,0.41938028,42.93796,48.93435
14,1400,0.17216985,0.417286,42.762455,48.759846
15,1500,0.16601038,0.4155795,42.593483,48.592262
16,1600,0.15991761,0.41395804,42.43163,48.433086
17,1700,0.15386295,0.4125406,42.277683,48.282997
18,1800,0.14831682,0.4114364,42.13178,48.14292
19,1900,0.14293006,0.4102242,41.99521,48.01284
20,2000,0.13805458,0.40928888,41.868282,47.89371
21,2100,0.13356586,0.40854588,41.750885,47.785038
22,2200,0.12946099,0.407808,41.64364,47.687298
23,2300,0.12561373,0.4071516,41.546482,47.600307
24,2400,0.12201858,0.4063643,41.4589,47.52375
25,2500,0.11860778,0.40539742,41.38083,47.456993
26,2600,0.115156434,0.404179,41.311813,47.40085
27,2700,0.11159639,0.4026824,41.251835,47.355125
28,2800,0.108266585,0.4012763,41.200302,47.319317
29,2900,0.10533066,0.40000463,41.156887,47.29226
30,3000,0.10269457,0.39884844,41.121555,47.27333
31,3100,0.100304626,0.39783418,41.09382,47.262253
32,3200,0.0981734,0.39693734,41.072857,47.258656
33,3300,0.09632559,0.39608753,41.058037,47.261745
34,3400,0.09469178,0.39526126,41.048485,47.270973
35,3500,0.09315563,0.39443338,41.04352,47.28556
36,3600,0.091904245,0.39381674,41.042408,47.30455
37,3700,0.09080932,0.39322346,41.044655,47.3272
38,3800,0.08985701,0.3926767,41.050224,47.352932
39,3900,0.0890376,0.39220008,41.05882,47.381237
40,4000,0.08833704,0.391711,41.069912,47.411587
41,4100,0.08766722,0.39121547,41.083427,47.44361
42,4200,0.08706426,0.39075294,41.09916,47.477074
43,4300,0.086510874,0.39028814,41.116997,47.511936
44,4400,0.08599015,0.38983876,41.136513,47.547863
45,4500,0.08545485,0.38936087,41.157467,47.584602
46,4600,0.08489123,0.38881546,41.17959,47.621796
47,4700,0.08437259,0.38822675,41.20301,47.65937
48,4800,0.08385647,0.38758317,41.22742,47.697212
49,4900,0.08332729,0.38693443,41.252777,47.73508
50,5000,0.082773335,0.38619497,41.278862,47.773167
51,5100,0.08223833,0.38541293,41.3056,47.81149
52,5200,0.081701,0.38461998,41.33276,47.84984
53,5300,0.081169,0.38386,41.36042,47.88804
54,5400,0.08064647,0.38308445,41.388435,47.92623
55,5500,0.08007763,0.38224664,41.416954,47.964172
56,5600,0.079512484,0.38142878,41.445667,48.001923
57,5700,0.0789643,0.38065404,41.47452,48.03935
58,5800,0.078388475,0.37977672,41.503235,48.07638
59,5900,0.07778471,0.37883204,41.531902,48.112995
60,6000,0.07715592,0.37777176,41.56043,48.14904
61,6100,0.07647929,0.37669256,41.589134,48.1848
62,6200,0.07576518,0.37568328,41.61813,48.22006
63,6300,0.075029306,0.3746662,41.647102,48.25502
64,6400,0.07428367,0.37358388,41.67597,48.289494
65,6500,0.073566094,0.37254223,41.70492,48.32357
66,6600,0.07285501,0.3714439,41.73384,48.35727
67,6700,0.07216048,0.37025708,41.762653,48.390118
68,6800,0.07143029,0.36893985,41.79168,48.42205
69,6900,0.07064583,0.3674734,41.820763,48.453312
70,7000,0.069825634,0.36594462,41.850616,48.483852
71,7100,0.0689834,0.36437806,41.88087,48.513546
72,7200,0.06813168,0.3627553,41.911285,48.54254
73,7300,0.06724429,0.3610919,41.942036,48.570465
74,7400,0.06635876,0.35938424,41.973186,48.598034
75,7500,0.065456666,0.35758507,42.004578,48.624947
76,7600,0.06448889,0.35580438,42.036167,48.651314
77,7700,0.063504,0.35396022,42.068,48.676983
78,7800,0.06247825,0.35194054,42.10017,48.70238
79,7900,0.06141294,0.34979996,42.13277,48.72728
80,8000,0.060260754,0.3474701,42.16524,48.751522
81,8100,0.059088048,0.34518775,42.19848,48.77459
82,8200,0.057974212,0.34300637,42.23245,48.79692
83,8300,0.05678015,0.34080344,42.26694,48.818993
84,8400,0.05564056,0.33841553,42.30189,48.838726
85,8500,0.054527123,0.33589616,42.3373,48.856476
86,8600,0.053374942,0.3332498,42.372723,48.873737
87,8700,0.05215464,0.33053493,42.408466,48.889687
88,8800,0.051005423,0.32771924,42.443962,48.904537
89,8900,0.049880803,0.32472754,42.480053,48.91841
90,9000,0.04874502,0.32166854,42.51588,48.930706
91,9100,0.04760028,0.31851155,42.551407,48.93966
92,9200,0.046532363,0.31530452,42.58722,48.945763
93,9300,0.04547639,0.31198215,42.621685,48.949986
94,9400,0.044360634,0.30845606,42.654625,48.950287
95,9500,0.04320941,0.3046991,42.685223,48.946507
96,9600,0.042006135,0.3009585,42.715004,48.940674
97,9700,0.04081902,0.29700115,42.742386,48.93189
98,9800,0.039628215,0.2927802,42.76694,48.919704
99,9900,0.03843035,0.28812093,42.789238,48.90666
100,10000,0.03719887,0.28339696,42.811214,48.887074
101,10100,0.035999928,0.2785494,42.830757,48.86054
102,10200,0.03491892,0.27375007,42.846607,48.82424
103,10300,0.03390164,0.26878023,42.859943,48.778996
104,10400,0.03288998,0.26343375,42.87148,48.722145
105,10500,0.031930625,0.2573421,42.880898,48.652496
106,10600,0.03090567,0.25100636,42.88701,48.574215
107,10700,0.029932993,0.24455953,42.89336,48.49125
108,10800,0.028965456,0.23763244,42.8934,48.394833
109,10900,0.028042758,0.23038507,42.889465,48.28921
110,11000,0.027157225,0.22253077,42.878925,48.17304
111,11100,0.026300332,0.21444361,42.858345,48.03658
112,11200,0.025462633,0.2062459,42.824303,47.883583
113,11300,0.024537293,0.19763696,42.7843,47.713238
114,11400,0.023673413,0.18752714,42.731728,47.526577
115,11500,0.022862392,0.17660832,42.6662,47.315186
116,11600,0.022059523,0.16814795,42.587162,47.07741
117,11700,0.021262275,0.1599762,42.48939,46.816086
118,11800,0.02041697,0.15258086,42.380814,46.525383
119,11900,0.019694287,0.14531791,42.25612,46.199356
120,12000,0.019054681,0.13838458,42.110016,45.840847
121,12100,0.018391775,0.13176689,41.934258,45.446095
122,12200,0.017754044,0.12530962,41.730137,45.010883
123,12300,0.0172052,0.1186036,41.498405,44.53174
124,12400,0.016722929,0.11140117,41.24078,44.00338
125,12500,0.016253116,0.10415284,40.94866,43.429863
126,12600,0.015828324,0.09717466,40.61777,42.803524
127,12700,0.015481546,0.09097642,40.24938,42.11319
128,12800,0.015177693,0.08544499,39.84362,41.350994
129,12900,0.0149271805,0.08053515,39.39231,40.523994
130,13000,0.014689659,0.07608928,38.89249,39.634922
131,13100,0.014367545,0.07174383,38.341946,38.666607
132,13200,0.0140359355,0.06608124,37.73528,37.60495
133,13300,0.0136638135,0.062204108,37.053318,36.448753
134,13400,0.013310169,0.059368562,36.305023,35.223682
135,13500,0.013006548,0.056926176,35.49882,33.931087
136,13600,0.012737009,0.054812368,34.629864,32.56696
137,13700,0.012492319,0.05303869,33.699913,31.119577
138,13800,0.012224259,0.051495023,32.696484,29.618599
139,13900,0.011996314,0.050198574,31.618307,28.083553
140,14000,0.011732117,0.049089964,30.468132,26.51083
141,14100,0.011445571,0.04811591,29.252125,24.914164
142,14200,0.011189708,0.047275364,27.987162,23.303064
143,14300,0.010917042,0.046500344,26.662508,21.700857
144,14400,0.010605825,0.04574617,25.287891,20.12467
145,14500,0.010359349,0.045149025,23.887552,18.593578
146,14600,0.010263365,0.044863462,22.474724,17.132149
147,14700,0.010027245,0.044499774,21.059803,15.736032
148,14800,0.009743617,0.04405002,19.667479,14.419508
149,14900,0.009514376,0.04357907,18.28101,13.172278
150,15000,0.009249219,0.0430907,16.913904,12.007206
151,15100,0.008966329,0.042622607,15.579581,10.9183
152,15200,0.008747089,0.04226749,14.29138,9.929003
153,15300,0.008636411,0.042014476,13.051772,9.0388775
154,15400,0.008476487,0.041695893,11.881068,8.2350445
155,15500,0.008358383,0.041426186,10.797913,7.5192657
156,15600,0.008184892,0.041126218,9.791602,6.883904
157,15700,0.008014694,0.040840756,8.87267,6.3271585
158,15800,0.007913792,0.040681407,8.044705,5.846162
159,15900,0.00783916,0.04049901,7.311119,5.4428835
160,16000,0.0076885847,0.040259726,6.654844,5.094393
161,16100,0.0075534796,0.04004145,6.082683,4.8036933
162,16200,0.0073611625,0.039835572,5.594695,4.559266
163,16300,0.007167213,0.03964732,5.171613,4.352105
164,16400,0.007061313,0.039456297,4.809273,4.1834245
165,16500,0.006934029,0.039262827,4.511989,4.0478306
166,16600,0.0067464435,0.039017398,4.270748,3.9329562
167,16700,0.0066055837,0.03879797,4.064918,3.8314059
168,16800,0.0064571104,0.038671643,3.8901744,3.749955
169,16900,0.0064636166,0.03872638,3.7423568,3.6816502
170,17000,0.0064423336,0.038783915,3.627283,3.6254456
171,17100,0.0064026406,0.038825557,3.5381181,3.578466
172,17200,0.0063406103,0.038839877,3.467932,3.5381021
173,17300,0.0063090017,0.038903862,3.4073167,3.508008
174,17400,0.0062613455,0.03891734,3.3606317,3.484522
175,17500,0.0061727325,0.03891771,3.3212116,3.4655178
176,17600,0.0061220773,0.038978335,3.2871168,3.447538
177,17700,0.006064691,0.03899868,3.2566986,3.4296677
178,17800,0.0060518254,0.03898793,3.2276704,3.4174492
179,17900,0.005982844,0.038965672,3.2019308,3.4040513
180,18000,0.005935682,0.038967825,3.1795683,3.396123
181,18100,0.0059021614,0.038982105,3.1610253,3.388786
182,18200,0.005869735,0.0390086,3.1459737,3.3823652
183,18300,0.005822799,0.038989946,3.1334362,3.37962
184,18400,0.0057741143,0.038970012,3.1235604,3.3786328
185,18500,0.005726459,0.03894087,3.115242,3.3772216
186,18600,0.0056943432,0.038909994,3.1048062,3.3769493
187,18700,0.0056568533,0.038924504,3.0965142,3.377948
188,18800,0.005621805,0.038930014,3.08848,3.3764577
189,18900,0.005591783,0.038914863,3.0801494,3.375416
190,19000,0.0055611166,0.03890466,3.0741487,3.3740401
191,19100,0.0055595683,0.03890346,3.0705533,3.373713
192,19200,0.0055557513,0.03893626,3.068442,3.3747554
193,19300,0.005563334,0.03896522,3.0657306,3.374614
194,19400,0.0055517373,0.038995244,3.0626056,3.3738973
195,19500,0.005553653,0.039023884,3.059808,3.37296
196,19600,0.0055475277,0.03906129,3.0583427,3.3715985
197,19700,0.005531895,0.039067157,3.0578623,3.370352
198,19800,0.0055231443,0.039079767,3.0567677,3.3683708
199,19900,0.0055178683,0.039092273,3.0550935,3.3667371
