,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2021073,1.9993687,1.994425,0.0
1,100,1.1625911,1.9994546,1.9904176,0.0
2,200,1.1149013,1.9994376,1.9849519,0.0
3,300,1.0304493,1.9992868,1.9818399,0.0
4,400,0.91471004,1.9987994,1.981317,0.0
5,500,0.78274566,1.9961638,1.9816546,0.0
6,600,0.64912623,1.9876711,1.9805615,0.0
7,700,0.5326384,1.9730752,1.977124,0.0
8,800,0.44465584,1.9554509,1.973292,0.0
9,900,0.38048857,1.9373957,1.9709309,0.0
10,1000,0.33117613,1.9240229,1.970447,0.0
11,1100,0.2916727,1.9153849,1.9717653,0.0
12,1200,0.25963157,1.9111698,1.9749333,0.0
13,1300,0.23567255,1.909495,1.9787363,0.0
14,1400,0.21809457,1.9099525,1.9820963,0.0
15,1500,0.20426156,1.9137362,1.984861,0.0
16,1600,0.19325125,1.9194207,1.9860034,0.0
17,1700,0.18598467,1.9271449,1.9836361,0.0
18,1800,0.18096747,1.9353167,1.9785004,0.0
19,1900,0.17603846,1.94502,1.9717218,0.0
20,2000,0.17324473,1.9542241,1.9598174,0.0
21,2100,0.17052683,1.9633217,1.9438208,0.0
22,2200,0.16839698,1.9730554,1.9235468,0.0
23,2300,0.16547321,1.9816464,1.9027594,0.0
24,2400,0.16114531,1.9871571,1.8856225,0.0
25,2500,0.15916644,1.9919102,1.8659514,0.0
26,2600,0.15700419,1.9954728,1.8406433,0.0
27,2700,0.15236507,1.9972225,1.8146455,0.0
28,2800,0.1486083,1.9980536,1.7933064,0.0
29,2900,0.14589329,1.9987706,1.7800713,0.0
30,3000,0.14332317,1.9990532,1.7664478,0.0
31,3100,0.14290532,1.999002,1.755302,0.0
32,3200,0.14039841,1.998784,1.7471532,0.0
33,3300,0.13748746,1.9981169,1.74405,0.0
34,3400,0.13456823,1.9970982,1.7475364,0.0
35,3500,0.12878752,1.9956962,1.7582383,0.0
36,3600,0.12313096,1.9943086,1.7651402,0.0
37,3700,0.119583055,1.9904052,1.7676744,0.0
38,3800,0.117950924,1.9852762,1.7731876,0.0
39,3900,0.11327784,1.9796206,1.7859434,0.0
40,4000,0.10865316,1.9748455,1.8041657,0.0
41,4100,0.10753429,1.9728934,1.8144189,0.0
42,4200,0.10824145,1.9710987,1.8188059,0.0
43,4300,0.108960286,1.9697895,1.8182493,0.0
44,4400,0.11011346,1.970179,1.8186556,0.0
45,4500,0.11075357,1.97104,1.8187802,0.0
46,4600,0.11129681,1.9724475,1.8186513,0.0
47,4700,0.111893736,1.9740376,1.815815,0.0
48,4800,0.11123873,1.9756777,1.8134878,0.0
49,4900,0.11005064,1.9780064,1.8096375,0.0
50,5000,0.10875459,1.9795526,1.8107615,0.0
51,5100,0.10725085,1.9811847,1.8167248,0.0
52,5200,0.10598159,1.9821361,1.8259101,0.0
53,5300,0.10373501,1.9835266,1.8349876,0.0
54,5400,0.102807924,1.9849888,1.8452523,0.0
55,5500,0.10309124,1.986976,1.8543899,0.0
56,5600,0.10303169,1.9883816,1.862595,0.0
57,5700,0.10362582,1.9886374,1.8731577,0.0
