,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2182947,49.064938,53.028297,102.09323
1,100,0.84760916,44.67822,48.677258,93.35548
2,200,0.55852586,40.181316,43.924328,84.105644
3,300,0.4120294,35.754143,39.043446,74.79759
4,400,0.33507654,31.554235,34.316692,65.870926
5,500,0.29458153,27.688318,29.945198,57.633514
6,600,0.26853874,24.218344,26.03325,50.251595
7,700,0.247624,21.16119,22.608742,43.76993
8,800,0.23378764,18.501036,19.651196,38.15223
9,900,0.2222958,16.204119,17.11622,33.32034
10,1000,0.2146876,14.229423,14.951414,29.180836
11,1100,0.20871973,12.534502,13.104005,25.638508
12,1200,0.20338088,11.079415,11.525167,22.604584
13,1300,0.19962695,9.82856,10.172358,20.000917
14,1400,0.19564617,8.750811,9.0094185,17.76023
15,1500,0.1906024,7.819664,8.006247,15.825911
16,1600,0.18802436,7.012467,7.1380906,14.1505575
17,1700,0.18426818,6.310272,6.384524,12.694796
18,1800,0.18095097,5.6974726,5.7285566,11.426029
19,1900,0.17835817,5.160961,5.156452,10.317413
20,2000,0.17511483,4.6897693,4.656506,9.346275
21,2100,0.17186332,4.274784,4.218963,8.493748
22,2200,0.1678599,3.9082308,3.8356655,7.7438965
23,2300,0.1643711,3.5839639,3.4995136,7.0834775
24,2400,0.16108373,3.2964513,3.2042427,6.5006943
25,2500,0.15785676,3.0411682,2.9445903,5.985759
26,2600,0.15489317,2.8141563,2.7159886,5.5301447
27,2700,0.14985818,2.6118152,2.5145383,5.1263533
28,2800,0.14355718,2.4314995,2.3366487,4.7681484
29,2900,0.1372486,2.270489,2.1793618,4.449851
30,3000,0.13267702,2.126582,2.040051,4.1666327
31,3100,0.12614499,1.9978348,1.9165869,3.9144216
32,3200,0.1195897,1.8826156,1.8070722,3.6896877
33,3300,0.11254707,1.7794851,1.7097629,3.489248
34,3400,0.10726712,1.6871723,1.623208,3.3103805
35,3500,0.1017968,1.6045325,1.5461996,3.150732
36,3600,0.09529747,1.530584,1.4775499,3.008134
37,3700,0.08825685,1.464417,1.4164065,2.8808236
38,3800,0.081843294,1.4052938,1.3620139,2.7673078
39,3900,0.076158985,1.3524213,1.3136413,2.6660626
40,4000,0.07170541,1.305256,1.2706612,2.5759172
41,4100,0.068010844,1.2632753,1.2325685,2.495844
42,4200,0.06395783,1.2260324,1.1989342,2.4249666
43,4300,0.060282007,1.1931478,1.1692834,2.362431
44,4400,0.057112914,1.1641335,1.1432525,2.307386
45,4500,0.053129535,1.1387125,1.1205419,2.2592545
46,4600,0.050937083,1.1164839,1.100832,2.217316
47,4700,0.048750453,1.097276,1.0838796,2.1811557
48,4800,0.046466332,1.0808094,1.0693828,2.1501923
49,4900,0.04381671,1.0667636,1.057127,2.1238906
50,5000,0.041905187,1.0549409,1.0468147,2.1017556
51,5100,0.040089216,1.0451005,1.0382335,2.083334
52,5200,0.038803913,1.0369462,1.0312117,2.068158
53,5300,0.03782669,1.030285,1.0255303,2.0558152
54,5400,0.037372835,1.0249431,1.0210062,2.0459495
55,5500,0.037196133,1.0207201,1.0174612,2.0381813
56,5600,0.03719776,1.0173907,1.0147169,2.0321076
57,5700,0.037539046,1.0148491,1.0126547,2.0275037
58,5800,0.03813176,1.0128918,1.0111039,2.0239956
59,5900,0.037753556,1.0114039,1.0099411,2.0213451
60,6000,0.037701093,1.0103513,1.0090872,2.0194385
61,6100,0.037193213,1.0095999,1.0084558,2.0180557
62,6200,0.036858086,1.0090338,1.007984,2.0170178
63,6300,0.03667902,1.0086166,1.0076483,2.016265
64,6400,0.036441315,1.0083169,1.0074004,2.0157173
65,6500,0.036208753,1.008089,1.0072151,2.015304
66,6600,0.03589482,1.0078835,1.007039,2.0149226
67,6700,0.035938103,1.00771,1.0069032,2.0146132
68,6800,0.035846457,1.0075693,1.006806,2.0143752
69,6900,0.03595909,1.0074581,1.0067121,2.0141702
70,7000,0.03587118,1.0073581,1.0066255,2.0139837
71,7100,0.036034096,1.0072635,1.0065521,2.0138156
72,7200,0.0357224,1.0071751,1.0064803,2.0136554
73,7300,0.03566813,1.0070906,1.0064234,2.013514
74,7400,0.036518574,1.007005,1.0063751,2.01338
75,7500,0.035662852,1.0069286,1.006333,2.0132616
76,7600,0.03556596,1.0068604,1.0062937,2.013154
77,7700,0.03578799,1.0068027,1.0062516,2.0130544
78,7800,0.035676368,1.0067416,1.0062212,2.0129628
79,7900,0.035825204,1.006681,1.0061922,2.0128732
80,8000,0.035776075,1.0066274,1.0061703,2.0127978
81,8100,0.035587315,1.0065802,1.006092,2.0126722
82,8200,0.035639815,1.0065459,1.0060598,2.0126057
83,8300,0.03523674,1.0064934,1.0060439,2.0125375
84,8400,0.03490306,1.0064479,1.0060343,2.0124822
85,8500,0.034617446,1.0064099,1.0060166,2.0124264
86,8600,0.03485864,1.0063759,1.0060191,2.012395
87,8700,0.03464603,1.0063481,1.0060189,2.012367
88,8800,0.034444682,1.0063212,1.0060357,2.0123568
89,8900,0.034432363,1.0063078,1.0060208,2.0123286
90,9000,0.034568608,1.0062852,1.0060443,2.0123296
91,9100,0.03461779,1.0062689,1.0060564,2.0123253
92,9200,0.03465307,1.0062526,1.0060802,2.012333
93,9300,0.034477882,1.0062345,1.0060995,2.0123339
94,9400,0.03439783,1.0062249,1.0061284,2.0123534
95,9500,0.034767874,1.006204,1.0061617,2.0123658
96,9600,0.034769725,1.0061966,1.0061963,2.012393
97,9700,0.034749508,1.0061904,1.0062093,2.0123997
98,9800,0.034765918,1.0061638,1.0062352,2.0123992
99,9900,0.034800425,1.0061665,1.0062624,2.0124288
100,10000,0.03507302,1.0061609,1.0062771,2.0124378
101,10100,0.03501159,1.006145,1.0063037,2.0124488
102,10200,0.035035215,1.0061601,1.0063254,2.0124855
103,10300,0.035565756,1.0061785,1.0062999,2.0124784
104,10400,0.035517838,1.0061808,1.0063344,2.012515
105,10500,0.03552394,1.0061681,1.0063833,2.0125513
106,10600,0.035720214,1.0061667,1.0064114,2.012578
107,10700,0.035277367,1.0061584,1.0064616,2.01262
108,10800,0.0355741,1.0061427,1.0065005,2.0126433
109,10900,0.03526592,1.0061419,1.006507,2.012649
110,11000,0.035183847,1.0061269,1.006554,2.012681
111,11100,0.03541048,1.0061258,1.0065918,2.0127177
112,11200,0.035042502,1.0061164,1.0066159,2.0127323
113,11300,0.035256736,1.0061024,1.0066602,2.0127625
114,11400,0.035618093,1.0061234,1.0066476,2.0127711
115,11500,0.035468776,1.006114,1.0066592,2.012773
116,11600,0.03552185,1.0061079,1.0066859,2.0127938
117,11700,0.035732083,1.0060928,1.0066922,2.012785
118,11800,0.036217853,1.0060962,1.0067097,2.012806
119,11900,0.03643599,1.0060875,1.006722,2.0128095
120,12000,0.036135618,1.0060722,1.0067368,2.0128088
121,12100,0.03631419,1.0060592,1.0067631,2.0128222
122,12200,0.038119346,1.0060695,1.0067582,2.0128279
123,12300,0.037407134,1.0060524,1.0067782,2.0128307
124,12400,0.038149565,1.0060494,1.0067657,2.012815
125,12500,0.037822276,1.0060421,1.0067818,2.012824
126,12600,0.038075313,1.0060302,1.0068029,2.012833
127,12700,0.038218647,1.006019,1.006812,2.012831
128,12800,0.038323734,1.006016,1.0068128,2.0128288
129,12900,0.038395513,1.0059959,1.0068307,2.0128264
130,13000,0.03882724,1.0059843,1.0068449,2.0128293
131,13100,0.03916264,1.0059791,1.0068469,2.012826
132,13200,0.03896687,1.0059693,1.0068486,2.0128179
133,13300,0.038937654,1.0059638,1.0068448,2.0128086
134,13400,0.039325938,1.0059683,1.0068458,2.012814
135,13500,0.03904096,1.0059556,1.0068452,2.0128007
136,13600,0.038747553,1.0059497,1.0068405,2.0127902
137,13700,0.03937663,1.005953,1.0068492,2.0128021
138,13800,0.038912725,1.0059491,1.0068417,2.0127907
