,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2179794,49.070175,53.03376,2.0420787
1,100,0.7312163,45.33535,49.40826,1.8948721
2,200,0.31248164,41.752926,45.624172,1.7475419
3,300,0.20845476,37.925644,41.353676,1.5855863
4,400,0.18193212,34.031128,36.963203,1.4198866
5,500,0.17141236,30.301058,32.678528,1.2595917
6,600,0.16141292,26.829004,28.669594,1.1099719
7,700,0.1512359,23.662405,25.016027,0.9735686
8,800,0.13645257,20.795301,21.721733,0.8503407
9,900,0.121494226,18.223707,18.781723,0.7401086
10,1000,0.10794351,15.933044,16.170284,0.64206654
11,1100,0.0961354,13.904189,13.858812,0.55526
12,1200,0.08657514,12.118808,11.833296,0.47904205
13,1300,0.07867418,10.55845,10.071362,0.4125962
14,1400,0.07254776,9.198108,8.552398,0.3550101
15,1500,0.06707997,8.01541,7.259612,0.30550045
16,1600,0.062274385,6.990414,6.170571,0.26321968
17,1700,0.058382533,6.106631,5.2637305,0.22740722
18,1800,0.05516757,5.345509,4.5140505,0.1971912
19,1900,0.052656554,4.6925726,3.8966773,0.17178498
20,2000,0.049517903,4.134123,3.390429,0.15049103
21,2100,0.046737146,3.6582131,2.9749424,0.13266312
22,2200,0.04417852,3.2537012,2.6338313,0.117750645
23,2300,0.041940227,2.9106896,2.3549492,0.10531277
24,2400,0.04004761,2.6205018,2.1263213,0.09493647
25,2500,0.03889454,2.374747,1.9380677,0.086256295
26,2600,0.03796858,2.168312,1.7842512,0.07905126
27,2700,0.03674521,1.9938953,1.6584077,0.07304606
28,2800,0.035220988,1.8478234,1.5561172,0.06807881
29,2900,0.0340421,1.7252197,1.4728806,0.063962005
30,3000,0.03314661,1.6231023,1.4064604,0.060591254
31,3100,0.031922244,1.5385762,1.3548613,0.057868745
32,3200,0.03129993,1.4698443,1.3144983,0.055686854
33,3300,0.029800117,1.4139534,1.2844523,0.053968113
34,3400,0.028374884,1.3694903,1.2623814,0.05263743
35,3500,0.027241953,1.3348265,1.2471128,0.051638782
36,3600,0.026261864,1.3080447,1.2363138,0.050887167
37,3700,0.025359495,1.2878488,1.2294925,0.050346825
38,3800,0.024230488,1.274004,1.2251427,0.04998293
39,3900,0.023659566,1.2641381,1.2227653,0.049738068
40,4000,0.023190048,1.2582542,1.2211808,0.0495887
41,4100,0.022889871,1.2542996,1.2210592,0.04950718
42,4200,0.022518385,1.2521749,1.2214552,0.049472596
43,4300,0.022104569,1.2494428,1.2215655,0.049420167
44,4400,0.021905905,1.2475177,1.2210604,0.04937156
45,4500,0.021908658,1.2462771,1.220642,0.049338378
46,4600,0.022101432,1.2446318,1.2200259,0.049293153
47,4700,0.022060178,1.243804,1.2185532,0.04924714
48,4800,0.021968802,1.24297,1.2177325,0.049214046
49,4900,0.02194434,1.2420274,1.2167001,0.049174547
50,5000,0.021964708,1.2407134,1.2146494,0.049107254
51,5100,0.021887857,1.2386687,1.2122748,0.049018867
52,5200,0.021939123,1.236715,1.2092558,0.048919413
53,5300,0.022350783,1.2347424,1.2058654,0.048812155
54,5400,0.022609754,1.2322669,1.2029473,0.04870428
55,5500,0.022413213,1.2296377,1.2000679,0.04859411
56,5600,0.022351999,1.226424,1.1972466,0.04847341
57,5700,0.022335185,1.2239062,1.1941564,0.048361253
58,5800,0.02217007,1.2212807,1.1908756,0.048243124
59,5900,0.022179287,1.2186745,1.1874559,0.048122603
60,6000,0.02216418,1.215526,1.1840042,0.0479906
61,6100,0.022361215,1.2124677,1.1804847,0.047859047
62,6200,0.022477446,1.209341,1.17641,0.04771502
63,6300,0.022961127,1.2065755,1.172626,0.047584027
64,6400,0.023200097,1.2041205,1.1687635,0.04745768
65,6500,0.023842085,1.2016091,1.1649071,0.04733032
66,6600,0.024148129,1.1990268,1.160517,0.047190875
67,6700,0.024730818,1.196678,1.1567116,0.047067795
68,6800,0.025178403,1.1940873,1.1530089,0.046941925
69,6900,0.025465475,1.1916384,1.1492789,0.046818342
70,7000,0.025849693,1.1891145,1.1455338,0.04669296
71,7100,0.025870316,1.1868523,1.1417997,0.046573035
72,7200,0.025213534,1.1843781,1.1390635,0.046468828
73,7300,0.024572076,1.1825843,1.1364975,0.046381634
74,7400,0.024205657,1.1807762,1.1339171,0.04629387
75,7500,0.024167808,1.1786427,1.131641,0.046205673
76,7600,0.024037436,1.1770546,1.1294303,0.046129696
77,7700,0.023851817,1.175124,1.12782,0.046058882
78,7800,0.023914665,1.1729233,1.1258245,0.045974955
79,7900,0.023958521,1.1706418,1.124351,0.045899857
80,8000,0.023891687,1.1686025,1.1233116,0.045838278
81,8100,0.023906274,1.167088,1.1219517,0.045780793
82,8200,0.02366826,1.1655562,1.1207268,0.04572566
83,8300,0.023678709,1.1641669,1.1193302,0.04566994
84,8400,0.023656804,1.1627212,1.1175522,0.04560547
85,8500,0.023787921,1.1616048,1.116252,0.045557134
86,8600,0.023552213,1.1595381,1.115002,0.0454908
87,8700,0.023361428,1.1581382,1.1139194,0.04544115
88,8800,0.02320079,1.156796,1.1130314,0.045396548
89,8900,0.023032125,1.1555134,1.112324,0.04535675
90,9000,0.022818303,1.1541567,1.1114733,0.0453126
91,9100,0.022650927,1.153061,1.1106427,0.045274075
92,9200,0.022545282,1.1519166,1.1099739,0.045237806
93,9300,0.022332892,1.1510713,1.1092991,0.045207404
94,9400,0.022254206,1.1499743,1.1087706,0.045174897
95,9500,0.0220017,1.1492077,1.1078928,0.04514201
96,9600,0.021880629,1.148299,1.1070304,0.045106586
97,9700,0.021624332,1.1471505,1.1066958,0.04507692
98,9800,0.02159599,1.1464264,1.1059111,0.045046747
99,9900,0.021415442,1.1455088,1.1053681,0.045017537
100,10000,0.021448145,1.1444042,1.1046983,0.04498205
101,10100,0.021403084,1.1434683,1.1041094,0.04495155
102,10200,0.021462636,1.1424863,1.1037319,0.044924363
103,10300,0.021432443,1.141679,1.1034427,0.044902433
104,10400,0.02139791,1.1409216,1.10316,0.04488163
105,10500,0.021455856,1.1401938,1.1027204,0.044858284
106,10600,0.021468975,1.1394347,1.1023437,0.044835567
107,10700,0.021505846,1.1387786,1.1020547,0.044816665
108,10800,0.0215543,1.138143,1.1016208,0.044795275
109,10900,0.021457795,1.1374284,1.101111,0.04477079
110,11000,0.021543106,1.1368202,1.1007094,0.044750594
111,11100,0.021336231,1.1362466,1.1003804,0.04473254
112,11200,0.021380577,1.135664,1.1001433,0.044716146
113,11300,0.02160923,1.1351415,1.0998557,0.044699945
114,11400,0.021533752,1.1345136,1.0996605,0.044683482
115,11500,0.021500371,1.134004,1.0992682,0.04466544
116,11600,0.021457901,1.1334486,1.0988296,0.044645566
117,11700,0.021559833,1.1329678,1.0985239,0.04462983
118,11800,0.021947522,1.1322675,1.0983773,0.044612892
119,11900,0.02228468,1.1316265,1.0982487,0.0445975
120,12000,0.022817507,1.1312551,1.0979666,0.044584434
121,12100,0.023190904,1.1307151,1.0977402,0.044569105
122,12200,0.02349879,1.1301367,1.0973725,0.044550184
123,12300,0.02375781,1.129659,1.097186,0.0445369
124,12400,0.0240642,1.1293058,1.0968585,0.044523288
125,12500,0.024160871,1.1290008,1.0965376,0.044510763
126,12600,0.024341498,1.128628,1.0963334,0.044499226
127,12700,0.024733,1.1281941,1.0959609,0.0444831
128,12800,0.024914382,1.1278098,1.0957661,0.044471517
129,12900,0.025044208,1.1274238,1.095265,0.044453774
130,13000,0.025573757,1.127158,1.0952333,0.044447828
131,13100,0.025737606,1.1267917,1.09504,0.044436634
132,13200,0.025952632,1.1263751,1.0947483,0.044422463
133,13300,0.026427059,1.1259943,1.0946858,0.044413604
134,13400,0.026615137,1.1256952,1.0945426,0.044404753
135,13500,0.026577385,1.1253235,1.0944304,0.044395078
136,13600,0.026900738,1.125046,1.0943291,0.0443875
137,13700,0.02697442,1.1249301,1.0941404,0.044381406
138,13800,0.026975352,1.1246034,1.0939165,0.044370398
139,13900,0.02733508,1.1244383,1.093566,0.044360083
140,14000,0.027531179,1.1243434,1.0935019,0.04435691
141,14100,0.027529478,1.1240263,1.0931855,0.044344235
142,14200,0.027471252,1.1237924,1.0930662,0.044337172
143,14300,0.027488692,1.1235255,1.0930244,0.044330996
144,14400,0.027742004,1.1231863,1.0930678,0.044325083
145,14500,0.027734632,1.1229315,1.0930519,0.044319667
146,14600,0.027849656,1.122616,1.0930791,0.0443139
147,14700,0.028018381,1.1224293,1.0929708,0.044308003
148,14800,0.027779637,1.1222072,1.0928131,0.044300403
149,14900,0.027953442,1.1219205,1.0927794,0.044293992
150,15000,0.028014978,1.1216881,1.0928981,0.044291724
151,15100,0.028280217,1.1213734,1.0927633,0.04428273
152,15200,0.028530367,1.1213176,1.0927992,0.044282336
153,15300,0.028270703,1.1210588,1.0926117,0.04427341
154,15400,0.028230537,1.120812,1.0925964,0.04426817
155,15500,0.028323162,1.1206558,1.0925032,0.04426318
156,15600,0.028647795,1.120334,1.0926404,0.04425949
157,15700,0.028724626,1.1200774,1.0923847,0.044249237
158,15800,0.028727524,1.1198605,1.0925497,0.044248205
159,15900,0.028915115,1.1196762,1.0923066,0.044239655
160,16000,0.029380046,1.1195757,1.0925368,0.044242248
161,16100,0.029403262,1.1193815,1.0922244,0.04423212
162,16200,0.029651606,1.1191869,1.0921109,0.044225954
163,16300,0.029943313,1.1189328,1.0923369,0.044225395
164,16400,0.029878149,1.1187699,1.0922358,0.044220112
165,16500,0.029908981,1.1185137,1.0922678,0.04421563
166,16600,0.030043786,1.1183529,1.0922467,0.044211987
167,16700,0.030157302,1.1181576,1.0921803,0.044206757
168,16800,0.030058349,1.1178831,1.092173,0.04420112
169,16900,0.03023544,1.1176745,1.091785,0.044189185
170,17000,0.030520678,1.1175469,1.092089,0.04419272
171,17100,0.03044534,1.1174129,1.0919605,0.044187468
172,17200,0.030517323,1.1171956,1.0919502,0.044182915
173,17300,0.030465398,1.1170336,1.0918001,0.04417667
174,17400,0.030477537,1.1168472,1.0917873,0.044172686
