,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.32934034,0.3201936,49.10778,53.068832
1,100,0.097936876,0.30101547,49.0773,53.11706
2,200,0.059430305,0.29778,49.0698,53.165623
3,300,0.052183196,0.29666054,49.051964,53.160454
4,400,0.045823824,0.29581168,49.01544,53.159718
5,500,0.039644573,0.2943793,48.949635,53.159378
6,600,0.03373636,0.2913209,48.873814,53.169884
7,700,0.028786685,0.28547385,48.779167,53.18316
8,800,0.02473302,0.2794724,48.661602,53.183487
9,900,0.022100963,0.2707313,48.522938,53.168198
10,1000,0.019959345,0.25798684,48.346123,53.144638
11,1100,0.01815545,0.24131039,48.14255,53.097637
12,1200,0.016600322,0.22150247,47.917946,53.01658
13,1300,0.015367354,0.20348898,47.66611,52.91886
14,1400,0.0142637985,0.18525316,47.370415,52.76615
15,1500,0.012947695,0.16561578,47.033993,52.552868
16,1600,0.011859942,0.14709,46.633995,52.254906
17,1700,0.011038442,0.13144286,46.142227,51.843685
18,1800,0.010304899,0.11664715,45.55588,51.295757
19,1900,0.009614159,0.105391346,44.854477,50.55548
20,2000,0.0088952575,0.09743416,44.03748,49.586163
21,2100,0.0081706615,0.08980337,43.06005,48.3127
22,2200,0.0074673058,0.08490094,41.894093,46.68266
23,2300,0.006835036,0.08078488,40.531235,44.65086
24,2400,0.006239131,0.077595845,38.951035,42.152256
25,2500,0.005614137,0.07385191,37.120644,39.33118
26,2600,0.005076136,0.071058705,35.067833,36.077496
27,2700,0.0046604923,0.06936766,32.82896,32.513245
28,2800,0.0042950585,0.06811275,30.519474,28.905016
29,2900,0.003998631,0.06710743,28.091488,25.382507
30,3000,0.0037911288,0.06544921,25.632248,22.094744
31,3100,0.003523552,0.06412106,23.174833,19.169327
32,3200,0.0032669723,0.06285584,20.732956,16.627974
33,3300,0.0029676878,0.06153023,18.547138,14.493442
34,3400,0.0027633985,0.059884455,16.515415,12.696394
35,3500,0.0026255357,0.05912372,14.701404,11.309647
36,3600,0.0025289662,0.05886326,13.156272,10.231136
37,3700,0.0023942813,0.05858468,11.860094,9.394634
38,3800,0.0022469067,0.058868118,10.760742,8.753625
39,3900,0.0020685117,0.058456052,9.894834,8.186623
40,4000,0.0019945288,0.058538288,9.109942,7.649019
41,4100,0.0019253107,0.058238387,8.461488,7.2189026
42,4200,0.001931152,0.058343083,7.953855,6.9028473
43,4300,0.001941625,0.05862974,7.524312,6.6526814
44,4400,0.0019669395,0.05881383,7.192742,6.4673376
45,4500,0.0019167905,0.059278585,6.9045205,6.3305664
46,4600,0.0018125217,0.059616238,6.6653037,6.1976213
47,4700,0.0018610033,0.061389294,6.5085454,6.0848255
48,4800,0.0017838096,0.060716122,6.3341794,5.9539337
49,4900,0.001722235,0.061879158,6.190693,5.8395057
50,5000,0.0016494169,0.061857052,6.06631,5.7708964
51,5100,0.0016746599,0.062756576,5.951016,5.6958017
52,5200,0.0016975516,0.063252725,5.8793316,5.635657
53,5300,0.0016791393,0.06376063,5.8260546,5.5775332
54,5400,0.0017229641,0.064408705,5.7631693,5.5291996
55,5500,0.0016810235,0.06447219,5.7146163,5.4885426
56,5600,0.0016700547,0.06526841,5.66644,5.4536934
57,5700,0.0017429383,0.06605893,5.6203275,5.4187317
58,5800,0.001682074,0.06701929,5.612306,5.384087
59,5900,0.001699971,0.06740719,5.56851,5.345668
60,6000,0.0016513232,0.06749607,5.560308,5.3150086
61,6100,0.0017213318,0.06844696,5.5393467,5.2769766
62,6200,0.0016342633,0.067758866,5.528953,5.2729707
63,6300,0.0016475191,0.06918414,5.4939723,5.2359114
64,6400,0.0016141614,0.06826671,5.511533,5.239529
65,6500,0.0016500376,0.06884408,5.5073886,5.209307
66,6600,0.0016106113,0.06780375,5.4965935,5.2290606
67,6700,0.0016355115,0.06891962,5.495596,5.204009
68,6800,0.0015849591,0.07108343,5.4869027,5.200863
69,6900,0.0015894251,0.07004701,5.4572887,5.17414
70,7000,0.0015889648,0.06943043,5.4595957,5.1826596
71,7100,0.0015914505,0.07036887,5.4639683,5.168198
72,7200,0.0015942381,0.068986036,5.4408755,5.1753454
73,7300,0.0015872733,0.069186285,5.4222198,5.163016
74,7400,0.0016089012,0.06979426,5.410248,5.155453
75,7500,0.0015662026,0.06982418,5.4000444,5.1381965
76,7600,0.001565075,0.06979319,5.393749,5.1272507
77,7700,0.001542909,0.0702424,5.385418,5.0918527
78,7800,0.0015246538,0.07015483,5.3493085,5.072005
79,7900,0.001534913,0.07005053,5.3217473,5.061299
80,8000,0.0015340399,0.070087574,5.279473,5.054107
81,8100,0.0015206769,0.07003327,5.265452,5.037425
82,8200,0.0014975799,0.070061915,5.2690997,5.0053554
83,8300,0.0017045286,0.070948474,5.209214,5.005307
84,8400,0.0014344814,0.074400924,5.1992364,4.925603
85,8500,0.0014447272,0.070804544,5.207174,4.971283
86,8600,0.0014183985,0.07046153,5.174017,4.9543376
87,8700,0.0014454974,0.070046544,5.135165,4.952391
88,8800,0.001403958,0.06991166,5.1125813,4.9231577
89,8900,0.0013666559,0.07110521,5.05178,4.908361
90,9000,0.0013585619,0.0708572,5.039408,4.862877
91,9100,0.0013945049,0.07087754,5.001882,4.850079
92,9200,0.0014612041,0.07132208,5.002688,4.7981157
93,9300,0.0013928543,0.072431006,4.960224,4.7947598
94,9400,0.001387134,0.070660464,4.9443064,4.75184
95,9500,0.001360702,0.0697682,4.9370656,4.7291293
96,9600,0.0013529175,0.070447266,4.909881,4.674324
97,9700,0.0013459993,0.0701484,4.8753815,4.6488867
98,9800,0.0013071172,0.06992077,4.820323,4.6344366
99,9900,0.0013209436,0.07027386,4.7767353,4.6063604
100,10000,0.0013349287,0.06899663,4.7405863,4.599142
101,10100,0.001375604,0.069360845,4.7041554,4.5740066
102,10200,0.001340196,0.069722526,4.666758,4.5442886
103,10300,0.0013569226,0.068849266,4.6483126,4.547687
104,10400,0.0013212996,0.068921685,4.6350284,4.524369
105,10500,0.0013151309,0.06916785,4.5951824,4.5120416
106,10600,0.0013146085,0.06886731,4.574884,4.5189357
107,10700,0.0013251895,0.07322779,4.564701,4.516644
108,10800,0.0013104721,0.06899097,4.5351815,4.504393
109,10900,0.0013153288,0.0691951,4.5140944,4.4998326
110,11000,0.0013025285,0.069131516,4.5200067,4.492296
111,11100,0.0013144029,0.070403524,4.4853253,4.4993067
112,11200,0.0013119166,0.06901365,4.476019,4.4985304
113,11300,0.0012985837,0.069047086,4.4486737,4.4949417
114,11400,0.0013078315,0.06905877,4.446496,4.503286
115,11500,0.001303855,0.06931895,4.445456,4.487221
116,11600,0.0013211595,0.06940276,4.4312825,4.4895005
117,11700,0.0013162257,0.06894215,4.4200935,4.4977474
118,11800,0.0013233939,0.06865548,4.40281,4.5045
119,11900,0.0013128327,0.06880664,4.402744,4.4951453
120,12000,0.0013226181,0.069173396,4.38187,4.5003643
121,12100,0.0013176748,0.06931024,4.398134,4.4922175
122,12200,0.001325899,0.06969775,4.375761,4.492084
123,12300,0.0013396806,0.06955012,4.3896613,4.4939437
124,12400,0.0013202967,0.068795465,4.385682,4.491717
125,12500,0.0014491194,0.07041281,4.384124,4.4788947
126,12600,0.0013409384,0.06967531,4.373562,4.478849
127,12700,0.0013342018,0.06945908,4.3822374,4.475351
128,12800,0.0013193093,0.069649614,4.359243,4.4892464
129,12900,0.0013273626,0.0696588,4.3752966,4.4799066
130,13000,0.0013187111,0.06973803,4.3842363,4.467575
131,13100,0.0013171692,0.06918759,4.376348,4.4775357
132,13200,0.0013178114,0.06996218,4.379478,4.4712567
133,13300,0.001345223,0.070045665,4.3732038,4.479362
134,13400,0.0012981509,0.070886016,4.3693466,4.4480567
