,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.97832733,0.9758956,49.107357,53.06906
1,100,0.36381906,0.4936215,49.003,53.09075
2,200,0.19977383,0.35626793,48.886234,53.123802
3,300,0.17887521,0.34611976,48.794792,53.07325
4,400,0.1619237,0.3331283,48.67881,53.002106
5,500,0.13822967,0.31177583,48.531998,52.906986
6,600,0.112925395,0.2896738,48.35975,52.773373
7,700,0.089720994,0.26640758,48.134083,52.604404
8,800,0.07003046,0.24606155,47.86335,52.39848
9,900,0.05782595,0.22743562,47.58602,52.180172
10,1000,0.050262768,0.21169843,47.29546,51.942623
11,1100,0.04506298,0.19698067,46.985577,51.67509
12,1200,0.041179843,0.18111517,46.64211,51.382317
13,1300,0.038183466,0.16672511,46.26942,51.06251
14,1400,0.035563856,0.15166593,45.861565,50.70288
15,1500,0.033088233,0.13777776,45.407482,50.290405
16,1600,0.031208359,0.1248498,44.92083,49.820667
17,1700,0.0296997,0.11156587,44.412106,49.275867
18,1800,0.028251445,0.100277275,43.86638,48.643402
19,1900,0.02693034,0.09054595,43.281796,47.91707
20,2000,0.025600312,0.081054136,42.653717,47.089466
21,2100,0.024362551,0.073189184,41.982502,46.143963
22,2200,0.023203699,0.06530919,41.268852,45.028656
23,2300,0.022205427,0.059519418,40.495773,43.853287
24,2400,0.021262873,0.054336283,39.67483,42.539547
25,2500,0.020347318,0.04973919,38.81004,41.060707
26,2600,0.019523922,0.0465672,37.926212,39.39926
27,2700,0.018831689,0.04341889,36.94019,37.94372
28,2800,0.018198974,0.04080553,35.84365,36.372585
29,2900,0.017720448,0.039704993,34.74548,34.694347
30,3000,0.01711922,0.0369304,33.59039,32.891323
31,3100,0.016790643,0.035234176,32.330063,31.07133
32,3200,0.016411198,0.03465748,31.009651,29.20077
33,3300,0.016086167,0.032637134,29.62227,27.317383
34,3400,0.015837355,0.031485587,28.193932,25.482746
35,3500,0.015438508,0.030604819,26.746399,23.69368
36,3600,0.015200133,0.029790625,25.32463,22.004507
37,3700,0.015048768,0.029106943,23.83336,20.481665
38,3800,0.014728011,0.028709725,22.485302,18.992414
39,3900,0.014444351,0.027768979,21.007618,17.690765
40,4000,0.014233885,0.027731858,19.761782,16.483631
41,4100,0.013985438,0.02675225,18.45153,15.434344
42,4200,0.01385219,0.026263116,17.350718,14.483956
43,4300,0.013656521,0.027708706,16.311382,13.659952
44,4400,0.013439496,0.029385295,15.300529,12.936594
45,4500,0.013196804,0.025229674,14.353309,12.297349
46,4600,0.0130141955,0.02484179,13.554577,11.75298
47,4700,0.01282387,0.025294214,12.827972,11.287859
48,4800,0.012841802,0.024499029,12.18813,10.880961
49,4900,0.012646981,0.02434638,11.596202,10.531378
50,5000,0.0124916965,0.024320444,11.124117,10.2079115
51,5100,0.012423956,0.024548708,10.7016535,9.935874
52,5200,0.012277117,0.02418257,10.326045,9.682651
53,5300,0.012137686,0.02398576,10.010866,9.438522
54,5400,0.01196597,0.023859808,9.742464,9.227752
55,5500,0.011918136,0.023516737,9.482325,9.03675
56,5600,0.011819376,0.0233146,9.238496,8.865438
57,5700,0.011615302,0.023038076,9.056254,8.692625
58,5800,0.011411141,0.022453746,8.812489,8.52489
59,5900,0.01142376,0.022466317,8.834754,8.323251
60,6000,0.011389132,0.022139752,8.707762,8.165769
61,6100,0.011242081,0.021984398,8.655571,8.003579
62,6200,0.0112024145,0.021821216,8.540198,7.865478
63,6300,0.011111455,0.021580374,8.451508,7.7545013
64,6400,0.011078638,0.022169895,8.248461,7.6665936
65,6500,0.010965663,0.021504533,8.291092,7.563094
