,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.97833174,0.99704,49.107605,53.0691
1,100,0.38694432,0.59282875,49.029057,53.08446
2,200,0.20583323,0.3637799,48.77633,53.129665
3,300,0.18029624,0.29110387,48.499462,53.081047
4,400,0.16733472,0.24821226,48.24317,53.00088
5,500,0.15442994,0.2243787,48.00924,52.88816
6,600,0.13894446,0.20540768,47.787342,52.736874
7,700,0.122095756,0.18884492,47.5724,52.535976
8,800,0.10444851,0.18258527,47.37724,52.291996
9,900,0.08597115,0.17904937,47.185513,52.003754
10,1000,0.07224911,0.17786291,46.979717,51.681965
11,1100,0.06330433,0.17366381,46.70596,51.335213
12,1200,0.056774948,0.17152078,46.477654,50.973866
13,1300,0.05167171,0.17078154,46.249245,50.574215
14,1400,0.04781739,0.16962801,46.018604,50.13035
15,1500,0.044862263,0.16654937,45.769566,49.63339
16,1600,0.04250232,0.16624905,45.53005,49.062267
17,1700,0.040230546,0.16393048,45.21052,48.4251
18,1800,0.038559392,0.16295993,44.918026,47.69894
19,1900,0.036911886,0.1623239,44.655033,46.886673
20,2000,0.035405204,0.16125421,44.37814,45.950882
21,2100,0.034042295,0.16081585,44.10293,44.886463
22,2200,0.0326926,0.16139923,43.767677,43.68776
23,2300,0.031563375,0.16077147,43.46796,42.340767
24,2400,0.03040492,0.16011739,43.07656,40.811707
25,2500,0.029420149,0.15996112,42.70549,39.105927
26,2600,0.028455652,0.15955803,42.38136,37.26642
27,2700,0.027497122,0.15941402,42.052197,35.309322
28,2800,0.026672808,0.15896054,41.53921,33.234245
29,2900,0.025989786,0.15871286,41.19461,31.077774
30,3000,0.025419323,0.15829752,40.84559,28.880781
31,3100,0.02492213,0.15808997,40.468094,26.702358
32,3200,0.024496319,0.1579878,39.682095,24.538897
33,3300,0.023911057,0.15796763,39.297012,22.519875
34,3400,0.023360603,0.15798804,38.92224,20.625584
35,3500,0.022840377,0.15740162,38.535957,18.874504
36,3600,0.022398653,0.15746014,38.1466,17.3267
37,3700,0.02198252,0.15744945,37.617855,15.934658
38,3800,0.021568345,0.15734382,36.914536,14.705918
39,3900,0.02139725,0.15711728,36.53611,13.671873
40,4000,0.021213539,0.15703252,36.152138,12.790463
41,4100,0.020937124,0.15700184,35.325188,12.069673
42,4200,0.020957189,0.15681651,34.807026,11.470542
43,4300,0.020812122,0.1567395,34.446808,10.992586
44,4400,0.02056903,0.15658455,34.07669,10.587603
45,4500,0.020408913,0.15657237,33.677597,10.248
46,4600,0.020376673,0.15651047,32.79787,9.956972
47,4700,0.02024991,0.15634628,32.45446,9.724842
48,4800,0.019959232,0.15645714,32.097454,9.531994
49,4900,0.019800344,0.1562038,31.522083,9.396149
50,5000,0.019681081,0.15620427,30.968882,9.277344
51,5100,0.019522099,0.15616116,30.621931,9.186293
52,5200,0.019448286,0.15612854,30.279991,9.120782
53,5300,0.019380989,0.15604585,29.231184,9.050857
54,5400,0.019275095,0.15625459,28.94417,8.991558
55,5500,0.019276554,0.15606084,28.663845,8.943334
56,5600,0.019100497,0.15598647,28.374144,8.907469
57,5700,0.01903315,0.15598606,27.60776,8.872071
58,5800,0.018994128,0.15603329,27.361362,8.855684
59,5900,0.018815154,0.15596823,26.995237,8.822546
60,6000,0.018578367,0.15592855,26.005747,8.79071
61,6100,0.018374491,0.15584427,25.802658,8.768778
62,6200,0.018225221,0.15583473,25.589668,8.758679
63,6300,0.01808807,0.15578896,25.380512,8.739997
64,6400,0.018031176,0.15582167,24.867212,8.716557
65,6500,0.017756185,0.15587021,24.475704,8.701686
