,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.32933295,0.3380995,49.10773,53.068844
1,100,0.102846794,0.16955055,49.059917,53.113503
2,200,0.062793724,0.11008076,48.89112,53.17158
3,300,0.055339564,0.09095716,48.68291,53.161724
4,400,0.050003696,0.07986492,48.497242,53.157475
5,500,0.045018088,0.074861936,48.31312,53.163013
6,600,0.040238112,0.06954757,48.121048,53.181713
7,700,0.035650868,0.06345071,47.916737,53.203358
8,800,0.031123776,0.061468262,47.68559,53.212177
9,900,0.026949843,0.05968674,47.448498,53.21503
10,1000,0.023754358,0.059192427,47.17282,53.18018
11,1100,0.021526545,0.057648506,46.86765,53.108715
12,1200,0.019907352,0.056767493,46.550888,53.00442
13,1300,0.018247737,0.05645382,46.16311,52.85149
14,1400,0.016881866,0.056044452,45.78856,52.63194
15,1500,0.015364752,0.054974027,45.30336,52.342865
16,1600,0.014193825,0.05493759,44.845013,51.94555
17,1700,0.013178349,0.054168757,44.367264,51.41721
18,1800,0.012235904,0.053857684,43.805138,50.672062
19,1900,0.011377574,0.053706646,43.21427,49.685497
20,2000,0.0106270695,0.053385243,42.650146,48.427917
21,2100,0.009975992,0.05326044,42.03736,46.8605
22,2200,0.009410669,0.05345373,41.30442,44.94596
23,2300,0.008835343,0.05316395,40.63045,42.630264
24,2400,0.008415676,0.052974857,39.82451,39.93969
25,2500,0.008052237,0.052952886,38.995144,36.850574
26,2600,0.007579674,0.05286886,38.234352,33.559307
27,2700,0.007176132,0.052762344,37.457058,30.225471
28,2800,0.0068082022,0.05264193,36.499035,26.905724
29,2900,0.006475569,0.05252234,35.685295,23.795767
30,3000,0.0062028007,0.052419316,34.70736,20.987612
31,3100,0.0060079084,0.052434117,33.87216,18.577423
32,3200,0.0058755865,0.05240016,33.04056,16.55976
33,3300,0.0056295237,0.052373353,32.04486,14.875051
34,3400,0.0053898594,0.052309133,31.215927,13.522279
35,3500,0.005211544,0.052202754,30.124636,12.45176
36,3600,0.0049277395,0.052234143,29.15921,11.600455
37,3700,0.0047842627,0.0521624,28.390038,10.932668
38,3800,0.0045740167,0.052145563,27.639761,10.414835
39,3900,0.004347269,0.05208304,26.85884,9.969237
40,4000,0.004133739,0.05207271,25.523802,9.609503
41,4100,0.0039859014,0.0520436,24.943048,9.329331
42,4200,0.0038555735,0.05204375,24.318264,9.103928
43,4300,0.003780632,0.052006,23.710129,8.925639
44,4400,0.0036931164,0.05198991,23.101507,8.796837
45,4500,0.0036636558,0.051988587,22.207752,8.663671
46,4600,0.0035849398,0.05198154,21.69822,8.577643
47,4700,0.0035580285,0.05195752,20.92859,8.440434
48,4800,0.0035219209,0.051946826,20.467352,8.303508
49,4900,0.0034844915,0.051897533,19.824148,8.170584
50,5000,0.0034743764,0.051883165,19.42542,8.035985
51,5100,0.0033979632,0.051855072,18.75673,7.8494344
52,5200,0.0033219717,0.051853426,18.395123,7.6744843
53,5300,0.0032773574,0.051834237,17.8333,7.561702
54,5400,0.0031814508,0.051883116,17.520704,7.4858103
55,5500,0.0030905444,0.051859394,16.53925,7.3496747
56,5600,0.0030071216,0.051828172,16.355457,7.2444496
57,5700,0.0029795575,0.051820625,16.164148,7.139927
58,5800,0.0029223615,0.051863175,15.946675,7.06564
59,5900,0.0028662987,0.051822186,15.55015,6.9981203
60,6000,0.0028345585,0.051834382,15.355445,6.938712
