,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.32934034,0.32019374,49.10777,53.068844
1,100,0.09794722,0.30124232,49.076843,53.11682
2,200,0.059425753,0.29879928,49.06946,53.165382
3,300,0.052204907,0.29880843,49.05236,53.160324
4,400,0.04579679,0.29936525,49.018524,53.16064
5,500,0.039767843,0.29976824,48.954094,53.16144
6,600,0.03394209,0.30007848,48.880642,53.171303
7,700,0.028866427,0.29805726,48.786438,53.179623
8,800,0.024910666,0.29639903,48.67179,53.183628
9,900,0.022230297,0.2940674,48.528976,53.172455
10,1000,0.02016044,0.29094437,48.351562,53.14607
11,1100,0.018455546,0.2872605,48.151794,53.093613
12,1200,0.017043028,0.28290293,47.92181,53.013786
13,1300,0.015676089,0.2789073,47.664097,52.914673
14,1400,0.014422242,0.27463776,47.365047,52.786976
15,1500,0.013294219,0.2677304,47.019466,52.60504
16,1600,0.012236163,0.2600231,46.620464,52.336975
17,1700,0.011155388,0.25235403,46.142467,51.94659
18,1800,0.010270416,0.24492219,45.580414,51.40554
19,1900,0.009417713,0.23605359,44.913708,50.688713
20,2000,0.008579864,0.22797917,44.124195,49.76098
21,2100,0.0076840706,0.21855362,43.17627,48.542957
22,2200,0.0068985857,0.20596714,42.07381,46.93844
23,2300,0.006056091,0.19080083,40.751904,44.89117
24,2400,0.0054559214,0.17325896,39.254456,42.372005
25,2500,0.004972624,0.15544121,37.514168,39.38627
26,2600,0.004434787,0.14145328,35.512756,36.068275
27,2700,0.004047886,0.13085209,33.259346,32.49514
28,2800,0.0037060347,0.12301935,30.763916,28.780514
29,2900,0.0034426572,0.115173474,28.144508,25.102743
30,3000,0.0031949084,0.10902611,25.477734,21.685102
31,3100,0.003014041,0.102255285,22.788477,18.658813
32,3200,0.0028158932,0.097867,20.212639,16.001156
33,3300,0.0026030727,0.09480099,17.821535,13.781699
34,3400,0.00242251,0.09186693,15.6656475,11.986714
35,3500,0.0022677756,0.08929292,13.784248,10.568858
36,3600,0.0021583277,0.08721788,12.196729,9.457867
37,3700,0.0020514522,0.08481793,10.922075,8.579981
38,3800,0.0019405283,0.08283802,9.859556,7.864373
39,3900,0.0018854175,0.08141734,8.992361,7.320494
40,4000,0.0018427508,0.08033525,8.330045,6.9248753
41,4100,0.0018095616,0.079543844,7.808199,6.653429
42,4200,0.001743733,0.07869006,7.369253,6.422938
43,4300,0.0017026513,0.077959694,7.0100665,6.222922
44,4400,0.0016898664,0.07738842,6.722521,6.044936
45,4500,0.001699429,0.07708994,6.506364,5.9076433
46,4600,0.0017115168,0.07693186,6.3337536,5.7946825
47,4700,0.0017167012,0.076856315,6.2082534,5.704878
48,4800,0.0017136403,0.076779716,6.0946474,5.608439
49,4900,0.0016994303,0.07666836,5.9948645,5.524461
50,5000,0.0016841517,0.07638413,5.8822203,5.4509397
51,5100,0.001680991,0.07630094,5.7898417,5.3869743
52,5200,0.0016737368,0.076303504,5.7239885,5.314787
53,5300,0.0016530224,0.07609395,5.6418185,5.2618637
54,5400,0.0016385659,0.07590394,5.5435667,5.195844
55,5500,0.0016325072,0.07578509,5.4890513,5.1579876
56,5600,0.0016082833,0.07558917,5.4254656,5.104642
57,5700,0.0015889609,0.07527446,5.3537216,5.030926
58,5800,0.001571617,0.07479858,5.272497,4.927151
59,5900,0.0015454125,0.0746794,5.230108,4.8674116
60,6000,0.0015213662,0.07454225,5.1941104,4.811777
61,6100,0.0015064771,0.07447097,5.1481004,4.758793
62,6200,0.0014953908,0.07452043,5.112779,4.7043123
63,6300,0.0015138787,0.07470202,5.0745373,4.667779
64,6400,0.0015004996,0.074837364,5.046259,4.617355
65,6500,0.0014721864,0.0750037,5.001117,4.553668
66,6600,0.0014272821,0.07519373,4.9257975,4.5140696
67,6700,0.0014341869,0.07516233,4.847873,4.470425
68,6800,0.0014090452,0.0751791,4.7943683,4.4371486
69,6900,0.001404582,0.07499894,4.7321534,4.3948097
70,7000,0.0014025316,0.07500436,4.6827393,4.3649707
71,7100,0.0013981361,0.07501354,4.6536946,4.3421116
72,7200,0.0014158521,0.07499537,4.6243596,4.3153186
73,7300,0.0014118343,0.07511546,4.6091495,4.3011694
74,7400,0.0014100174,0.07500462,4.5947175,4.288993
75,7500,0.0014222692,0.075150736,4.570279,4.272511
76,7600,0.0014204833,0.075106196,4.5544896,4.2569094
77,7700,0.0014130335,0.075084075,4.540973,4.246299
78,7800,0.001415211,0.07495887,4.521917,4.2323084
79,7900,0.0014077935,0.074927285,4.5090456,4.220584
80,8000,0.001408972,0.074896745,4.502931,4.2120624
81,8100,0.0014065868,0.07478572,4.497273,4.20522
82,8200,0.0014074817,0.07481836,4.490698,4.2002664
83,8300,0.0013928242,0.074832864,4.483835,4.1885104
84,8400,0.0013925936,0.074795924,4.478628,4.182066
85,8500,0.0014058561,0.074678004,4.47328,4.1802306
86,8600,0.0013949515,0.074706994,4.470756,4.1801944
87,8700,0.0013888276,0.07469025,4.46985,4.179681
88,8800,0.001393866,0.0746354,4.467,4.1772437
89,8900,0.001392945,0.07469304,4.459306,4.1754646
90,9000,0.0013888743,0.07462626,4.4560905,4.176319
91,9100,0.0013670521,0.074710086,4.4438725,4.1730123
92,9200,0.0013594375,0.07473668,4.4334927,4.1667676
93,9300,0.0013597341,0.07456123,4.426306,4.1679673
94,9400,0.001367489,0.074469395,4.413144,4.1683817
95,9500,0.0013628984,0.074430525,4.398788,4.1664796
96,9600,0.0013718504,0.07425653,4.39108,4.1694613
97,9700,0.0013681994,0.074241675,4.3744607,4.1621027
98,9800,0.0013673349,0.07396036,4.3592935,4.1576905
99,9900,0.0013623331,0.07389844,4.3431516,4.1589403
100,10000,0.001368966,0.07386747,4.33681,4.1610823
101,10100,0.0013602388,0.073798984,4.336122,4.1619315
102,10200,0.0013571193,0.0736335,4.333997,4.154955
103,10300,0.0013498567,0.0735702,4.3287315,4.1457067
104,10400,0.0013459638,0.07364768,4.32694,4.1416144
105,10500,0.0013435398,0.07361197,4.327239,4.1409507
106,10600,0.0013472631,0.073594145,4.32746,4.1400337
107,10700,0.0013391896,0.07356759,4.3257046,4.140093
108,10800,0.0013404803,0.07362034,4.3058095,4.1401362
109,10900,0.0013339557,0.07361063,4.2949333,4.1385083
110,11000,0.0013254686,0.0735816,4.2861767,4.133361
111,11100,0.0013228928,0.073640175,4.2796383,4.128139
112,11200,0.0013263751,0.073540114,4.273521,4.12551
113,11300,0.0013202034,0.07351189,4.26956,4.120535
114,11400,0.0013176021,0.073415704,4.26923,4.114501
115,11500,0.0013228543,0.07344594,4.2688565,4.105671
116,11600,0.0013242569,0.07338392,4.268355,4.0992913
117,11700,0.0013256145,0.073330455,4.2658463,4.092497
118,11800,0.0013268685,0.073380254,4.262735,4.084546
119,11900,0.0013166586,0.07343864,4.2578206,4.0723433
120,12000,0.0013189667,0.0734395,4.254573,4.0636497
121,12100,0.0013140937,0.07353851,4.2529607,4.055839
122,12200,0.0013224283,0.07362365,4.248531,4.051204
123,12300,0.0013303498,0.07361127,4.2436957,4.0467653
124,12400,0.0013276848,0.073598824,4.239032,4.0415807
125,12500,0.0013308345,0.073759735,4.2377095,4.0393596
