,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9783275,0.97589564,49.107395,53.0691
1,100,0.3639397,0.49407136,49.003067,53.090687
2,200,0.1999228,0.3585322,48.886234,53.12324
3,300,0.17918135,0.35083342,48.795322,53.072212
4,400,0.16229643,0.34058487,48.68253,52.99938
5,500,0.13872258,0.32387814,48.539127,52.90478
6,600,0.11280811,0.306224,48.366898,52.77448
7,700,0.089503214,0.2902117,48.141624,52.607197
8,800,0.070260406,0.2744918,47.87178,52.404102
9,900,0.05849935,0.26126075,47.58846,52.184017
10,1000,0.05120992,0.25175524,47.300354,51.9403
11,1100,0.04606625,0.2422448,46.991993,51.66738
12,1200,0.04221903,0.23191659,46.66143,51.373436
13,1300,0.03945962,0.22184218,46.292404,51.04447
14,1400,0.037152417,0.21235678,45.888794,50.6749
15,1500,0.035184264,0.2012265,45.44823,50.252026
16,1600,0.033532206,0.19096224,44.967766,49.7767
17,1700,0.03221282,0.1801292,44.45504,49.236923
18,1800,0.030738259,0.16908501,43.911823,48.615753
19,1900,0.029527422,0.1578002,43.32748,47.909657
20,2000,0.028596666,0.1462942,42.69576,47.09076
21,2100,0.027610129,0.13501121,42.024654,46.15072
22,2200,0.026479142,0.12598874,41.31213,45.089905
23,2300,0.025603851,0.11769295,40.541924,43.881077
24,2400,0.024765182,0.10976361,39.721245,42.51123
25,2500,0.024015969,0.10337403,38.847397,40.97629
26,2600,0.023239352,0.097600184,37.90799,39.257507
27,2700,0.022512047,0.092212886,36.8939,37.342674
28,2800,0.021823151,0.08602096,35.812275,35.21145
29,2900,0.021243215,0.08012811,34.643078,32.950275
30,3000,0.020607011,0.075571924,33.397594,30.561481
31,3100,0.019969635,0.07184323,32.074512,28.129591
32,3200,0.01940784,0.06887391,30.68204,25.716505
33,3300,0.018952662,0.065819755,29.214565,23.384933
34,3400,0.01865016,0.063029215,27.673574,21.164701
35,3500,0.018363284,0.06029988,26.112864,19.090391
36,3600,0.018079296,0.05805175,24.559933,17.203466
37,3700,0.017830228,0.056606684,23.0086,15.52544
38,3800,0.017705146,0.055090904,21.473015,14.071221
39,3900,0.017548665,0.054118734,19.949514,12.839181
40,4000,0.017359054,0.053259395,18.501238,11.7986145
41,4100,0.017152876,0.052241717,17.13753,10.897502
42,4200,0.016847808,0.050850917,15.861625,10.143084
43,4300,0.016540611,0.04977711,14.687785,9.496487
44,4400,0.016331458,0.048689514,13.6063,8.947563
45,4500,0.016102191,0.047847826,12.651141,8.529594
