,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.32946676,0.31993744,49.1073,53.06901
1,100,0.11889839,0.20154619,48.9322,52.9921
2,200,0.066538334,0.10063129,48.491196,52.872738
3,300,0.056131426,0.06471471,48.15206,52.726322
4,400,0.050015256,0.05088169,47.883553,52.54461
5,500,0.046636187,0.044859067,47.61655,52.35245
6,600,0.043703925,0.042298507,47.360466,52.106613
7,700,0.040852014,0.041549176,47.11415,51.821636
8,800,0.03845156,0.04134543,46.863228,51.48519
9,900,0.036274366,0.042037617,46.594105,51.107807
10,1000,0.03448748,0.042223014,46.30506,50.685776
11,1100,0.033236757,0.042306103,45.997875,50.21595
12,1200,0.032129165,0.042351384,45.668293,49.695736
13,1300,0.031097839,0.042659014,45.31293,49.106655
14,1400,0.03019602,0.04305565,44.93413,48.487354
15,1500,0.029555606,0.043375727,44.5166,47.80059
16,1600,0.029025301,0.04369396,44.07623,47.08974
17,1700,0.028432548,0.04370072,43.624752,46.3315
18,1800,0.028057074,0.043801583,43.15587,45.548733
19,1900,0.027787056,0.044111084,42.67412,44.76242
20,2000,0.02739675,0.044585377,42.182728,43.985947
21,2100,0.027322708,0.04495432,41.677376,43.206657
22,2200,0.027385423,0.045523584,41.163754,42.435047
23,2300,0.02733353,0.046125516,40.643715,41.685143
24,2400,0.026981112,0.046895396,40.108574,40.94995
25,2500,0.026548874,0.0476329,39.569027,40.23487
26,2600,0.026695091,0.04844391,39.01489,39.561604
27,2700,0.026526168,0.04901116,38.461575,38.912373
28,2800,0.026174169,0.049794268,37.909744,38.302036
29,2900,0.025986906,0.050791588,37.362568,37.726303
30,3000,0.026011558,0.05194366,36.80465,37.16762
31,3100,0.026138155,0.053006466,36.24724,36.64122
32,3200,0.026325578,0.05399869,35.69058,36.142212
33,3300,0.026579408,0.054815676,35.12945,35.65523
34,3400,0.026538247,0.055609167,34.57175,35.206596
35,3500,0.026806135,0.056332298,34.010494,34.762775
36,3600,0.02689571,0.05688588,33.459904,34.353416
37,3700,0.02705237,0.05750769,32.917637,33.951057
38,3800,0.027143156,0.058137197,32.372845,33.578724
39,3900,0.027040193,0.058857214,31.843508,33.22351
40,4000,0.027000336,0.059459824,31.317533,32.88966
41,4100,0.026878232,0.060012527,30.792608,32.564545
42,4200,0.026958078,0.060467947,30.272196,32.24875
43,4300,0.026931671,0.061028805,29.762112,31.944675
44,4400,0.026930107,0.061485138,29.261843,31.650467
45,4500,0.026862891,0.06199677,28.763727,31.362389
46,4600,0.026659913,0.06232781,28.28046,31.085466
47,4700,0.02652682,0.06263504,27.8016,30.818521
48,4800,0.026386045,0.06284145,27.338884,30.563026
49,4900,0.02617361,0.063030414,26.88566,30.302198
50,5000,0.026159393,0.06327361,26.421467,30.031746
51,5100,0.026187126,0.06390726,25.98585,29.797066
52,5200,0.026226347,0.06411457,25.567331,29.573168
53,5300,0.026087515,0.064693466,25.158249,29.336102
54,5400,0.025863877,0.06509767,24.774042,29.132353
55,5500,0.025583928,0.06558506,24.38859,28.917892
