,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9772013,0.97465247,49.107616,53.069355
1,100,0.30526072,0.3768197,48.904446,53.01171
2,200,0.12835246,0.16467631,48.605774,52.99819
3,300,0.088085085,0.10716876,48.322567,52.925232
4,400,0.06953963,0.08129769,48.06278,52.838715
5,500,0.05648111,0.06488726,47.84508,52.733612
6,600,0.04604351,0.05238504,47.63927,52.599396
7,700,0.038387846,0.04353181,47.443,52.457577
8,800,0.032686885,0.036492556,47.252888,52.30074
9,900,0.027843624,0.030446311,47.06668,52.122356
10,1000,0.023703424,0.025457969,46.8818,51.929417
11,1100,0.020044034,0.021389494,46.6926,51.724915
12,1200,0.017265348,0.018300822,46.5133,51.523945
13,1300,0.0154738575,0.016152516,46.331337,51.30785
14,1400,0.013931488,0.014574625,46.148453,51.102753
15,1500,0.012693607,0.013294901,45.970116,50.88037
16,1600,0.011467321,0.012307566,45.788834,50.625607
17,1700,0.010441422,0.011490868,45.60078,50.354664
18,1800,0.009456066,0.010814735,45.417034,50.05771
19,1900,0.008602192,0.01027623,45.234188,49.76031
20,2000,0.007835492,0.0098040635,45.04293,49.450874
21,2100,0.0071607386,0.009391493,44.844597,49.135925
22,2200,0.0066303583,0.009035576,44.635437,48.786057
23,2300,0.006137796,0.008745004,44.427216,48.445515
24,2400,0.0057553076,0.008464996,44.208363,48.087006
25,2500,0.005441097,0.008189194,43.978218,47.713512
26,2600,0.005101131,0.007919902,43.734844,47.321445
