,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.32946676,0.31993744,49.1073,53.06901
1,100,0.1276967,0.25909662,49.01999,53.051388
2,200,0.06828935,0.16076763,48.788567,52.935036
3,300,0.049798727,0.09711119,48.539257,52.73568
4,400,0.03756106,0.068552755,48.327614,52.594707
5,500,0.03419189,0.053792227,48.13038,52.45845
6,600,0.029309534,0.046889152,47.94409,52.312733
7,700,0.022144957,0.042929124,47.749825,52.149414
8,800,0.02056649,0.039766204,47.555626,51.979656
9,900,0.017994197,0.036784865,47.35919,51.808098
10,1000,0.017284326,0.0342096,47.1645,51.613426
11,1100,0.014309612,0.03194795,46.966984,51.372234
12,1200,0.0122689465,0.029627357,46.77075,51.142002
13,1300,0.012647449,0.02826382,46.573795,50.896675
14,1400,0.011131568,0.026237099,46.38263,50.638233
15,1500,0.0093620345,0.02519914,46.191074,50.37356
16,1600,0.009693429,0.02389907,46.010334,50.084984
17,1700,0.007921736,0.022828467,45.825886,49.786373
18,1800,0.006991298,0.021553261,45.647133,49.470158
19,1900,0.007379836,0.020614618,45.466187,49.151928
20,2000,0.0063368483,0.019090144,45.290054,48.821728
21,2100,0.006303956,0.018267397,45.113968,48.48941
22,2200,0.006918422,0.017512754,44.9338,48.133556
23,2300,0.006203371,0.016584752,44.75355,47.783123
24,2400,0.005449736,0.015753299,44.558437,47.424747
25,2500,0.005487248,0.014934793,44.361797,47.031586
26,2600,0.00518484,0.014148421,44.16655,46.647034
27,2700,0.005168604,0.013723761,43.97308,46.257565
28,2800,0.004599647,0.013270388,43.77896,45.853428
29,2900,0.0043570753,0.0128219,43.582092,45.452908
30,3000,0.0040418697,0.012737616,43.38178,45.012535
31,3100,0.0036081038,0.012009481,43.143925,44.587055
32,3200,0.0032681073,0.01134367,42.925564,44.14821
33,3300,0.0035101173,0.011227049,42.705917,43.728817
34,3400,0.003375977,0.01089923,42.469265,43.28481
35,3500,0.0027194498,0.010796818,42.224697,42.835293
36,3600,0.0027182158,0.010137056,41.968502,42.369064
37,3700,0.0026578351,0.010079342,41.692326,41.89598
38,3800,0.002706488,0.009832765,41.42366,41.42192
39,3900,0.002284993,0.009627895,41.13028,40.930595
40,4000,0.0021573098,0.009354768,40.865246,40.475777
41,4100,0.0020164142,0.009049782,40.574432,40.00663
42,4200,0.0019553066,0.008493695,40.27332,39.53422
43,4300,0.001891262,0.007778091,39.970306,39.069527
44,4400,0.0017922006,0.007587544,39.693356,38.58599
45,4500,0.0017979582,0.0076239943,39.393597,38.128113
46,4600,0.0016562964,0.007158021,39.074356,37.646427
47,4700,0.0015234739,0.0069726654,38.76996,37.18289
48,4800,0.0016639937,0.007017263,38.44674,36.707973
49,4900,0.001327935,0.0067624906,38.096935,36.254627
50,5000,0.0014027703,0.006718854,37.759983,35.814827
51,5100,0.0013221654,0.0065288367,37.402122,35.393345
52,5200,0.0012823372,0.0063363574,37.04794,34.95749
53,5300,0.0011713627,0.0064773173,36.67715,34.545353
54,5400,0.0013771682,0.006099582,36.320393,34.118004
55,5500,0.001205906,0.005951785,35.91549,33.694366
56,5600,0.0013572703,0.005877513,35.554264,33.203823
57,5700,0.0011137648,0.00578617,35.20084,32.80738
58,5800,0.0011523647,0.0055514956,34.83496,32.424892
59,5900,0.0009915413,0.005467774,34.47114,32.056217
60,6000,0.0010882436,0.005658397,34.070206,31.689882
