,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2397386,1.9945302,1.9880171,0.0
1,100,1.2117302,1.9944671,1.9870372,0.0
2,200,1.2025874,1.9938452,1.9865218,0.0
3,300,1.1975384,1.993098,1.9858383,0.0
4,400,1.1928498,1.9923663,1.9843339,0.0
5,500,1.1866105,1.9921849,1.981242,0.0
6,600,1.1752846,1.9931935,1.9763615,0.0
7,700,1.1503686,1.9956424,1.972131,0.0
8,800,1.0969871,1.9965067,1.9720395,0.0
9,900,1.0056583,1.9823881,1.9772006,0.0
10,1000,0.8886266,1.9426013,1.984648,0.0
11,1100,0.7693208,1.8939718,1.9878136,0.0
12,1200,0.6613392,1.8602102,1.9832703,0.0
13,1300,0.5701871,1.8447084,1.9704103,0.0
14,1400,0.49724704,1.8375969,1.9506278,0.0
15,1500,0.43987718,1.819348,1.9245199,0.0
16,1600,0.3948484,1.7843307,1.8911563,0.0
17,1700,0.35979286,1.7339313,1.8516607,0.0
18,1800,0.3313204,1.6748549,1.8076575,0.0
19,1900,0.30798212,1.6109303,1.7599599,0.0
20,2000,0.288397,1.5468891,1.7106208,0.0
21,2100,0.2719832,1.4872168,1.6602964,0.0
22,2200,0.2582152,1.4328822,1.611179,0.0
23,2300,0.24680452,1.3839515,1.5643947,0.0
24,2400,0.23738024,1.3399625,1.5205972,0.0
25,2500,0.22960031,1.3005204,1.4802097,0.0
26,2600,0.22291404,1.26601,1.4437802,0.0
27,2700,0.21767363,1.2337943,1.4108368,0.0
28,2800,0.21375102,1.2055626,1.3812255,0.0
29,2900,0.21002209,1.1809444,1.3546613,0.0
30,3000,0.20652868,1.1602806,1.3308936,0.0
31,3100,0.20373751,1.1414177,1.3095328,0.0
32,3200,0.20144168,1.1251816,1.2900764,0.0
33,3300,0.19941714,1.1112254,1.2725258,0.0
34,3400,0.19759642,1.0992663,1.2564287,0.0
35,3500,0.19593981,1.0888958,1.2415785,0.0
36,3600,0.1944262,1.079832,1.2278274,0.0
37,3700,0.19303481,1.0718558,1.2150147,0.0
38,3800,0.19137129,1.0647068,1.2031522,0.0
39,3900,0.19018057,1.05838,1.1919465,0.0
40,4000,0.18904889,1.0527616,1.1813844,0.0
41,4100,0.18800236,1.0477293,1.1713761,0.0
42,4200,0.18700984,1.043224,1.161838,0.0
43,4300,0.1860918,1.0391821,1.1527258,0.0
44,4400,0.18523811,1.0355613,1.1439904,0.0
45,4500,0.18473724,1.0324066,1.1356839,0.0
46,4600,0.18417707,1.0291653,1.1287587,0.0
47,4700,0.18418247,1.026478,1.1220266,0.0
48,4800,0.1836676,1.0238628,1.1152022,0.0
49,4900,0.18305705,1.021557,1.1082711,0.0
50,5000,0.18247488,1.0197268,1.1013758,0.0
51,5100,0.18312386,1.0181696,1.0953485,0.0
52,5200,0.18269856,1.0167141,1.0892487,0.0
53,5300,0.1822574,1.015585,1.083028,0.0
54,5400,0.18180713,1.0147069,1.0768774,0.0
55,5500,0.18106681,1.0139651,1.0710691,0.0
56,5600,0.1806715,1.0133835,1.0652804,0.0
57,5700,0.18034498,1.0129166,1.0596746,0.0
58,5800,0.18003479,1.0125158,1.0543054,0.0
59,5900,0.17980102,1.012161,1.0491889,0.0
60,6000,0.17956045,1.0118374,1.0443355,0.0
61,6100,0.1793507,1.0115199,1.0397748,0.0
62,6200,0.1792065,1.0112022,1.0355083,0.0
63,6300,0.17900693,1.0108706,1.0315415,0.0
64,6400,0.17891234,1.0105184,1.027884,0.0
65,6500,0.17877294,1.0101417,1.0245312,0.0
66,6600,0.17869665,1.0097346,1.0214887,0.0
67,6700,0.1786199,1.0092989,1.0187427,0.0
68,6800,0.17852533,1.0088375,1.0162853,0.0
69,6900,0.17845166,1.0083512,1.0141022,0.0
70,7000,0.17838088,1.0078452,1.012184,0.0
71,7100,0.17834866,1.0073271,1.0105084,0.0
72,7200,0.17830597,1.0068009,1.0090616,0.0
73,7300,0.17826286,1.006277,1.0078185,0.0
74,7400,0.17822446,1.005757,1.0067519,0.0
75,7500,0.17818668,1.005252,1.005856,0.0
76,7600,0.17816545,1.0047632,1.0050945,0.0
77,7700,0.17808826,1.0042953,1.0044849,0.0
78,7800,0.17803964,1.0038209,1.0039512,0.0
79,7900,0.17798693,1.003397,1.0034935,0.0
80,8000,0.17799346,1.0030153,1.0030966,0.0
81,8100,0.17797005,1.0026708,1.0027508,0.0
82,8200,0.17794472,1.0023614,1.0024481,0.0
83,8300,0.17794178,1.0020825,1.0021805,0.0
84,8400,0.17792878,1.0018325,1.0019414,0.0
85,8500,0.17791258,1.0016103,1.0017251,0.0
86,8600,0.17791787,1.0014105,1.0015268,0.0
87,8700,0.17789954,1.0012374,1.0013472,0.0
88,8800,0.1778969,1.0010833,1.001182,0.0
89,8900,0.17785963,1.0009491,1.0010301,0.0
90,9000,0.17784321,1.0008316,1.0008931,0.0
91,9100,0.17787872,1.0007303,1.0007685,0.0
92,9200,0.17785326,1.0006413,1.0006568,0.0
93,9300,0.17783199,1.0005635,1.000558,0.0
94,9400,0.17781527,1.0004965,1.0004696,0.0
95,9500,0.17783086,1.0004377,1.0003932,0.0
96,9600,0.1778177,1.0003875,1.0003271,0.0
97,9700,0.1778046,1.0003427,1.0002697,0.0
98,9800,0.17782421,1.0003047,1.0002216,0.0
99,9900,0.17780143,1.0002706,1.0001814,0.0
100,10000,0.1777963,1.0002412,1.0001475,0.0
101,10100,0.17778702,1.0002159,1.0001197,0.0
102,10200,0.17781848,1.0001929,1.0000967,0.0
103,10300,0.17781155,1.0001724,1.0000781,0.0
104,10400,0.17776063,1.0001546,1.0000628,0.0
105,10500,0.1777428,1.0001392,1.0000503,0.0
106,10600,0.17777884,1.000125,1.0000422,0.0
107,10700,0.17776671,1.0001125,1.0000331,0.0
108,10800,0.17777437,1.0001018,1.0000268,0.0
109,10900,0.17777714,1.0000914,1.0000217,0.0
110,11000,0.17774892,1.000082,1.0000178,0.0
111,11100,0.17773695,1.0000746,1.0000143,0.0
112,11200,0.17773409,1.000067,1.0000116,0.0
113,11300,0.17777131,1.0000598,1.0000099,0.0
114,11400,0.1777686,1.0000541,1.0000082,0.0
115,11500,0.17773181,1.0000486,1.0000068,0.0
116,11600,0.17776603,1.0000447,1.0000058,0.0
117,11700,0.17772053,1.0000385,1.0000048,0.0
118,11800,0.1777471,1.0000354,1.0000042,0.0
119,11900,0.17772886,1.0000318,1.0000036,0.0
120,12000,0.17774147,1.0000284,1.0000032,0.0
121,12100,0.17766395,1.000025,1.0000031,0.0
122,12200,0.17770876,1.0000224,1.0000027,0.0
123,12300,0.17768407,1.0000198,1.0000024,0.0
124,12400,0.17772569,1.0000178,1.0000025,0.0
125,12500,0.17772333,1.0000162,1.0000024,0.0
126,12600,0.17769168,1.000014,1.0000025,0.0
127,12700,0.17763045,1.0000123,1.0000025,0.0
128,12800,0.17771289,1.0000113,1.0000027,0.0
129,12900,0.17771831,1.0000103,1.0000027,0.0
130,13000,0.17768748,1.0000092,1.000003,0.0
131,13100,0.17766076,1.0000082,1.0000031,0.0
132,13200,0.17766944,1.000008,1.0000033,0.0
133,13300,0.1776395,1.0000076,1.0000038,0.0
134,13400,0.17761298,1.0000072,1.000004,0.0
135,13500,0.1777134,1.0000073,1.0000046,0.0
136,13600,0.17760566,1.000007,1.0000046,0.0
137,13700,0.17767152,1.0000076,1.0000049,0.0
138,13800,0.1776396,1.000007,1.0000048,0.0
139,13900,0.17767446,1.0000083,1.0000052,0.0
140,14000,0.17770202,1.0000088,1.0000054,0.0
141,14100,0.17768264,1.0000094,1.0000051,0.0
142,14200,0.17763089,1.000009,1.0000057,0.0
143,14300,0.17765035,1.00001,1.0000057,0.0
144,14400,0.17763789,1.0000108,1.0000057,0.0
145,14500,0.17767772,1.0000112,1.0000054,0.0
146,14600,0.17768493,1.0000126,1.0000057,0.0
147,14700,0.17763785,1.0000134,1.0000051,0.0
148,14800,0.17762384,1.0000138,1.0000054,0.0
149,14900,0.17757826,1.0000137,1.000005,0.0
150,15000,0.17764826,1.0000156,1.0000049,0.0
151,15100,0.17760375,1.0000149,1.0000051,0.0
152,15200,0.17760482,1.0000156,1.0000043,0.0
153,15300,0.17761289,1.0000156,1.0000043,0.0
