,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.1941413,48.998558,53.3224,0.0
1,100,0.9781125,48.991302,53.290394,0.0
2,200,0.6631551,48.897236,53.159832,0.0
3,300,0.4301534,48.69223,53.04781,0.0
4,400,0.31397158,48.3612,52.836132,0.0
5,500,0.25791872,47.870903,52.5561,0.0
6,600,0.22892134,47.300285,52.221527,0.0
7,700,0.21516894,46.655376,51.804813,0.0
8,800,0.20303454,45.932865,51.339203,0.0
9,900,0.19858962,45.127136,50.740913,0.0
10,1000,0.19506449,44.205433,50.045563,0.0
11,1100,0.19278087,43.17007,49.220295,0.0
12,1200,0.19150104,42.033394,48.25465,0.0
13,1300,0.18908432,40.73784,47.190506,0.0
14,1400,0.18813394,39.378235,45.91574,0.0
15,1500,0.18733573,37.886856,44.48037,0.0
16,1600,0.18736054,36.286144,42.867207,0.0
17,1700,0.18608563,34.609524,41.084473,0.0
18,1800,0.18405055,32.862602,39.10604,0.0
19,1900,0.18131533,31.036783,36.98942,0.0
20,2000,0.18017042,29.154678,34.756638,0.0
21,2100,0.17998622,27.236769,32.432686,0.0
22,2200,0.17976364,25.322908,30.043972,0.0
23,2300,0.17939572,23.421522,27.681738,0.0
24,2400,0.17931335,21.56212,25.333675,0.0
25,2500,0.17946884,19.766644,23.086618,0.0
26,2600,0.17944302,18.05542,20.901045,0.0
27,2700,0.17941344,16.446074,18.853579,0.0
28,2800,0.1794292,14.949898,16.961859,0.0
29,2900,0.17940798,13.573256,15.238999,0.0
30,3000,0.17932737,12.318717,13.689405,0.0
31,3100,0.17934597,11.185225,12.312017,0.0
32,3200,0.1793245,10.168233,11.095427,0.0
33,3300,0.17932613,9.26035,10.0282955,0.0
34,3400,0.17932242,8.453009,9.094233,0.0
35,3500,0.17930062,7.736508,8.27907,0.0
36,3600,0.17926486,7.101355,7.5662556,0.0
37,3700,0.17927937,6.5380692,6.9410543,0.0
38,3800,0.17927322,6.037158,6.391172,0.0
39,3900,0.17930344,5.591389,5.9015203,0.0
40,4000,0.17927296,5.1920967,5.4641747,0.0
41,4100,0.17930736,4.8339868,5.071147,0.0
42,4200,0.17935611,4.510188,4.714875,0.0
43,4300,0.17934744,4.2162786,4.3897524,0.0
44,4400,0.17933157,3.948384,4.0898914,0.0
45,4500,0.17940123,3.702086,3.8145723,0.0
46,4600,0.17935382,3.4757903,3.5596416,0.0
47,4700,0.17943078,3.2663696,3.322632,0.0
48,4800,0.17941134,3.0718606,3.1035855,0.0
49,4900,0.17938846,2.8905342,2.90012,0.0
50,5000,0.17940418,2.7219737,2.7113035,0.0
51,5100,0.1794208,2.5647728,2.537309,0.0
52,5200,0.17942612,2.4180133,2.376813,0.0
53,5300,0.17944884,2.2812073,2.229585,0.0
54,5400,0.17943187,2.153904,2.0956795,0.0
55,5500,0.17945872,2.0359902,1.9729843,0.0
56,5600,0.17940292,1.92687,1.8611946,0.0
57,5700,0.17942162,1.8261634,1.7607987,0.0
58,5800,0.1795102,1.7337987,1.6701901,0.0
59,5900,0.17951412,1.649185,1.5890428,0.0
60,6000,0.17951839,1.572316,1.5158877,0.0
61,6100,0.1795142,1.5025451,1.451042,0.0
62,6200,0.17947312,1.4397216,1.3931307,0.0
63,6300,0.17941989,1.3833562,1.3420516,0.0
64,6400,0.17947027,1.333131,1.2968367,0.0
65,6500,0.17958142,1.2884285,1.2572281,0.0
66,6600,0.17956345,1.249091,1.2220098,0.0
67,6700,0.17960711,1.2145752,1.1912992,0.0
68,6800,0.17947191,1.1845766,1.1644236,0.0
69,6900,0.17950557,1.1585499,1.1409153,0.0
70,7000,0.17951892,1.136087,1.120656,0.0
71,7100,0.17949352,1.1169559,1.102977,0.0
72,7200,0.17964947,1.1007622,1.087936,0.0
73,7300,0.17954335,1.0869855,1.0747854,0.0
74,7400,0.1796133,1.0755389,1.0636024,0.0
75,7500,0.1796714,1.0659313,1.0541319,0.0
76,7600,0.17959927,1.0580125,1.0461762,0.0
77,7700,0.17966051,1.0514458,1.039374,0.0
78,7800,0.17967968,1.0460678,1.0337404,0.0
79,7900,0.17961013,1.0416977,1.0289675,0.0
80,8000,0.17969961,1.0380671,1.0252067,0.0
81,8100,0.17964976,1.0351183,1.0218586,0.0
82,8200,0.17961355,1.0326884,1.0193751,0.0
83,8300,0.1795352,1.0306213,1.0171521,0.0
84,8400,0.17965484,1.0289036,1.0154569,0.0
85,8500,0.17953017,1.0274069,1.0140718,0.0
86,8600,0.17966548,1.026141,1.012967,0.0
87,8700,0.17969348,1.025014,1.011946,0.0
88,8800,0.17969772,1.0239623,1.0112615,0.0
89,8900,0.17975189,1.0230068,1.0105729,0.0
90,9000,0.17963855,1.0221549,1.010119,0.0
91,9100,0.17964633,1.0213377,1.0095696,0.0
92,9200,0.17960767,1.020562,1.0091763,0.0
93,9300,0.17977335,1.0198472,1.00881,0.0
94,9400,0.17965285,1.0190988,1.0084366,0.0
95,9500,0.17963023,1.0184323,1.0081228,0.0
96,9600,0.17971319,1.0177765,1.0077741,0.0
97,9700,0.17964472,1.0171499,1.0076094,0.0
98,9800,0.17975995,1.0165501,1.0074311,0.0
99,9900,0.17971253,1.0159639,1.0070164,0.0
100,10000,0.17960963,1.015419,1.0067842,0.0
101,10100,0.17975129,1.0148607,1.0066258,0.0
102,10200,0.17966017,1.0144007,1.0076443,0.0
103,10300,0.17965777,1.0138912,1.0062155,0.0
104,10400,0.1795911,1.0134267,1.0059063,0.0
105,10500,0.17972451,1.012951,1.005782,0.0
106,10600,0.17959534,1.012544,1.0055453,0.0
107,10700,0.17962979,1.0121104,1.0054278,0.0
108,10800,0.17975979,1.0117177,1.0053113,0.0
109,10900,0.17971054,1.0113047,1.0051286,0.0
110,11000,0.17972393,1.0109549,1.0048763,0.0
111,11100,0.17955227,1.0105782,1.005466,0.0
