,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.1948388,48.955936,53.280552,102.23649
1,100,1.0840175,44.625328,48.894257,93.519585
2,200,0.978257,40.19267,44.084324,84.27699
3,300,0.8841708,35.84503,39.156662,75.00169
4,400,0.7960172,31.744669,34.40759,66.15226
5,500,0.72097325,27.992079,30.038666,58.030746
6,600,0.65706915,24.632843,26.144451,50.777294
7,700,0.60010016,21.668592,22.74038,44.408974
8,800,0.5362195,19.074522,19.797213,38.871735
9,900,0.4725832,16.814968,17.264112,34.07908
10,1000,0.4215122,14.852583,15.086387,29.938969
11,1100,0.37682274,13.153835,13.214894,26.368729
12,1200,0.3357068,11.687503,11.605321,23.292824
13,1300,0.30811325,10.423225,10.221751,20.644978
14,1400,0.2862165,9.332864,9.032003,18.364868
15,1500,0.25928482,8.391517,8.009037,16.400555
16,1600,0.24815345,7.574883,7.1280465,14.7029295
17,1700,0.24148571,6.8647614,6.368759,13.2335205
18,1800,0.23644948,6.244429,5.713167,11.957596
19,1900,0.23253728,5.6998725,5.145918,10.845791
20,2000,0.23079573,5.21915,4.65382,9.872971
21,2100,0.22745898,4.792718,4.225603,9.018321
22,2200,0.2261381,4.412081,3.8521154,8.264196
23,2300,0.22487262,4.070988,3.5251524,7.596141
24,2400,0.22361158,3.7641006,3.2381988,7.0022993
25,2500,0.22254437,3.4868522,2.9855428,6.472395
26,2600,0.22094928,3.2356753,2.7625196,5.9981947
27,2700,0.20908229,3.0080984,2.5652215,5.57332
28,2800,0.20863603,2.8010435,2.3898842,5.1909275
29,2900,0.20761432,2.6126914,2.2339952,4.8466864
30,3000,0.19783354,2.4416544,2.0950685,4.536723
31,3100,0.18603955,2.28624,1.9711227,4.257363
32,3200,0.1824363,2.14535,1.8601803,4.0055304
33,3300,0.18175097,2.0175986,1.760868,3.7784667
34,3400,0.18143,1.9019666,1.6718698,3.5738363
35,3500,0.18115467,1.7974766,1.5920687,3.3895454
36,3600,0.18088356,1.7032173,1.5204881,3.2237053
37,3700,0.18057452,1.6183403,1.4562992,3.0746393
38,3800,0.1803768,1.5420314,1.3987721,2.9408035
39,3900,0.18016776,1.473586,1.3472509,2.820837
40,4000,0.17993267,1.412319,1.3011783,2.7134972
41,4100,0.17973152,1.3575816,1.2600676,2.617649
42,4200,0.179613,1.308821,1.2234648,2.5322857
43,4300,0.17946078,1.2655127,1.190981,2.4564939
44,4400,0.17948975,1.2271644,1.1623217,2.389486
45,4500,0.17477888,1.1934046,1.1370419,2.3304465
46,4600,0.1746211,1.1637309,1.1148943,2.278625
47,4700,0.17456652,1.1377858,1.0956287,2.2334146
48,4800,0.1744157,1.1152356,1.0789858,2.1942215
49,4900,0.17438422,1.095765,1.0647178,2.160483
50,5000,0.17435019,1.0790765,1.0526009,2.1316774
51,5100,0.17427093,1.0648869,1.0424024,2.1072893
52,5200,0.17422363,1.0529225,1.0339148,2.0868373
53,5300,0.17355625,1.0429424,1.026943,2.0698853
54,5400,0.17341861,1.0347,1.0212737,2.0559738
55,5500,0.17331578,1.0279781,1.0167302,2.0447083
56,5600,0.17336315,1.0225651,1.013141,2.035706
57,5700,0.17335397,1.0182679,1.0103472,2.028615
58,5800,0.17330186,1.0149018,1.0082061,2.023108
59,5900,0.1732035,1.0123099,1.0065923,2.0189023
60,6000,0.17313543,1.0103431,1.005397,2.01574
61,6100,0.17329265,1.008875,1.004527,2.013402
62,6200,0.17327687,1.0077955,1.0039035,2.011699
63,6300,0.17318104,1.0070143,1.0034658,2.01048
64,6400,0.1729996,1.0064532,1.0031631,2.0096164
65,6500,0.17312892,1.0060494,1.0029532,2.0090027
66,6600,0.17320271,1.005761,1.0028105,2.0085716
67,6700,0.17305687,1.0055511,1.0027131,2.008264
68,6800,0.17312762,1.0053964,1.002645,2.0080414
69,6900,0.17309308,1.0052772,1.0025959,2.007873
70,7000,0.17302342,1.0051813,1.0025573,2.0077386
71,7100,0.17318495,1.0051074,1.0025256,2.007633
72,7200,0.1729969,1.0050373,1.0025009,2.0075383
73,7300,0.17306678,1.0049806,1.0024759,2.0074563
74,7400,0.17311618,1.0049267,1.0024529,2.0073795
75,7500,0.17294177,1.0048779,1.0024315,2.0073094
76,7600,0.17303672,1.0048335,1.0024141,2.0072474
77,7700,0.17299621,1.0047948,1.0023947,2.0071895
78,7800,0.1732166,1.0047557,1.002381,2.0071368
79,7900,0.17277947,1.004724,1.0023643,2.0070882
80,8000,0.1729053,1.0046911,1.0023516,2.007043
81,8100,0.17284717,1.0046644,1.0023415,2.007006
82,8200,0.1728744,1.0046407,1.0023298,2.0069704
83,8300,0.17299609,1.004626,1.0023307,2.0069566
84,8400,0.17294589,1.0046052,1.002326,2.0069313
85,8500,0.17268524,1.004588,1.0023271,2.006915
86,8600,0.1726925,1.0045834,1.0023264,2.0069098
87,8700,0.17280886,1.0045725,1.0023355,2.006908
88,8800,0.1727828,1.0045763,1.002347,2.0069232
89,8900,0.1726494,1.0045741,1.002353,2.006927
90,9000,0.17267801,1.0045784,1.0023705,2.006949
91,9100,0.1728858,1.0045853,1.0023903,2.0069757
92,9200,0.17268756,1.0045979,1.0024129,2.007011
93,9300,0.17255247,1.0046179,1.0024263,2.0070443
94,9400,0.17217332,1.0046333,1.0024545,2.0070877
95,9500,0.1726225,1.0046535,1.0024824,2.0071359
96,9600,0.17238754,1.0046828,1.0025187,2.0072014
97,9700,0.17241836,1.0047041,1.002544,2.0072482
98,9800,0.17330061,1.0053638,1.0025105,2.0078745
99,9900,0.1726335,1.0051959,1.0025303,2.0077262
