,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.1943879,48.961548,53.287132,2.0449736
1,100,1.0114262,45.187115,49.513508,1.8940125
2,200,0.72819656,41.474926,45.452236,1.7385432
3,300,0.47438893,37.77563,41.19885,1.5794896
4,400,0.3451057,34.048233,36.847874,1.417922
5,500,0.2899161,30.453941,32.604004,1.2611588
6,600,0.25768673,27.100403,28.630365,1.1146153
7,700,0.24019012,23.989292,24.966352,0.9791128
8,800,0.2326291,21.125702,21.637833,0.8552707
9,900,0.22212878,18.53013,18.649893,0.7436004
10,1000,0.22058061,16.191042,16.007135,0.6439635
11,1100,0.21915163,14.100899,13.696422,0.5559464
12,1200,0.21803792,12.246419,11.699801,0.4789244
13,1300,0.21301042,10.616147,9.996115,0.41224524
14,1400,0.21173649,9.192163,8.552917,0.35490158
15,1500,0.21160501,7.957471,7.330915,0.30576771
16,1600,0.20616072,6.895983,6.306134,0.26404235
17,1700,0.20648167,5.9878817,5.4456697,0.22867103
18,1800,0.20674329,5.215774,4.724055,0.19879657
19,1900,0.20681696,4.5629206,4.119533,0.17364906
20,2000,0.2069218,4.012548,3.612634,0.15250364
21,2100,0.2070075,3.5494356,3.1875095,0.1347389
22,2200,0.20709132,3.1599162,2.8305385,0.11980909
23,2300,0.20679078,2.8329175,2.530865,0.10727564
24,2400,0.206579,2.5575047,2.2793517,0.096737124
25,2500,0.20663038,2.3255296,2.0680456,0.0878715
26,2600,0.20669438,2.1298423,1.8908254,0.08041335
27,2700,0.20566183,1.9651719,1.7424356,0.07415215
28,2800,0.20560205,1.8260882,1.6185935,0.068893634
29,2900,0.20478842,1.7089329,1.5158556,0.064495765
30,3000,0.20432948,1.6107093,1.43155,0.06084518
31,3100,0.19734602,1.5284196,1.3656096,0.05788058
32,3200,0.19713481,1.4601986,1.3113128,0.05543023
33,3300,0.1939511,1.4036826,1.2680972,0.05343559
34,3400,0.18301137,1.3593065,1.23466,0.051879328
35,3500,0.18296093,1.3232168,1.2073228,0.05061079
36,3600,0.18199003,1.2945372,1.187149,0.049633723
37,3700,0.1814154,1.2721657,1.1724378,0.04889207
38,3800,0.1814128,1.2551348,1.1614941,0.048332576
39,3900,0.18134177,1.2423865,1.1536014,0.047919758
40,4000,0.17903234,1.2332151,1.148078,0.04762586
41,4100,0.17889376,1.2262245,1.1445227,0.04741494
42,4200,0.1788575,1.2210228,1.1420242,0.04726094
43,4300,0.1788516,1.2171257,1.1403791,0.047150094
44,4400,0.17885622,1.2140409,1.1393676,0.047068167
45,4500,0.17871685,1.2115608,1.1387132,0.047005482
46,4600,0.17873673,1.2093108,1.1381861,0.046949938
47,4700,0.17873135,1.2072475,1.137608,0.04689711
48,4800,0.17872584,1.2051555,1.1367294,0.046837695
49,4900,0.17877237,1.2031031,1.1357383,0.046776827
50,5000,0.17900911,1.2009648,1.1338024,0.046695344
51,5100,0.17911789,1.1986065,1.131885,0.04660983
52,5200,0.17915772,1.195857,1.1297536,0.046512213
53,5300,0.17933881,1.1928625,1.127186,0.046400964
54,5400,0.17946008,1.1896149,1.1242238,0.046276774
55,5500,0.17949815,1.1860254,1.1208923,0.046138354
56,5600,0.17960112,1.1820486,1.1175193,0.045991354
57,5700,0.17969894,1.1775913,1.1134439,0.045820702
58,5800,0.17979091,1.1727993,1.1088612,0.04563321
59,5900,0.17988905,1.1674076,1.1037462,0.04542308
60,6000,0.17992885,1.1616329,1.0980575,0.045193806
61,6100,0.1801458,1.1552433,1.091592,0.044936705
62,6200,0.18038514,1.1483084,1.084784,0.044661846
63,6300,0.18046463,1.1407025,1.0770364,0.044354778
64,6400,0.1806599,1.1326704,1.069225,0.044037905
65,6500,0.18092431,1.1240557,1.0609955,0.043701023
66,6600,0.18113704,1.1151215,1.0529388,0.043361206
67,6700,0.18134017,1.1062099,1.0456251,0.0430367
68,6800,0.18148391,1.0974678,1.0393138,0.042735633
69,6900,0.18173389,1.0890692,1.033863,0.042458642
70,7000,0.18172313,1.081087,1.0296758,0.042215254
71,7100,0.1818544,1.0737903,1.025851,0.041992825
72,7200,0.18187582,1.0671576,1.0227219,0.04179759
73,7300,0.18208987,1.0612549,1.0195199,0.041615494
74,7400,0.18197082,1.0559078,1.0167128,0.04145241
75,7500,0.18211135,1.0515331,1.0137566,0.041305795
76,7600,0.18211795,1.0474926,1.010668,0.041163214
77,7700,0.18229239,1.0437883,1.0071839,0.041019443
78,7800,0.1823798,1.0404958,1.0040661,0.040891238
79,7900,0.18222728,1.0373813,1.0014641,0.04077691
80,8000,0.18224034,1.0341369,1.0003384,0.040689506
81,8100,0.18228582,1.0306165,1.000121,0.040614747
82,8200,0.18234701,1.0269264,1.000073,0.040539987
83,8300,0.1823126,1.0230535,1.0000814,0.0404627
84,8400,0.18227442,1.0186926,1.0000525,0.040374897
85,8500,0.18215472,1.0143502,1.0000472,0.040287945
86,8600,0.1821111,1.0098317,1.0000408,0.040197447
87,8700,0.18220286,1.0055165,1.0000407,0.04011114
88,8800,0.18206485,1.0022324,1.0000292,0.04004523
89,8900,0.18194537,1.000676,1.0000423,0.040014368
90,9000,0.18192658,1.0002838,1.0000386,0.040006448
91,9100,0.18191168,1.0001646,1.000034,0.04000397
92,9200,0.18199581,1.0001148,1.0000316,0.040002927
93,9300,0.18192516,1.0000876,1.0000372,0.0400025
94,9400,0.1819229,1.0000622,1.0000309,0.040001858
95,9500,0.18175185,1.0000434,1.0000342,0.040001553
96,9600,0.18178946,1.0000341,1.0000222,0.040001124
97,9700,0.18181983,1.0000246,1.0000203,0.040000897
98,9800,0.18192634,1.0000213,1.0000197,0.04000082
99,9900,0.1818135,1.0000179,1.0000303,0.040000964
100,10000,0.18182145,1.0000196,1.0000407,0.040001202
101,10100,0.18181421,1.0000144,1.0000248,0.04000078
102,10200,0.18180707,1.0000116,1.0000197,0.040000625
103,10300,0.18161096,1.000012,1.0000238,0.040000714
104,10400,0.18166858,1.0000095,1.0000275,0.040000744
105,10500,0.18164313,1.0000105,1.0000253,0.040000714
106,10600,0.1817157,1.0000087,1.0000358,0.040000886
107,10700,0.18168949,1.000006,1.000034,0.0400008
108,10800,0.18178336,1.0000079,1.0000353,0.040000863
109,10900,0.18167388,1.0000098,1.0000402,0.040001
110,11000,0.18171081,1.0000091,1.0000242,0.040000666
111,11100,0.1816337,1.0000132,1.000037,0.040001
112,11200,0.18170245,1.0000098,1.0000372,0.040000938
113,11300,0.18180026,1.0000087,1.0000374,0.040000923
114,11400,0.18172225,1.00001,1.0000297,0.04000079
115,11500,0.1817254,1.0000086,1.0000303,0.040000778
116,11600,0.18173453,1.0000111,1.0000371,0.040000964
117,11700,0.1816848,1.0000113,1.0000407,0.04000104
118,11800,0.18167488,1.0000076,1.0000323,0.0400008
119,11900,0.18174762,1.0000087,1.0000298,0.04000077
120,12000,0.18186003,1.0000094,1.0000312,0.04000081
121,12100,0.18157713,1.0000063,1.0000316,0.04000076
122,12200,0.18167356,1.0000079,1.0000218,0.04000059
123,12300,0.18167073,1.0000093,1.0000359,0.040000904
124,12400,0.18168445,1.0000093,1.0000327,0.040000837
125,12500,0.18171787,1.0000108,1.000046,0.040001135
126,12600,0.18178086,1.0000054,1.0000474,0.040001057
127,12700,0.18166086,1.0000081,1.0000404,0.04000097
128,12800,0.18167941,1.0000087,1.0000429,0.040001027
129,12900,0.18174775,1.0000116,1.0000311,0.040000852
130,13000,0.1817568,1.0000076,1.0000415,0.040000983
131,13100,0.1817389,1.0000088,1.000034,0.040000856
132,13200,0.18176278,1.000009,1.0000399,0.040000975
133,13300,0.18171494,1.0000085,1.0000393,0.040000953
134,13400,0.18158868,1.00001,1.0000355,0.040000908
135,13500,0.18185458,1.0000074,1.0000277,0.0400007
136,13600,0.18166466,1.000009,1.0000372,0.040000923
137,13700,0.18178797,1.000007,1.0000285,0.04000071
138,13800,0.18163781,1.0000108,1.0000391,0.040001
139,13900,0.18187164,1.0000092,1.0000403,0.04000099
140,14000,0.18172805,1.0000126,1.0000534,0.04000132
141,14100,0.1817441,1.0000094,1.0000353,0.040000897
142,14200,0.18165158,1.000011,1.0000331,0.040000882
143,14300,0.1818706,1.0000145,1.000043,0.040001154
144,14400,0.18168755,1.0000103,1.0000439,0.040001083
145,14500,0.18168856,1.0000113,1.000027,0.040000763
146,14600,0.18169425,1.0000201,1.0000553,0.040001504
147,14700,0.1817656,1.0000132,1.0000525,0.040001314
148,14800,0.1816376,1.0000135,1.0000443,0.040001154
149,14900,0.18159583,1.0000119,1.000043,0.040001094
150,15000,0.18177937,1.0000094,1.0000327,0.040000837
151,15100,0.18171503,1.0000137,1.0000436,0.040001143
152,15200,0.18178095,1.0000114,1.0000467,0.04000116
153,15300,0.18171796,1.0000132,1.0000507,0.040001277
154,15400,0.18164027,1.0000192,1.0000496,0.040001374
155,15500,0.18175556,1.0000103,1.0000385,0.04000097
156,15600,0.18181987,1.0000126,1.000055,0.040001355
157,15700,0.1816959,1.0000131,1.0000472,0.040001206
158,15800,0.18172672,1.0000176,1.0000526,0.0400014
159,15900,0.1817672,1.0000092,1.0000422,0.040001027
160,16000,0.18167815,1.0000117,1.0000335,0.040000904
161,16100,0.1818415,1.0000156,1.000046,0.04000123
162,16200,0.1815413,1.000015,1.0000461,0.04000122
163,16300,0.18163744,1.0000135,1.0000411,0.04000109
164,16400,0.18172091,1.0000107,1.0000325,0.040000867
165,16500,0.18163028,1.0000265,1.0000498,0.040001526
166,16600,0.18169956,1.0000107,1.0000408,0.040001027
167,16700,0.18172608,1.0000103,1.0000302,0.04000081
168,16800,0.18177518,1.0000111,1.0000358,0.040000934
169,16900,0.18156731,1.0000173,1.000052,0.04000138
170,17000,0.18168777,1.0000143,1.0000361,0.04000101
171,17100,0.1817405,1.0000118,1.0000293,0.04000082
172,17200,0.18171601,1.0000296,1.0000411,0.04000141
173,17300,0.1817635,1.0000108,1.0000387,0.04000099
174,17400,0.1816836,1.0000099,1.0000321,0.040000837
175,17500,0.18182144,1.0000098,1.000049,0.040001173
176,17600,0.18167481,1.0000111,1.000036,0.04000094
177,17700,0.18174036,1.0000116,1.000042,0.04000107
178,17800,0.18172124,1.0000117,1.0000497,0.04000123
179,17900,0.18168129,1.0000123,1.0000376,0.040000997
180,18000,0.18191805,1.0000113,1.0000389,0.040001
181,18100,0.18167941,1.0000151,1.0000536,0.040001374
182,18200,0.18174885,1.0000083,1.0000286,0.040000737
183,18300,0.18164474,1.0000145,1.0000415,0.04000112
184,18400,0.18167536,1.0000193,1.0000558,0.0400015
185,18500,0.18181759,1.0000098,1.0000391,0.040000975
186,18600,0.18163666,1.0000159,1.000056,0.04000144
187,18700,0.1816886,1.000017,1.0000423,0.040001187
188,18800,0.18171641,1.000013,1.0000424,0.040001106
189,18900,0.18168303,1.0000113,1.0000285,0.040000796
190,19000,0.18185405,1.0000169,1.0000488,0.040001314
191,19100,0.18158711,1.0000098,1.0000416,0.040001027
192,19200,0.1818368,1.0000081,1.0000445,0.04000105
193,19300,0.18167728,1.0000168,1.0000399,0.040001135
194,19400,0.18170916,1.00001,1.0000359,0.040000916
195,19500,0.18174765,1.0000212,1.0000579,0.040001582
196,19600,0.18160167,1.0000122,1.0000447,0.040001135
197,19700,0.18171768,1.0000149,1.0000448,0.04000119
198,19800,0.18187748,1.0000087,1.0000374,0.040000923
199,19900,0.1815616,1.0000125,1.0000402,0.040001053
200,20000,0.1818389,1.0000178,1.0000476,0.040001307
201,20100,0.18168928,1.0000129,1.0000532,0.04000132
202,20200,0.18178667,1.0000153,1.0000383,0.04000107
203,20300,0.18178527,1.0000154,1.0000391,0.040001087
204,20400,0.18176103,1.0000163,1.0000428,0.04000118
205,20500,0.18183187,1.0000142,1.0000376,0.040001035
206,20600,0.18160228,1.0000135,1.0000623,0.040001515
207,20700,0.18169525,1.0000142,1.0000368,0.04000102
208,20800,0.18180826,1.0000113,1.0000337,0.0400009
209,20900,0.181674,1.0000108,1.0000407,0.040001027
210,21000,0.18173419,1.0000112,1.0000397,0.04000102
211,21100,0.18174303,1.0000119,1.0000328,0.040000897
212,21200,0.18174246,1.000014,1.0000347,0.04000097
213,21300,0.18180978,1.0000126,1.0000485,0.04000122
214,21400,0.18172373,1.0000185,1.0000663,0.040001698
215,21500,0.18179043,1.0000131,1.0000342,0.04000094
216,21600,0.18178326,1.0000105,1.000033,0.040000867
217,21700,0.18166944,1.0000111,1.0000467,0.040001154
218,21800,0.18168026,1.0000128,1.0000439,0.040001135
219,21900,0.18172213,1.0000141,1.000064,0.040001564
220,22000,0.18163311,1.0000101,1.0000374,0.040000953
221,22100,0.18163794,1.0000092,1.0000367,0.040000916
222,22200,0.18171985,1.0000114,1.0000327,0.040000882
223,22300,0.1817756,1.0000124,1.0000277,0.0400008
224,22400,0.18184751,1.0000101,1.000029,0.04000078
225,22500,0.18170923,1.00001,1.0000386,0.04000097
226,22600,0.18177487,1.0000132,1.0000294,0.040000852
227,22700,0.18176983,1.0000105,1.0000278,0.040000763
228,22800,0.18171775,1.0000126,1.000034,0.040000934
229,22900,0.181768,1.0000125,1.0000371,0.04000099
230,23000,0.1818526,1.0000105,1.0000385,0.040000983
231,23100,0.18161154,1.0000122,1.0000415,0.040001072
232,23200,0.18171668,1.0000155,1.0000404,0.040001117
233,23300,0.18183345,1.0000182,1.0000517,0.0400014
234,23400,0.18173563,1.0000161,1.0000496,0.040001314
235,23500,0.18175672,1.0000118,1.0000453,0.040001143
236,23600,0.18173286,1.0000129,1.000053,0.040001314
237,23700,0.18160681,1.0000093,1.0000457,0.040001094
238,23800,0.18184541,1.0000098,1.0000333,0.040000856
239,23900,0.1817159,1.0000228,1.0000435,0.040001325
240,24000,0.18192717,1.0000149,1.0000405,0.040001106
241,24100,0.18185319,1.0000094,1.0000342,0.04000087
242,24200,0.18163818,1.0000116,1.0000412,0.040001057
243,24300,0.18175916,1.0000113,1.0000423,0.040001072
244,24400,0.18183877,1.0000111,1.0000327,0.04000088
245,24500,0.18170583,1.0000151,1.000048,0.040001262
246,24600,0.1816226,1.0000256,1.0000432,0.040001374
247,24700,0.18177807,1.0000101,1.0000293,0.04000079
248,24800,0.18175253,1.0000116,1.0000433,0.040001094
249,24900,0.18171947,1.0000114,1.000043,0.040001087
250,25000,0.18184555,1.0000123,1.0000298,0.040000837
251,25100,0.18166853,1.0000136,1.0000492,0.04000126
252,25200,0.18174656,1.0000136,1.0000335,0.04000094
253,25300,0.1819049,1.0000126,1.0000445,0.040001143
254,25400,0.18179606,1.0000126,1.0000391,0.040001035
255,25500,0.18185529,1.0000124,1.0000395,0.04000104
256,25600,0.18178326,1.0000143,1.0000391,0.04000107
257,25700,0.18168497,1.0000116,1.0000318,0.040000867
258,25800,0.18182942,1.0000083,1.0000302,0.04000077
259,25900,0.18173264,1.0000113,1.0000346,0.040000916
260,26000,0.18168996,1.0000119,1.0000316,0.040000867
261,26100,0.1816725,1.0000135,1.0000439,0.040001143
262,26200,0.18181075,1.0000103,1.0000392,0.04000099
263,26300,0.18159324,1.000011,1.0000316,0.04000085
264,26400,0.18165717,1.0000116,1.0000331,0.040000897
265,26500,0.18174055,1.0000143,1.0000452,0.04000119
266,26600,0.18168965,1.0000104,1.000031,0.04000083
267,26700,0.18165524,1.0000123,1.0000373,0.04000099
268,26800,0.1818705,1.0000137,1.0000402,0.040001076
269,26900,0.18169536,1.0000283,1.0000429,0.04000142
270,27000,0.18172225,1.0000082,1.0000298,0.040000763
271,27100,0.18195133,1.0000179,1.0000365,0.040001087
272,27200,0.18168168,1.0000129,1.0000353,0.040000964
273,27300,0.18192488,1.0000104,1.0000346,0.040000897
274,27400,0.18178271,1.0000135,1.0000374,0.04000102
275,27500,0.18163449,1.0000128,1.0000392,0.04000104
276,27600,0.18172574,1.0000144,1.0000547,0.04000138
277,27700,0.18186116,1.0000116,1.0000359,0.04000095
278,27800,0.18162812,1.0000101,1.0000336,0.04000088
279,27900,0.181734,1.0000129,1.0000345,0.04000094
280,28000,0.18176705,1.000012,1.0000348,0.040000934
281,28100,0.18162137,1.0000142,1.0000333,0.04000095
282,28200,0.18178035,1.0000192,1.0000442,0.040001266
283,28300,0.18182185,1.0000113,1.0000422,0.04000107
284,28400,0.18174021,1.00001,1.0000411,0.04000102
285,28500,0.18171704,1.000013,1.0000397,0.040001053
286,28600,0.18193886,1.0000143,1.0000526,0.040001333
287,28700,0.18181081,1.00001,1.0000365,0.04000093
288,28800,0.18168232,1.0000111,1.0000421,0.04000106
289,28900,0.18182357,1.0000213,1.000041,0.040001247
290,29000,0.18179059,1.0000135,1.0000299,0.040000867
291,29100,0.1816993,1.0000112,1.0000517,0.04000126
292,29200,0.1817473,1.0000141,1.0000355,0.04000099
293,29300,0.1816621,1.0000128,1.00004,0.040001057
294,29400,0.18168508,1.0000116,1.0000302,0.040000834
295,29500,0.18198119,1.0000123,1.0000328,0.0400009
296,29600,0.18158498,1.0000129,1.0000393,0.040001042
297,29700,0.18167165,1.0000101,1.0000348,0.040000897
298,29800,0.1816964,1.0000124,1.0000302,0.04000085
