,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.396861,1.992267,1.9886066,0.0
1,100,1.3553438,1.9932033,1.9891384,0.0
2,200,1.3205934,1.993877,1.9894514,0.0
3,300,1.2919244,1.9944491,1.9896799,0.0
4,400,1.2686088,1.9949586,1.9898397,0.0
5,500,1.2499485,1.9954228,1.9899286,0.0
6,600,1.2352778,1.9958466,1.9899545,0.0
7,700,1.2239699,1.9962307,1.9899311,0.0
8,800,1.2154437,1.996575,1.9898692,0.0
9,900,1.2091683,1.9968778,1.9897738,0.0
10,1000,1.2046709,1.9971389,1.9896442,0.0
11,1100,1.2015407,1.9973592,1.9894755,0.0
12,1200,1.1994301,1.9975425,1.9892612,0.0
13,1300,1.1980559,1.9976943,1.9889933,0.0
14,1400,1.1971945,1.9978209,1.9886638,0.0
15,1500,1.1966769,1.9979291,1.988263,0.0
16,1600,1.1963799,1.9980254,1.9877825,0.0
17,1700,1.1962188,1.9981147,1.9872118,0.0
18,1800,1.1961368,1.9982013,1.9865396,0.0
19,1900,1.1960987,1.9982874,1.9857533,0.0
20,2000,1.1960831,1.998374,1.9848392,0.0
21,2100,1.1960782,1.9984593,1.9837838,0.0
22,2200,1.1960778,1.9985402,1.9825714,0.0
23,2300,1.1960789,1.9986119,1.9811873,0.0
24,2400,1.1960802,1.9986668,1.9796177,0.0
25,2500,1.1960813,1.9986963,1.9778495,0.0
26,2600,1.1960821,1.9986901,1.9758703,0.0
27,2700,1.1960825,1.9986364,1.9736702,0.0
28,2800,1.1960828,1.9985225,1.9712417,0.0
29,2900,1.1960831,1.9983351,1.968579,0.0
30,3000,1.1960832,1.9980607,1.9656783,0.0
31,3100,1.1960831,1.9976863,1.9625384,0.0
32,3200,1.1960832,1.997199,1.9591593,0.0
33,3300,1.1960832,1.9965881,1.9555432,0.0
34,3400,1.1960832,1.995844,1.9516933,0.0
35,3500,1.1960832,1.9949592,1.9476131,0.0
36,3600,1.1960832,1.9939297,1.9433081,0.0
37,3700,1.1960832,1.9927546,1.9387826,0.0
38,3800,1.1960832,1.9914349,1.9340416,0.0
39,3900,1.1960832,1.989977,1.9290899,0.0
40,4000,1.1960832,1.9883894,1.9239316,0.0
41,4100,1.1960832,1.9866847,1.9185715,0.0
42,4200,1.1960832,1.9848783,1.9130142,0.0
43,4300,1.1960832,1.9829891,1.9072627,0.0
44,4400,1.1960832,1.9810375,1.901322,0.0
45,4500,1.1960832,1.9790462,1.8951975,0.0
46,4600,1.1960832,1.9770389,1.8888936,0.0
47,4700,1.1960832,1.9750397,1.8824162,0.0
48,4800,1.1960832,1.9730734,1.8757738,0.0
49,4900,1.1960832,1.9711635,1.8689727,0.0
50,5000,1.1960832,1.9693314,1.8620315,0.0
51,5100,1.1960832,1.9675975,1.8549411,0.0
52,5200,1.1960832,1.9659795,1.8477328,0.0
53,5300,1.1960832,1.9644911,1.8404171,0.0
54,5400,1.1960832,1.9631448,1.8330088,0.0
55,5500,1.1960832,1.9619471,1.8255267,0.0
56,5600,1.1960832,1.9609014,1.8179891,0.0
57,5700,1.1960832,1.9600073,1.8104165,0.0
58,5800,1.1960832,1.9592606,1.802828,0.0
59,5900,1.1960832,1.9586523,1.1262252,0.0
60,6000,1.1960832,1.9581696,1.785528,0.0
61,6100,1.1960832,1.9577965,1.7464473,0.0
62,6200,1.1960832,1.9575121,1.7712772,0.0
63,6300,1.1960832,1.9572928,1.7652886,0.0
64,6400,1.1960832,1.9571121,1.7579608,0.0
65,6500,1.1960832,1.9569414,1.7507111,0.0
66,6600,1.1960832,1.9567481,1.7435398,0.0
67,6700,1.1960832,1.9564987,1.0,0.0
68,6800,1.1960832,1.9561561,1.0001411,0.0
69,6900,1.1960832,1.9556819,1.6451933,0.0
70,7000,1.1960832,1.9550349,1.7145714,0.0
71,7100,1.1960832,1.9541694,1.7085367,0.0
72,7200,1.1960832,1.953036,1.7015728,0.0
73,7300,1.1960832,1.9515791,1.5611494,0.0
74,7400,1.1960832,1.9497349,1.0,0.0
75,7500,1.1960832,1.9474277,1.0,0.0
76,7600,1.1960832,1.9445672,1.0,0.0
77,7700,1.1960832,1.941039,1.0,0.0
78,7800,1.1960832,1.9366981,1.0,0.0
79,7900,1.1960832,1.9313523,1.0,0.0
80,8000,1.1960832,1.9246998,1.0,0.0
81,8100,1.1960832,1.9171085,1.0,0.0
82,8200,1.1960832,nan,nan,nan
83,8300,1.1960832,nan,nan,nan
84,8400,1.1960832,nan,nan,nan
85,8500,1.1960832,nan,nan,nan
86,8600,1.1960832,nan,1.0001653,nan
87,8700,1.1960832,nan,1.9984616,nan
88,8800,1.1960832,nan,1.5765179,nan
89,8900,1.1960832,nan,1.0,nan
90,9000,1.1960832,nan,1.0,nan
91,9100,1.1960832,nan,1.0,nan
92,9200,1.1960832,nan,1.0,nan
93,9300,1.1960832,nan,1.0,nan
94,9400,1.1960832,nan,nan,nan
95,9500,1.1960832,nan,nan,nan
96,9600,1.1960832,nan,nan,nan
97,9700,1.1960832,nan,nan,nan
98,9800,1.1960832,nan,nan,nan
99,9900,1.1960832,nan,nan,nan
100,10000,1.1960832,nan,1.0126996,nan
101,10100,1.1960832,nan,1.0,nan
102,10200,1.1960832,nan,1.0,nan
103,10300,1.1960832,nan,1.0,nan
104,10400,1.1960832,nan,1.0505736,nan
105,10500,1.1960832,nan,1.0019289,nan
106,10600,1.1960832,nan,1.0000001,nan
107,10700,1.1960832,nan,1.0,nan
108,10800,1.1960832,nan,1.0,nan
109,10900,1.1960832,nan,1.0,nan
110,11000,1.1960832,nan,1.6417108,nan
111,11100,1.1960832,nan,1.0042019,nan
112,11200,1.1960832,nan,1.0045604,nan
113,11300,1.1960832,nan,1.0,nan
114,11400,1.1960832,nan,1.0,nan
115,11500,1.1960832,nan,1.1175781,nan
116,11600,1.1960832,nan,1.0029373,nan
117,11700,1.1960832,nan,1.0000092,nan
118,11800,1.1960832,nan,1.1164552,nan
119,11900,1.1960832,nan,1.0118879,nan
120,12000,1.1960832,nan,1.0027075,nan
121,12100,1.1960832,nan,1.000004,nan
122,12200,1.1960832,1.0,1.0004994,0.0
123,12300,1.1960832,1.0,1.0000594,0.0
124,12400,1.1960832,1.0003183,1.3887706,0.0
125,12500,1.1960832,1.0001552,1.008206,0.0
126,12600,1.1960832,1.0,1.0000032,0.0
127,12700,1.1960832,1.0,1.0,0.0
128,12800,1.1960832,1.0,1.0000001,0.0
129,12900,1.1960832,1.0,1.0000005,0.0
130,13000,1.1960832,nan,1.0336981,nan
131,13100,1.1960832,1.0000014,1.9339067,0.0
132,13200,1.1960832,1.1212661,1.1446809,0.0
133,13300,1.1960832,1.0657965,1.0000867,0.0
134,13400,1.1960832,1.0863656,1.0003468,0.0
135,13500,1.1960832,1.000069,1.9692754,0.0
136,13600,1.1960832,1.0003207,1.5261998,0.0
137,13700,1.1960832,1.0,1.0,0.0
138,13800,1.1960832,1.0,1.8999597,0.0
139,13900,1.1960832,1.0,1.8132877,0.0
140,14000,1.1960832,1.0,1.0009029,0.0
141,14100,1.1960832,1.0,1.0,0.0
142,14200,1.1960832,1.0000018,1.2040856,0.0
143,14300,1.1960832,1.0,1.7724032,0.0
144,14400,1.1960832,1.0542094,1.0216442,0.0
145,14500,1.1960832,1.0066981,1.0041283,0.0
146,14600,1.1960832,1.0001352,1.0331179,0.0
147,14700,1.1960832,1.0000131,1.0566615,0.0
148,14800,1.1960832,1.000053,1.0000097,0.0
149,14900,1.1960832,1.0,1.4510365,0.0
150,15000,1.1960832,1.0,1.0345182,0.0
151,15100,1.1960832,1.6788366,1.00034,0.0
152,15200,1.1960832,1.3712747,1.0102409,0.0
153,15300,1.1960832,1.0000123,1.5515207,0.0
154,15400,1.1960832,1.0769111,1.027299,0.0
155,15500,1.1960832,1.0004824,1.3121719,0.0
156,15600,1.1960832,1.0,1.0382043,0.0
157,15700,1.1960832,1.737146,1.0000052,0.0
