,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,0.9587565,49.013256,53.570076,0.0
1,100,0.17792179,49.089855,53.601467,0.0
2,200,0.033378024,49.093636,53.595676,0.0
3,300,0.006138751,49.074493,53.600548,0.0
4,400,0.0018265487,48.9745,53.557667,0.0
5,500,0.0007061787,48.816925,53.474407,0.0
6,600,0.00034197845,48.61254,53.358055,0.0
7,700,0.00020306432,48.368008,53.213715,0.0
8,800,0.00013893834,48.08146,53.042316,0.0
9,900,0.00010413711,47.753353,52.838413,0.0
10,1000,7.9484045e-05,47.383743,52.593807,0.0
11,1100,6.404932e-05,46.96696,52.30535,0.0
12,1200,5.5174576e-05,46.501972,51.966175,0.0
13,1300,4.719443e-05,45.98545,51.572033,0.0
14,1400,4.0912924e-05,45.41657,51.1203,0.0
15,1500,3.714367e-05,44.792374,50.59463,0.0
16,1600,3.4192017e-05,44.112507,49.98943,0.0
17,1700,3.2891374e-05,43.374218,49.297043,0.0
18,1800,2.9867711e-05,42.572025,48.50286,0.0
19,1900,2.9823832e-05,41.70617,47.5907,0.0
20,2000,2.7889198e-05,40.77501,46.544342,0.0
21,2100,2.7341677e-05,39.782024,45.340206,0.0
22,2200,3.226159e-05,38.726864,43.968166,0.0
23,2300,2.7562455e-05,37.607265,42.41863,0.0
24,2400,2.5733003e-05,36.437786,40.69217,0.0
25,2500,2.3805185e-05,35.220566,38.796875,0.0
26,2600,2.8071254e-05,33.96184,36.746746,0.0
27,2700,3.3845896e-05,32.675995,34.58712,0.0
28,2800,2.9201583e-05,31.33968,32.303574,0.0
29,2900,2.360498e-05,29.988388,29.981995,0.0
30,3000,2.5086432e-05,28.622461,27.646101,0.0
31,3100,3.3315006e-05,27.265757,25.34385,0.0
32,3200,2.0675892e-05,25.929298,23.124702,0.0
33,3300,2.7940287e-05,24.629612,21.069426,0.0
34,3400,2.4971117e-05,23.372816,19.20543,0.0
35,3500,1.9799136e-05,22.181406,17.554607,0.0
36,3600,2.3643184e-05,21.046661,16.094677,0.0
37,3700,5.5987915e-05,19.97024,14.819552,0.0
38,3800,2.3395594e-05,18.938274,13.7419815,0.0
39,3900,2.8339224e-05,17.947742,12.819812,0.0
40,4000,2.1886306e-05,16.990183,11.979389,0.0
41,4100,2.881385e-05,16.09913,11.25641,0.0
42,4200,3.8497248e-05,15.255187,10.606321,0.0
43,4300,2.2563894e-05,14.469788,10.044011,0.0
44,4400,3.0858602e-05,13.748372,9.571083,0.0
45,4500,2.1889206e-05,13.059308,9.160295,0.0
46,4600,2.3244715e-05,12.4291,8.803184,0.0
47,4700,2.3928193e-05,11.8387165,8.477996,0.0
48,4800,3.180694e-05,11.286677,8.184082,0.0
49,4900,2.6722431e-05,10.769012,7.9250774,0.0
50,5000,3.418054e-05,10.28095,7.683489,0.0
51,5100,2.5851321e-05,9.841529,7.466729,0.0
52,5200,2.7219357e-05,9.434481,7.266768,0.0
53,5300,2.6959438e-05,9.059354,7.076998,0.0
54,5400,2.504083e-05,8.719383,6.8985524,0.0
55,5500,3.08512e-05,8.422215,6.748271,0.0
56,5600,6.3342995e-05,8.140018,6.600204,0.0
57,5700,4.5849803e-05,7.8866897,6.4738836,0.0
58,5800,4.1105985e-05,7.643508,6.354012,0.0
59,5900,3.6297533e-05,7.437894,6.257503,0.0
60,6000,2.6446467e-05,7.2531476,6.1692686,0.0
61,6100,2.6406922e-05,7.0869136,6.088814,0.0
62,6200,2.7225371e-05,6.933839,6.015139,0.0
63,6300,2.972906e-05,6.797552,5.9446516,0.0
64,6400,3.0021743e-05,6.6772776,5.878194,0.0
65,6500,3.5228215e-05,6.562936,5.8226194,0.0
66,6600,2.6193566e-05,6.45926,5.772869,0.0
67,6700,8.795325e-05,6.363806,5.725553,0.0
68,6800,3.6566926e-05,6.269564,5.6796803,0.0
69,6900,3.268743e-05,6.1743984,5.6338916,0.0
70,7000,2.801306e-05,6.0948243,5.582715,0.0
71,7100,3.395683e-05,6.0150123,5.539481,0.0
72,7200,2.5283127e-05,5.935879,5.5081673,0.0
73,7300,3.5056015e-05,5.864435,5.473668,0.0
74,7400,3.0142273e-05,5.798848,5.4421887,0.0
75,7500,2.7104554e-05,5.738642,5.411394,0.0
76,7600,2.6662712e-05,5.682963,5.385752,0.0
77,7700,8.4352614e-05,5.626935,5.359196,0.0
78,7800,5.7816193e-05,5.5759645,5.335049,0.0
79,7900,3.0305619e-05,5.5271215,5.3135276,0.0
80,8000,3.390233e-05,5.4785004,5.2865095,0.0
81,8100,3.1608197e-05,5.4343376,5.2567,0.0
82,8200,0.0002279066,5.3947105,5.2342377,0.0
83,8300,2.50569e-05,5.359752,5.219102,0.0
84,8400,2.68257e-05,5.3235874,5.202257,0.0
85,8500,2.5314204e-05,5.289135,5.1894283,0.0
86,8600,2.6149937e-05,5.2585807,5.1767178,0.0
87,8700,3.269755e-05,5.2286277,5.164575,0.0
88,8800,3.2143646e-05,5.196497,5.1496677,0.0
89,8900,2.5126868e-05,5.1648383,5.1341186,0.0
90,9000,8.322427e-05,5.133841,5.118579,0.0
91,9100,2.7653028e-05,5.1033716,5.107535,0.0
92,9200,2.4160374e-05,5.0745363,5.093705,0.0
93,9300,2.4377914e-05,5.0481005,5.0781198,0.0
94,9400,3.0030475e-05,5.023881,5.063679,0.0
95,9500,3.286864e-05,4.997711,5.0523524,0.0
96,9600,2.4332576e-05,4.973448,5.0411944,0.0
97,9700,2.4847383e-05,4.9488616,5.0330815,0.0
98,9800,2.9948063e-05,4.9271684,5.022484,0.0
99,9900,2.8270239e-05,4.906025,5.012504,0.0
100,10000,2.449317e-05,4.8883724,4.9996977,0.0
101,10100,2.3861883e-05,4.8673277,4.986807,0.0
102,10200,3.0210385e-05,4.8473673,4.9732137,0.0
103,10300,2.4727618e-05,4.825518,4.9558973,0.0
104,10400,2.7584076e-05,4.8074493,4.939296,0.0
105,10500,2.373757e-05,4.790709,4.9271035,0.0
106,10600,2.9350209e-05,4.776474,4.915648,0.0
107,10700,2.7919921e-05,4.7626643,4.9046044,0.0
108,10800,2.8235876e-05,4.7506433,4.893556,0.0
109,10900,3.1095995e-05,4.738385,4.882065,0.0
110,11000,2.4052188e-05,4.7273345,4.8712626,0.0
111,11100,2.6796406e-05,4.7166185,4.856886,0.0
112,11200,8.551359e-05,4.704153,4.845967,0.0
113,11300,2.5541618e-05,4.69258,4.834618,0.0
114,11400,2.7262913e-05,4.6839447,4.822903,0.0
115,11500,2.5028387e-05,4.6742105,4.813214,0.0
116,11600,2.7732143e-05,4.665466,4.803523,0.0
117,11700,2.447085e-05,4.6569443,4.792855,0.0
118,11800,2.3194885e-05,4.6482005,4.7845635,0.0
119,11900,2.7056734e-05,4.640476,4.776891,0.0
120,12000,2.5041556e-05,4.632166,4.7702866,0.0
121,12100,4.7387643e-05,4.6255913,4.7635584,0.0
122,12200,3.2233427e-05,4.6178355,4.757613,0.0
123,12300,5.4339853e-05,4.6117826,4.7524514,0.0
124,12400,2.5730058e-05,4.6056485,4.7480946,0.0
125,12500,2.398973e-05,4.5978165,4.7470107,0.0
126,12600,4.6353467e-05,4.5939474,4.742892,0.0
127,12700,4.956243e-05,4.588623,4.7405996,0.0
128,12800,4.8994116e-05,4.586446,4.7360272,0.0
129,12900,2.6902404e-05,4.5863223,4.7314425,0.0
130,13000,3.128452e-05,4.5849605,4.727375,0.0
131,13100,2.5125108e-05,4.584164,4.7249165,0.0
132,13200,2.5390189e-05,4.5839024,4.7205753,0.0
133,13300,2.4275247e-05,4.582316,4.717621,0.0
134,13400,2.3517097e-05,4.5808606,4.713947,0.0
135,13500,2.3638067e-05,4.579315,4.7109537,0.0
136,13600,2.3529314e-05,4.577233,4.7091565,0.0
137,13700,2.6807302e-05,4.5755205,4.70798,0.0
138,13800,4.7795653e-05,4.5735326,4.7089844,0.0
139,13900,2.3255734e-05,4.572902,4.708017,0.0
140,14000,2.6574147e-05,4.5718493,4.707326,0.0
141,14100,2.4678287e-05,4.5703807,4.706991,0.0
142,14200,5.866024e-05,4.569055,4.704941,0.0
143,14300,2.5795183e-05,4.566998,4.704203,0.0
144,14400,2.8740942e-05,4.5659695,4.7025785,0.0
145,14500,5.803463e-05,4.5634007,4.702066,0.0
146,14600,2.3214036e-05,4.561433,4.701078,0.0
147,14700,2.243126e-05,4.5558114,4.7002783,0.0
148,14800,2.3003064e-05,4.5524344,4.6988683,0.0
149,14900,3.845252e-05,4.5499043,4.697272,0.0
150,15000,0.00013603651,4.546705,4.6978273,0.0
151,15100,2.5180972e-05,4.5433903,4.6944737,0.0
152,15200,2.4125722e-05,4.5377946,4.692411,0.0
153,15300,2.3831251e-05,4.533075,4.690277,0.0
154,15400,2.2668002e-05,4.52862,4.688117,0.0
155,15500,6.158531e-05,4.5239525,4.686876,0.0
156,15600,3.2577882e-05,4.5197644,4.685117,0.0
157,15700,5.0061924e-05,4.5156126,4.6833673,0.0
158,15800,3.5764533e-05,4.5135922,4.682177,0.0
159,15900,3.0921034e-05,4.511291,4.6801047,0.0
160,16000,7.675863e-05,4.5083833,4.6792326,0.0
161,16100,4.6416957e-05,4.506423,4.6775336,0.0
162,16200,7.8475714e-05,4.5049834,4.67518,0.0
163,16300,3.1874453e-05,4.5031095,4.6742673,0.0
164,16400,2.5382074e-05,4.5015073,4.6730514,0.0
165,16500,2.306903e-05,4.5001955,4.6721354,0.0
166,16600,2.6914795e-05,4.4988475,4.671124,0.0
167,16700,2.7107328e-05,4.497605,4.6693254,0.0
168,16800,5.0544626e-05,4.4970355,4.6681037,0.0
169,16900,3.0322943e-05,4.496159,4.6665916,0.0
170,17000,4.353241e-05,4.495033,4.6660185,0.0
171,17100,3.7267488e-05,4.4946656,4.6647167,0.0
172,17200,3.0381048e-05,4.4937744,4.66395,0.0
173,17300,2.7932174e-05,4.4939113,4.663601,0.0
174,17400,2.2571752e-05,4.4932423,4.66318,0.0
175,17500,2.3794615e-05,4.4949217,4.662721,0.0
176,17600,2.292745e-05,4.495902,4.6611223,0.0
177,17700,4.3844328e-05,4.496539,4.6592364,0.0
178,17800,2.7438582e-05,4.4972105,4.6579866,0.0
179,17900,2.2582246e-05,4.4975576,4.657505,0.0
180,18000,2.2843311e-05,4.4975276,4.6564703,0.0
181,18100,2.7252587e-05,4.4981623,4.6548605,0.0
182,18200,4.614295e-05,4.4990582,4.6531315,0.0
183,18300,2.663346e-05,4.4980783,4.652417,0.0
184,18400,2.2438937e-05,4.499972,4.648544,0.0
185,18500,6.0382263e-05,4.4995856,4.647184,0.0
186,18600,3.4634104e-05,4.499354,4.646957,0.0
187,18700,2.3330478e-05,4.499039,4.645607,0.0
188,18800,4.229895e-05,4.4977317,4.6443505,0.0
189,18900,2.2606288e-05,4.49677,4.642908,0.0
190,19000,2.2914577e-05,4.496487,4.6414967,0.0
191,19100,6.5408065e-05,4.496313,4.640071,0.0
192,19200,0.00029828868,4.495774,4.6409016,0.0
193,19300,2.2343826e-05,4.495326,4.6384563,0.0
194,19400,3.2137898e-05,4.4958053,4.637133,0.0
195,19500,7.043179e-05,4.4959574,4.6373243,0.0
196,19600,2.4526636e-05,4.495725,4.6368237,0.0
197,19700,2.4102752e-05,4.495913,4.6360183,0.0
198,19800,7.3783835e-05,4.4964085,4.635455,0.0
199,19900,8.521498e-05,4.496561,4.635333,0.0
200,20000,2.7316335e-05,4.4967413,4.634475,0.0
201,20100,5.3201693e-05,4.497274,4.6337514,0.0
202,20200,2.9608485e-05,4.497633,4.6336102,0.0
203,20300,2.6218273e-05,4.497886,4.632656,0.0
204,20400,2.2974058e-05,4.498176,4.632339,0.0
205,20500,2.3633816e-05,4.4981666,4.632646,0.0
206,20600,2.3846156e-05,4.4988856,4.6322603,0.0
207,20700,3.002171e-05,4.499323,4.631966,0.0
208,20800,2.2697115e-05,4.5006857,4.6295514,0.0
209,20900,2.2519585e-05,4.501449,4.6286397,0.0
210,21000,2.7149046e-05,4.501947,4.6271663,0.0
211,21100,2.5281288e-05,4.5022964,4.626536,0.0
212,21200,2.3067278e-05,4.501934,4.62561,0.0
213,21300,2.3502385e-05,4.5017705,4.62439,0.0
214,21400,2.9532968e-05,4.501966,4.6237617,0.0
215,21500,5.2382202e-05,4.5018015,4.623281,0.0
216,21600,2.6063175e-05,4.502069,4.622757,0.0
217,21700,2.2452752e-05,4.502361,4.62191,0.0
218,21800,3.2541375e-05,4.50261,4.620596,0.0
219,21900,2.4742996e-05,4.502425,4.621161,0.0
220,22000,2.3938035e-05,4.503033,4.62007,0.0
221,22100,5.2948893e-05,4.5030265,4.6206703,0.0
222,22200,5.7201818e-05,4.5030403,4.619503,0.0
223,22300,2.2896116e-05,4.5030603,4.6191287,0.0
224,22400,2.26979e-05,4.503365,4.619127,0.0
225,22500,2.7239903e-05,4.5036573,4.6186357,0.0
226,22600,2.5313502e-05,4.503404,4.6186967,0.0
227,22700,2.299366e-05,4.5039277,4.6178265,0.0
228,22800,2.2485647e-05,4.504496,4.6174192,0.0
229,22900,2.2812703e-05,4.504987,4.616941,0.0
230,23000,2.304312e-05,4.504905,4.616484,0.0
231,23100,3.550394e-05,4.5059414,4.615136,0.0
232,23200,3.1556894e-05,4.505559,4.6162357,0.0
233,23300,6.513271e-05,4.5064597,4.6150413,0.0
234,23400,3.3253073e-05,4.506657,4.6147046,0.0
235,23500,3.1322066e-05,4.5062795,4.6141567,0.0
236,23600,2.3571723e-05,4.507335,4.6132584,0.0
237,23700,3.519854e-05,4.5078387,4.612464,0.0
238,23800,3.050831e-05,4.5077195,4.6123815,0.0
239,23900,3.475168e-05,4.5083885,4.611245,0.0
240,24000,2.2568604e-05,4.508347,4.610931,0.0
241,24100,4.815322e-05,4.5083494,4.6108966,0.0
242,24200,3.222076e-05,4.5080557,4.6100755,0.0
243,24300,2.7286796e-05,4.5082164,4.609855,0.0
244,24400,2.4187777e-05,4.5089793,4.609054,0.0
245,24500,0.00011319658,4.5095773,4.6092787,0.0
246,24600,2.405927e-05,4.509204,4.608838,0.0
247,24700,2.2536482e-05,4.509623,4.608118,0.0
248,24800,2.280084e-05,4.5094213,4.610561,0.0
249,24900,2.2575705e-05,4.5093956,4.60749,0.0
250,25000,3.1425297e-05,4.509612,4.6057973,0.0
251,25100,2.5872772e-05,4.5098553,4.6051564,0.0
252,25200,2.2889391e-05,4.510032,4.6045413,0.0
253,25300,2.5253512e-05,4.5098743,4.6037674,0.0
254,25400,2.9255207e-05,4.509854,4.603341,0.0
255,25500,6.2182255e-05,4.5099,4.603415,0.0
256,25600,0.00015580498,4.5099697,4.603005,0.0
257,25700,2.2872928e-05,4.510299,4.6024146,0.0
258,25800,2.330465e-05,4.511034,4.6019583,0.0
259,25900,2.9178489e-05,4.510992,4.6010876,0.0
260,26000,2.2763965e-05,4.5114565,4.600832,0.0
261,26100,2.3413611e-05,4.5114527,4.6008997,0.0
262,26200,3.545566e-05,4.511942,4.5996614,0.0
263,26300,2.4360692e-05,4.5115695,4.59841,0.0
264,26400,2.3553557e-05,4.5109544,4.5973477,0.0
265,26500,2.333366e-05,4.5101805,4.596214,0.0
266,26600,2.7003633e-05,4.510173,4.59537,0.0
267,26700,2.6543905e-05,4.5103083,4.5945606,0.0
268,26800,4.2605985e-05,4.5099444,4.5937896,0.0
269,26900,2.4678046e-05,4.5096793,4.5941653,0.0
270,27000,2.2794371e-05,4.5099244,4.592475,0.0
271,27100,2.4166658e-05,4.509881,4.5901833,0.0
272,27200,4.1121646e-05,4.5097094,4.5893154,0.0
273,27300,2.7834722e-05,4.508232,4.588313,0.0
274,27400,2.4372323e-05,4.5075784,4.5871325,0.0
275,27500,3.5074514e-05,4.506945,4.586132,0.0
276,27600,2.5676029e-05,4.5072,4.5870843,0.0
277,27700,2.3404054e-05,4.5069513,4.584769,0.0
278,27800,2.2856064e-05,4.506429,4.5846486,0.0
279,27900,2.3740915e-05,4.5064645,4.5837674,0.0
280,28000,2.264689e-05,4.506553,4.5828633,0.0
281,28100,2.289538e-05,4.5068436,4.581387,0.0
282,28200,2.2861475e-05,4.5069666,4.58105,0.0
283,28300,2.3838571e-05,4.506983,4.580382,0.0
284,28400,4.146593e-05,4.5065274,4.5793304,0.0
285,28500,4.3556236e-05,4.506667,4.578401,0.0
286,28600,7.598486e-05,4.507439,4.5781484,0.0
287,28700,2.3050556e-05,4.5072656,4.5787935,0.0
288,28800,2.2827293e-05,4.5079017,4.577835,0.0
289,28900,2.7180606e-05,4.5076914,4.5772376,0.0
290,29000,4.4262804e-05,4.5087514,4.5765967,0.0
291,29100,2.2685446e-05,4.509044,4.573097,0.0
292,29200,2.333121e-05,4.5092793,4.572573,0.0
293,29300,2.3153929e-05,4.509042,4.5722113,0.0
294,29400,2.2901168e-05,4.5092006,4.571724,0.0
295,29500,3.5005203e-05,4.5089526,4.5711,0.0
296,29600,2.3433282e-05,4.5092287,4.571746,0.0
297,29700,2.3519362e-05,4.509473,4.5708,0.0
298,29800,2.2777083e-05,4.5098553,4.570787,0.0
299,29900,3.9019564e-05,4.5095987,4.5702996,0.0
300,30000,2.3714032e-05,4.5099316,4.570528,0.0
301,30100,2.4294592e-05,4.509721,4.5705175,0.0
302,30200,3.3448916e-05,4.5099483,4.5696754,0.0
303,30300,5.5541266e-05,4.509881,4.570547,0.0
304,30400,3.4309585e-05,4.5100536,4.5688906,0.0
305,30500,2.5627285e-05,4.510024,4.5682755,0.0
306,30600,2.713967e-05,4.508443,4.5681453,0.0
307,30700,4.043985e-05,4.5075307,4.568114,0.0
308,30800,2.2969358e-05,4.506016,4.5677977,0.0
309,30900,2.3897257e-05,4.5045004,4.5670652,0.0
310,31000,6.5928696e-05,4.502994,4.5695033,0.0
311,31100,3.1488096e-05,4.502546,4.568529,0.0
312,31200,3.6002664e-05,4.500624,4.568541,0.0
313,31300,2.3896844e-05,4.4997616,4.566837,0.0
314,31400,4.8057005e-05,4.498974,4.566334,0.0
315,31500,3.2829204e-05,4.4976597,4.567176,0.0
316,31600,2.9749996e-05,4.4963818,4.565378,0.0
317,31700,2.6214006e-05,4.495325,4.566727,0.0
318,31800,5.0076524e-05,4.4942403,4.5656815,0.0
319,31900,2.4811636e-05,4.4935923,4.5645146,0.0
320,32000,3.1358613e-05,4.493557,4.5651307,0.0
321,32100,2.2986307e-05,4.492612,4.562682,0.0
322,32200,2.4561197e-05,4.492028,4.562044,0.0
323,32300,2.4490757e-05,4.4912815,4.5614643,0.0
324,32400,2.3882601e-05,4.491301,4.561123,0.0
325,32500,3.0093808e-05,4.4908257,4.5616794,0.0
326,32600,2.6265552e-05,4.4902167,4.560191,0.0
327,32700,2.9374598e-05,4.490204,4.559884,0.0
328,32800,3.0082982e-05,4.490139,4.559925,0.0
329,32900,2.64176e-05,4.4892454,4.5590715,0.0
330,33000,2.3331904e-05,4.4889426,4.5583754,0.0
331,33100,2.3790273e-05,4.488622,4.557553,0.0
332,33200,3.8119848e-05,4.48849,4.5566115,0.0
333,33300,2.9064995e-05,4.4885387,4.5556326,0.0
334,33400,3.732024e-05,4.488221,4.555131,0.0
335,33500,2.441932e-05,4.4877143,4.554293,0.0
336,33600,3.660386e-05,4.4867496,4.5530243,0.0
337,33700,2.8409828e-05,4.485067,4.5516977,0.0
338,33800,2.3652081e-05,4.4830356,4.5511985,0.0
339,33900,2.3175413e-05,4.4818277,4.549655,0.0
340,34000,3.173293e-05,4.480634,4.548535,0.0
341,34100,3.1637133e-05,4.4806657,4.5473695,0.0
342,34200,2.9338855e-05,4.4794846,4.5460095,0.0
343,34300,2.5024661e-05,4.478185,4.546633,0.0
