,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.95895475,48.968765,53.52964
1,100,0.22547457,44.473274,49.25302
2,200,0.03843099,39.852055,44.555027
3,300,0.011082768,35.30327,39.741043
4,400,0.004406823,31.008911,35.100426
5,500,0.002268289,27.0888,30.815495
6,600,0.0015574006,23.600294,26.962679
7,700,0.0014684872,20.546413,23.558239
8,800,0.0020065876,17.896185,20.58336
9,900,0.0021311084,15.607472,17.999516
10,1000,0.0026549501,13.638499,15.76029
11,1100,0.003376694,11.951327,13.820582
12,1200,0.0047988086,10.5105,12.140043
13,1300,0.0058745774,9.282778,10.683836
14,1400,0.005880529,8.237463,9.422316
15,1500,0.011612037,7.34662,8.329788
16,1600,0.0075869556,6.5862117,7.3844614
17,1700,0.0075201443,5.93512,6.566709
18,1800,0.010668769,5.375728,5.859701
19,1900,0.008650923,4.893331,5.248294
20,2000,0.008683565,4.475544,4.719133
21,2100,0.009870087,4.1123033,4.260787
22,2200,0.018430836,3.7949996,3.8629599
23,2300,0.007699257,3.516957,3.517085
24,2400,0.011844788,3.2718322,3.2155724
25,2500,0.008847936,3.055158,2.9525225
26,2600,0.012711063,2.8626783,2.7222428
27,2700,0.0057613538,2.691305,2.520179
28,2800,0.04248195,2.5376513,2.3423831
29,2900,0.0061457674,2.3997397,2.1861098
30,3000,0.0046914383,2.2749572,2.0476167
31,3100,0.004608696,2.1620219,1.9250375
32,3200,0.0044465405,2.0592477,1.816194
33,3300,0.051680416,1.9652443,1.7197624
34,3400,0.004414439,1.8794634,1.6338673
35,3500,0.019846253,1.8004701,1.5571951
36,3600,0.005571192,1.7276825,1.4890796
37,3700,0.0022921094,1.6606348,1.428414
38,3800,0.0020889647,1.5987362,1.374183
39,3900,0.0018197921,1.5411259,1.3255742
40,4000,0.0015034922,1.4878849,1.282288
41,4100,0.0013292709,1.438601,1.2440434
42,4200,0.0011976312,1.3932139,1.209885
43,4300,0.02658892,1.3509846,1.1795521
44,4400,0.008118506,1.312623,1.1529046
45,4500,0.0017494502,1.2771311,1.1294832
46,4600,0.0014179187,1.2447997,1.1090684
47,4700,0.0012013665,1.2146567,1.09095
48,4800,0.0006992782,1.1875137,1.075339
49,4900,0.00062661164,1.1629367,1.0619167
50,5000,0.0005262841,1.1408775,1.0504572
51,5100,0.00047622345,1.1210698,1.0408205
52,5200,0.033671077,1.1034482,1.032698
53,5300,0.036942393,1.0877715,1.0260527
54,5400,0.00033616432,1.0741899,1.0206351
55,5500,0.00097573904,1.0621839,1.0162535
56,5600,0.00042256818,1.051776,1.0128182
57,5700,0.0002769453,1.0428292,1.0100777
58,5800,0.00084344234,1.0350485,1.0078694
59,5900,0.0002458108,1.0287268,1.0063201
60,6000,0.0030076092,1.0233418,1.0051405
61,6100,0.0016195239,1.0191855,1.0044962
62,6200,0.0007715769,1.0153686,1.0038021
63,6300,0.0004911438,1.0123935,1.0033292
64,6400,0.00039089052,1.0101427,1.0031203
65,6500,0.00027933827,1.0082268,1.0028696
66,6600,0.00045292414,1.0068653,1.0028039
67,6700,0.0004998817,1.0057247,1.002686
68,6800,0.00025056544,1.0049931,1.0027386
69,6900,0.00023782805,1.0041003,1.0024619
70,7000,0.00020992328,1.0035961,1.0023857
71,7100,0.00096837233,1.0032216,1.0023432
72,7200,0.0016196402,1.0036844,1.0028825
73,7300,0.00047673957,1.002973,1.0024191
74,7400,0.0014300585,1.0026991,1.0022435
75,7500,0.00052889733,1.0026674,1.0022236
76,7600,0.0002186677,1.0026612,1.0022593
77,7700,0.0003011601,1.0034415,1.0027544
78,7800,0.00032250508,1.0027897,1.0022947
79,7900,0.00050223444,1.0025902,1.0021725
80,8000,0.00037890874,1.0038977,1.0032583
81,8100,0.0002666476,1.0029522,1.002449
82,8200,0.00035930908,1.0026853,1.0022496
83,8300,0.0015826067,1.0056692,1.0053979
84,8400,0.0003839916,1.0036759,1.0029368
85,8500,0.00029891368,1.0030012,1.0024415
86,8600,0.0024064085,1.0027318,1.0022485
87,8700,0.00035951546,1.0026244,1.0021787
88,8800,0.0006247428,1.0027121,1.0022699
89,8900,0.00030949432,1.0030037,1.002505
90,9000,0.00024319206,1.0025394,1.0021222
91,9100,0.00030788055,1.0025814,1.002176
92,9200,0.00023431692,1.0025461,1.0021474
93,9300,0.002566218,1.0024459,1.0020623
94,9400,0.004474343,1.0093771,1.011349
95,9500,0.0009996513,1.0056795,1.0042924
96,9600,0.00061121676,1.0042719,1.0032698
97,9700,0.00041468925,1.0035156,1.0028358
98,9800,0.00085861736,1.0031445,1.0026172
99,9900,0.00037836976,1.0028757,1.0024474
100,10000,0.00416785,1.0029409,1.0025278
101,10100,0.0004731836,1.0026869,1.0023165
102,10200,0.00029161357,1.0025795,1.0022385
103,10300,0.00060376443,1.0033658,1.0030394
104,10400,0.00044303923,1.0025749,1.0022343
105,10500,0.00086306286,1.0024387,1.0021164
106,10600,0.007379676,1.0024112,1.0020798
107,10700,0.00062280963,1.0035386,1.0029736
108,10800,0.0002943778,1.0026075,1.0022221
109,10900,0.00046527377,1.0024222,1.0020778
110,11000,0.004231992,1.0023938,1.002058
111,11100,0.00025657698,1.0024623,1.0021042
112,11200,0.0030721286,1.0023903,1.0020754
113,11300,0.00024699938,1.0024112,1.0021015
114,11400,0.00074838556,1.0039263,1.0031022
115,11500,0.00041010836,1.0028653,1.0023557
116,11600,0.00040507875,1.0025673,1.0021513
117,11700,0.00048601173,1.0025983,1.0022243
118,11800,0.0008046481,1.0025581,1.0022352
119,11900,0.015339195,1.0023139,1.0020016
120,12000,0.00062629295,1.002463,1.0021374
121,12100,0.0003062475,1.0025057,1.0021371
122,12200,0.0019804006,1.0024672,1.0022453
123,12300,0.00027633941,1.0024717,1.0021572
124,12400,0.0005609141,1.0023458,1.0020741
125,12500,0.00029920353,1.0025358,1.0021865
126,12600,0.0007307073,1.0022798,1.0020043
127,12700,0.008096728,1.0022956,1.0020173
128,12800,0.00038253894,1.0024629,1.0021193
129,12900,0.00038850942,1.0024534,1.002124
130,13000,0.0021553738,1.002441,1.0022221
131,13100,0.0004098477,1.0025274,1.0021876
132,13200,0.00033274066,1.0023118,1.0020359
133,13300,0.0010806768,1.0024583,1.0021931
134,13400,0.00034264187,1.0023392,1.0020484
135,13500,0.00039664953,1.0025892,1.0022316
136,13600,0.0018833568,1.0023291,1.0020622
137,13700,0.0035506685,1.0022769,1.0020182
138,13800,0.00046407204,1.0024523,1.0022769
139,13900,0.00035821937,1.0025147,1.0021982
140,14000,0.0019639512,1.0022503,1.0020121
141,14100,0.0040150173,1.0023044,1.0020716
142,14200,0.0004694643,1.0022756,1.0020266
143,14300,0.0006295755,1.0025779,1.0022944
144,14400,0.017087365,1.0032159,1.0035231
145,14500,0.0003336179,1.0026052,1.0022715
