,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2006879,48.968765,53.52964,102.498405
1,100,0.4205321,44.473274,49.25302,93.726295
2,200,0.24606843,39.852055,44.555027,84.40708
3,300,0.2540932,35.30327,39.741043,75.04431
4,400,0.26468563,31.008911,35.100426,66.10934
5,500,0.2738707,27.0888,30.815495,57.904297
6,600,0.28372005,23.600294,26.962679,50.562973
7,700,0.2930393,20.546413,23.558239,44.104652
8,800,0.30216032,17.896185,20.58336,38.479546
9,900,0.31153265,15.607472,17.999516,33.606987
10,1000,0.317582,13.638499,15.76029,29.398788
11,1100,0.32209417,11.951327,13.820582,25.77191
12,1200,0.3247019,10.5105,12.140043,22.650543
13,1300,0.32600254,9.282778,10.683836,19.966614
14,1400,0.32970697,8.237463,9.422316,17.659779
15,1500,0.34602508,7.34662,8.329788,15.676409
16,1600,0.3421119,6.5862117,7.3844614,13.970673
17,1700,0.34381187,5.93512,6.566709,12.501829
18,1800,0.34567824,5.375728,5.859701,11.23543
19,1900,0.34297207,4.893331,5.248294,10.141624
20,2000,0.34051716,4.475544,4.719133,9.194677
21,2100,0.33422378,4.1123033,4.260787,8.373091
22,2200,0.33112815,3.7949996,3.8629599,7.6579595
23,2300,0.31982198,3.516957,3.517085,7.0340424
24,2400,0.3106553,3.2718322,3.2155724,6.487405
25,2500,0.29469433,3.055158,2.9525225,6.0076804
26,2600,0.28790107,2.8626783,2.7222428,5.584921
27,2700,0.27257392,2.691305,2.520179,5.211484
28,2800,0.30565304,2.5376513,2.3423831,4.8800344
29,2900,0.24587694,2.3997397,2.1861098,4.58585
30,3000,0.242095,2.2749572,2.0476167,4.3225737
31,3100,0.22874716,2.1620219,1.9250375,4.0870595
32,3200,0.22335616,2.0592477,1.816194,3.8754418
33,3300,0.24152371,1.9652443,1.7197624,3.6850066
34,3400,0.19862425,1.8794634,1.6338673,3.5133307
35,3500,0.20431848,1.8004701,1.5571951,3.357665
36,3600,0.17737073,1.7276825,1.4890796,3.216762
37,3700,0.16547614,1.6606348,1.428414,3.0890489
38,3800,0.15528059,1.5987362,1.374183,2.9729192
39,3900,0.14723289,1.5411259,1.3255742,2.8667002
40,4000,0.1392379,1.4878849,1.282288,2.7701728
41,4100,0.12816742,1.438601,1.2440434,2.6826444
42,4200,0.12046181,1.3932139,1.209885,2.6030989
43,4300,0.12867516,1.3509846,1.1795521,2.5305367
44,4400,0.11068931,1.312623,1.1529046,2.4655275
45,4500,0.09233947,1.2771311,1.1294832,2.4066143
46,4600,0.08292208,1.2447997,1.1090684,2.353868
47,4700,0.07764042,1.2146567,1.09095,2.3056068
48,4800,0.070556656,1.1875137,1.075339,2.2628527
49,4900,0.06532124,1.1629367,1.0619167,2.2248535
50,5000,0.060181987,1.1408775,1.0504572,2.1913347
51,5100,0.05501921,1.1210698,1.0408205,2.1618903
52,5200,0.08351947,1.1034482,1.032698,2.136146
53,5300,0.07819107,1.0877715,1.0260527,2.1138244
54,5400,0.0424343,1.0741899,1.0206351,2.094825
55,5500,0.04069138,1.0621839,1.0162535,2.0784373
56,5600,0.03779029,1.051776,1.0128182,2.0645943
57,5700,0.03480452,1.0428292,1.0100777,2.052907
58,5800,0.03384648,1.0350485,1.0078694,2.0429177
59,5900,0.032161288,1.0287268,1.0063201,2.035047
