,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,0.9589383,48.96886,53.529743,10.249861
1,100,0.20552117,44.59072,49.326683,9.391741
2,200,0.038468014,40.046112,44.709324,8.475543
3,300,0.01091291,35.559338,39.951176,7.5510516
4,400,0.0039676907,31.292143,35.30874,6.6600885
5,500,0.0019840056,27.358927,30.966446,5.832537
6,600,0.0013998378,23.82823,27.02249,5.085072
7,700,0.0013472143,20.715979,23.511995,4.4227977
8,800,0.0013578356,18.00267,20.427265,3.8429935
9,900,0.0024845295,15.654362,17.73414,3.3388505
10,1000,0.0018434711,13.634575,15.389871,2.9024446
11,1100,0.0021983916,11.90686,13.355219,2.526208
12,1200,0.0028986149,10.436895,11.5954275,2.2032323
13,1300,0.0028247708,9.190317,10.079335,1.9269654
14,1400,0.0027636995,8.137119,8.779734,1.6916853
15,1500,0.0022460024,7.2451797,7.669489,1.4914669
16,1600,0.0029865084,6.489506,6.7240133,1.3213519
17,1700,0.0016882145,5.848439,5.91949,1.176793
18,1800,0.0017980842,5.30225,5.236464,1.0538714
19,1900,0.012312066,4.835128,4.6556745,0.9490803
20,2000,0.0012671651,4.435332,4.1616516,0.8596983
21,2100,0.0020645147,4.0901594,3.7405682,0.78307277
22,2200,0.0012964079,3.7910619,3.3797047,0.7170767
23,2300,0.0012481019,3.5325112,3.0728607,0.6605372
24,2400,0.000697852,3.3059208,2.8072362,0.6113157
25,2500,0.0011973508,3.106425,2.5772145,0.56836396
26,2600,0.0015144707,2.9315984,2.378248,0.53098464
27,2700,0.0011625802,2.7758641,2.2057145,0.4981579
28,2800,0.0026381065,2.6377516,2.056008,0.469376
29,2900,0.0005728531,2.5146418,1.9250861,0.4439728
30,3000,0.0021618097,2.4028077,1.810113,0.42129207
31,3100,0.00041803982,2.3020306,1.7096342,0.4011665
32,3200,0.0021395138,2.2103965,1.6218927,0.38322893
33,3300,0.0013612396,2.1273177,1.5443065,0.36716244
34,3400,0.00031663437,2.049886,1.4756355,0.35255215
35,3500,0.00039243055,1.9788157,1.4153721,0.3394188
36,3600,0.0015940806,1.9132142,1.3625441,0.32757583
37,3700,0.0002464142,1.851602,1.3155649,0.31671667
38,3800,0.0013416269,1.794736,1.2743925,0.30691287
39,3900,0.00015950027,1.7411538,1.2383173,0.29794714
40,4000,0.00016033636,1.6911643,1.2066611,0.28978252
41,4100,0.00036503823,1.6440469,1.1787902,0.28228372
42,4200,0.00014499082,1.5999863,1.1544342,0.27544206
43,4300,0.0001619904,1.5586573,1.1333582,0.26920158
44,4400,0.0037425605,1.5201529,1.1149355,0.26350886
45,4500,0.00016142626,1.4839373,1.099179,0.25831163
46,4600,0.000106581414,1.4499798,1.0853581,0.2535338
47,4700,0.0017273211,1.4178956,1.0733197,0.24912153
48,4800,9.3068506e-05,1.388411,1.0632983,0.24517094
49,4900,0.00024471845,1.3605897,1.0545707,0.24151604
50,5000,0.0007360362,1.3348677,1.047125,0.23819928
51,5100,0.0002527467,1.310988,1.0412365,0.23522244
52,5200,0.000101739424,1.2885307,1.0359764,0.23245072
53,5300,0.00014468646,1.2673045,1.0314715,0.22987762
54,5400,0.00012831036,1.2493057,1.0289916,0.22782974
55,5500,7.899126e-05,1.2306386,1.0251744,0.22558132
56,5600,0.00019599093,1.2133462,1.0225476,0.22358938
57,5700,0.00079674186,1.1973975,1.0206307,0.22180282
58,5800,9.8984936e-05,1.183388,1.0195601,0.22029482
59,5900,0.000110440466,1.1693294,1.0178707,0.21872
60,6000,0.00017112697,1.1567457,1.0171617,0.21739073
61,6100,0.0017289743,1.1446357,1.0162418,0.21608774
62,6200,8.017035e-05,1.1339967,1.0158215,0.21498182
63,6300,0.0006324002,1.1235437,1.015277,0.21388207
64,6400,0.00033492988,1.1141948,1.0152133,0.2129408
65,6500,0.0001399239,1.1063951,1.0158331,0.21222281
66,6600,8.958805e-05,1.0975977,1.0148162,0.2112414
67,6700,0.00022771399,1.0898348,1.0146304,0.21044652
68,6800,0.0001773098,1.0828806,1.0146998,0.20975804
69,6900,0.0001420433,1.0764908,1.0148472,0.20913379
70,7000,9.7074066e-05,1.070525,1.0148195,0.20853446
71,7100,0.00010348489,1.0650798,1.0148462,0.2079926
72,7200,0.00070850656,1.0601945,1.0153866,0.20755811
73,7300,0.0003077785,1.0555284,1.0151985,0.20707269
74,7400,0.000117548756,1.0514723,1.0152764,0.20667486
75,7500,0.00014070695,1.0472257,1.0148365,0.20620623
76,7600,0.00012493,1.0437268,1.0149399,0.20586668
77,7700,0.0001651893,1.040448,1.0149444,0.20553923
78,7800,0.0003606167,1.0374447,1.014934,0.20523787
79,7900,0.0009393881,1.0364727,1.0186731,0.20551458
80,8000,0.0001199831,1.0331162,1.0155191,0.20486355
81,8100,0.0002504868,1.0306551,1.0153543,0.20460096
82,8200,0.00019288501,1.0284963,1.0151623,0.20436588
83,8300,0.00011945626,1.0266985,1.0152453,0.20419438
84,8400,0.00026247467,1.0258596,1.0168258,0.20426856
85,8500,0.00020541578,1.0237378,1.0153787,0.20391165
86,8600,0.00012893365,1.0224175,1.0154215,0.2037839
87,8700,0.00017826167,1.0211518,1.015401,0.20365529
88,8800,0.00028282744,1.0201416,1.0154995,0.20356412
