,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9560681,0.95820725,47.4772,52.73813
1,100,0.20681733,0.41253325,47.434406,52.743023
2,200,0.17907876,0.40382543,47.406364,52.768715
3,300,0.159207,0.40807542,47.415287,52.810856
4,400,0.15394327,0.41258952,47.37011,52.802597
5,500,0.15430528,0.4168206,47.268238,52.74756
6,600,0.15445761,0.41905352,47.13497,52.65944
7,700,0.15471171,0.42104334,46.977455,52.548294
8,800,0.15476316,0.4213496,46.79563,52.418797
9,900,0.15446344,0.42043844,46.59202,52.27416
10,1000,0.15398103,0.4195666,46.366543,52.112984
11,1100,0.15307732,0.4191037,46.117214,51.93412
12,1200,0.15203476,0.41751313,45.843548,51.73616
13,1300,0.15099204,0.41590127,45.545433,51.517853
14,1400,0.1493552,0.41252655,45.2267,51.27836
15,1500,0.14669465,0.40789267,44.88993,51.02082
16,1600,0.14320244,0.4025175,44.540955,50.744503
17,1700,0.13905711,0.39637175,44.17771,50.45035
18,1800,0.13433716,0.38896254,43.800312,50.13819
19,1900,0.12890741,0.38130805,43.411343,49.80467
20,2000,0.12263138,0.37207636,43.011395,49.45091
21,2100,0.11541381,0.3621167,42.601864,49.080776
22,2200,0.1078174,0.35182157,42.187252,48.69682
23,2300,0.10005916,0.33936262,41.772095,48.293545
24,2400,0.092670485,0.32642996,41.35474,47.86205
25,2500,0.0852451,0.31169346,40.932743,47.405945
26,2600,0.07800485,0.29714817,40.517826,46.915012
27,2700,0.07081112,0.28118062,40.10183,46.39276
28,2800,0.06346041,0.26517233,39.681946,45.82343
29,2900,0.05696507,0.24949124,39.25803,45.161915
30,3000,0.05116041,0.23256402,38.85037,44.396225
31,3100,0.045835525,0.21420965,38.44257,43.508854
32,3200,0.041277736,0.19531377,38.016254,42.461845
33,3300,0.037390634,0.1782724,37.53884,41.224678
34,3400,0.03395262,0.16054216,36.988064,39.769024
35,3500,0.0311703,0.14535514,36.411785,38.095867
36,3600,0.0286393,0.13098073,35.732113,36.19169
37,3700,0.026174115,0.112066865,34.937748,34.0771
38,3800,0.023847448,0.09935364,34.049843,31.793015
39,3900,0.021944508,0.08837235,33.005,29.374178
40,4000,0.020177918,0.07855556,31.786783,26.930414
41,4100,0.0185573,0.06770017,30.412205,24.527315
42,4200,0.017069535,0.061223887,28.878363,22.230753
43,4300,0.015775464,0.056924388,27.230917,20.11924
44,4400,0.014528643,0.053483646,25.507553,18.193115
45,4500,0.01333011,0.051026568,23.729832,16.444147
46,4600,0.012451098,0.049070418,21.956326,14.895794
