,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.95552915,0.9578104,47.476482,52.73813
1,100,0.20457812,0.37780684,47.3507,52.721085
2,200,0.18195285,0.31386834,47.179188,52.69713
3,300,0.17290981,0.3049279,47.098465,52.704453
4,400,0.17708212,0.30711392,47.018253,52.64671
5,500,0.18083368,0.31058604,46.933624,52.544647
6,600,0.1848202,0.3147222,46.84073,52.409798
7,700,0.1878942,0.31813192,46.732216,52.240234
8,800,0.19079939,0.32165667,46.603203,52.04307
9,900,0.1940727,0.32266578,46.44969,51.81687
10,1000,0.19787943,0.31558865,46.274437,51.545124
11,1100,0.20138463,0.32143036,46.076927,51.222244
12,1200,0.20414484,0.32602105,45.85367,50.84621
13,1300,0.20713648,0.32983282,45.615788,50.413235
14,1400,0.20953737,0.33357927,45.35502,49.919304
15,1500,0.21282716,0.3398501,45.07517,49.364376
16,1600,0.21455197,0.34611523,44.76847,48.7412
17,1700,0.21479699,0.3502643,44.439888,48.05909
18,1800,0.2136868,0.352834,44.09209,47.32639
19,1900,0.2125682,0.3553585,43.7287,46.53236
20,2000,0.21198507,0.35826597,43.350388,45.69809
21,2100,0.20901933,0.35943136,42.958176,44.803066
22,2200,0.20460731,0.35905695,42.55816,43.87227
23,2300,0.20026411,0.3582472,42.152336,42.902462
24,2400,0.19592571,0.3568925,41.738194,41.910046
25,2500,0.19136097,0.35499167,41.31737,40.914448
26,2600,0.18722123,0.35372886,40.9025,39.92046
27,2700,0.18180951,0.3513716,40.486893,38.92234
28,2800,0.17695652,0.34899575,40.074924,37.935837
29,2900,0.17185502,0.34480754,39.668076,36.960964
30,3000,0.16712247,0.34072852,39.273907,36.015987
31,3100,0.16275993,0.33479804,38.887455,35.10856
32,3200,0.15834022,0.33012494,38.51158,34.236206
33,3300,0.1532927,0.32444465,38.14514,33.403297
34,3400,0.14777324,0.3168071,37.78711,32.593277
35,3500,0.14193605,0.31099445,37.438538,31.82851
36,3600,0.13764732,0.3060873,37.096516,31.091507
37,3700,0.13401063,0.3022639,36.769184,30.389055
38,3800,0.13001193,0.29857823,36.451775,29.726213
39,3900,0.12682877,0.29522124,36.141743,29.093884
40,4000,0.12355448,0.29123846,35.850605,28.486916
41,4100,0.12025321,0.28648534,35.562923,27.901102
42,4200,0.11726333,0.28450963,35.284782,27.340998
43,4300,0.114067905,0.28112,35.018074,26.818361
44,4400,0.1113903,0.2785273,34.76215,26.320532
45,4500,0.10885507,0.27573207,34.51295,25.837595
46,4600,0.1066247,0.2718916,34.267506,25.353756
47,4700,0.10452566,0.26787892,34.02875,24.87503
48,4800,0.102320485,0.26414672,33.795177,24.422165
49,4900,0.10036561,0.2611038,33.565628,23.98514
50,5000,0.09807797,0.25773317,33.339836,23.564394
51,5100,0.09622264,0.25408497,33.11915,23.15463
52,5200,0.09460449,0.25175026,32.901047,22.756477
53,5300,0.09305523,0.24888842,32.690105,22.360786
54,5400,0.09144459,0.24622019,32.483387,21.967247
55,5500,0.08954413,0.24290146,32.277603,21.572405
56,5600,0.08774776,0.24035883,32.07796,21.181673
57,5700,0.086175956,0.23734035,31.881939,20.805538
58,5800,0.08481217,0.2358545,31.687086,20.44
59,5900,0.08325026,0.2330908,31.497246,20.084763
60,6000,0.08149712,0.2303668,31.307318,19.724407
61,6100,0.08037552,0.22883296,31.123434,19.366484
62,6200,0.07842739,0.2255749,30.942461,19.00452
63,6300,0.07705415,0.22419064,30.763947,18.655167
64,6400,0.0753444,0.22023253,30.589699,18.310503
65,6500,0.07389357,0.21842064,30.415062,17.972857
66,6600,0.07251034,0.21474883,30.24603,17.63725
67,6700,0.071034364,0.21165764,30.076717,17.300674
68,6800,0.06997986,0.20868705,29.910685,16.970867
69,6900,0.06867821,0.20563963,29.744816,16.650566
70,7000,0.06733753,0.20183848,29.579685,16.33518
71,7100,0.06636948,0.19996761,29.41606,16.021353
72,7200,0.065082215,0.19773401,29.254498,15.72154
73,7300,0.06406324,0.19636166,29.097645,15.421011
74,7400,0.06290098,0.19452842,28.940321,15.137256
75,7500,0.06209271,0.19276159,28.790396,14.848333
76,7600,0.061280333,0.19171794,28.63991,14.568593
77,7700,0.060484894,0.19033092,28.48921,14.293533
78,7800,0.059948966,0.18945162,28.343487,14.03193
79,7900,0.059289113,0.18901591,28.19732,13.776623
80,8000,0.05864524,0.18753679,28.051573,13.527309
81,8100,0.057987995,0.18640776,27.907595,13.277673
82,8200,0.057672285,0.18590955,27.765816,13.034417
83,8300,0.05701215,0.18506257,27.625109,12.801507
84,8400,0.05673158,0.18357663,27.486368,12.579694
85,8500,0.05610892,0.18289499,27.34908,12.3580885
86,8600,0.05579446,0.18269533,27.212921,12.14149
87,8700,0.055339597,0.18092257,27.078405,11.936602
88,8800,0.05490984,0.18015353,26.944324,11.7374525
89,8900,0.05436471,0.17903057,26.811983,11.542153
90,9000,0.054049935,0.17828181,26.681929,11.35458
91,9100,0.053523447,0.17797126,26.553085,11.170503
