,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.95585936,0.95810574,47.43306,52.69719
1,100,0.23028284,0.48569775,43.06147,48.374832
2,200,0.21224281,0.48429343,38.64766,43.6841
3,300,0.22231124,0.5119665,34.35309,38.90814
4,400,0.232478,0.52883434,30.293322,34.278122
5,500,0.24088544,0.5422521,26.559963,29.982725
6,600,0.24684854,0.5522181,23.200018,26.134195
7,700,0.25229958,0.5652604,20.225216,22.765442
8,800,0.25645697,0.5726729,17.625616,19.856926
9,900,0.258987,0.57549834,15.376905,17.36304
10,1000,0.26435515,0.58452386,13.445901,15.229969
11,1100,0.26857042,0.58749694,11.795886,13.405042
12,1200,0.27163553,0.5963775,10.390811,11.841127
13,1300,0.27350622,0.60186857,9.195666,10.498148
14,1400,0.2708582,0.59899265,8.17839,9.3425665
15,1500,0.26233903,0.59021163,7.311131,8.346831
16,1600,0.2538681,0.5868156,6.569671,7.488183
17,1700,0.24815623,0.5830995,5.9325204,6.7463555
18,1800,0.2380242,0.5668345,5.3842196,6.1050115
19,1900,0.23132105,0.56130546,4.9097877,5.5501614
20,2000,0.2225339,0.5536624,4.4976506,5.069009
21,2100,0.2340362,0.57474,4.1381235,4.650765
22,2200,0.20775816,0.5381584,3.8245144,4.287457
23,2300,0.2065847,0.53293324,3.5495625,3.9701748
24,2400,0.18284892,0.50454134,3.3083944,3.6938307
25,2500,0.16982895,0.48365274,3.095097,3.4516509
26,2600,0.16160396,0.4766357,2.9071562,3.2383804
27,2700,0.16709569,0.48112798,2.739236,3.0503392
28,2800,0.13921463,0.44723195,2.5896778,2.8850574
29,2900,0.12786397,0.42822817,2.4560063,2.7390947
30,3000,0.11959215,0.41724756,2.3354173,2.608253
31,3100,0.123570204,0.41500843,2.2264402,2.4913762
32,3200,0.09971711,0.37855357,2.128807,2.3881557
33,3300,0.09393838,0.36730668,2.0389695,2.2933748
34,3400,0.08985837,0.34816167,1.9571648,2.2078452
35,3500,0.07930464,0.32748398,1.8820361,2.1303437
36,3600,0.0746128,0.3165864,1.8121119,2.0581627
37,3700,0.06727853,0.2927126,1.7484409,1.9915918
38,3800,0.05844958,0.27406374,1.6889416,1.9290934
39,3900,0.053427123,0.26503503,1.6329888,1.8691871
40,4000,0.047541253,0.24485287,1.5811101,1.8118225
41,4100,0.042955972,0.22990707,1.5323414,1.7572119
42,4200,0.040681474,0.21580662,1.4867936,1.7033073
43,4300,0.03515118,0.20187585,1.4448704,1.6506791
44,4400,0.03293517,0.19291362,1.4055434,1.5988588
45,4500,0.031012135,0.1851478,1.3686452,1.5480112
46,4600,0.029087018,0.17878814,1.3346876,1.4984003
47,4700,0.035260204,0.17910612,1.3029298,1.4506029
48,4800,0.025608802,0.16319092,1.2739633,1.4048078
49,4900,0.023837961,0.16223998,1.2466874,1.3605231
50,5000,0.022584114,0.1547396,1.2220801,1.3194238
51,5100,0.02112614,0.15174647,1.1992236,1.2803837
52,5200,0.019733988,0.14413479,1.1791745,1.2447858
53,5300,0.01902983,0.1381197,1.1604029,1.2116817
